,IPGP_Open,IPGP_High,IPGP_Low,IPGP_Close,IPGP_Adj Close,IPGP_Volume,IPGP_Dividend Amount,IPGP_Split Coefficient
2024-11-01,81.25,83.6,81.25,82.29,82.29,350595,0.0,1.0
2024-10-31,83.1,83.2,80.11,80.96,80.96,386307,0.0,1.0
2024-10-30,83.7,85.515,82.94,83.31,83.31,336250,0.0,1.0
2024-10-29,81.65,88.5011,81.65,85.05,85.05,466273,0.0,1.0
2024-10-28,77.06,79.45,76.99,79.27,79.27,643614,0.0,1.0
2024-10-25,76.33,77.65,76.195,76.82,76.82,299022,0.0,1.0
2024-10-24,75.19,76.265,74.94,75.92,75.92,280392,0.0,1.0
2024-10-23,74.55,75.3,73.675,74.76,74.76,294409,0.0,1.0
2024-10-22,74.15,75.155,74.005,74.63,74.63,172782,0.0,1.0
2024-10-21,75.25,75.4627,73.77,74.76,74.76,187992,0.0,1.0
2024-10-18,75.59,76.195,75.1,75.59,75.59,206635,0.0,1.0
2024-10-17,75.24,75.575,74.29,75.35,75.35,214340,0.0,1.0
2024-10-16,75.71,76.0,74.37,74.62,74.62,439942,0.0,1.0
2024-10-15,76.3,77.54,75.04,75.14,75.14,201034,0.0,1.0
2024-10-14,75.82,76.9,75.76,76.22,76.22,180412,0.0,1.0
2024-10-11,74.07,76.0,74.07,75.63,75.63,182945,0.0,1.0
2024-10-10,73.94,74.7,73.76,74.11,74.11,190987,0.0,1.0
2024-10-09,74.27,75.05,73.845,74.8,74.8,194230,0.0,1.0
2024-10-08,73.09,74.52,72.7338,74.45,74.45,220247,0.0,1.0
2024-10-07,73.97,74.229,72.46,73.28,73.28,247432,0.0,1.0
2024-10-04,74.04,74.865,73.52,74.4,74.4,151118,0.0,1.0
2024-10-03,72.37,73.07,71.69,72.38,72.38,312033,0.0,1.0
2024-10-02,71.95,74.03,71.9342,73.16,73.16,189659,0.0,1.0
2024-10-01,74.02,74.25,71.46,71.85,71.85,204646,0.0,1.0
2024-09-30,74.2,74.835,73.58,74.32,74.32,212979,0.0,1.0
2024-09-27,75.21,76.34,74.27,74.89,74.89,249646,0.0,1.0
2024-09-26,71.93,74.56,71.49,74.52,74.52,253151,0.0,1.0
2024-09-25,70.95,71.16,70.265,70.41,70.41,183978,0.0,1.0
2024-09-24,71.13,71.9994,70.76,71.14,71.14,209467,0.0,1.0
2024-09-23,70.39,71.22,69.66,70.43,70.43,237722,0.0,1.0
2024-09-20,70.24,70.85,69.5,70.25,70.25,891575,0.0,1.0
2024-09-19,70.89,71.48,69.9801,70.87,70.87,273749,0.0,1.0
2024-09-18,68.95,70.7899,68.16,68.92,68.92,350821,0.0,1.0
2024-09-17,69.61,70.14,68.18,68.81,68.81,298203,0.0,1.0
2024-09-16,67.56,68.83,66.75,68.77,68.77,324391,0.0,1.0
2024-09-13,65.37,67.69,65.25,67.665,67.665,256477,0.0,1.0
2024-09-12,63.15,64.94,62.89,64.78,64.78,259402,0.0,1.0
2024-09-11,62.35,63.37,61.89,63.15,63.15,435506,0.0,1.0
2024-09-10,62.61,62.7,61.8569,62.31,62.31,337245,0.0,1.0
2024-09-09,62.75,63.43,62.03,62.52,62.52,348650,0.0,1.0
2024-09-06,65.55,65.8343,62.765,62.84,62.84,162596,0.0,1.0
2024-09-05,65.77,66.11,64.93,65.54,65.54,170419,0.0,1.0
2024-09-04,65.2,66.29,65.12,65.77,65.77,320601,0.0,1.0
2024-09-03,68.01,68.23,64.91,65.43,65.43,259043,0.0,1.0
2024-08-30,69.49,69.51,67.98,68.37,68.37,420752,0.0,1.0
2024-08-29,70.05,70.1799,68.95,69.2,69.2,212638,0.0,1.0
2024-08-28,68.73,69.43,67.8,69.34,69.34,254819,0.0,1.0
2024-08-27,69.55,69.99,68.9,69.11,69.11,210494,0.0,1.0
2024-08-26,71.66,71.66,69.75,69.8,69.8,150398,0.0,1.0
2024-08-23,70.49,71.605,69.915,71.05,71.05,156496,0.0,1.0
2024-08-22,71.2,71.5905,69.6,69.84,69.84,221235,0.0,1.0
2024-08-21,70.3,71.41,70.0358,71.23,71.23,207716,0.0,1.0
2024-08-20,68.15,70.3325,67.96,69.89,69.89,326442,0.0,1.0
2024-08-19,67.32,68.4,67.06,68.19,68.19,220236,0.0,1.0
2024-08-16,68.05,68.165,66.74,67.5,67.5,164803,0.0,1.0
2024-08-15,67.72,68.825,67.34,67.98,67.98,218887,0.0,1.0
2024-08-14,67.34,67.51,65.59,66.02,66.02,144439,0.0,1.0
2024-08-13,66.6,67.57,65.98,67.3,67.3,240178,0.0,1.0
2024-08-12,66.67,66.8823,65.03,65.7,65.7,189610,0.0,1.0
2024-08-09,67.47,67.47,66.245,66.67,66.67,172672,0.0,1.0
2024-08-08,66.88,67.375,66.3,67.32,67.32,210342,0.0,1.0
2024-08-07,69.16,69.66,65.94,66.01,66.01,211366,0.0,1.0
2024-08-06,67.47,68.74,66.71,67.79,67.79,246673,0.0,1.0
2024-08-05,68.81,69.95,66.54,67.43,67.43,228316,0.0,1.0
2024-08-02,75.07,75.955,70.68,71.38,71.38,351783,0.0,1.0
2024-08-01,79.92,80.07,75.85,77.08,77.08,379087,0.0,1.0
2024-07-31,81.0,82.65,80.26,80.4,80.4,310287,0.0,1.0
2024-07-30,80.0,88.47,79.8,81.2,81.2,444021,0.0,1.0
2024-07-29,87.11,88.78,86.46,87.61,87.61,204823,0.0,1.0
2024-07-26,86.35,87.02,84.95,86.59,86.59,227821,0.0,1.0
2024-07-25,87.41,87.67,85.105,85.49,85.49,210158,0.0,1.0
2024-07-24,88.58,89.95,87.84,87.91,87.91,204175,0.0,1.0
2024-07-23,89.96,90.53,88.93,89.06,89.06,137020,0.0,1.0
2024-07-22,88.55,90.1,88.0,90.04,90.04,215620,0.0,1.0
2024-07-19,88.88,89.0,87.5,88.03,88.03,213353,0.0,1.0
2024-07-18,90.26,91.41,88.45,89.07,89.07,222490,0.0,1.0
2024-07-17,90.0,92.21,88.31,90.45,90.45,356160,0.0,1.0
2024-07-16,89.99,90.92,89.405,90.65,90.65,592163,0.0,1.0
2024-07-15,89.6,91.05,89.06,89.38,89.38,144029,0.0,1.0
2024-07-12,88.87,90.46,88.49,89.63,89.63,154911,0.0,1.0
2024-07-11,87.61,88.87,86.41,88.05,88.05,158091,0.0,1.0
2024-07-10,84.71,86.165,82.11,86.07,86.07,124096,0.0,1.0
2024-07-09,85.42,85.44,84.2474,84.45,84.45,167256,0.0,1.0
2024-07-08,85.28,86.0955,85.18,85.46,85.46,162977,0.0,1.0
2024-07-05,84.25,84.74,83.62,84.36,84.36,309371,0.0,1.0
2024-07-03,84.98,85.385,84.51,84.58,84.58,142152,0.0,1.0
2024-07-02,83.3,85.25,83.3,84.91,84.91,198250,0.0,1.0
2024-07-01,84.54,84.79,83.27,83.33,83.33,239161,0.0,1.0
2024-06-28,84.13,85.38,83.605,84.39,84.39,352370,0.0,1.0
2024-06-27,82.54,83.54,81.849,83.5,83.5,190535,0.0,1.0
2024-06-26,81.48,83.04,81.48,82.62,82.62,247883,0.0,1.0
2024-06-25,81.74,81.86,80.5361,81.68,81.68,241245,0.0,1.0
2024-06-24,83.06,83.75,81.61,81.61,81.61,241542,0.0,1.0
2024-06-21,81.92,83.6,81.92,83.35,83.35,1002071,0.0,1.0
2024-06-20,82.28,82.4,80.27,81.58,81.58,301519,0.0,1.0
2024-06-18,86.17,86.21,82.6711,82.71,82.71,307029,0.0,1.0
2024-06-17,84.7,86.31,84.34,86.25,86.25,250128,0.0,1.0
2024-06-14,85.71,86.24,84.0,84.86,84.86,208223,0.0,1.0
2024-06-13,86.51,87.09,85.27,86.84,86.84,268611,0.0,1.0
2024-06-12,87.14,88.005,86.68,87.63,87.63,211895,0.0,1.0
2024-06-11,85.63,86.01,84.705,85.24,85.24,150025,0.0,1.0
2024-06-10,85.0,86.5399,85.0,86.22,86.22,106503,0.0,1.0
2024-06-07,85.65,86.48,85.25,85.85,85.85,126360,0.0,1.0
2024-06-06,86.85,87.42,86.1721,86.47,86.47,126360,0.0,1.0
