,ISCA_Open,ISCA_High,ISCA_Low,ISCA_Close,ISCA_Adj Close,ISCA_Volume,ISCA_Dividend Amount,ISCA_Split Coefficient
2019-10-18,44.99,44.99,44.99,44.99,44.99,0,0.0,1.0
2019-10-17,45.01,45.02,44.99,44.99,44.99,1090756,0.0,1.0
2019-10-16,45.05,45.05,45.0,45.0,45.0,279915,0.0,1.0
2019-10-15,45.13,45.13,45.0,45.02,45.02,219732,0.0,1.0
2019-10-14,45.04,45.23,45.0,45.135,45.135,113009,0.0,1.0
2019-10-11,45.16,45.23,45.02,45.05,45.05,157431,0.0,1.0
2019-10-10,45.65,45.65,45.1,45.145,45.145,267856,0.0,1.0
2019-10-09,45.4,45.7,45.22,45.68,45.68,654821,0.0,1.0
2019-10-08,45.42,45.73,45.4,45.65,45.65,682081,0.0,1.0
2019-10-07,45.36,45.61,45.25,45.49,45.49,453841,0.0,1.0
2019-10-04,45.14,45.51,45.1,45.46,45.46,301192,0.0,1.0
2019-10-03,45.07,45.27,45.07,45.16,45.16,260563,0.0,1.0
2019-10-02,45.03,45.1,44.98,45.07,45.07,332870,0.0,1.0
2019-10-01,45.03,45.06,44.93,45.04,45.04,377693,0.0,1.0
2019-09-30,45.02,45.09,44.97,45.01,45.01,423984,0.0,1.0
2019-09-27,44.96,45.125,44.94,45.05,45.05,479157,0.0,1.0
2019-09-26,44.94,45.05,44.94,44.94,44.94,119551,0.0,1.0
2019-09-25,45.02,45.05,44.94,45.05,45.05,242821,0.0,1.0
2019-09-24,45.06,45.06,44.85,44.94,44.94,171358,0.0,1.0
2019-09-23,44.88,45.03,44.77,44.94,44.94,180775,0.0,1.0
2019-09-20,45.05,45.09,44.81,44.94,44.94,416793,0.0,1.0
2019-09-19,45.14,45.2,44.94,44.95,44.95,209337,0.0,1.0
2019-09-18,45.2,45.23,45.11,45.14,45.14,66247,0.0,1.0
2019-09-17,45.14,45.22,45.06,45.21,45.21,149593,0.0,1.0
2019-09-16,45.14,45.255,45.06,45.14,45.14,85268,0.0,1.0
2019-09-13,45.18,45.27,45.17,45.2,45.2,75503,0.0,1.0
2019-09-12,45.08,45.3,45.04,45.17,45.17,132315,0.0,1.0
2019-09-11,45.05,45.05,44.96,45.02,45.02,186914,0.0,1.0
2019-09-10,45.02,45.1,44.99,45.03,45.03,158031,0.0,1.0
2019-09-09,45.02,45.04,44.97,45.0,45.0,132225,0.0,1.0
2019-09-06,45.08,45.08,44.99,44.99,44.99,118272,0.0,1.0
2019-09-05,45.04,45.09,44.97,45.02,45.02,184851,0.0,1.0
2019-09-04,45.0,45.09,44.965,45.0,45.0,178263,0.0,1.0
2019-09-03,44.99,45.05,44.94,44.96,44.96,306420,0.0,1.0
2019-08-30,45.05,45.07,45.0,45.02,45.02,101651,0.0,1.0
2019-08-29,45.1,45.1,45.0,45.04,45.04,90675,0.0,1.0
2019-08-28,45.06,45.1,45.03,45.1,45.1,60904,0.0,1.0
2019-08-27,45.1,45.1,45.02,45.07,45.07,132578,0.0,1.0
2019-08-26,45.1,45.1,45.0,45.04,45.04,80263,0.0,1.0
2019-08-23,45.01,45.08,44.97,45.01,45.01,217822,0.0,1.0
2019-08-22,45.1,45.1,45.01,45.01,45.01,60442,0.0,1.0
2019-08-21,45.13,45.13,45.02,45.05,45.05,76384,0.0,1.0
2019-08-20,45.03,45.09,45.0,45.02,45.02,72429,0.0,1.0
2019-08-19,45.23,45.23,45.0,45.01,45.01,40870,0.0,1.0
2019-08-16,45.16,45.26,45.1,45.1,45.1,258832,0.0,1.0
2019-08-15,44.98,45.1,44.97,45.0,45.0,39786,0.0,1.0
2019-08-14,45.05,45.06,44.86,44.97,44.97,102375,0.0,1.0
2019-08-13,45.06,45.2,45.0,45.2,45.2,52839,0.0,1.0
2019-08-12,45.1,45.12,45.05,45.07,45.07,122398,0.0,1.0
2019-08-09,45.11,45.15,45.07,45.1,45.1,108940,0.0,1.0
2019-08-08,45.14,45.2,45.09,45.09,45.09,99413,0.0,1.0
2019-08-07,45.1,45.15,45.03,45.08,45.08,125554,0.0,1.0
2019-08-06,45.08,45.14,45.05,45.1,45.1,175015,0.0,1.0
2019-08-05,45.08,45.19,45.04,45.1,45.1,224713,0.0,1.0
2019-08-02,45.14,45.25,45.1,45.17,45.17,90619,0.0,1.0
2019-08-01,45.2,45.25,45.06,45.15,45.15,107361,0.0,1.0
2019-07-31,45.37,45.44,45.07,45.08,45.08,117483,0.0,1.0
2019-07-30,45.34,45.455,45.34,45.44,45.44,88296,0.0,1.0
2019-07-29,45.47,45.5,45.39,45.45,45.45,83883,0.0,1.0
