,K_Open,K_High,K_Low,K_Close,K_Adj Close,K_Volume,K_Dividend Amount,K_Split Coefficient
2024-10-01,80.7,80.74,80.555,80.65,80.65,2728623,0.0,1.0
2024-09-30,80.88,81.0,80.65,80.71,80.71,2376699,0.0,1.0
2024-09-27,80.57,80.85,80.57,80.78,80.78,1330354,0.0,1.0
2024-09-26,80.6,80.69,80.49,80.64,80.64,1421125,0.0,1.0
2024-09-25,80.66,80.74,80.555,80.59,80.59,1627379,0.0,1.0
2024-09-24,80.65,80.76,80.61,80.67,80.67,1412857,0.0,1.0
2024-09-23,80.61,80.825,80.57,80.62,80.62,1642786,0.0,1.0
2024-09-20,80.65,80.875,80.5,80.81,80.81,5842923,0.0,1.0
2024-09-19,80.64,80.72,80.54,80.65,80.65,1792681,0.0,1.0
2024-09-18,80.63,80.91,80.63,80.65,80.65,2455583,0.0,1.0
2024-09-17,80.62,80.77,80.61,80.64,80.64,2212175,0.0,1.0
2024-09-16,80.47,80.8,80.47,80.68,80.68,2276521,0.0,1.0
2024-09-13,80.27,80.75,80.27,80.68,80.68,2266871,0.0,1.0
2024-09-12,80.01,80.48,80.01,80.26,80.26,3569494,0.0,1.0
2024-09-11,80.04,80.07,79.9,79.92,79.92,2656112,0.0,1.0
2024-09-10,80.15,80.32,79.99,80.0,80.0,2387262,0.0,1.0
2024-09-09,80.17,80.37,80.115,80.17,80.17,1982081,0.0,1.0
2024-09-06,80.14,80.245,80.02,80.09,80.09,2778034,0.0,1.0
2024-09-05,80.27,80.295,79.86,80.19,80.19,2795188,0.0,1.0
2024-09-04,80.24,80.43,80.15,80.19,80.19,3292263,0.0,1.0
2024-09-03,80.15,80.2,80.01,80.16,80.16,2772852,0.57,1.0
2024-08-30,80.51,80.61,80.355,80.61,80.0408472686734,4352913,0.0,1.0
2024-08-29,80.55,80.62,80.43,80.53,79.9614121144556,3459863,0.0,1.0
2024-08-28,80.78,80.78,80.56,80.62,80.0507766629506,3946090,0.0,1.0
2024-08-27,80.7,80.8,80.65,80.79,80.2195763656633,2483109,0.0,1.0
2024-08-26,80.62,80.97,80.57,80.68,80.1103530286139,2209771,0.0,1.0
2024-08-23,80.55,80.74,80.55,80.67,80.1004236343367,2489720,0.0,1.0
2024-08-22,80.55,80.68,80.46,80.64,80.070635451505,4351460,0.0,1.0
2024-08-21,80.35,80.6,80.27,80.59,80.0209884801189,4541403,0.0,1.0
2024-08-20,80.28,80.52,80.235,80.3,79.7330360460795,5432772,0.0,1.0
2024-08-19,80.31,80.43,80.21,80.26,79.6933184689707,5577645,0.0,1.0
2024-08-16,80.22,80.4,80.22,80.29,79.7231066518023,7353612,0.0,1.0
2024-08-15,80.25,80.36,80.13,80.28,79.7131772575251,9361887,0.0,1.0
2024-08-14,79.97,80.46,79.86,80.28,79.7131772575251,45727047,0.0,1.0
2024-08-13,74.14,74.69,73.79,74.5,73.9739873652917,2267603,0.0,1.0
2024-08-12,74.13,75.48,73.82,73.99,73.4675882571535,3906507,0.0,1.0
2024-08-09,74.35,75.215,72.915,74.88,74.3513043478261,3867513,0.0,1.0
2024-08-08,72.45,74.36,72.27,74.35,73.8250464511334,4136671,0.0,1.0
2024-08-07,73.82,74.58,72.7,72.96,72.4448606465998,5493137,0.0,1.0
2024-08-06,73.35,75.06,72.84,73.35,72.8321070234114,7775659,0.0,1.0
2024-08-05,75.11,75.4,70.315,73.2,72.6831661092531,16463869,0.0,1.0
2024-08-02,63.07,64.18,61.465,62.98,62.5353251579339,4730736,0.0,1.0
2024-08-01,60.1,62.16,59.785,62.05,61.6118914901524,5059864,0.0,1.0
2024-07-31,57.78,58.66,57.4,58.15,57.7394277220364,4311469,0.0,1.0
2024-07-30,56.66,57.67,56.62,57.55,57.1436640654032,2067709,0.0,1.0
2024-07-29,57.17,57.47,56.73,57.13,56.7266295057599,1872561,0.0,1.0
2024-07-26,57.32,57.62,57.055,57.47,57.0642289111854,1805259,0.0,1.0
2024-07-25,57.46,58.33,56.9,57.28,56.8755704199183,1549087,0.0,1.0
2024-07-24,56.69,57.37,56.365,57.23,56.8259234485321,1883182,0.0,1.0
2024-07-23,57.51,57.7,56.48,56.61,56.2103010033445,1802688,0.0,1.0
2024-07-22,57.82,57.92,57.41,57.61,57.2032404310665,1656701,0.0,1.0
2024-07-19,59.23,59.42,57.79,57.96,57.5507692307692,1613574,0.0,1.0
2024-07-18,58.12,59.6254,58.12,58.83,58.4146265328874,1617784,0.0,1.0
2024-07-17,57.26,59.11,57.06,58.95,58.5337792642141,2201114,0.0,1.0
2024-07-16,56.3,57.295,56.101,57.05,56.6471943515422,1526486,0.0,1.0
2024-07-15,56.53,56.78,55.96,56.32,55.9223485693051,1857073,0.0,1.0
2024-07-12,57.15,57.38,56.5,56.54,56.1407952434039,1640344,0.0,1.0
2024-07-11,56.86,57.14,56.35,56.84,56.4386770717206,1859103,0.0,1.0
2024-07-10,56.46,56.89,56.31,56.89,56.4883240431067,1812947,0.0,1.0
2024-07-09,56.21,56.59,55.96,56.37,55.9719955406912,1802197,0.0,1.0
2024-07-08,56.62,56.62,55.98,56.19,55.7932664437012,1979085,0.0,1.0
2024-07-05,56.43,56.56,56.02,56.38,55.9819249349684,1161697,0.0,1.0
2024-07-03,56.77,57.01,56.49,56.67,56.2698773690078,893503,0.0,1.0
2024-07-02,56.73,56.84,56.39,56.7,56.2996655518395,1692489,0.0,1.0
2024-07-01,57.8,58.28,56.67,56.72,56.3195243403939,2345998,0.0,1.0
2024-06-28,57.69,58.15,57.33,57.68,57.2727461910071,2377344,0.0,1.0
2024-06-27,57.53,57.86,57.335,57.68,57.2727461910071,1641387,0.0,1.0
2024-06-26,57.0,57.52,56.75,57.38,56.9748643626905,1354759,0.0,1.0
