,KBH_Open,KBH_High,KBH_Low,KBH_Close,KBH_Adj Close,KBH_Volume,KBH_Dividend Amount,KBH_Split Coefficient
2024-10-07,79.71,80.23,78.9,79.97,79.97,1406154,0.0,1.0
2024-10-04,84.22,84.22,80.88,81.77,81.77,1269696,0.0,1.0
2024-10-03,83.49,83.86,82.49,83.6,83.6,735649,0.0,1.0
2024-10-02,84.37,84.56,82.6747,83.88,83.88,1012433,0.0,1.0
2024-10-01,85.5,85.965,83.85,85.24,85.24,813727,0.0,1.0
2024-09-30,84.79,86.085,84.31,85.69,85.69,1264723,0.0,1.0
2024-09-27,85.55,86.73,84.8,85.94,85.94,894029,0.0,1.0
2024-09-26,83.75,84.57,83.2101,84.27,84.27,1101618,0.0,1.0
2024-09-25,83.2,84.53,81.36,82.75,82.75,3033878,0.0,1.0
2024-09-24,88.32,88.86,86.51,87.43,87.43,1815831,0.0,1.0
2024-09-23,88.47,89.4507,87.09,88.2,88.2,839101,0.0,1.0
2024-09-20,88.08,88.605,86.905,87.23,87.23,2010253,0.0,1.0
2024-09-19,88.78,89.7,87.6,89.63,89.63,936310,0.0,1.0
2024-09-18,87.27,89.37,85.855,86.62,86.62,1173301,0.0,1.0
2024-09-17,87.485,87.76,85.51,86.75,86.75,868037,0.0,1.0
2024-09-16,86.89,87.19,85.29,86.41,86.41,1063874,0.0,1.0
2024-09-13,83.58,86.19,83.495,86.04,86.04,888339,0.0,1.0
2024-09-12,80.25,82.76,80.25,82.14,82.14,716707,0.0,1.0
2024-09-11,79.56,79.94,77.29,79.71,79.71,1276475,0.0,1.0
2024-09-10,80.4,80.685,78.8701,80.5,80.5,593455,0.0,1.0
2024-09-09,79.35,81.1,78.81,80.04,80.04,847020,0.0,1.0
2024-09-06,79.13,81.34,79.03,79.35,79.35,1102389,0.0,1.0
2024-09-05,78.78,79.925,78.1,78.86,78.86,1141957,0.0,1.0
2024-09-04,80.41,80.67,78.81,80.02,80.02,1026127,0.0,1.0
2024-09-03,83.61,84.31,80.41,80.94,80.94,841644,0.0,1.0
2024-08-30,84.19,84.5699,81.91,83.71,83.71,1009587,0.0,1.0
2024-08-29,83.63,84.15,82.28,83.42,83.42,740339,0.0,1.0
2024-08-28,82.9,84.19,82.63,83.16,83.16,1799376,0.0,1.0
2024-08-27,83.97,84.575,83.3,83.82,83.82,2460337,0.0,1.0
2024-08-26,86.81,86.81,84.44,84.87,84.87,1838273,0.0,1.0
2024-08-23,82.68,85.95,82.17,85.83,85.83,1681594,0.0,1.0
2024-08-22,82.0,82.4099,81.26,81.78,81.78,797576,0.0,1.0
2024-08-21,81.44,83.23,81.18,82.24,82.24,1519654,0.0,1.0
2024-08-20,81.5,81.9,80.035,80.28,80.28,653204,0.0,1.0
2024-08-19,79.95,81.5,79.68,81.31,81.31,783845,0.0,1.0
2024-08-16,79.53,80.91,78.732,79.27,79.27,829441,0.0,1.0
2024-08-15,79.95,80.5,78.51,79.92,79.92,861378,0.0,1.0
2024-08-14,81.27,81.75,78.75,79.09,79.09,955989,0.0,1.0
2024-08-13,80.0,81.31,79.2,80.4,80.4,1013001,0.0,1.0
2024-08-12,80.25,80.5879,78.83,79.27,79.27,843752,0.0,1.0
2024-08-09,80.0,80.945,79.67,80.17,80.17,869992,0.0,1.0
2024-08-08,78.65,80.08,77.85,79.71,79.71,868315,0.25,1.0
2024-08-07,81.71,82.25,77.17,77.32,77.0782541270635,1127844,0.0,1.0
2024-08-06,77.89,82.15,77.05,80.26,80.0090620310155,1357227,0.0,1.0
2024-08-05,73.91,79.26,73.59,78.1,77.8558154077038,1657162,0.0,1.0
2024-08-02,80.09,81.82,78.52,81.09,80.8364669834917,1586130,0.0,1.0
2024-08-01,86.55,87.25,82.095,82.94,82.6806828414207,1192290,0.0,1.0
2024-07-31,86.06,88.31,84.72,86.08,85.8108654327164,1447988,0.0,1.0
2024-07-30,85.27,86.39,84.24,85.76,85.4918659329665,1154313,0.0,1.0
2024-07-29,84.16,85.39,83.13,85.03,84.7641483241621,1270179,0.0,1.0
2024-07-26,83.68,84.9,82.99,83.76,83.4981190595298,1910827,0.0,1.0
2024-07-25,80.37,83.4246,79.37,81.46,81.2053101550775,1228994,0.0,1.0
2024-07-24,81.29,82.6,79.74,79.76,79.5106253126563,1182829,0.0,1.0
2024-07-23,79.76,82.25,79.33,81.66,81.4046848424212,1077365,0.0,1.0
2024-07-22,80.39,80.79,78.3,80.56,80.308124062031,1215857,0.0,1.0
2024-07-19,79.38,80.735,78.4106,80.0,79.7498749374687,1342158,0.0,1.0
2024-07-18,81.6,83.74,79.8,79.9,79.6501875937969,3854268,0.0,1.0
2024-07-17,81.18,82.79,80.72,80.72,80.467623811906,1507019,0.0,1.0
2024-07-16,77.5,82.4,77.39,82.13,81.8732153576788,2150179,0.0,1.0
2024-07-15,76.51,77.45,76.31,76.61,76.3704739869935,1383141,0.0,1.0
2024-07-12,74.9,78.19,74.56,76.13,75.8919747373687,2951830,0.0,1.0
2024-07-11,69.6,74.11,69.56,73.79,73.5592908954477,2625041,0.0,1.0
2024-07-10,65.81,67.29,65.81,66.89,66.680864182091,1272722,0.0,1.0
2024-07-09,66.15,66.78,65.32,65.35,65.1456790895448,1315258,0.0,1.0
2024-07-08,66.67,67.15,65.96,66.56,66.351895947974,1256819,0.0,1.0
2024-07-05,66.46,66.75,65.575,65.89,65.6839907453727,657727,0.0,1.0
2024-07-03,66.4,67.44,66.22,66.6,66.3917708854427,512772,0.0,1.0
2024-07-02,66.51,66.73,65.365,66.41,66.2023649324662,1288941,0.0,1.0
2024-07-01,70.5,70.5,67.215,67.44,67.2291445722861,1257169,0.0,1.0
2024-06-28,69.95,70.732,69.6301,70.18,69.9605777888945,2081821,0.0,1.0
2024-06-27,68.85,69.53,68.135,69.51,69.2926725862932,1017090,0.0,1.0
2024-06-26,68.99,69.58,68.54,68.82,68.6048299149575,1240773,0.0,1.0
2024-06-25,71.6,71.6,69.065,69.33,69.1132353676838,1260173,0.0,1.0
2024-06-24,70.5,71.79,69.77,71.73,71.5057316158079,1438279,0.0,1.0
2024-06-21,69.33,71.2,68.18,70.54,70.3194522261131,3549784,0.0,1.0
2024-06-20,70.3,71.845,69.35,69.98,69.7612031015508,3695432,0.0,1.0
2024-06-18,68.82,69.62,67.9,68.04,67.8272686343172,3525489,0.0,1.0
2024-06-17,68.48,69.75,68.12,69.52,69.3026413206603,1324596,0.0,1.0
2024-06-14,68.19,68.51,67.44,68.4,68.1861430715358,857507,0.0,1.0
2024-06-13,69.0,69.86,68.32,69.47,69.2527976488244,947123,0.0,1.0
2024-06-12,70.88,72.47,68.96,69.31,69.0932978989495,1141008,0.0,1.0
2024-06-11,68.74,68.795,67.09,67.54,67.328831915958,1148647,0.0,1.0
2024-06-10,67.5,69.574,67.18,69.32,69.1032666333167,1188185,0.0,1.0
2024-06-07,68.0,68.46,67.1515,68.15,67.9369247123562,1330013,0.0,1.0
2024-06-06,69.79,71.07,69.79,69.9,69.6814532266133,1091274,0.0,1.0
2024-06-05,69.15,70.23,68.54,70.13,69.9107341170585,856941,0.0,1.0
2024-06-04,70.31,70.745,68.79,68.84,68.6247673836918,1177349,0.0,1.0
2024-06-03,71.45,71.45,70.42,70.96,70.7381390695348,534923,0.0,1.0
2024-05-31,70.39,71.48,69.655,70.6,70.3792646323162,1084255,0.0,1.0
2024-05-30,68.49,69.94,68.49,69.92,69.7013906953477,557305,0.0,1.0
2024-05-29,68.5,68.81,67.7004,67.94,67.7275812906453,796497,0.0,1.0
2024-05-28,71.02,71.28,68.8769,69.24,69.0235167583792,949539,0.0,1.0
2024-05-24,69.86,70.55,69.76,70.5,70.2795772886443,805697,0.0,1.0
2024-05-23,70.37,70.425,68.72,69.19,68.9736730865433,1332128,0.0,1.0
2024-05-22,70.58,71.03,68.9,69.77,69.5518596798399,2491395,0.0,1.0
2024-05-21,73.0,73.14,70.955,71.3,71.077076038019,1656532,0.0,1.0
2024-05-20,73.07,73.72,72.79,73.25,73.0209792396198,1334515,0.0,1.0
2024-05-17,73.0,73.44,72.605,73.05,72.8216045522761,1494642,0.0,1.0
2024-05-16,74.11,74.265,72.66,72.77,72.542479989995,2396023,0.0,1.0
