,KIM_Open,KIM_High,KIM_Low,KIM_Close,KIM_Adj Close,KIM_Volume,KIM_Dividend Amount,KIM_Split Coefficient
2024-10-07,22.75,22.96,22.64,22.92,22.92,3318861,0.0,1.0
2024-10-04,22.79,22.98,22.535,22.94,22.94,2791059,0.0,1.0
2024-10-03,22.93,23.0,22.7,22.87,22.87,3377389,0.0,1.0
2024-10-02,22.93,23.29,22.8782,22.96,22.96,7930618,0.0,1.0
2024-10-01,23.33,23.35,23.02,23.08,23.08,5295666,0.0,1.0
2024-09-30,22.94,23.24,22.85,23.22,23.22,4298989,0.0,1.0
2024-09-27,23.05,23.195,22.865,22.96,22.96,4710973,0.0,1.0
2024-09-26,23.38,23.4836,22.75,22.87,22.87,9039334,0.0,1.0
2024-09-25,23.65,23.685,23.25,23.36,23.36,4962743,0.0,1.0
2024-09-24,23.49,23.805,23.38,23.63,23.63,3689256,0.0,1.0
2024-09-23,23.43,23.705,23.42,23.63,23.63,3827746,0.0,1.0
2024-09-20,23.09,23.37,23.09,23.24,23.24,7716388,0.0,1.0
2024-09-19,23.71,23.75,23.09,23.24,23.24,4206733,0.0,1.0
2024-09-18,23.65,23.85,23.44,23.54,23.54,3115622,0.0,1.0
2024-09-17,24.02,24.13,23.465,23.58,23.58,3225440,0.0,1.0
2024-09-16,24.18,24.25,23.96,24.06,24.06,3165316,0.0,1.0
2024-09-13,23.69,24.06,23.69,24.02,24.02,3765453,0.0,1.0
2024-09-12,23.42,23.765,23.37,23.65,23.65,6138861,0.0,1.0
2024-09-11,23.18,23.57,23.045,23.49,23.49,3919777,0.0,1.0
2024-09-10,23.42,23.51,23.125,23.37,23.37,4270960,0.0,1.0
2024-09-09,22.99,23.38,22.915,23.29,23.29,3248007,0.0,1.0
2024-09-06,23.09,23.205,22.8199,22.99,22.99,3643388,0.0,1.0
2024-09-05,23.24,23.385,23.02,23.11,23.11,2034365,0.24,1.0
2024-09-04,23.32,23.5202,23.145,23.35,23.11,2517708,0.0,1.0
2024-09-03,23.11,23.27,23.0,23.23,22.9912334047109,3623195,0.0,1.0
2024-08-30,23.12,23.275,23.025,23.26,23.0209250535332,2880642,0.0,1.0
2024-08-29,23.17,23.203,22.965,23.01,22.7734946466809,2568002,0.0,1.0
2024-08-28,23.14,23.285,23.005,23.16,22.9219528907923,2929121,0.0,1.0
2024-08-27,23.25,23.395,23.15,23.16,22.9219528907923,3545555,0.0,1.0
2024-08-26,23.47,23.53,23.29,23.39,23.1495888650964,2641395,0.0,1.0
2024-08-23,22.95,23.31,22.85,23.23,22.9912334047109,4042668,0.0,1.0
2024-08-22,22.85,22.885,22.65,22.82,22.5854475374732,5419682,0.0,1.0
2024-08-21,22.61,22.88,22.51,22.8,22.5656531049251,3393357,0.0,1.0
2024-08-20,22.35,22.535,22.23,22.49,22.2588394004283,2920966,0.0,1.0
2024-08-19,22.11,22.34,22.11,22.3,22.0707922912206,2484260,0.0,1.0
2024-08-16,22.51,22.56,22.185,22.29,22.0608950749465,3074133,0.0,1.0
2024-08-15,22.13,22.6,22.04,22.27,22.0411006423983,3964188,0.0,1.0
2024-08-14,21.9,22.13,21.81,22.02,21.793670235546,2362686,0.0,1.0
2024-08-13,21.96,21.97,21.745,21.86,21.6353147751606,3692212,0.0,1.0
2024-08-12,21.82,21.91,21.57,21.75,21.5264453961456,2741324,0.0,1.0
2024-08-09,21.79,21.92,21.625,21.84,21.6155203426124,1768312,0.0,1.0
2024-08-08,21.48,21.945,21.441,21.79,21.566034261242,2891854,0.0,1.0
2024-08-07,21.9,22.175,21.455,21.51,21.2889122055675,6043178,0.0,1.0
2024-08-06,21.15,21.88,21.08,21.74,21.5165481798715,7412649,0.0,1.0
2024-08-05,21.39,21.755,21.09,21.15,20.9326124197002,4928329,0.0,1.0
2024-08-02,22.08,22.18,21.725,21.93,21.7045952890792,4591199,0.0,1.0
2024-08-01,22.25,22.48,21.78,22.01,21.783773019272,5925575,0.0,1.0
2024-07-31,21.95,22.22,21.7,21.73,21.5066509635974,7738022,0.0,1.0
2024-07-30,21.47,22.13,21.31,22.03,21.8035674518201,4826841,0.0,1.0
2024-07-29,21.24,21.495,21.2,21.39,21.1701456102784,4148311,0.0,1.0
2024-07-26,20.97,21.26,20.76,21.19,20.9722012847966,3309113,0.0,1.0
2024-07-25,20.95,21.18,20.69,20.74,20.5268265524625,3355696,0.0,1.0
2024-07-24,21.38,21.54,20.875,20.9,20.685182012848,5158851,0.0,1.0
