,KSU_Open,KSU_High,KSU_Low,KSU_Close,KSU_Adj Close,KSU_Volume,KSU_Dividend Amount,KSU_Split Coefficient
2021-12-13,293.89,297.0,289.03,293.59,293.59,40684807,0.0,1.0
2021-12-10,296.79,299.46,294.5,298.64,298.64,4582757,0.0,1.0
2021-12-09,297.43,298.675,294.08,297.13,297.13,3316469,0.0,1.0
2021-12-08,299.0,300.985,294.71,297.24,297.24,4143242,0.0,1.0
2021-12-07,298.54,302.6,298.54,299.98,299.98,1161088,0.0,1.0
2021-12-06,290.1,296.81,290.1,296.25,296.25,941639,0.0,1.0
2021-12-03,291.53,291.53,286.02,287.95,287.95,1426240,0.0,1.0
2021-12-02,287.91,291.61,287.54,290.71,290.71,1313452,0.0,1.0
2021-12-01,295.2,295.77,287.4,287.54,287.54,1054400,0.0,1.0
2021-11-30,294.0,295.76,290.85,290.85,290.85,1872475,0.0,1.0
2021-11-29,296.23,299.07,296.0,296.19,296.19,862584,0.0,1.0
2021-11-26,299.0,300.14,294.76,294.93,294.93,672976,0.0,1.0
2021-11-24,304.46,305.61,303.08,304.16,304.16,813317,0.0,1.0
2021-11-23,302.09,305.73,301.33,305.13,305.13,573641,0.0,1.0
2021-11-22,303.91,305.28,301.09,301.49,301.49,449414,0.0,1.0
2021-11-19,307.28,307.28,303.73,304.49,304.49,600544,0.0,1.0
2021-11-18,305.01,307.31,301.57,306.43,306.43,847903,0.0,1.0
2021-11-17,309.91,311.49,304.01,304.24,304.24,1413386,0.0,1.0
2021-11-16,309.63,311.93,309.63,310.17,310.17,1306452,0.0,1.0
2021-11-15,311.02,312.4996,309.1,309.4,309.4,164891,0.0,1.0
2021-11-12,308.55,311.18,308.55,310.95,310.95,577470,0.0,1.0
2021-11-11,310.06,310.94,308.08,308.72,308.72,589722,0.0,1.0
2021-11-10,310.44,312.38,309.84,310.56,310.56,298544,0.0,1.0
2021-11-09,309.22,312.41,308.57,311.4,311.4,859025,0.0,1.0
2021-11-08,309.62,309.93,306.63,309.25,309.25,721334,0.0,1.0
2021-11-05,308.2,309.39,306.97,308.41,308.41,864190,0.0,1.0
2021-11-04,311.12,311.12,306.24,306.73,306.73,480811,0.0,1.0
2021-11-03,311.01,311.89,308.05,310.42,310.42,695548,0.0,1.0
2021-11-02,310.89,311.2,308.79,311.08,311.08,483167,0.0,1.0
2021-11-01,311.73,311.89,308.95,309.68,309.68,429981,0.0,1.0
2021-10-29,308.1,310.97,307.95,310.25,310.25,471278,0.0,1.0
2021-10-28,306.03,309.95,305.4,309.76,309.76,464897,0.0,1.0
2021-10-27,304.61,307.95,304.28,304.63,304.63,781721,0.0,1.0
