,L_Open,L_High,L_Low,L_Close,L_Adj Close,L_Volume,L_Dividend Amount,L_Split Coefficient
2024-10-07,78.89,78.89,76.34,76.49,76.49,689303,0.0,1.0
2024-10-04,78.42,79.4,78.42,79.28,79.28,566856,0.0,1.0
2024-10-03,78.52,78.81,77.96,78.15,78.15,560409,0.0,1.0
2024-10-02,79.44,79.7499,78.5,78.62,78.62,750170,0.0,1.0
2024-10-01,78.98,79.84,78.85,79.3,79.3,1125802,0.0,1.0
2024-09-30,78.97,79.205,78.0,79.05,79.05,1114228,0.0,1.0
2024-09-27,78.84,79.3,78.61,78.9,78.9,877506,0.0,1.0
2024-09-26,78.01,78.92,77.79,78.69,78.69,667921,0.0,1.0
2024-09-25,78.48,78.66,77.96,78.06,78.06,689553,0.0,1.0
2024-09-24,78.56,78.74,77.764,78.16,78.16,620443,0.0,1.0
2024-09-23,78.61,78.94,78.3455,78.67,78.67,494869,0.0,1.0
2024-09-20,78.9,79.09,78.26,78.54,78.54,1237196,0.0,1.0
2024-09-19,79.75,79.885,78.8,79.25,79.25,618180,0.0,1.0
2024-09-18,79.33,79.82,79.02,79.2,79.2,451707,0.0,1.0
2024-09-17,78.85,79.7,78.68,79.29,79.29,475165,0.0,1.0
2024-09-16,78.96,79.44,78.55,78.84,78.84,507576,0.0,1.0
2024-09-13,78.37,78.935,78.11,78.34,78.34,563530,0.0,1.0
2024-09-12,77.7,78.175,77.2,78.07,78.07,607234,0.0,1.0
2024-09-11,79.22,79.315,76.96,77.72,77.72,750206,0.0,1.0
2024-09-10,80.7,80.87,79.2719,79.46,79.46,620438,0.0,1.0
2024-09-09,79.88,81.245,79.7,80.48,80.48,868162,0.0,1.0
2024-09-06,80.62,81.1,79.35,79.39,79.39,965783,0.0,1.0
2024-09-05,82.33,82.33,80.43,80.9,80.9,762587,0.0,1.0
2024-09-04,82.38,82.63,81.47,81.96,81.96,688047,0.0,1.0
2024-09-03,81.46,82.34,81.36,81.82,81.82,1041830,0.0,1.0
2024-08-30,81.8,82.1,81.445,81.94,81.94,1104533,0.0,1.0
2024-08-29,81.45,81.918,80.537,81.68,81.68,532793,0.0,1.0
2024-08-28,80.79,81.81,80.66,81.29,81.29,464302,0.0,1.0
2024-08-27,80.62,81.03,80.33,80.67,80.67,320560,0.0,1.0
2024-08-26,80.58,81.51,80.29,80.45,80.45,509843,0.0,1.0
2024-08-23,79.85,80.62,79.605,80.35,80.35,360014,0.0,1.0
2024-08-22,79.04,79.55,78.905,79.43,79.43,313048,0.0,1.0
2024-08-21,79.15,79.15,78.415,79.08,79.08,455287,0.0625,1.0
2024-08-20,79.26,79.285,78.78,78.91,78.8476836086805,405926,0.0,1.0
2024-08-19,78.95,79.73,78.95,79.37,79.3073203398932,585408,0.0,1.0
2024-08-16,78.49,79.04,78.24,78.97,78.9076362257952,608086,0.0,1.0
2024-08-15,78.21,78.615,77.85,78.37,78.3081100546483,403513,0.0,1.0
2024-08-14,77.22,77.74,77.17,77.66,77.5986707521243,635890,0.0,1.0
2024-08-13,77.34,77.34,76.325,77.06,76.9991445809774,420070,0.0,1.0
2024-08-12,78.11,78.11,76.825,76.93,76.8692472438955,450223,0.0,1.0
2024-08-09,77.45,78.01,76.89,77.88,77.8184970148782,466473,0.0,1.0
2024-08-08,76.28,77.55,76.28,77.44,77.3788444893704,537847,0.0,1.0
2024-08-07,76.88,77.57,76.21,76.27,76.2097684556338,854789,0.0,1.0
2024-08-06,76.13,77.45,76.075,76.4,76.3396657927157,678891,0.0,1.0
2024-08-05,78.11,78.5,75.46,76.0,75.9399816786177,1313443,0.0,1.0
2024-08-02,78.77,79.51,77.61,78.69,78.6278573459266,573682,0.0,1.0
2024-08-01,80.39,80.455,78.7,79.2,79.1374545914016,525692,0.0,1.0
2024-07-31,80.27,80.665,79.57,79.95,79.8868623053353,646801,0.0,1.0
2024-07-30,79.28,81.06,79.005,80.48,80.4164437565152,784633,0.0,1.0
2024-07-29,82.5,83.54,78.34,78.86,78.7977230944183,947653,0.0,1.0
2024-07-26,78.81,80.34,78.77,80.09,80.0267517452696,649510,0.0,1.0
2024-07-25,78.26,79.685,77.9,78.31,78.2481574375336,457302,0.0,1.0
2024-07-24,78.5,78.6,77.82,77.92,77.858465426288,570306,0.0,1.0
2024-07-23,78.18,78.59,78.09,78.35,78.2881258489434,428422,0.0,1.0
2024-07-22,77.97,78.56,77.51,78.08,78.0183390719272,327123,0.0,1.0
2024-07-19,79.68,79.68,77.685,78.06,77.9983548662223,621145,0.0,1.0
2024-07-18,79.41,81.11,78.98,79.79,79.7269886596961,402903,0.0,1.0
2024-07-17,78.72,79.89,78.48,79.62,79.5571229112045,485520,0.0,1.0
2024-07-16,77.49,78.43,77.37,78.35,78.2881258489434,422320,0.0,1.0
2024-07-15,77.17,77.91,77.17,77.42,77.3588602836655,378806,0.0,1.0
2024-07-12,76.78,77.41,76.36,76.92,76.8592551410431,539914,0.0,1.0
2024-07-11,75.7,77.0,75.68,76.62,76.5594920554696,526824,0.0,1.0
2024-07-10,74.7,75.68,74.67,75.65,75.5902580787819,456331,0.0,1.0
2024-07-09,74.31,75.32,73.85,74.66,74.6010398963894,591574,0.0,1.0
2024-07-08,74.15,74.93,74.145,74.41,74.3512373250782,613695,0.0,1.0
2024-07-05,74.3,74.34,73.15,73.76,73.701750639669,1304607,0.0,1.0
2024-07-03,75.2,75.43,74.31,74.4,74.3412452222257,367885,0.0,1.0
2024-07-02,74.3,75.01,74.13,74.94,74.880818776258,603273,0.0,1.0
2024-07-01,75.15,75.54,74.55,74.73,74.6709846163566,494451,0.0,1.0
2024-06-28,75.24,75.82,74.42,74.74,74.680976719209,1171320,0.0,1.0
2024-06-27,74.78,75.28,74.67,75.26,75.2005660675364,510323,0.0,1.0
2024-06-26,75.83,75.96,74.6,74.84,74.7808977477335,992946,0.0,1.0
2024-06-25,77.4,77.46,76.13,76.14,76.079871118552,548542,0.0,1.0
2024-06-24,76.67,77.99,76.47,77.33,77.2689313579935,658400,0.0,1.0
2024-06-21,76.53,76.87,75.93,76.56,76.4995394383549,1889850,0.0,1.0
2024-06-20,76.24,76.86,76.17,76.45,76.3896263069779,759309,0.0,1.0
2024-06-18,75.16,76.27,75.16,76.2,76.1398237356667,649877,0.0,1.0
2024-06-17,73.88,75.27,73.88,75.21,75.1506055532741,671509,0.0,1.0
2024-06-14,73.78,74.13,73.46,73.79,73.7317269482263,631117,0.0,1.0
2024-06-13,74.41,74.72,73.6,74.17,74.1114268566194,916694,0.0,1.0
2024-06-12,74.44,74.98,73.8,74.66,74.6010398963894,969556,0.0,1.0
2024-06-11,75.14,75.14,74.095,74.17,74.1114268566194,894890,0.0,1.0
2024-06-10,75.0,75.6,74.72,75.34,75.280502890356,658209,0.0,1.0
2024-06-07,75.1,75.69,74.74,75.25,75.190573964684,574838,0.0,1.0
2024-06-06,75.0,75.26,74.34,75.0,74.9407713933727,844478,0.0,1.0
2024-06-05,75.59,75.665,74.61,74.92,74.8608345705531,554156,0.0,1.0
2024-06-04,75.66,76.07,75.1,75.55,75.4903370502574,1274902,0.0,1.0
2024-06-03,76.59,76.77,75.47,75.87,75.8100843415358,645271,0.0,1.0
2024-05-31,75.14,76.93,75.02,76.8,76.7393499068137,2307304,0.0,1.0
2024-05-30,74.09,75.38,74.06,75.32,75.2605186846511,606618,0.0,1.0
2024-05-29,73.63,74.3,73.21,74.11,74.0514742395047,789794,0.0625,1.0
2024-05-28,74.65,75.02,73.96,74.02,73.8992230706547,707499,0.0,1.0
2024-05-24,74.22,74.78,74.22,74.75,74.6280319444939,549643,0.0,1.0
2024-05-23,75.78,75.78,74.03,74.16,74.0389946355006,652003,0.0,1.0
2024-05-22,76.01,76.17,75.66,75.89,75.7661718296675,481426,0.0,1.0
2024-05-21,76.31,76.62,76.03,76.21,76.0856496921723,708924,0.0,1.0
2024-05-20,77.89,77.89,76.09,76.13,76.0057802265461,723257,0.0,1.0
2024-05-17,77.61,77.8,77.325,77.74,77.6131532222737,855154,0.0,1.0
2024-05-16,77.39,77.49,76.885,77.2,77.0740343292967,689801,0.0,1.0
2024-05-15,77.25,77.48,76.45,76.62,76.4949807035067,653868,0.0,1.0
2024-05-14,77.41,77.6,76.75,77.34,77.2138058941426,711217,0.0,1.0
2024-05-13,77.91,78.1,77.28,77.34,77.2138058941426,527143,0.0,1.0
2024-05-10,77.79,78.165,77.53,77.98,77.8527616191523,875569,0.0,1.0
2024-05-09,77.13,77.74,76.96,77.7,77.5732184894606,705038,0.0,1.0
2024-05-08,77.91,78.14,77.23,77.31,77.1838548445328,683275,0.0,1.0
2024-05-07,77.96,78.1,77.7,77.81,77.6830390046966,620791,0.0,1.0
2024-05-06,77.54,78.225,76.58,77.74,77.6131532222737,807636,0.0,1.0
2024-05-03,76.38,76.54,75.44,76.4,76.2753396730346,588721,0.0,1.0
2024-05-02,76.67,76.79,76.11,76.53,76.4051275546772,566372,0.0,1.0
2024-05-01,75.23,76.8,75.23,76.28,76.1555354745953,1027239,0.0,1.0
2024-04-30,75.68,75.68,75.1,75.15,75.027379272625,609936,0.0,1.0
2024-04-29,75.46,75.91,75.41,75.82,75.6962860472445,599534,0.0,1.0
2024-04-26,76.01,76.02,75.42,75.46,75.3368734519266,568947,0.0,1.0
2024-04-25,76.84,77.07,76.13,76.41,76.2853233562379,612256,0.0,1.0
2024-04-24,76.2,76.84,75.92,76.81,76.6846706843689,515765,0.0,1.0
2024-04-23,76.64,76.86,76.28,76.72,76.5948175355394,598586,0.0,1.0
2024-04-22,75.76,76.91,75.55,76.48,76.3552091386608,821673,0.0,1.0
2024-04-19,74.25,75.69,74.11,75.64,75.5165797495856,751609,0.0,1.0
2024-04-18,73.44,74.265,73.44,73.84,73.7195167729957,649020,0.0,1.0
2024-04-17,73.02,73.67,72.91,73.14,73.0206589487664,803245,0.0,1.0
2024-04-16,73.66,73.75,73.17,73.32,73.2003652464253,640123,0.0,1.0
2024-04-15,74.81,74.95,73.3,73.44,73.3201694448647,724649,0.0,1.0
2024-04-12,73.74,74.47,73.5,73.9,73.7794188722154,801967,0.0,1.0
2024-04-11,74.57,74.59,73.64,73.81,73.6895657233859,774501,0.0,1.0
2024-04-10,74.77,75.26,74.66,74.82,74.6979177269169,652448,0.0,1.0
2024-04-09,76.28,76.525,74.74,75.19,75.0673140054381,697569,0.0,1.0
2024-04-08,76.73,76.8,76.01,76.06,75.9358944441232,631904,0.0,1.0
2024-04-05,76.6,76.83,76.28,76.66,76.5349154363198,493331,0.0,1.0
2024-04-04,77.64,77.81,76.05,76.36,76.2354049402215,609296,0.0,1.0
