,LLY_Open,LLY_High,LLY_Low,LLY_Close,LLY_Adj Close,LLY_Volume,LLY_Dividend Amount,LLY_Split Coefficient
2024-10-01,888.83,891.2699,878.87,884.48,884.48,2455232,0.0,1.0
2024-09-30,864.52,887.4299,858.81,885.94,885.94,3246793,0.0,1.0
2024-09-27,893.62,901.21,875.61,877.79,877.79,4377346,0.0,1.0
2024-09-26,920.255,921.85,905.3,909.32,909.32,2692979,0.0,1.0
2024-09-25,931.79,939.3,921.19,924.56,924.56,1805080,0.0,1.0
2024-09-24,922.12,925.68,909.2,924.43,924.43,2767434,0.0,1.0
2024-09-23,921.0,922.0,909.45,918.52,918.52,2291963,0.0,1.0
2024-09-20,921.99,939.86,913.2,921.49,921.49,9921754,0.0,1.0
2024-09-19,912.85,916.81,903.86,915.04,915.04,2446531,0.0,1.0
2024-09-18,906.31,915.5,903.46,904.97,904.97,1776976,0.0,1.0
2024-09-17,921.5,921.5,902.3,906.18,906.18,2248019,0.0,1.0
2024-09-16,931.13,932.605,920.43,923.54,923.54,1760296,0.0,1.0
2024-09-13,937.01,942.35,922.1,923.71,923.71,2045356,0.0,1.0
2024-09-12,924.31,937.62,918.63,935.02,935.02,2511788,0.0,1.0
2024-09-11,902.15,921.54,897.2032,920.89,920.89,2721114,0.0,1.0
2024-09-10,914.11,915.11,895.0001,901.25,901.25,1930385,0.0,1.0
2024-09-09,912.57,915.4299,895.915,908.27,908.27,2405908,0.0,1.0
2024-09-06,917.76,927.9022,893.0,902.71,902.71,3439999,0.0,1.0
2024-09-05,941.16,943.0,906.17,912.75,912.75,3201148,0.0,1.0
2024-09-04,949.75,954.0,938.005,946.31,946.31,1877534,0.0,1.0
2024-09-03,957.77,969.6499,951.5801,956.53,956.53,2529442,0.0,1.0
2024-08-30,945.0,961.0,940.51,960.02,960.02,2555073,0.0,1.0
2024-08-29,955.0,957.515,936.0,940.2,940.2,1762847,0.0,1.0
2024-08-28,954.15,958.3399,943.26,948.94,948.94,1701760,0.0,1.0
2024-08-27,952.5,972.48,949.95,954.48,954.48,2912853,0.0,1.0
2024-08-26,949.2,955.0,942.77,950.53,950.53,2166043,0.0,1.0
2024-08-23,955.44,960.5,943.11,952.74,952.74,2063309,0.0,1.0
2024-08-22,951.98,972.53,948.135,954.17,954.17,3183727,0.0,1.0
2024-08-21,955.615,956.5,939.17,951.97,951.97,2616984,0.0,1.0
2024-08-20,932.1,967.0,930.51,949.97,949.97,4961498,0.0,1.0
2024-08-19,922.12,926.0,916.5001,921.81,921.81,2374554,0.0,1.0
2024-08-16,928.39,936.2969,919.39,922.12,922.12,2364894,0.0,1.0
2024-08-15,936.0,937.955,920.0,931.58,931.58,3079984,1.3,1.0
2024-08-14,910.0,934.38,903.79,931.68,930.381672240803,3562910,0.0,1.0
2024-08-13,894.08,914.6943,890.33,908.05,906.784601449275,3506767,0.0,1.0
2024-08-12,904.21,904.72,883.0,884.38,883.147586399108,4206064,0.0,1.0
2024-08-09,860.0,908.49,860.0,891.68,890.437413600892,6587628,0.0,1.0
2024-08-08,875.0,877.78,825.24,845.31,844.132031772575,9434851,0.0,1.0
2024-08-07,778.3,786.58,763.0201,772.14,771.063996655519,4407687,0.0,1.0
2024-08-06,789.14,806.2735,785.0,793.18,792.074676700112,3437567,0.0,1.0
2024-08-05,758.0,792.9399,747.55,775.26,774.179648829431,4661810,0.0,1.0
2024-08-02,816.67,820.19,787.02,804.46,803.338957636566,3515933,0.0,1.0
2024-08-01,833.62,840.89,820.18,832.44,831.279966555184,4060732,0.0,1.0
2024-07-31,800.17,811.14,792.0901,804.27,803.149222408027,2961662,0.0,1.0
2024-07-30,815.18,821.9,775.81,790.21,789.108815496098,3848581,0.0,1.0
2024-07-29,814.01,824.77,804.0,807.79,806.664317168339,2473684,0.0,1.0
2024-07-26,811.87,822.01,801.3,804.62,803.498734671126,4173942,0.0,1.0
2024-07-25,847.0,851.62,806.38,821.19,820.045643812709,5467973,0.0,1.0
2024-07-24,872.5,878.34,854.27,859.88,858.681727982163,2726144,0.0,1.0
2024-07-23,870.0,887.72,864.08,878.29,877.066073021182,2087749,0.0,1.0
2024-07-22,864.8,874.42,856.82,865.97,864.763241360089,2904548,0.0,1.0
2024-07-19,867.66,880.21,853.0,857.47,856.275086399108,3782167,0.0,1.0
2024-07-18,907.03,909.87,836.66,848.9,847.717028985507,7649625,0.0,1.0
2024-07-17,910.01,925.0,902.64,905.59,904.328029542921,4200582,0.0,1.0
2024-07-16,955.75,956.39,938.38,941.6,940.287848383501,2111799,0.0,1.0
2024-07-15,956.2,966.1,948.09,950.46,949.135501672241,2358671,0.0,1.0
2024-07-12,937.0,950.79,936.03,948.4,947.078372352285,2315131,0.0,1.0
2024-07-11,934.09,942.88,918.62,934.14,932.838244147157,2858281,0.0,1.0
2024-07-10,936.57,945.69,933.0,939.78,938.470384615385,2683255,0.0,1.0
2024-07-09,929.05,935.0,920.775,932.5,931.200529542921,2419859,0.0,1.0
2024-07-08,917.89,928.605,912.0,918.0,916.720735785953,2364556,0.0,1.0
2024-07-05,898.425,916.4595,896.9,914.57,913.295515607581,2880863,0.0,1.0
2024-07-03,911.0,918.5,884.0,898.1,896.848467112598,3078367,0.0,1.0
2024-07-02,902.71,912.0,878.5,906.71,905.446468784839,4584602,0.0,1.0
2024-07-01,911.77,916.83,904.31,914.37,913.095794314381,2546119,0.0,1.0
2024-06-28,911.31,915.54,905.38,905.38,904.118322185061,3375426,0.0,1.0
2024-06-27,903.53,909.57,899.72,909.04,907.773221850613,1948132,0.0,1.0
2024-06-26,904.0,906.345,897.84,901.26,900.004063545151,2232075,0.0,1.0
2024-06-25,891.77,909.42,891.5,904.61,903.349395206243,2839806,0.0,1.0
2024-06-24,889.975,903.5786,882.94,890.11,888.869601449275,2878199,0.0,1.0
2024-06-21,885.66,891.97,879.8,883.88,882.648283166109,3448680,0.0,1.0
2024-06-20,893.0,905.45,870.13,885.99,884.755342809365,3359987,0.0,1.0
2024-06-18,887.0,894.87,884.0,891.46,890.217720178372,2437038,0.0,1.0
2024-06-17,878.0,892.2,876.86,885.01,883.776708472687,2532240,0.0,1.0
2024-06-14,882.33,884.61,876.0,878.45,877.225850055741,2023264,0.0,1.0
2024-06-13,869.025,885.06,861.5,883.33,882.099049609811,2243419,0.0,1.0
2024-06-12,872.0,872.0,853.85,867.3,866.091387959866,2594601,0.0,1.0
2024-06-11,882.14,882.14,852.23,865.82,864.61345039019,4109073,0.0,1.0
2024-06-10,853.98,871.63,849.39,865.0,863.794593088071,3444498,0.0,1.0
2024-06-07,837.76,856.81,837.01,849.99,848.805510033445,2468834,0.0,1.0
2024-06-06,834.88,846.9742,831.88,837.29,836.123207915273,2108975,0.0,1.0
2024-06-05,830.49,838.45,817.62,831.76,830.600914158305,2169003,0.0,1.0
2024-06-04,834.0,835.47,825.31,832.59,831.429757525084,1748288,0.0,1.0
2024-06-03,823.83,838.28,818.5,831.26,830.101610925307,2537239,0.0,1.0
2024-05-31,818.8,826.21,811.1,820.34,819.196828316611,4472119,0.0,1.0
2024-05-30,812.79,819.99,806.11,815.06,813.924186176143,1986290,0.0,1.0
2024-05-29,803.0,815.61,802.09,811.53,810.399105351171,2380041,0.0,1.0
2024-05-28,809.0,809.0,788.25,807.86,806.734219620959,2483454,0.0,1.0
2024-05-24,808.0,810.12,804.15,807.43,806.30481884058,1778120,0.0,1.0
2024-05-23,810.0,820.605,802.155,808.45,807.323397435898,3025781,0.0,1.0
2024-05-22,801.0,804.88,795.25,802.91,801.79111761427,1767519,0.0,1.0
2024-05-21,792.46,816.61,791.39,803.17,802.050755295429,4334499,0.0,1.0
2024-05-20,766.9,784.325,766.12,783.18,782.088612040134,2188818,0.0,1.0
2024-05-17,772.89,774.87,767.1,770.0,768.926978818283,1670317,0.0,1.0
2024-05-16,784.71,786.48,770.14,771.12,770.045418060201,2299653,0.0,1.0
2024-05-15,764.15,787.66,763.1,787.02,785.923260869565,3038253,1.3,1.0
2024-05-14,751.52,764.5,751.52,763.98,761.657262075211,1956229,0.0,1.0
2024-05-13,763.5,763.55,750.53,757.7,755.396355237555,1848926,0.0,1.0
2024-05-10,774.02,777.42,760.0,760.0,757.689362518862,2082289,0.0,1.0
2024-05-09,777.0,784.0,769.2,771.55,769.204246909774,2522085,0.0,1.0
