,LNN_Open,LNN_High,LNN_Low,LNN_Close,LNN_Adj Close,LNN_Volume,LNN_Dividend Amount,LNN_Split Coefficient
2024-10-07,122.38,123.18,121.505,122.14,122.14,31891,0.0,1.0
2024-10-04,123.22,123.55,121.96,123.29,123.29,30641,0.0,1.0
2024-10-03,123.5,123.5,121.76,121.88,121.88,35696,0.0,1.0
2024-10-02,123.31,124.53,123.31,123.87,123.87,26121,0.0,1.0
2024-10-01,124.2,124.99,122.7,124.1,124.1,45754,0.0,1.0
2024-09-30,123.15,124.92,123.15,124.64,124.64,48816,0.0,1.0
2024-09-27,124.07,125.41,123.29,124.14,124.14,48225,0.0,1.0
2024-09-26,123.19,123.65,122.09,122.8,122.8,37978,0.0,1.0
2024-09-25,124.1428,124.1428,121.72,121.72,121.72,45699,0.0,1.0
2024-09-24,124.82,124.82,123.1,124.08,124.08,42227,0.0,1.0
2024-09-23,124.09,124.23,121.84,123.82,123.82,56000,0.0,1.0
2024-09-20,126.15,126.2,123.3,123.41,123.41,271377,0.0,1.0
2024-09-19,127.38,127.38,125.08,126.41,126.41,52443,0.0,1.0
2024-09-18,123.36,128.04,122.86,124.88,124.88,57244,0.0,1.0
2024-09-17,124.22,124.97,122.77,123.36,123.36,72796,0.0,1.0
2024-09-16,121.48,123.65,120.085,123.44,123.44,56196,0.0,1.0
2024-09-13,117.59,120.53,117.59,120.41,120.41,66758,0.0,1.0
2024-09-12,115.45,116.96,114.33,116.7,116.7,67630,0.0,1.0
2024-09-11,114.43,115.525,112.95,115.38,115.38,52633,0.0,1.0
2024-09-10,114.19,115.44,113.79,115.18,115.18,39880,0.0,1.0
2024-09-09,114.05,115.8939,113.58,114.66,114.66,54118,0.0,1.0
2024-09-06,117.67,117.67,114.16,114.48,114.48,72821,0.0,1.0
2024-09-05,119.5,119.71,116.775,117.24,117.24,33442,0.0,1.0
2024-09-04,119.53,119.775,118.3,118.83,118.83,35310,0.0,1.0
2024-09-03,122.24,123.71,118.66,119.11,119.11,79857,0.0,1.0
2024-08-30,123.85,124.64,122.49,124.05,124.05,45421,0.0,1.0
2024-08-29,124.23,125.03,123.08,123.38,123.38,42517,0.0,1.0
2024-08-28,122.77,124.5,122.615,123.47,123.47,56556,0.0,1.0
2024-08-27,123.0,124.02,121.815,123.77,123.77,47959,0.0,1.0
2024-08-26,123.74,124.74,122.65,122.91,122.91,40064,0.0,1.0
2024-08-23,121.41,124.0,121.24,122.32,122.32,45254,0.0,1.0
2024-08-22,123.23,123.5,120.775,120.81,120.81,39494,0.0,1.0
2024-08-21,122.46,123.7,121.71,122.58,122.58,42019,0.0,1.0
2024-08-20,122.28,123.11,121.63,122.33,122.33,67963,0.0,1.0
2024-08-19,122.24,123.51,120.705,122.35,122.35,61453,0.0,1.0
2024-08-16,120.87,122.22,119.9,121.21,121.21,53239,0.36,1.0
2024-08-15,119.52,122.115,119.38,120.93,120.571895204409,59041,0.0,1.0
2024-08-14,117.5,117.7,116.31,117.06,116.71335526857,55038,0.0,1.0
2024-08-13,115.33,117.66,113.17,116.77,116.424214033067,59411,0.0,1.0
2024-08-12,116.76,116.76,113.89,113.9,113.562712840339,57445,0.0,1.0
2024-08-09,118.28,118.28,115.28,116.08,115.736257300321,65721,0.0,1.0
2024-08-08,118.53,119.37,117.18,117.66,117.311578514436,67963,0.0,1.0
2024-08-07,119.52,119.56,116.915,117.23,116.882851854898,61536,0.0,1.0
2024-08-06,117.35,119.56,116.91,118.27,117.919772147734,69070,0.0,1.0
2024-08-05,116.27,118.36,115.0,118.1,117.750275561405,87044,0.0,1.0
2024-08-02,119.45,120.88,118.17,120.59,120.232902031751,59068,0.0,1.0
2024-08-01,125.7,126.86,121.29,122.82,122.456298428889,81268,0.0,1.0
2024-07-31,125.55,129.2,125.04,125.99,125.61691124455,82308,0.0,1.0
