,LXP_Open,LXP_High,LXP_Low,LXP_Close,LXP_Adj Close,LXP_Volume,LXP_Dividend Amount,LXP_Split Coefficient
2024-10-07,9.68,9.72,9.63,9.69,9.69,1814416,0.0,1.0
2024-10-04,9.79,9.805,9.66,9.75,9.75,1217754,0.0,1.0
2024-10-03,9.78,9.79,9.69,9.76,9.76,1249951,0.0,1.0
2024-10-02,9.8,9.855,9.75,9.81,9.81,1179253,0.0,1.0
2024-10-01,10.05,10.1,9.88,9.89,9.89,1573294,0.0,1.0
2024-09-30,10.04,10.14,9.95,10.05,10.05,1832674,0.13,1.0
2024-09-27,10.24,10.285,10.11,10.16,10.0302554027505,1972653,0.0,1.0
2024-09-26,10.18,10.2,10.105,10.15,10.0203831041257,1936419,0.0,1.0
2024-09-25,10.24,10.24,10.105,10.15,10.0203831041257,1689370,0.0,1.0
2024-09-24,10.16,10.26,10.15,10.21,10.0796168958743,1278391,0.0,1.0
2024-09-23,10.18,10.29,10.15,10.21,10.0796168958743,1361241,0.0,1.0
2024-09-20,10.2,10.23,10.1,10.11,9.98089390962672,8028753,0.0,1.0
2024-09-19,10.29,10.325,10.18,10.3,10.1684675834971,1604029,0.0,1.0
2024-09-18,10.15,10.31,10.035,10.15,10.0203831041257,2614937,0.0,1.0
2024-09-17,10.27,10.27,10.135,10.17,10.0401277013752,3420543,0.0,1.0
2024-09-16,10.24,10.25,10.07,10.22,10.089489194499,3470149,0.0,1.0
2024-09-13,10.03,10.2,9.97,10.16,10.0302554027505,3050502,0.0,1.0
2024-09-12,9.96,10.02,9.82,9.94,9.81306483300589,2487448,0.0,1.0
2024-09-11,10.05,10.05,9.825,9.95,9.82293713163065,2349046,0.0,1.0
2024-09-10,10.14,10.185,10.08,10.14,10.010510805501,1118174,0.0,1.0
2024-09-09,10.07,10.155,9.955,10.1,9.97102161100196,2211424,0.0,1.0
2024-09-06,10.24,10.25,10.03,10.1,9.97102161100196,1435795,0.0,1.0
2024-09-05,10.4,10.425,10.16,10.2,10.0697445972495,1522172,0.0,1.0
2024-09-04,10.3,10.44,10.22,10.32,10.1882121807466,1558316,0.0,1.0
2024-09-03,10.25,10.34,10.215,10.3,10.1684675834971,2248327,0.0,1.0
2024-08-30,10.33,10.392,10.18,10.36,10.2277013752456,2157830,0.0,1.0
2024-08-29,10.31,10.36,10.21,10.27,10.1388506876228,1807073,0.0,1.0
2024-08-28,10.3,10.365,10.25,10.31,10.1783398821218,1699703,0.0,1.0
2024-08-27,10.27,10.34,10.21,10.32,10.1882121807466,1269420,0.0,1.0
2024-08-26,10.35,10.36,10.25,10.3,10.1684675834971,1397180,0.0,1.0
2024-08-23,10.04,10.3,10.005,10.25,10.1191060903733,1966792,0.0,1.0
2024-08-22,9.9,9.99,9.83,9.97,9.84268172888016,1225723,0.0,1.0
2024-08-21,9.84,9.88,9.715,9.87,9.74395874263261,1714964,0.0,1.0
2024-08-20,9.84,9.845,9.77,9.8,9.67485265225933,981396,0.0,1.0
2024-08-19,9.8,9.9,9.8,9.84,9.71434184675835,1561934,0.0,1.0
2024-08-16,9.76,9.88,9.76,9.8,9.67485265225933,2185165,0.0,1.0
2024-08-15,9.87,9.89,9.72,9.8,9.67485265225933,1590911,0.0,1.0
2024-08-14,9.74,9.815,9.705,9.74,9.61561886051081,1272379,0.0,1.0
2024-08-13,9.64,9.725,9.595,9.69,9.56625736738703,1866884,0.0,1.0
2024-08-12,9.67,9.67,9.52,9.55,9.42804518664047,1381940,0.0,1.0
2024-08-09,9.67,9.76,9.61,9.7,9.57612966601179,1158684,0.0,1.0
2024-08-08,9.72,9.81,9.625,9.69,9.56625736738703,1846254,0.0,1.0
2024-08-07,9.77,9.87,9.62,9.64,9.51689587426326,2184340,0.0,1.0
2024-08-06,9.51,9.825,9.44,9.72,9.5958742632613,1702977,0.0,1.0
2024-08-05,9.6,9.83,9.5,9.51,9.38855599214145,3576970,0.0,1.0
2024-08-02,9.9,10.095,9.89,9.97,9.84268172888016,2252445,0.0,1.0
2024-08-01,10.39,10.47,9.95,10.09,9.96114931237721,3283616,0.0,1.0
2024-07-31,10.34,10.565,10.09,10.3,10.1684675834971,3968151,0.0,1.0
2024-07-30,10.35,10.47,10.3,10.46,10.3264243614931,2229793,0.0,1.0
2024-07-29,10.37,10.43,10.23,10.33,10.1980844793713,1350532,0.0,1.0
2024-07-26,10.3,10.4,10.16,10.37,10.2375736738703,2673688,0.0,1.0
2024-07-25,10.3,10.42,10.18,10.19,10.0598722986248,2177502,0.0,1.0
2024-07-24,10.34,10.49,10.21,10.23,10.0993614931238,2824112,0.0,1.0
2024-07-23,10.29,10.43,10.22,10.39,10.2573182711198,2896712,0.0,1.0
2024-07-22,10.1,10.36,10.04,10.34,10.2079567779961,1569056,0.0,1.0
2024-07-19,10.06,10.145,9.98,10.04,9.91178781925344,1599421,0.0,1.0
2024-07-18,10.1,10.28,10.035,10.06,9.93153241650295,1513795,0.0,1.0
2024-07-17,10.11,10.38,10.085,10.13,10.0006385068762,2549865,0.0,1.0
2024-07-16,10.0,10.15,9.96,10.14,10.010510805501,4014847,0.0,1.0
2024-07-15,9.79,9.97,9.75,9.95,9.82293713163065,2308900,0.0,1.0
2024-07-12,9.85,9.89,9.73,9.73,9.60574656188605,1832463,0.0,1.0
2024-07-11,9.68,9.82,9.635,9.76,9.63536345776031,1992097,0.0,1.0
2024-07-10,9.25,9.48,9.25,9.46,9.33919449901768,1718775,0.0,1.0
2024-07-09,9.23,9.275,9.115,9.23,9.11213163064833,3325641,0.0,1.0
2024-07-08,9.35,9.35,9.21,9.27,9.15162082514735,1946363,0.0,1.0
2024-07-05,9.35,9.4,9.29,9.29,9.17136542239686,1542256,0.0,1.0
2024-07-03,9.43,9.54,9.34,9.38,9.26021611001965,2220904,0.0,1.0
2024-07-02,9.2,9.4,9.2,9.4,9.27996070726915,3586725,0.0,1.0
2024-07-01,9.11,9.19,9.02,9.14,9.02328094302554,2384485,0.0,1.0
2024-06-28,8.99,9.16,8.9,9.12,9.00353634577603,4768231,0.13,1.0
2024-06-27,9.07,9.11,8.93,9.05,8.80886528965114,2441491,0.0,1.0
2024-06-26,9.04,9.12,9.03,9.05,8.80886528965114,1895777,0.0,1.0
2024-06-25,9.09,9.14,9.03,9.13,8.8867337121011,1990372,0.0,1.0
2024-06-24,8.91,9.18,8.89,9.13,8.8867337121011,3625866,0.0,1.0
2024-06-21,8.95,8.985,8.86,8.88,8.64339489194499,6087007,0.0,1.0
2024-06-20,8.82,8.92,8.8,8.91,8.67259555036372,2035406,0.0,1.0
2024-06-18,8.89,8.97,8.875,8.89,8.65312844475123,2268114,0.0,1.0
2024-06-17,8.84,8.99,8.79,8.91,8.67259555036372,2213942,0.0,1.0
2024-06-14,8.69,8.81,8.68,8.8,8.56552646949503,1978960,0.0,1.0
2024-06-13,8.81,8.845,8.685,8.78,8.54605936388254,1751822,0.0,1.0
2024-06-12,8.93,9.005,8.785,8.79,8.55579291668879,3358848,0.0,1.0
2024-06-11,8.63,8.8,8.59,8.7,8.46819094143259,1675798,0.0,1.0
2024-06-10,8.59,8.71,8.51,8.68,8.4487238358201,1952397,0.0,1.0
2024-06-07,8.71,8.76,8.59,8.68,8.4487238358201,2579862,0.0,1.0
2024-06-06,8.6,8.71,8.57,8.7,8.46819094143259,1380406,0.0,1.0
2024-06-05,8.61,8.69,8.525,8.66,8.42925673020761,1975596,0.0,1.0
2024-06-04,8.52,8.67,8.5,8.6,8.37085541337014,2817436,0.0,1.0
2024-06-03,8.58,8.58,8.44,8.45,8.22485212127648,2522311,0.0,1.0
2024-05-31,8.43,8.5,8.38,8.5,8.2735198853077,2507919,0.0,1.0
2024-05-30,8.41,8.5,8.375,8.44,8.21511856847023,947825,0.0,1.0
2024-05-29,8.28,8.36,8.23,8.34,8.11778304040779,1493295,0.0,1.0
2024-05-28,8.59,8.59,8.39,8.4,8.17618435724526,2105161,0.0,1.0
2024-05-24,8.6,8.6,8.48,8.51,8.28325343811395,1208012,0.0,1.0
2024-05-23,8.75,8.75,8.5,8.52,8.29298699092019,1546260,0.0,1.0
2024-05-22,8.72,8.825,8.72,8.74,8.50712515265757,1356019,0.0,1.0
2024-05-21,8.83,8.84,8.71,8.76,8.52659225827006,1459400,0.0,1.0
2024-05-20,8.85,8.925,8.81,8.84,8.60446068072001,1771833,0.0,1.0
2024-05-17,8.96,8.96,8.78,8.87,8.63366133913874,2905599,0.0,1.0
2024-05-16,8.9,8.97,8.835,8.92,8.68232910316996,2973990,0.0,1.0
2024-05-15,8.9,8.94,8.84,8.87,8.63366133913874,2230849,0.0,1.0
2024-05-14,8.93,8.97,8.73,8.76,8.52659225827006,1768476,0.0,1.0
2024-05-13,8.9,8.9,8.755,8.8,8.56552646949503,1434918,0.0,1.0
2024-05-10,8.83,8.88,8.7,8.77,8.5363258110763,1609321,0.0,1.0
