,LYB_Open,LYB_High,LYB_Low,LYB_Close,LYB_Adj Close,LYB_Volume,LYB_Dividend Amount,LYB_Split Coefficient
2024-11-01,87.2,88.79,85.64,86.56,86.56,2378995,0.0,1.0
2024-10-31,87.17,87.71,86.83,86.85,86.85,3521239,0.0,1.0
2024-10-30,87.08,88.16,86.74,87.15,87.15,1794107,0.0,1.0
2024-10-29,87.4,87.58,86.945,87.18,87.18,1750171,0.0,1.0
2024-10-28,87.34,87.84,86.87,87.72,87.72,1645366,0.0,1.0
2024-10-25,88.23,88.5543,87.41,87.5,87.5,2086488,0.0,1.0
2024-10-24,89.5,89.5,87.84,88.49,88.49,1663753,0.0,1.0
2024-10-23,88.77,89.1515,88.185,88.87,88.87,1754017,0.0,1.0
2024-10-22,89.75,89.8899,88.66,89.51,89.51,1530039,0.0,1.0
2024-10-21,91.59,91.64,89.6,89.74,89.74,1956667,0.0,1.0
2024-10-18,92.13,92.135,90.81,91.49,91.49,1669653,0.0,1.0
2024-10-17,92.35,92.6283,91.11,91.59,91.59,1713684,0.0,1.0
2024-10-16,92.11,93.03,91.665,91.92,91.92,1798264,0.0,1.0
2024-10-15,92.58,93.095,91.77,92.07,92.07,2170350,0.0,1.0
2024-10-14,93.69,93.8,92.92,93.44,93.44,1797423,0.0,1.0
2024-10-11,94.6,95.27,93.77,93.79,93.79,1766620,0.0,1.0
2024-10-10,94.39,95.26,93.85,94.66,94.66,1636682,0.0,1.0
2024-10-09,94.0,94.8205,93.95,94.27,94.27,1463174,0.0,1.0
2024-10-08,94.25,94.6,93.67,94.1,94.1,1913333,0.0,1.0
2024-10-07,96.35,96.52,95.15,95.39,95.39,1528414,0.0,1.0
2024-10-04,95.88,96.805,95.73,96.75,96.75,1729021,0.0,1.0
2024-10-03,95.09,95.33,94.18,94.87,94.87,1907844,0.0,1.0
2024-10-02,96.15,96.605,95.17,95.28,95.28,1769252,0.0,1.0
2024-10-01,95.75,96.52,95.491,95.81,95.81,2143393,0.0,1.0
2024-09-30,96.64,97.395,95.33,95.9,95.9,1708689,0.0,1.0
2024-09-27,97.01,97.6,96.24,96.43,96.43,2075045,0.0,1.0
2024-09-26,95.73,96.345,95.3,96.11,96.11,2364621,0.0,1.0
2024-09-25,96.27,96.385,94.52,94.86,94.86,2044514,0.0,1.0
2024-09-24,94.8,96.485,94.71,96.1,96.1,2283112,0.0,1.0
2024-09-23,94.31,95.3,93.37,93.6,93.6,3126349,0.0,1.0
2024-09-20,94.83,95.11,93.12,94.04,94.04,8485535,0.0,1.0
2024-09-19,95.5,96.72,94.5,96.09,96.09,2768026,0.0,1.0
2024-09-18,95.27,95.67,93.82,93.94,93.94,2483022,0.0,1.0
2024-09-17,94.34,95.665,94.26,94.99,94.99,1161867,0.0,1.0
2024-09-16,93.63,94.8,93.37,94.08,94.08,1412842,0.0,1.0
2024-09-13,94.44,94.8,93.04,93.18,93.18,2321664,0.0,1.0
2024-09-12,93.87,94.21,92.545,93.86,93.86,1315139,0.0,1.0
2024-09-11,93.96,94.22,92.145,93.96,93.96,1606845,0.0,1.0
2024-09-10,94.77,94.82,93.43,93.79,93.79,1789660,0.0,1.0
2024-09-09,93.58,95.36,93.58,94.78,94.78,2138814,0.0,1.0
2024-09-06,94.05,94.86,92.82,93.49,93.49,2257149,0.0,1.0
2024-09-05,95.12,95.14,93.695,94.23,94.23,1584315,0.0,1.0
2024-09-04,96.15,96.49,94.71,94.87,94.87,1602918,0.0,1.0
2024-09-03,97.39,97.84,95.24,95.72,95.72,1784436,0.0,1.0
2024-08-30,98.12,98.93,97.42,98.7,98.7,3213472,0.0,1.0
2024-08-29,98.4,99.02,97.115,98.17,98.17,1194943,0.0,1.0
2024-08-28,96.94,97.81,96.63,97.72,97.72,1266982,0.0,1.0
2024-08-27,97.8,97.9399,97.13,97.71,97.71,1138713,0.0,1.0
2024-08-26,97.85,99.36,97.51,97.87,97.87,1330869,1.34,1.0
2024-08-23,96.93,98.5275,96.86,98.29,96.9624261667171,2223063,0.0,1.0
2024-08-22,96.97,97.25,96.06,96.34,95.0387642374761,2182767,0.0,1.0
2024-08-21,97.25,97.51,96.67,96.91,95.6010654167927,1050789,0.0,1.0
2024-08-20,96.62,97.21,96.48,96.56,95.2557927628263,1707263,0.0,1.0
2024-08-19,97.35,97.69,96.7245,96.96,95.650390081645,1462839,0.0,1.0
2024-08-16,97.21,97.5955,96.67,97.07,95.7589043443201,3472401,0.0,1.0
2024-08-15,97.5,98.47,97.17,97.44,96.1239068642274,1074166,0.0,1.0
2024-08-14,96.76,97.5,95.88,96.19,94.8907902429191,903426,0.0,1.0
2024-08-13,95.67,96.735,95.45,96.63,95.3248472936196,905164,0.0,1.0
2024-08-12,97.2,97.33,95.43,95.74,94.4468682592481,1022169,0.0,1.0
2024-08-09,96.1,97.32,95.395,96.86,95.5517407519403,1431902,0.0,1.0
2024-08-08,95.36,96.66,95.28,96.2,94.9006551758895,1226331,0.0,1.0
2024-08-07,96.64,98.09,94.81,94.84,93.5590242919061,1912534,0.0,1.0
2024-08-06,94.01,97.11,93.75,95.56,94.2692994657797,2528510,0.0,1.0
2024-08-05,92.43,93.14,91.41,92.56,91.3098195746397,2192102,0.0,1.0
2024-08-02,95.14,96.35,93.2154,94.39,93.1151023082351,2611720,0.0,1.0
2024-08-01,99.63,100.26,97.21,98.14,96.8144521721601,1663546,0.0,1.0
2024-07-31,98.91,100.4593,98.91,99.46,98.1166233242617,1629824,0.0,1.0
2024-07-30,97.38,98.75,97.2,98.26,96.9328313678057,1155889,0.0,1.0
2024-07-29,97.65,97.65,96.7,97.39,96.0745821993751,1099016,0.0,1.0
2024-07-26,96.66,97.55,96.35,97.26,95.946338070759,1113543,0.0,1.0
2024-07-25,93.86,97.53,93.33,96.6,95.2952524947082,1325590,0.0,1.0
2024-07-24,96.38,96.84,95.26,95.28,93.9930813426066,915809,0.0,1.0
2024-07-23,97.0,97.24,95.61,96.08,94.7822759802439,1309686,0.0,1.0
2024-07-22,97.0,97.935,96.28,97.47,96.1535016631388,1124786,0.0,1.0
2024-07-19,98.21,98.49,96.37,97.0,95.6898498135269,1344416,0.0,1.0
2024-07-18,98.14,99.77,98.14,98.19,96.8637768370124,1009373,0.0,1.0
2024-07-17,98.06,99.33,97.85,98.74,97.4063481503881,1526940,0.0,1.0
2024-07-16,95.54,97.939,95.365,97.76,96.4395847192823,1102189,0.0,1.0
2024-07-15,95.14,96.17,94.72,95.65,94.3580838625139,1087527,0.0,1.0
2024-07-12,94.81,95.59,94.1,95.06,93.7760528172563,1152097,0.0,1.0
2024-07-11,93.3,94.59,92.9601,94.16,92.8882088499143,1885543,0.0,1.0
2024-07-10,93.54,93.89,91.66,92.85,91.5959026307832,2211684,0.0,1.0
2024-07-09,93.98,94.45,92.96,93.2,91.9411752847495,1100661,0.0,1.0
2024-07-08,93.96,94.87,93.76,94.45,93.1742919060579,1271106,0.0,1.0
2024-07-05,94.51,94.9136,93.0,93.58,92.3160427376273,1347951,0.0,1.0
2024-07-03,94.86,95.71,94.7972,95.17,93.8845670799315,595905,0.0,1.0
2024-07-02,94.83,95.2,94.21,94.93,93.6478086886403,1281891,0.0,1.0
2024-07-01,95.98,96.75,94.255,94.64,93.3617256324967,1339918,0.0,1.0
2024-06-28,96.04,96.99,95.43,95.66,94.3679487954843,3049060,0.0,1.0
2024-06-27,95.72,96.44,95.34,95.83,94.5356526559823,2398773,0.0,1.0
2024-06-26,94.97,95.98,94.5,95.78,94.4863279911299,1378962,0.0,1.0
2024-06-25,97.16,97.65,95.19,95.48,94.1903800020159,1594676,0.0,1.0
2024-06-24,95.49,97.725,95.475,97.52,96.2028263279911,1911864,0.0,1.0
2024-06-21,94.79,95.35,94.03,95.21,93.9240268118133,4444416,0.0,1.0
2024-06-20,95.23,96.02,94.3263,95.05,93.7661878842859,1951999,0.0,1.0
2024-06-18,94.5,95.65,94.01,95.38,94.0917306723113,1704607,0.0,1.0
2024-06-17,93.45,94.04,92.565,93.95,92.6810452575345,1336676,0.0,1.0
2024-06-14,94.91,95.535,93.31,93.54,92.2765830057454,1395282,0.0,1.0
2024-06-13,95.53,95.93,94.43,95.56,94.2692994657797,1430081,0.0,1.0
2024-06-12,97.68,98.25,95.68,95.91,94.614572119746,1447679,0.0,1.0
2024-06-11,95.28,96.33,94.8078,96.33,95.0288993045056,1439479,0.0,1.0
2024-06-10,95.17,96.02,93.985,95.56,94.2692994657797,1900026,0.0,1.0
2024-06-07,94.76,96.765,94.67,96.06,94.762546114303,1651962,0.0,1.0
2024-06-06,94.86,95.73,94.81,95.24,93.9536216107247,1237159,0.0,1.0
2024-06-05,94.3,95.4,94.16,95.06,93.7760528172563,1725435,0.0,1.0
2024-06-04,94.75,95.285,94.36,94.43,93.1545620401169,1713820,0.0,1.0
2024-06-03,97.79,97.93,94.48,95.5,94.2101098679569,2770352,1.34,1.0
2024-05-31,97.3,99.55,97.175,99.42,96.7200446413907,2789718,0.0,1.0
2024-05-30,96.92,97.61,96.7,97.3,94.657617618259,951948,0.0,1.0
2024-05-29,98.02,98.115,96.77,96.82,94.1906530092481,1166326,0.0,1.0
2024-05-28,98.64,99.96,98.38,98.71,96.0293261572286,1860675,0.0,1.0
2024-05-24,98.22,98.63,97.88,98.54,95.8639428582039,1370553,0.0,1.0
2024-05-23,98.49,98.49,97.32,97.42,94.7743587705117,1185099,0.0,1.0
2024-05-22,99.23,99.4636,97.7,98.52,95.8444859994951,1720523,0.0,1.0
2024-05-21,99.99,100.44,99.68,100.14,97.4204915549071,947513,0.0,1.0
2024-05-20,100.91,100.98,99.911,100.1,97.3815778374895,1141107,0.0,1.0
2024-05-17,100.62,101.01,100.22,100.91,98.1695806151954,1280358,0.0,1.0
2024-05-16,100.0,100.5,99.685,99.94,97.2259229678192,1248006,0.0,1.0
2024-05-15,101.82,101.94,99.935,100.27,97.5469611365142,1174544,0.0,1.0
2024-05-14,101.43,101.94,101.21,101.52,98.7630148058135,1166314,0.0,1.0
2024-05-13,101.58,102.09,101.12,101.32,98.5684462187256,975826,0.0,1.0
2024-05-10,102.13,102.435,101.07,101.37,98.6170883654976,1447047,0.0,1.0
2024-05-09,102.22,103.02,101.4,101.63,98.8700275287118,1941358,0.0,1.0
2024-05-08,100.89,107.02,100.49,102.18,99.4050911432036,3123180,0.0,1.0
2024-05-07,100.11,102.6099,99.57,101.45,98.6949158003328,2684571,0.0,1.0
2024-05-06,100.0,100.49,99.25,99.74,97.0313543807313,1621007,0.0,1.0
2024-05-03,99.09,99.77,98.9,99.12,96.4281917607588,1506977,0.0,1.0
2024-05-02,99.89,100.505,98.49,98.78,96.0974251627094,1597516,0.0,1.0
2024-05-01,100.3,100.77,99.01,99.52,96.8173289349346,1935705,0.0,1.0
2024-04-30,101.08,101.42,99.86,99.97,97.2551082558823,2443630,0.0,1.0
2024-04-29,102.55,102.82,100.94,101.7,98.9381265341926,2104054,0.0,1.0
2024-04-26,101.33,102.55,100.75,102.13,99.3564489964316,2651865,0.0,1.0
2024-04-25,100.69,100.995,99.19,99.68,96.9729838046049,1717973,0.0,1.0
2024-04-24,100.04,100.81,99.75,100.78,98.0431110335883,1127517,0.0,1.0
2024-04-23,99.73,100.96,99.62,100.55,97.8193571584372,1093910,0.0,1.0
2024-04-22,100.53,101.13,99.645,100.59,97.8582708758548,1513504,0.0,1.0
2024-04-19,99.69,100.82,99.17,100.74,98.0041973161707,2027307,0.0,1.0
2024-04-18,100.57,100.57,98.9,99.4,96.7005877826819,1954617,0.0,1.0
2024-04-17,99.82,100.28,99.14,99.7,96.9924406633137,1730021,0.0,1.0
2024-04-16,100.06,100.09,98.7,99.15,96.457377048822,1371806,0.0,1.0
2024-04-15,102.16,102.63,99.62,100.46,97.7318012942477,1240514,0.0,1.0
2024-04-12,102.59,103.35,101.225,101.53,98.7727432351679,1427839,0.0,1.0
2024-04-11,103.5,103.79,102.62,102.91,100.115266486074,1071061,0.0,1.0
2024-04-10,103.7,104.86,102.91,103.53,100.718429106047,1425459,0.0,1.0
2024-04-09,104.47,105.49,104.1,104.76,101.915025916637,955537,0.0,1.0
2024-04-08,104.93,105.27,103.67,103.83,101.010281986679,1745208,0.0,1.0
2024-04-05,104.66,105.03,103.6259,104.78,101.934482775346,1065916,0.0,1.0
2024-04-04,106.54,106.69,104.0,104.4,101.564802459879,1604808,0.0,1.0
2024-04-03,104.8,106.14,104.8,105.86,102.985153145621,2111644,0.0,1.0
2024-04-02,103.75,104.35,102.89,104.18,101.350777014082,2080480,0.0,1.0
2024-04-01,102.08,102.25,101.15,102.07,99.2980784203052,1304758,0.0,1.0
2024-03-28,103.04,103.3,102.13,102.28,99.5023754367475,1962099,0.0,1.0
2024-03-27,101.82,102.98,101.54,102.95,100.154180203492,2273728,0.0,1.0
2024-03-26,101.94,101.96,100.71,101.14,98.3933344903465,2552368,0.0,1.0
2024-03-25,101.05,101.31,100.285,100.49,97.7609865823109,1400018,0.0,1.0
2024-03-22,101.37,101.85,100.63,100.98,98.2376796206762,1230591,0.0,1.0
2024-03-21,102.74,102.74,100.92,101.25,98.5003472132449,1461982,0.0,1.0
2024-03-20,99.2,102.49,99.0,102.29,99.5121038661019,2946650,0.0,1.0
2024-03-19,99.98,100.0,99.14,99.83,97.1189102449208,2395118,0.0,1.0
2024-03-18,100.37,101.138,99.785,99.85,97.1383671036296,1934060,0.0,1.0
2024-03-15,99.5,101.2599,99.5,99.91,97.196737679756,7150267,0.0,1.0
2024-03-14,100.72,101.35,99.31,100.0,97.2842935439455,2676830,0.0,1.0
2024-03-13,101.22,102.535,101.22,101.71,98.947854963547,2721185,0.0,1.0
2024-03-12,100.76,101.28,100.52,100.53,97.7999002997284,2600267,0.0,1.0
2024-03-11,98.91,101.66,98.86,100.66,97.9263698813356,2661007,0.0,1.0
2024-03-08,99.15,99.69,98.8,98.94,96.2530800323797,1797526,0.0,1.0
2024-03-07,100.82,101.18,99.01,99.02,96.3309074672149,2121087,0.0,1.0
2024-03-06,101.45,102.83,99.77,99.91,97.196737679756,3119721,0.0,1.0
2024-03-05,101.01,102.35,101.01,101.48,98.7241010883959,1834274,0.0,1.0
2024-03-04,100.0,102.925,99.62,101.66,98.899212816775,3839864,0.0,1.0
2024-03-01,98.71,99.69,98.51,99.45,96.7492299294538,1898277,1.25,1.0
2024-02-29,99.0,100.58,98.585,100.28,96.3457078185266,3195272,0.0,1.0
2024-02-28,98.69,99.6,98.23,98.79,94.9141650916658,1894341,0.0,1.0
2024-02-27,99.1,99.26,98.1,99.0,95.1159261471294,1850404,0.0,1.0
2024-02-26,99.02,99.36,98.32,98.82,94.9429880995892,1474224,0.0,1.0
2024-02-23,98.44,99.59,98.25,99.27,95.3753332184397,1918638,0.0,1.0
2024-02-22,97.4,98.61,97.16,98.29,94.4337816262763,2323073,0.0,1.0
2024-02-21,96.85,97.7,96.29,97.38,93.5594837192673,1514342,0.0,1.0
2024-02-20,96.93,97.73,96.04,96.27,92.4930324261025,1790461,0.0,1.0
2024-02-16,97.85,98.5784,97.155,97.7,93.8669291371166,1869553,0.0,1.0
2024-02-15,94.78,97.635,94.68,97.47,93.6459527430374,1533685,0.0,1.0
2024-02-14,94.81,95.5,94.281,94.64,90.9269823289326,1669259,0.0,1.0
2024-02-13,95.82,95.82,93.5493,94.73,91.0134513527027,2276258,0.0,1.0
2024-02-12,95.59,97.64,95.4,96.5,92.7140088201817,2521574,0.0,1.0
2024-02-09,94.78,95.42,94.3749,95.4,91.6571651963247,1677083,0.0,1.0
2024-02-08,94.5,95.15,94.08,94.98,91.2536430853975,1747765,0.0,1.0
2024-02-07,95.0,95.03,93.92,94.47,90.7636519507002,1911568,0.0,1.0
2024-02-06,93.29,95.01,93.1,94.47,90.7636519507002,2029950,0.0,1.0
2024-02-05,91.81,93.85,91.6,93.15,89.4954396020718,2506988,0.0,1.0
2024-02-02,92.6,93.48,91.5,92.86,89.2168171921458,3034810,0.0,1.0
2024-02-01,94.35,94.79,93.41,94.61,90.8981593210092,2336519,0.0,1.0
2024-01-31,95.83,95.83,93.82,94.12,90.4273835249275,2451374,0.0,1.0
2024-01-30,94.63,95.98,94.63,95.65,91.8973569290195,1180820,0.0,1.0
2024-01-29,95.13,95.37,94.36,95.27,91.5322654953234,1016792,0.0,1.0
2024-01-26,96.25,96.36,94.862,95.43,91.6859882042481,1313166,0.0,1.0
2024-01-25,94.47,95.43,93.9,95.39,91.6475575270169,2081053,0.0,1.0
2024-01-24,94.04,94.87,93.395,93.42,89.7548466733821,1651569,0.0,1.0
2024-01-23,94.41,95.875,94.26,94.58,90.8693363130858,1288221,0.0,1.0
2024-01-22,93.12,94.155,92.7087,93.76,90.081507429847,1384332,0.0,1.0
2024-01-19,93.3,93.77,92.31,93.39,89.7260236654587,1131290,0.0,1.0
2024-01-18,92.89,93.48,91.88,93.31,89.6491623109964,1338984,0.0,1.0
2024-01-17,92.75,92.85,92.1601,92.7,89.0630944832212,1730908,0.0,1.0
2024-01-16,94.02,94.49,93.1,93.97,90.2832684853106,1795563,0.0,1.0
