,MAA_Open,MAA_High,MAA_Low,MAA_Close,MAA_Adj Close,MAA_Volume,MAA_Dividend Amount,MAA_Split Coefficient
2024-10-07,153.72,153.89,152.52,153.54,153.54,480127,0.0,1.0
2024-10-04,154.28,154.85,152.59,154.62,154.62,515881,0.0,1.0
2024-10-03,156.75,156.9,154.1663,155.15,155.15,527618,0.0,1.0
2024-10-02,156.39,157.29,155.5457,156.96,156.96,579470,0.0,1.0
2024-10-01,159.6,159.705,156.95,157.81,157.81,702051,0.0,1.0
2024-09-30,157.66,159.52,157.05,158.9,158.9,815804,0.0,1.0
2024-09-27,160.07,160.07,157.54,157.77,157.77,636131,0.0,1.0
2024-09-26,161.28,162.2,158.36,158.72,158.72,1073123,0.0,1.0
2024-09-25,163.65,163.735,161.46,161.56,161.56,765657,0.0,1.0
2024-09-24,162.62,163.71,162.2,162.89,162.89,512192,0.0,1.0
2024-09-23,163.37,164.42,162.58,163.66,163.66,984568,0.0,1.0
2024-09-20,163.88,164.565,161.93,162.46,162.46,2367407,0.0,1.0
2024-09-19,165.0,165.5225,162.69,164.51,164.51,753149,0.0,1.0
2024-09-18,164.18,166.415,162.97,163.92,163.92,1120963,0.0,1.0
2024-09-17,165.9,166.29,163.3,164.0,164.0,660117,0.0,1.0
2024-09-16,167.12,167.39,165.95,166.65,166.65,552639,0.0,1.0
2024-09-13,165.2,166.295,163.9978,166.18,166.18,675316,0.0,1.0
2024-09-12,164.44,165.55,163.26,164.44,164.44,425905,0.0,1.0
2024-09-11,162.01,164.81,161.04,164.7,164.7,542360,0.0,1.0
2024-09-10,161.1,165.95,160.275,163.54,163.54,554211,0.0,1.0
2024-09-09,159.9,161.505,159.005,160.3,160.3,833472,0.0,1.0
2024-09-06,161.25,161.25,158.0,159.53,159.53,1050395,0.0,1.0
2024-09-05,164.02,164.42,159.89,161.15,161.15,844952,0.0,1.0
2024-09-04,163.57,165.14,161.6,163.0,163.0,895788,0.0,1.0
2024-09-03,161.96,164.88,161.89,163.57,163.57,660237,0.0,1.0
2024-08-30,161.69,162.61,160.7925,162.37,162.37,687537,0.0,1.0
2024-08-29,160.81,162.03,159.76,161.1,161.1,517165,0.0,1.0
2024-08-28,160.5,161.82,160.28,161.51,161.51,565990,0.0,1.0
2024-08-27,157.09,160.643,156.58,160.31,160.31,742649,0.0,1.0
2024-08-26,158.52,158.52,156.25,157.94,157.94,641068,0.0,1.0
2024-08-23,154.84,157.18,154.49,156.63,156.63,858125,0.0,1.0
2024-08-22,153.77,155.2176,152.55,154.21,154.21,731254,0.0,1.0
2024-08-21,153.45,153.625,152.41,153.0,153.0,852176,0.0,1.0
2024-08-20,153.09,153.4435,151.56,153.1,153.1,550554,0.0,1.0
2024-08-19,153.27,153.94,151.86,152.65,152.65,517097,0.0,1.0
2024-08-16,153.43,153.94,151.36,152.84,152.84,671669,0.0,1.0
2024-08-15,153.33,154.75,152.02,153.35,153.35,638617,0.0,1.0
2024-08-14,153.0,153.89,152.065,153.33,153.33,634876,0.0,1.0
2024-08-13,153.34,153.97,152.475,153.0,153.0,589634,0.0,1.0
2024-08-12,154.65,154.65,151.49,152.25,152.25,678778,0.0,1.0
2024-08-09,153.07,153.455,151.15,153.07,153.07,765238,0.0,1.0
2024-08-08,151.05,153.4,150.63,153.07,153.07,754200,0.0,1.0
2024-08-07,150.6,154.19,149.82,150.91,150.91,1489499,0.0,1.0
2024-08-06,146.51,150.75,146.51,150.24,150.24,844117,0.0,1.0
2024-08-05,149.0,149.0,145.8,146.52,146.52,938038,0.0,1.0
