,AAON_Open,AAON_High,AAON_Low,AAON_Close,AAON_Adj Close,AAON_Volume,AAON_Dividend Amount,AAON_Split Coefficient
2024-10-04,108.63,109.0,106.8001,107.705,107.705,211057,0.0,1.0
2024-10-03,107.32,107.7725,105.87,107.19,107.19,321811,0.0,1.0
2024-10-02,105.8,107.9,105.44,107.32,107.32,217374,0.0,1.0
2024-10-01,107.71,107.71,105.53,106.6,106.6,402202,0.0,1.0
2024-09-30,106.91,109.46,106.4,107.84,107.84,512656,0.0,1.0
2024-09-27,107.34,108.24,106.59,107.09,107.09,231844,0.0,1.0
2024-09-26,108.39,108.76,106.1,107.02,107.02,374486,0.0,1.0
2024-09-25,107.57,108.53,106.65,107.3,107.3,257832,0.0,1.0
2024-09-24,107.9,109.07,106.7451,107.39,107.39,612746,0.0,1.0
2024-09-23,104.59,108.02,103.6,107.82,107.82,521680,0.0,1.0
2024-09-20,101.98,104.73,101.11,104.05,104.05,1385932,0.0,1.0
2024-09-19,99.35,102.75,98.885,102.45,102.45,559779,0.0,1.0
2024-09-18,96.27,99.27,95.25,96.93,96.93,261349,0.0,1.0
2024-09-17,96.39,97.94,95.21,96.18,96.18,323186,0.0,1.0
2024-09-16,94.51,96.61,94.0,96.16,96.16,291149,0.0,1.0
2024-09-13,94.05,95.23,93.46,94.12,94.12,207301,0.0,1.0
2024-09-12,91.8,93.53,91.54,93.47,93.47,213353,0.0,1.0
2024-09-11,88.21,91.94,86.35,91.74,91.74,312683,0.0,1.0
2024-09-10,88.67,89.59,86.695,88.26,88.26,330579,0.0,1.0
2024-09-09,88.14,89.05,87.615,88.59,88.59,215839,0.0,1.0
2024-09-06,87.68,88.7621,87.24,87.4,87.4,379194,0.08,1.0
2024-09-05,88.82,88.82,87.15,87.49,87.4099908550526,254699,0.0,1.0
2024-09-04,88.95,90.12,87.61,88.92,88.838683127572,282596,0.0,1.0
2024-09-03,95.43,96.5549,88.91,89.29,89.2083447645176,376557,0.0,1.0
2024-08-30,94.11,95.63,93.6,95.51,95.4226566072245,274708,0.0,1.0
2024-08-29,93.11,95.12,92.28,93.7,93.6143118427069,316795,0.0,1.0
2024-08-28,93.06,93.33,92.37,92.77,92.6851623228166,234269,0.0,1.0
2024-08-27,93.0,94.1073,91.9,93.19,93.1047782350251,273957,0.0,1.0
2024-08-26,94.98,95.5999,93.72,93.85,93.7641746684956,279662,0.0,1.0
2024-08-23,93.25,95.88,92.755,94.55,94.4635345221765,357175,0.0,1.0
2024-08-22,92.16,93.09,91.11,93.0,92.9149519890261,349555,0.0,1.0
2024-08-21,89.69,92.01,89.57,91.95,91.8659122085048,281342,0.0,1.0
