,ABAX_Open,ABAX_High,ABAX_Low,ABAX_Close,ABAX_Adj Close,ABAX_Volume,ABAX_Dividend Amount,ABAX_Split Coefficient
2018-08-01,83.0,83.0,83.0,83.0,83.0,0,0.0,1.0
2018-07-31,83.11,83.24,83.0,83.0,83.0,354744,0.0,1.0
2018-07-30,83.1,83.18,83.04,83.09,83.09,350922,0.0,1.0
2018-07-27,83.17,83.2,83.04,83.05,83.05,98590,0.0,1.0
2018-07-26,83.19,83.24,83.1,83.23,83.23,64918,0.0,1.0
2018-07-25,83.11,83.33,83.1,83.13,83.13,70311,0.0,1.0
2018-07-24,83.17,83.19,83.08,83.1,83.1,93989,0.0,1.0
2018-07-23,83.26,83.26,83.06,83.15,83.15,180776,0.0,1.0
2018-07-20,83.25,83.33,83.21,83.3,83.3,128460,0.0,1.0
2018-07-19,83.28,83.3,83.25,83.29,83.29,158176,0.0,1.0
2018-07-18,83.25,83.33,83.22,83.29,83.29,66675,0.0,1.0
2018-07-17,83.27,83.3669,83.23,83.35,83.35,176426,0.0,1.0
2018-07-16,83.25,83.34,83.25,83.28,83.28,60093,0.0,1.0
2018-07-13,83.27,83.36,83.23,83.28,83.28,120549,0.0,1.0
2018-07-12,83.27,83.34,83.2301,83.28,83.28,123852,0.0,1.0
2018-07-11,83.25,83.3,83.17,83.25,83.25,150844,0.0,1.0
2018-07-10,83.2,83.27,83.2,83.25,83.25,247962,0.0,1.0
2018-07-09,83.24,83.3,83.18,83.2,83.2,222300,0.0,1.0
2018-07-06,83.16,83.35,82.99,83.23,83.23,325541,0.0,1.0
2018-07-05,82.97,83.27,82.91,83.25,83.25,359606,0.0,1.0
2018-07-03,83.1,83.18,82.92,83.01,83.01,50115,0.0,1.0
2018-07-02,83.0,83.13,82.98,83.05,83.05,145719,0.0,1.0
2018-06-29,83.13,83.17,83.0,83.01,83.01,103139,0.0,1.0
2018-06-28,83.0,83.15,82.93,83.1,83.1,442583,0.0,1.0
2018-06-27,83.13,83.18,83.0,83.0,83.0,174651,0.0,1.0
2018-06-26,83.15,83.24,83.04,83.16,83.16,158029,0.0,1.0
2018-06-25,83.02,83.17,82.91,83.11,83.11,365611,0.0,1.0
2018-06-22,83.0,83.23,82.865,83.21,83.21,515761,0.0,1.0
2018-06-21,83.02,83.1,82.81,82.89,82.89,406339,0.0,1.0
2018-06-20,83.11,83.37,82.98,83.02,83.02,272577,0.0,1.0
2018-06-19,83.04,83.15,82.97,83.05,83.05,197016,0.0,1.0
2018-06-18,83.14,83.22,83.0,83.03,83.03,80981,0.0,1.0
2018-06-15,83.06,83.35,83.05,83.26,83.26,205652,0.0,1.0
2018-06-14,83.08,83.37,83.04,83.37,83.37,235462,0.0,1.0
2018-06-13,83.02,83.18,82.98,83.01,83.01,213092,0.0,1.0
