,ABT_Open,ABT_High,ABT_Low,ABT_Close,ABT_Adj Close,ABT_Volume,ABT_Dividend Amount,ABT_Split Coefficient
2024-10-04,112.13,112.75,111.68,112.64,112.64,4366288,0.0,1.0
2024-10-03,113.505,113.51,111.79,112.23,112.23,3472202,0.0,1.0
2024-10-02,113.375,113.79,112.03,113.64,113.64,3454010,0.0,1.0
2024-10-01,114.21,114.22,112.8,113.56,113.56,4263960,0.0,1.0
2024-09-30,112.57,114.09,112.1,114.01,114.01,5036278,0.0,1.0
2024-09-27,112.93,113.38,112.32,112.43,112.43,3566365,0.0,1.0
2024-09-26,112.31,112.93,112.1,112.73,112.73,3508932,0.0,1.0
2024-09-25,113.82,114.19,111.85,112.61,112.61,5159254,0.0,1.0
2024-09-24,114.21,114.41,113.18,113.34,113.34,5029820,0.0,1.0
2024-09-23,113.79,114.9,112.96,114.81,114.81,5005400,0.0,1.0
2024-09-20,113.75,114.16,113.2,113.7,113.7,8403387,0.0,1.0
2024-09-19,115.49,115.66,113.25,114.15,114.15,8144179,0.0,1.0
2024-09-18,117.5,117.5,114.5162,114.88,114.88,5990242,0.0,1.0
2024-09-17,117.8,118.54,117.26,118.13,118.13,4982543,0.0,1.0
2024-09-16,117.0,117.68,116.42,117.63,117.63,3637167,0.0,1.0
2024-09-13,116.02,117.05,115.94,116.4,116.4,3350075,0.0,1.0
2024-09-12,116.495,117.305,115.59,116.83,116.83,4349379,0.0,1.0
2024-09-11,116.39,116.72,114.72,116.6,116.6,6535606,0.0,1.0
2024-09-10,116.15,117.25,115.43,117.11,117.11,4963751,0.0,1.0
2024-09-09,114.46,116.73,114.32,116.43,116.43,5100999,0.0,1.0
2024-09-06,113.63,114.34,113.01,113.86,113.86,3802320,0.0,1.0
2024-09-05,114.26,114.48,112.52,113.1,113.1,2928009,0.0,1.0
2024-09-04,114.69,115.59,113.57,114.4,114.4,3591498,0.0,1.0
2024-09-03,113.36,114.83,113.36,114.66,114.66,4436991,0.0,1.0
2024-08-30,113.0,113.47,111.89,113.27,113.27,4320139,0.0,1.0
2024-08-29,113.295,113.5,112.52,112.76,112.76,3375767,0.0,1.0
2024-08-28,113.1,113.42,112.37,112.9,112.9,3836651,0.0,1.0
2024-08-27,113.055,113.17,112.14,113.1,113.1,2705392,0.0,1.0
2024-08-26,112.735,113.255,112.06,112.7,112.7,3212704,0.0,1.0
2024-08-23,112.4,112.78,111.89,112.69,112.69,4511637,0.0,1.0
2024-08-22,111.79,112.15,111.05,112.1,112.1,3690427,0.0,1.0
2024-08-21,110.97,111.45,110.68,111.39,111.39,4081629,0.0,1.0
2024-08-20,111.82,112.09,110.33,110.77,110.77,5822390,0.0,1.0
2024-08-19,111.0,112.25,110.84,111.9,111.9,3495903,0.0,1.0
