,AEGN_Open,AEGN_High,AEGN_Low,AEGN_Close,AEGN_Adj Close,AEGN_Volume,AEGN_Dividend Amount,AEGN_Split Coefficient
2021-05-17,29.99,29.99,29.99,29.99,29.99,0,0.0,1.0
2021-05-14,30.0,30.141,29.96,29.99,29.99,3631180,0.0,1.0
2021-05-13,29.96,30.0,29.96,30.0,30.0,527856,0.0,1.0
2021-05-12,29.98,30.02,29.96,29.96,29.96,494297,0.0,1.0
2021-05-11,29.97,30.095,29.94,29.97,29.97,196619,0.0,1.0
2021-05-10,30.08,30.08,29.94,29.99,29.99,208061,0.0,1.0
2021-05-07,29.96,30.015,29.95,30.0,30.0,115981,0.0,1.0
2021-05-06,30.04,30.08,29.94,30.0,30.0,155052,0.0,1.0
2021-05-05,30.11,30.15,29.9,30.06,30.06,79542,0.0,1.0
2021-05-04,30.12,30.12,29.96,30.01,30.01,256757,0.0,1.0
2021-05-03,30.33,30.36,29.95,29.96,29.96,136173,0.0,1.0
2021-04-30,30.13,30.28,29.95,30.1,30.1,123218,0.0,1.0
2021-04-29,30.35,30.405,30.11,30.2,30.2,144249,0.0,1.0
2021-04-28,30.5,30.73,30.12,30.29,30.29,516532,0.0,1.0
2021-04-27,30.49,30.69,30.22,30.58,30.58,154529,0.0,1.0
2021-04-26,30.71,30.95,30.24,30.53,30.53,176809,0.0,1.0
2021-04-23,30.5,30.68,30.35,30.55,30.55,234317,0.0,1.0
2021-04-22,30.56,30.6799,30.15,30.38,30.38,222521,0.0,1.0
2021-04-21,30.44,30.72,30.32,30.61,30.61,104357,0.0,1.0
2021-04-20,30.5,30.58,30.26,30.45,30.45,187794,0.0,1.0
2021-04-19,30.51,30.605,30.35,30.5,30.5,92333,0.0,1.0
2021-04-16,30.82,30.85,30.55,30.56,30.56,495723,0.0,1.0
2021-04-15,30.78,30.78,30.43,30.66,30.66,179605,0.0,1.0
2021-04-14,30.35,30.9,30.2,30.79,30.79,362971,0.0,1.0
2021-04-13,28.53,29.03,28.3,28.72,28.72,127226,0.0,1.0
2021-04-12,28.49,29.015,28.3637,28.61,28.61,61095,0.0,1.0
2021-04-09,28.54,28.7,28.3,28.45,28.45,218259,0.0,1.0
2021-04-08,28.69,28.77,28.3,28.52,28.52,232614,0.0,1.0
2021-04-07,28.5,28.66,28.31,28.6,28.6,127808,0.0,1.0
2021-04-06,28.7,28.78,28.3004,28.47,28.47,190051,0.0,1.0
2021-04-05,29.2,29.2,28.595,28.69,28.69,159765,0.0,1.0
2021-04-01,28.79,29.23,28.5,29.2,29.2,261676,0.0,1.0
2021-03-31,29.0,29.2,28.57,28.75,28.75,323884,0.0,1.0
2021-03-30,28.81,29.32,28.7,28.85,28.85,138645,0.0,1.0
2021-03-29,28.62,29.005,28.47,28.69,28.69,229574,0.0,1.0
2021-03-26,29.3,29.3,28.51,28.71,28.71,324736,0.0,1.0
2021-03-25,28.67,29.29,28.52,29.15,29.15,281058,0.0,1.0
2021-03-24,29.14,29.5,28.5,28.65,28.65,488298,0.0,1.0
