,AEIS_Open,AEIS_High,AEIS_Low,AEIS_Close,AEIS_Adj Close,AEIS_Volume,AEIS_Dividend Amount,AEIS_Split Coefficient
2024-10-04,105.25,105.95,103.355,105.53,105.53,183693,0.0,1.0
2024-10-03,100.6,102.975,100.6,102.94,102.94,211827,0.0,1.0
2024-10-02,102.5,103.96,101.575,101.71,101.71,160435,0.0,1.0
2024-10-01,105.22,105.22,101.39,102.94,102.94,167205,0.0,1.0
2024-09-30,103.61,105.51,103.61,105.24,105.24,193100,0.0,1.0
2024-09-27,104.96,105.32,103.47,104.7,104.7,147319,0.0,1.0
2024-09-26,103.29,104.675,100.94,103.81,103.81,161734,0.0,1.0
2024-09-25,100.83,102.2295,99.41,99.57,99.57,158596,0.0,1.0
2024-09-24,102.01,103.58,100.73,101.37,101.37,155878,0.0,1.0
2024-09-23,102.18,102.255,101.02,101.16,101.16,166099,0.0,1.0
2024-09-20,102.62,102.62,100.48,101.59,101.59,605664,0.0,1.0
2024-09-19,101.81,102.365,99.14,101.76,101.76,278085,0.0,1.0
2024-09-18,99.24,101.24,97.72,97.83,97.83,355314,0.0,1.0
2024-09-17,100.34,101.15,98.23,98.97,98.97,160453,0.0,1.0
2024-09-16,98.09,98.89,96.487,98.86,98.86,305045,0.0,1.0
2024-09-13,97.35,98.8,97.28,98.63,98.63,121831,0.0,1.0
2024-09-12,96.94,97.22,94.98,96.05,96.05,130297,0.0,1.0
2024-09-11,93.6,96.585,92.16,96.45,96.45,168768,0.0,1.0
2024-09-10,92.76,93.9,92.13,93.79,93.79,183602,0.0,1.0
2024-09-09,94.02,94.74,92.45,92.85,92.85,298981,0.0,1.0
2024-09-06,96.26,96.575,93.439,93.78,93.78,203721,0.0,1.0
2024-09-05,97.4,98.28,96.37,96.71,96.71,207611,0.0,1.0
2024-09-04,97.77,99.74,97.42,97.74,97.74,240500,0.0,1.0
2024-09-03,104.64,104.64,98.72,98.84,98.84,282138,0.0,1.0
2024-08-30,107.91,108.175,104.64,106.09,106.09,522628,0.0,1.0
2024-08-29,107.31,109.28,106.5,107.04,107.04,205778,0.0,1.0
2024-08-28,107.83,109.24,106.04,106.56,106.56,164136,0.0,1.0
2024-08-27,109.24,110.585,107.58,108.64,108.64,181814,0.0,1.0
2024-08-26,111.32,112.12,109.14,109.65,109.65,162966,0.1,1.0
2024-08-23,107.78,111.69,107.37,110.7,110.599134396355,276360,0.0,1.0
2024-08-22,108.73,109.7849,107.13,107.58,107.481977220957,179515,0.0,1.0
2024-08-21,107.17,109.01,107.17,108.57,108.471075170843,184982,0.0,1.0
2024-08-20,108.66,108.93,106.321,106.87,106.772624145786,135013,0.0,1.0
2024-08-19,108.04,109.405,107.49,109.29,109.190419134396,155651,0.0,1.0
2024-08-16,107.35,109.33,106.8581,108.2,108.101412300683,145513,0.0,1.0
2024-08-15,105.84,108.82,104.55,108.04,107.94155808656,265300,0.0,1.0
2024-08-14,103.25,103.445,100.09,100.9,100.808063781321,116892,0.0,1.0
2024-08-13,99.88,102.36,98.93,102.34,102.246751708428,260985,0.0,1.0
2024-08-12,99.46,99.845,97.68,98.555,98.4652004555809,146623,0.0,1.0
2024-08-09,98.93,99.91,97.48,99.42,99.3294123006834,120873,0.0,1.0
2024-08-08,97.6,99.49,96.64,99.44,99.3493940774487,278224,0.0,1.0
2024-08-07,100.54,101.06,95.52,95.68,95.5928200455581,202391,0.0,1.0
2024-08-06,97.67,100.47,96.59,98.66,98.5701047835991,201426,0.0,1.0
2024-08-05,95.16,100.12,93.815,97.86,97.7708337129841,303827,0.0,1.0
2024-08-02,102.02,104.37,100.97,101.64,101.54738952164,275135,0.0,1.0
2024-08-01,114.49,115.95,106.335,107.64,107.541922551253,327925,0.0,1.0
2024-07-31,114.42,118.82,111.67,116.37,116.263968109339,637527,0.0,1.0
2024-07-30,110.61,110.625,106.91,108.38,108.281248291572,340773,0.0,1.0
2024-07-29,111.02,112.565,109.1521,110.14,110.039644646925,157143,0.0,1.0
2024-07-26,111.4,112.665,108.86,110.01,109.90976309795,210144,0.0,1.0
2024-07-25,110.22,111.16,107.39,108.58,108.481066059226,214370,0.0,1.0
2024-07-24,112.32,113.97,109.57,109.83,109.729927107061,141606,0.0,1.0
2024-07-23,112.17,114.565,112.17,113.39,113.286683371298,120823,0.0,1.0
2024-07-22,110.07,113.22,108.865,113.03,112.927011389522,262493,0.0,1.0
2024-07-19,112.38,112.39,108.51,108.61,108.511038724374,147054,0.0,1.0
2024-07-18,114.13,116.33,110.88,112.05,111.947904328018,145330,0.0,1.0
2024-07-17,117.55,118.59,114.54,114.71,114.605480637813,398203,0.0,1.0
2024-07-16,116.27,119.75,116.27,119.61,119.50101594533,206810,0.0,1.0
2024-07-15,113.24,116.775,113.2201,115.01,114.905207289294,146427,0.0,1.0
2024-07-12,115.01,116.48,113.755,113.87,113.766246013667,143660,0.0,1.0
2024-07-11,113.95,115.21,112.0,113.78,113.676328018223,184855,0.0,1.0
2024-07-10,107.64,111.18,107.64,111.08,110.978788154897,186570,0.0,1.0
2024-07-09,108.96,109.25,106.8,107.13,107.032387243736,140725,0.0,1.0
2024-07-08,107.66,109.1,107.41,108.765,108.665897494305,132962,0.0,1.0
2024-07-05,107.17,107.17,105.65,106.45,106.353006833713,108998,0.0,1.0
2024-07-03,106.92,107.44,106.05,106.95,106.852551252847,91311,0.0,1.0
2024-07-02,105.98,107.355,105.36,106.64,106.542833712984,133927,0.0,1.0
2024-07-01,108.48,108.48,105.5,105.83,105.733571753986,220865,0.0,1.0
2024-06-28,109.39,111.73,107.6,108.76,108.660902050114,470335,0.0,1.0
2024-06-27,108.53,108.9,105.37,107.67,107.571895216401,258630,0.0,1.0
2024-06-26,107.0,107.82,106.42,107.71,107.611858769932,152436,0.0,1.0
2024-06-25,108.73,108.73,107.15,107.82,107.721758542141,97604,0.0,1.0
2024-06-24,109.3,109.485,108.2,108.75,108.650911161731,120511,0.0,1.0
2024-06-21,108.21,109.48,107.09,109.32,109.220391799544,423368,0.0,1.0
2024-06-20,108.81,110.025,107.79,108.63,108.531020501139,291264,0.0,1.0
2024-06-18,109.27,109.825,108.2,108.92,108.820756264237,154618,0.0,1.0
2024-06-17,106.58,109.35,105.8,109.03,108.930656036446,192322,0.0,1.0
2024-06-14,107.07,107.07,105.84,106.74,106.642742596811,114296,0.0,1.0
2024-06-13,108.86,109.955,106.926,108.97,108.87071070615,112442,0.0,1.0
2024-06-12,109.26,111.64,108.145,109.6,109.50013667426,172040,0.0,1.0
2024-06-11,104.36,106.504,103.34,105.49,105.393881548975,137008,0.0,1.0
2024-06-10,104.0,105.99,103.42,105.32,105.224036446469,118394,0.0,1.0
2024-06-07,106.26,107.4,104.52,105.39,105.293972665148,111848,0.0,1.0
2024-06-06,108.5,109.5,106.895,107.54,107.442013667426,143742,0.0,1.0
2024-06-05,107.89,109.7299,107.08,109.61,109.510127562642,145761,0.0,1.0
2024-06-04,106.99,106.99,105.48,106.42,106.323034168565,178419,0.0,1.0
2024-06-03,108.48,108.48,106.3,108.21,108.111403189066,145343,0.0,1.0
2024-05-31,107.04,108.64,105.65,107.43,107.332113895216,202088,0.0,1.0
2024-05-30,104.96,107.64,104.91,106.86,106.762633257403,214653,0.0,1.0
2024-05-29,105.54,106.41,104.3,104.31,104.214956719818,98283,0.0,1.0
2024-05-28,110.84,110.84,107.32,107.51,107.412041002278,127840,0.0,1.0
2024-05-24,109.54,110.99,108.69,109.46,109.360264236902,122215,0.0,1.0
2024-05-23,108.82,110.45,107.25,108.08,107.981521640091,258779,0.1,1.0
2024-05-22,107.73,109.16,107.73,109.01,108.809998835148,160053,0.0,1.0
2024-05-21,106.98,108.45,106.366,107.63,107.432530727704,139496,0.0,1.0
2024-05-20,105.6,108.095,105.55,107.88,107.682072051516,225357,0.0,1.0
2024-05-17,105.99,106.13,104.705,105.63,105.436200137205,111240,0.0,1.0
2024-05-16,107.17,107.37,105.29,105.46,105.266512037012,181042,0.0,1.0
2024-05-15,105.78,107.54,105.0,107.47,107.272824280464,165043,0.0,1.0
2024-05-14,102.7,104.61,102.6518,104.57,104.37814492424,167126,0.0,1.0
2024-05-13,103.0,103.11,101.75,102.07,101.882731686117,145594,0.0,1.0
2024-05-10,102.26,102.6731,99.97,102.13,101.942621603832,227593,0.0,1.0
2024-05-09,101.55,102.29,100.85,101.9,101.713043585924,160929,0.0,1.0
2024-05-08,100.13,101.63,100.08,101.57,101.383649038492,142203,0.0,1.0
2024-05-07,100.87,102.9,100.54,101.44,101.253887550109,197284,0.0,1.0
