,AHH_Open,AHH_High,AHH_Low,AHH_Close,AHH_Adj Close,AHH_Volume,AHH_Dividend Amount,AHH_Split Coefficient
2024-10-04,10.9,10.9,10.68,10.84,10.84,687112,0.0,1.0
2024-10-03,10.77,10.8,10.64,10.76,10.76,881564,0.0,1.0
2024-10-02,10.85,10.92,10.71,10.82,10.82,918536,0.0,1.0
2024-10-01,11.12,11.12,10.765,10.93,10.93,1253478,0.0,1.0
2024-09-30,10.97,11.05,10.73,10.83,10.83,2109253,0.0,1.0
2024-09-27,10.93,11.0265,10.805,10.92,10.92,1490054,0.0,1.0
2024-09-26,10.96,11.14,10.77,10.8,10.8,3893734,0.0,1.0
2024-09-25,11.97,12.015,11.8,11.86,11.86,359307,0.205,1.0
2024-09-24,12.05,12.25,12.036653,12.21,12.0025362619146,242249,0.0,1.0
2024-09-23,11.98,12.105,11.97,12.05,11.8452548694571,328486,0.0,1.0
2024-09-20,12.16,12.18,11.85,11.9,11.6978035640282,1153076,0.0,1.0
2024-09-19,12.28,12.28,12.08,12.25,12.041856610029,333264,0.0,1.0
2024-09-18,12.08,12.25,11.975,12.08,11.8747451305429,541705,0.0,1.0
2024-09-17,12.08,12.18,12.04,12.05,11.8452548694571,399639,0.0,1.0
2024-09-16,12.01,12.08,11.98,12.05,11.8452548694571,323567,0.0,1.0
2024-09-13,11.98,12.0,11.905,11.97,11.7666141732283,382081,0.0,1.0
2024-09-12,11.79,11.935,11.7104,11.86,11.6584832159138,194203,0.0,1.0
2024-09-11,11.67,11.75,11.5098,11.73,11.5306920845421,243257,0.0,1.0
2024-09-10,11.85,11.85,11.71,11.77,11.5700124326564,350471,0.0,1.0
2024-09-09,11.84,11.84,11.695,11.79,11.5896726067136,384676,0.0,1.0
2024-09-06,11.96,12.01,11.685,11.84,11.6388230418566,633177,0.0,1.0
2024-09-05,12.13,12.215,11.96,11.98,11.7764442602569,472786,0.0,1.0
2024-09-04,12.09,12.16,11.965,12.06,11.8550849564857,297131,0.0,1.0
2024-09-03,12.19,12.3,12.055,12.09,11.8845752175715,370837,0.0,1.0
2024-08-30,12.32,12.33,12.195,12.31,12.1008371322006,436993,0.0,1.0
2024-08-29,12.27,12.315,12.15,12.25,12.041856610029,274880,0.0,1.0
2024-08-28,12.28,12.46,12.26,12.28,12.0713468711148,319273,0.0,1.0
2024-08-27,12.24,12.32,12.16,12.28,12.0713468711148,281529,0.0,1.0
2024-08-26,12.28,12.3,12.15,12.26,12.0516866970576,473568,0.0,1.0
2024-08-23,11.99,12.28,11.92,12.17,11.9632159138002,328112,0.0,1.0
2024-08-22,11.88,11.965,11.79,11.9,11.6978035640282,282728,0.0,1.0
2024-08-21,11.82,11.945,11.7,11.89,11.6879734769996,316285,0.0,1.0
2024-08-20,11.73,11.79,11.65,11.75,11.5503522585993,370479,0.0,1.0
2024-08-19,11.6,11.81,11.51,11.79,11.5896726067136,417231,0.0,1.0
2024-08-16,11.46,11.585,11.415,11.54,11.3439204309988,334370,0.0,1.0
2024-08-15,11.46,11.535,11.345,11.47,11.2751098217986,403156,0.0,1.0
2024-08-14,11.26,11.34,11.15,11.31,11.1178284293411,393769,0.0,1.0
2024-08-13,11.23,11.26,11.175,11.23,11.0391877331123,506838,0.0,1.0
2024-08-12,11.37,11.37,11.045,11.12,10.9310567757978,440099,0.0,1.0
2024-08-09,11.45,11.45,11.345,11.42,11.2259593866556,343721,0.0,1.0
2024-08-08,11.21,11.55,11.0,11.42,11.2259593866556,321690,0.0,1.0
2024-08-07,11.62,11.68,11.39,11.48,11.2849399088272,339334,0.0,1.0
2024-08-06,11.22,11.55,11.18,11.46,11.26527973477,281108,0.0,1.0
2024-08-05,11.34,11.5099,11.1012,11.27,11.0785080812267,380186,0.0,1.0
2024-08-02,11.66,11.87,11.58,11.7,11.5012018234563,294428,0.0,1.0
2024-08-01,11.92,12.06,11.74,11.87,11.6683133029424,383279,0.0,1.0
2024-07-31,12.06,12.14,11.87,11.88,11.678143389971,630170,0.0,1.0
2024-07-30,12.02,12.1,11.86,12.06,11.8550849564857,355956,0.0,1.0
2024-07-29,11.91,12.02,11.82,12.01,11.8059345213427,330311,0.0,1.0
2024-07-26,11.94,11.96,11.84,11.87,11.6683133029424,301911,0.0,1.0
2024-07-25,11.82,11.955,11.73,11.77,11.5700124326564,463706,0.0,1.0
2024-07-24,11.92,12.06,11.75,11.77,11.5700124326564,561767,0.0,1.0
2024-07-23,11.78,12.025,11.75,12.0,11.7961044343141,330967,0.0,1.0
2024-07-22,11.67,11.895,11.61,11.8,11.5995026937422,726363,0.0,1.0
2024-07-19,11.62,11.715,11.55,11.6,11.4029009531703,525825,0.0,1.0
2024-07-18,11.68,11.86,11.575,11.61,11.4127310401989,466177,0.0,1.0
2024-07-17,11.8,12.02,11.75,11.79,11.5896726067136,586393,0.0,1.0
2024-07-16,11.67,11.85,11.59,11.83,11.628992954828,345166,0.0,1.0
2024-07-15,11.59,11.63,11.365,11.57,11.3734106920845,475014,0.0,1.0
2024-07-12,11.5,11.79,11.475,11.72,11.5208619975135,405818,0.0,1.0
2024-07-11,11.21,11.41,11.19,11.36,11.166978864484,483024,0.0,1.0
2024-07-10,11.08,11.11,10.965,11.05,10.8622461665976,236139,0.0,1.0
2024-07-09,11.0,11.01,10.91,10.99,10.803265644426,205375,0.0,1.0
2024-07-08,11.02,11.06,10.98,11.02,10.8327559055118,200766,0.0,1.0
2024-07-05,10.95,11.05,10.9,10.94,10.754115209283,325233,0.0,1.0
2024-07-03,11.04,11.15,10.96,10.96,10.7737753833402,272487,0.0,1.0
2024-07-02,11.0,11.11,10.995,11.03,10.8425859925404,486275,0.0,1.0
2024-07-01,11.07,11.07,10.845,10.97,10.7836054703688,465340,0.0,1.0
2024-06-28,11.05,11.16,10.9,11.09,10.901566514712,1278289,0.0,1.0
2024-06-27,10.91,11.0,10.8,11.0,10.8130957314546,701779,0.0,1.0
2024-06-26,10.72,10.93,10.6801,10.92,10.7344550352259,379129,0.205,1.0
2024-06-25,11.07,11.07,10.915,10.98,10.5945452842049,329837,0.0,1.0
2024-06-24,11.02,11.125,10.96,11.08,10.6910347676676,353977,0.0,1.0
2024-06-21,10.98,11.03,10.89,10.98,10.5945452842049,1134900,0.0,1.0
2024-06-20,10.87,11.04,10.8538,10.97,10.5848963358587,359575,0.0,1.0
2024-06-18,11.0,11.0,10.89,10.95,10.5655984391661,257427,0.0,1.0
2024-06-17,11.0,11.025,10.91,11.01,10.6234921292438,353592,0.0,1.0
2024-06-14,11.0,11.05,10.95,11.04,10.6524389742826,579010,0.0,1.0
2024-06-13,11.09,11.15,11.0,11.11,10.7199816127065,295932,0.0,1.0
2024-06-12,11.21,11.37,11.005,11.07,10.6813858193214,551864,0.0,1.0
2024-06-11,10.85,10.97,10.85,10.93,10.5463005424736,476290,0.0,1.0
2024-06-10,10.84,11.025,10.75,10.96,10.5752473875124,797277,0.0,1.0
2024-06-07,10.94,11.0297,10.88,10.93,10.5463005424736,622166,0.0,1.0
2024-06-06,11.17,11.25,11.11,11.14,10.7489284577453,515797,0.0,1.0
2024-06-05,11.36,11.42,11.17,11.25,10.8550668895542,569636,0.0,1.0
2024-06-04,11.33,11.41,11.24,11.31,10.9129605796319,542574,0.0,1.0
2024-06-03,11.37,11.49,11.265,11.34,10.9419074246707,764666,0.0,1.0
2024-05-31,11.22,11.375,11.18,11.34,10.9419074246707,491416,0.0,1.0
2024-05-30,11.04,11.175,10.975,11.16,10.7682263544378,384946,0.0,1.0
2024-05-29,11.15,11.15,10.85,10.93,10.5463005424736,474868,0.0,1.0
2024-05-28,11.41,11.42,11.24,11.24,10.845417941208,277059,0.0,1.0
2024-05-24,11.36,11.36,11.26,11.33,10.9322584763244,267819,0.0,1.0
2024-05-23,11.51,11.51,11.22,11.28,10.8840137345931,300155,0.0,1.0
2024-05-22,11.46,11.5299,11.435,11.49,11.0866416498647,328696,0.0,1.0
2024-05-21,11.35,11.54,11.29,11.47,11.0673437531722,266706,0.0,1.0
2024-05-20,11.63,11.68,11.41,11.41,11.0094500630946,460035,0.0,1.0
2024-05-17,11.61,11.745,11.53,11.68,11.2699716684439,332484,0.0,1.0
2024-05-16,11.7,11.7354,11.53,11.6,11.1927800816737,431114,0.0,1.0
2024-05-15,11.7,11.8,11.635,11.7,11.2892695651364,293916,0.0,1.0
2024-05-14,11.61,11.72,11.515,11.56,11.1541842882886,464127,0.0,1.0
2024-05-13,11.59,11.65,11.49,11.54,11.1348863915961,348525,0.0,1.0
2024-05-10,11.55,11.55,11.32,11.48,11.0769927015185,386798,0.0,1.0
2024-05-09,11.05,11.59,11.04,11.55,11.1445353399424,501814,0.0,1.0
2024-05-08,10.98,11.05,10.92,10.96,10.5752473875124,280041,0.0,1.0
2024-05-07,11.09,11.13,10.99,11.0,10.6138431808975,297025,0.0,1.0
2024-05-06,10.89,11.02,10.83,11.01,10.6234921292438,281500,0.0,1.0
2024-05-03,10.99,10.99,10.77,10.83,10.4498110590109,449816,0.0,1.0
2024-05-02,10.74,10.809,10.58,10.73,10.3533215755482,308563,0.0,1.0
2024-05-01,10.54,10.77,10.54,10.61,10.2375341953929,381836,0.0,1.0
2024-04-30,10.55,10.6,10.51,10.52,10.1506936602765,234259,0.0,1.0
2024-04-29,10.63,10.725,10.6,10.64,10.2664810404317,169860,0.0,1.0
2024-04-26,10.56,10.705,10.54,10.57,10.1989384020079,273835,0.0,1.0
2024-04-25,10.47,10.54,10.41,10.5,10.131395763584,362338,0.0,1.0
2024-04-24,10.63,10.64,10.52,10.54,10.169991556969,307463,0.0,1.0
2024-04-23,10.69,10.9,10.63,10.7,10.3243747305094,249207,0.0,1.0
2024-04-22,10.52,10.75,10.46,10.72,10.3436726272019,341873,0.0,1.0
2024-04-19,10.21,10.51,10.2,10.5,10.131395763584,392512,0.0,1.0
2024-04-18,10.18,10.255,10.1,10.23,9.87087415823466,272645,0.0,1.0
2024-04-17,10.11,10.21,10.1,10.11,9.75508677807941,328533,0.0,1.0
2024-04-16,10.11,10.17,10.03,10.07,9.71649098469433,439099,0.0,1.0
2024-04-15,10.39,10.43,10.09,10.17,9.81298046815703,479789,0.0,1.0
2024-04-12,10.42,10.5001,10.315,10.36,9.99631048673617,266039,0.0,1.0
2024-04-11,10.56,10.59,10.41,10.51,10.1410447119302,462267,0.0,1.0
2024-04-10,10.53,10.545,10.32,10.41,10.0445552284675,491714,0.0,1.0
2024-04-09,10.57,10.84,10.57,10.82,10.4401621106646,669504,0.0,1.0
2024-04-08,10.45,10.58,10.4453,10.54,10.169991556969,358454,0.0,1.0
2024-04-05,10.3,10.44,10.29,10.37,10.0059594350824,273450,0.0,1.0
2024-04-04,10.46,10.595,10.355,10.38,10.0156083834287,514657,0.0,1.0
2024-04-03,10.2,10.385,10.16,10.37,10.0059594350824,444541,0.0,1.0
2024-04-02,10.2,10.27,10.14,10.24,9.88052310658093,558123,0.0,1.0
2024-04-01,10.46,10.46,10.26,10.27,9.90946995161974,443941,0.0,1.0
2024-03-28,10.27,10.46,10.27,10.4,10.0349062801213,558827,0.0,1.0
2024-03-27,10.12,10.23,10.12,10.22,9.86122520988839,492972,0.0,1.0
2024-03-26,10.23,10.31,10.02,10.02,9.66824624296298,907677,0.205,1.0
2024-03-25,10.53,10.55,10.37,10.38,9.81480645495899,576276,0.0,1.0
2024-03-22,10.77,10.81,10.43,10.45,9.8809949377959,521466,0.0,1.0
2024-03-21,10.71,10.825,10.65,10.76,10.1741153617879,682100,0.0,1.0
2024-03-20,10.37,10.67,10.335,10.62,10.0417383961141,587828,0.0,1.0
2024-03-19,10.41,10.48,10.3715,10.38,9.81480645495899,642519,0.0,1.0
2024-03-18,10.46,10.505,10.3796,10.41,9.84317294760338,417539,0.0,1.0
2024-03-15,10.29,10.46,10.245,10.43,9.86208394269964,957597,0.0,1.0
2024-03-14,10.53,10.54,10.26,10.29,9.72970697702582,389395,0.0,1.0
2024-03-13,10.5,10.58,10.47,10.52,9.94718342063281,727701,0.0,1.0
2024-03-12,10.65,10.715,10.53,10.55,9.9755499132772,264514,0.0,1.0
2024-03-11,10.6,10.71,10.54,10.71,10.1268378740473,322217,0.0,1.0
2024-03-08,10.7,10.78,10.53,10.62,10.0417383961141,429976,0.0,1.0
2024-03-07,10.66,10.68,10.525,10.62,10.0417383961141,357032,0.0,1.0
2024-03-06,10.4,10.5658,10.3599,10.56,9.98500541082533,375047,0.0,1.0
2024-03-05,10.49,10.55,10.33,10.34,9.77698446476647,348015,0.0,1.0
2024-03-04,10.4,10.505,10.3599,10.5,9.92827242553655,391790,0.0,1.0
2024-03-01,10.15,10.44,10.02,10.4,9.83371745005525,797752,0.0,1.0
2024-02-29,10.37,10.375,10.11,10.18,9.62569650399639,1082740,0.0,1.0
2024-02-28,10.25,10.35,10.15,10.24,9.68242948928517,602791,0.0,1.0
2024-02-27,10.46,10.505,10.265,10.34,9.77698446476647,470965,0.0,1.0
2024-02-26,10.56,10.81,10.4,10.4,9.83371745005525,550280,0.0,1.0
2024-02-23,10.8,10.84,10.565,10.63,10.0511938936622,464144,0.0,1.0
2024-02-22,11.03,11.335,10.62,10.82,10.2308483470767,879566,0.0,1.0
2024-02-21,11.41,11.55,11.38,11.53,10.9021886729939,276186,0.0,1.0
2024-02-20,11.52,11.625,11.31,11.44,10.8170891950608,326072,0.0,1.0
2024-02-16,11.45,11.615,11.41,11.41,10.7887227024164,398855,0.0,1.0
2024-02-15,11.51,11.69,11.465,11.62,10.9872881509271,545270,0.0,1.0
2024-02-14,11.71,11.71,11.27,11.44,10.8170891950608,467604,0.0,1.0
2024-02-13,11.6,11.6,11.17,11.35,10.7319897171276,689008,0.0,1.0
2024-02-12,11.9,12.0,11.87,11.94,11.2898640724673,272827,0.0,1.0
2024-02-09,11.82,11.92,11.71,11.91,11.2614975798229,227936,0.0,1.0
2024-02-08,11.73,11.88,11.72,11.81,11.1669426043416,250894,0.0,1.0
2024-02-07,11.86,11.86,11.72,11.76,11.1196651166009,226563,0.0,1.0
2024-02-06,11.6,11.84,11.575,11.79,11.1480316092453,228969,0.0,1.0
2024-02-05,11.58,11.75,11.4603,11.63,10.9967436484753,230576,0.0,1.0
2024-02-02,11.84,11.97,11.69,11.75,11.1102096190528,277444,0.0,1.0
2024-02-01,11.95,12.06,11.675,12.04,11.3844190479486,421252,0.0,1.0
2024-01-31,12.07,12.245,11.89,11.96,11.3087750675635,615703,0.0,1.0
2024-01-30,12.19,12.235,12.02,12.05,11.3938745454967,201387,0.0,1.0
2024-01-29,12.38,12.38,12.065,12.22,11.5546180038149,510142,0.0,1.0
2024-01-26,12.21,12.42,12.155,12.41,11.7342724572294,521044,0.0,1.0
2024-01-25,12.27,12.28,12.105,12.12,11.4600630283336,433521,0.0,1.0
2024-01-24,12.17,12.19,11.985,12.06,11.4033300430448,268510,0.0,1.0
2024-01-23,12.32,12.36,12.05,12.1,11.4411520332374,248262,0.0,1.0
2024-01-22,12.29,12.3691,12.2,12.25,11.5829844964593,258777,0.0,1.0
2024-01-19,12.19,12.2,12.05,12.16,11.4978850185261,317608,0.0,1.0
2024-01-18,12.11,12.16,11.96,12.13,11.4695185258818,313564,0.0,1.0
2024-01-17,11.96,12.17,11.87,12.03,11.3749635504004,387486,0.0,1.0
2024-01-16,12.27,12.29,12.09,12.13,11.4695185258818,669130,0.0,1.0
2024-01-12,12.48,12.52,12.325,12.38,11.705905964585,139969,0.0,1.0
2024-01-11,12.27,12.34,12.18,12.3,11.6302619842,236289,0.0,1.0
2024-01-10,12.33,12.43,12.31,12.38,11.705905964585,171982,0.0,1.0
2024-01-09,12.36,12.4654,12.27,12.37,11.6964504670369,226603,0.0,1.0
2024-01-08,12.31,12.6,12.28,12.54,11.8571939253551,248291,0.0,1.0
2024-01-05,12.13,12.41,12.1,12.28,11.6113509891037,291177,0.0,1.0
2024-01-04,12.18,12.33,12.11,12.25,11.5829844964593,276399,0.0,1.0
2024-01-03,12.36,12.36,12.09,12.09,11.4316965356892,273998,0.0,1.0
2024-01-02,12.3,12.51,12.19,12.43,11.7531834523257,497872,0.0,1.0
2023-12-29,12.65,12.66,12.37,12.37,11.6964504670369,345180,0.0,1.0
2023-12-28,12.52,12.69,12.52,12.67,11.9801153934808,240405,0.0,1.0
2023-12-27,12.67,12.74,12.57,12.6,11.9139269106439,228655,0.0,1.0
2023-12-26,12.68,12.72,12.54,12.69,11.999026388577,192973,0.195,1.0
2023-12-22,12.84,12.94,12.78,12.82,11.9384957936793,259796,0.0,1.0
2023-12-21,12.82,12.87,12.625,12.75,11.873308999174,224419,0.0,1.0
2023-12-20,12.89,13.085,12.7,12.71,11.8360594023139,381409,0.0,1.0
2023-12-19,12.82,12.97,12.82,12.92,12.0316197858297,302727,0.0,1.0
2023-12-18,13.09,13.09,12.77,12.78,11.9012461968191,613505,0.0,1.0
2023-12-15,13.04,13.11,12.8,13.0,12.10611897955,1275109,0.0,1.0
2023-12-14,12.89,13.065,12.81,13.05,12.1526809756252,769019,0.0,1.0
2023-12-13,12.31,12.695,12.13,12.58,11.7149982125184,473043,0.0,1.0
2023-12-12,12.22,12.345,12.15,12.29,11.4449386352822,577415,0.0,1.0
2023-12-11,11.95,12.21,11.87,12.19,11.3518146431319,447147,0.0,1.0
2023-12-08,11.84,11.97,11.77,11.97,11.146941860401,365387,0.0,1.0
2023-12-07,11.59,11.85,11.56,11.85,11.0351930698206,315961,0.0,1.0
2023-12-06,11.56,11.67,11.49,11.61,10.8116954886596,317873,0.0,1.0
2023-12-05,11.53,11.53,11.38,11.45,10.662697101219,266707,0.0,1.0
2023-12-04,11.27,11.56,11.27,11.55,10.7558210933694,319957,0.0,1.0
2023-12-01,10.99,11.37,10.91,11.37,10.5881979074987,373793,0.0,1.0
2023-11-30,10.88,11.04,10.81,10.98,10.2250143381122,841982,0.0,1.0
2023-11-29,10.73,10.98,10.73,10.8,10.0573911522415,339097,0.0,1.0
2023-11-28,10.64,10.745,10.56,10.66,9.92701756323098,310312,0.0,1.0
2023-11-27,10.64,10.725,10.57,10.66,9.92701756323098,281090,0.0,1.0
2023-11-24,10.63,10.71,10.56,10.7,9.96426716009113,81689,0.0,1.0
2023-11-22,10.7,10.79,10.64,10.67,9.93632996244602,268249,0.0,1.0
2023-11-21,10.67,10.67,10.555,10.57,9.84320597029564,250627,0.0,1.0
2023-11-20,10.72,10.795,10.591,10.77,10.0294539545964,412476,0.0,1.0
2023-11-17,10.79,10.79,10.66,10.68,9.94564236166106,367757,0.0,1.0
2023-11-16,10.9,10.925,10.615,10.64,9.9083927648009,341064,0.0,1.0
2023-11-15,10.78,10.9,10.74,10.87,10.1225779467468,277236,0.0,1.0
2023-11-14,10.67,10.91,10.48,10.83,10.0853283498866,290518,0.0,1.0
