,AHL_Open,AHL_High,AHL_Low,AHL_Close,AHL_Adj Close,AHL_Volume,AHL_Dividend Amount,AHL_Split Coefficient
2019-02-15,42.74,42.74,42.74,42.74,42.74,0,0.0,1.0
2019-02-14,42.74,42.75,42.73,42.74,42.74,20706027,0.0,1.0
2019-02-13,42.55,42.55,42.45,42.51,42.51,397677,0.0,1.0
2019-02-12,42.55,42.56,42.51,42.54,42.54,559614,0.0,1.0
2019-02-11,42.54,42.55,42.5,42.54,42.54,366805,0.0,1.0
2019-02-08,42.49,42.56,42.47,42.56,42.56,875426,0.0,1.0
2019-02-07,42.43,42.53,42.4,42.53,42.53,3999049,0.0,1.0
2019-02-06,41.84,42.065,41.82,41.99,41.99,725596,0.0,1.0
2019-02-05,41.89,41.93,41.8,41.83,41.83,910179,0.0,1.0
2019-02-04,41.85,41.98,41.795,41.89,41.89,1024340,0.0,1.0
2019-02-01,41.77,41.87,41.73,41.85,41.85,538371,0.0,1.0
2019-01-31,41.78,41.87,41.54,41.73,41.73,1146120,0.0,1.0
2019-01-30,41.83,41.89,41.755,41.77,41.77,1108288,0.0,1.0
2019-01-29,41.9,41.96,41.8,41.81,41.81,900821,0.0,1.0
2019-01-28,41.85,41.97,41.795,41.87,41.87,564469,0.0,1.0
2019-01-25,42.16,42.16,41.7601,41.86,41.86,1867720,0.0,1.0
2019-01-24,42.24,42.25,42.02,42.07,42.07,1339915,0.0,1.0
2019-01-23,42.26,42.28,42.21,42.23,42.23,1232482,0.0,1.0
2019-01-22,42.26,42.28,42.235,42.25,42.25,550419,0.0,1.0
2019-01-18,42.23,42.3,42.22,42.27,42.27,455638,0.0,1.0
2019-01-17,42.24,42.26,42.22,42.22,42.22,820816,0.0,1.0
2019-01-16,42.24,42.25,42.22,42.24,42.24,934885,0.0,1.0
2019-01-15,42.22,42.25,42.22,42.24,42.24,912104,0.0,1.0
2019-01-14,42.23,42.26,42.19,42.21,42.21,491335,0.0,1.0
2019-01-11,42.22,42.25,42.21,42.25,42.25,494898,0.0,1.0
2019-01-10,42.18,42.25,42.16,42.23,42.23,504830,0.0,1.0
2019-01-09,42.17,42.21,42.12,42.19,42.19,1049617,0.0,1.0
2019-01-08,42.1,42.2,42.07,42.15,42.15,1034305,0.0,1.0
2019-01-07,42.09,42.13,42.03,42.07,42.07,786306,0.0,1.0
2019-01-04,42.06,42.16,42.04,42.11,42.11,465936,0.0,1.0
2019-01-03,41.93,42.13,41.87,42.08,42.08,665563,0.0,1.0
2019-01-02,41.92,42.03,41.81,41.94,41.94,783375,0.0,1.0
2018-12-31,41.89,42.0,41.76,41.99,41.99,618274,0.0,1.0
2018-12-28,41.9,41.99,41.74,41.86,41.86,724547,0.0,1.0
2018-12-27,41.66,41.98,41.57,41.94,41.94,1806591,0.0,1.0
2018-12-26,41.69,41.84,41.6125,41.68,41.68,877789,0.0,1.0
2018-12-24,41.76,41.86,41.54,41.59,41.59,597327,0.0,1.0
2018-12-21,41.72,41.91,41.69,41.78,41.78,1258793,0.0,1.0
2018-12-20,41.805,41.84,41.6002,41.72,41.72,1270944,0.0,1.0
2018-12-19,41.72,41.94,41.7,41.71,41.71,799736,0.0,1.0
2018-12-18,41.85,41.92,41.68,41.68,41.68,520018,0.0,1.0
2018-12-17,41.89,41.95,41.8,41.8,41.8,738073,0.0,1.0
2018-12-14,41.88,41.99,41.86,41.9,41.9,658810,0.0,1.0
2018-12-13,41.88,41.97,41.86,41.91,41.91,439042,0.0,1.0
2018-12-12,41.9,42.025,41.85,41.87,41.87,836986,0.0,1.0
2018-12-11,41.86,41.98,41.83,41.86,41.86,691542,0.0,1.0
2018-12-10,41.89,41.98,41.73,41.91,41.91,720350,0.0,1.0
2018-12-07,41.93,42.07,41.84,41.89,41.89,640372,0.0,1.0
2018-12-06,41.9,41.96,41.71,41.91,41.91,634590,0.0,1.0
2018-12-04,41.91,42.04,41.84,41.93,41.93,743238,0.0,1.0
2018-12-03,41.9,41.97,41.85,41.91,41.91,580784,0.0,1.0
2018-11-30,41.81,41.9,41.67,41.86,41.86,945990,0.0,1.0
2018-11-29,41.83,41.88,41.63,41.86,41.86,374463,0.0,1.0
2018-11-28,41.77,41.95,41.65,41.88,41.88,1397027,0.0,1.0
2018-11-27,41.89,41.99,41.5,41.65,41.65,806533,0.0,1.0
2018-11-26,41.7,42.07,41.65,41.86,41.86,1134169,0.0,1.0
2018-11-23,41.6,41.82,41.48,41.52,41.52,207751,0.0,1.0
2018-11-21,41.53,41.64,41.38,41.6,41.6,416568,0.0,1.0
2018-11-20,41.24,41.64,41.23,41.52,41.52,1454977,0.0,1.0
2018-11-19,41.15,41.51,41.15,41.32,41.32,706918,0.0,1.0
2018-11-16,41.23,41.31,41.1,41.26,41.26,643731,0.0,1.0
2018-11-15,41.14,41.38,41.0001,41.36,41.36,702797,0.0,1.0
2018-11-14,41.51,41.58,41.12,41.13,41.13,1267814,0.0,1.0
2018-11-13,41.5,41.67,41.31,41.43,41.43,1078264,0.0,1.0
2018-11-12,41.86,41.9,41.33,41.47,41.47,2061262,0.0,1.0
2018-11-09,42.03,42.1,41.82,41.84,41.84,552365,0.0,1.0
2018-11-08,42.05,42.15,41.45,42.06,42.06,499300,0.0,1.0
2018-11-07,42.05,42.1,42.03,42.08,42.08,427098,0.0,1.0
2018-11-06,41.99,42.08,41.99,42.05,42.05,868232,0.0,1.0
2018-11-05,41.91,42.02,41.91,42.0,42.0,538636,0.0,1.0
2018-11-02,41.95,41.98,41.89,41.94,41.94,631645,0.0,1.0
2018-11-01,41.89,41.99,41.835,41.95,41.95,609025,0.0,1.0
2018-10-31,41.87,41.9,41.81,41.88,41.88,696607,0.0,1.0
2018-10-30,41.71,41.94,41.71,41.81,41.81,952929,0.0,1.0
2018-10-29,41.71,41.77,41.65,41.65,41.65,1438777,0.0,1.0
2018-10-26,41.65,41.74,41.645,41.7,41.7,1524406,0.0,1.0
2018-10-25,41.68,41.745,41.57,41.69,41.69,1680389,0.0,1.0
2018-10-24,41.72,41.76,41.57,41.64,41.64,2066680,0.0,1.0
2018-10-23,41.77,41.8,41.6,41.7,41.7,1015892,0.0,1.0
2018-10-22,41.92,41.92,41.81,41.83,41.83,499500,0.0,1.0
2018-10-19,41.81,41.94,41.71,41.87,41.87,337693,0.0,1.0
2018-10-18,41.9,41.94,41.71,41.84,41.84,906631,0.0,1.0
2018-10-17,41.95,42.0,41.85,41.91,41.91,537859,0.0,1.0
2018-10-16,41.85,42.03,41.76,41.98,41.98,599341,0.0,1.0
2018-10-15,41.75,41.89,41.71,41.84,41.84,551197,0.0,1.0
2018-10-12,41.68,41.95,41.57,41.9,41.9,616058,0.0,1.0
2018-10-11,41.76,41.83,41.54,41.63,41.63,1582131,0.0,1.0
2018-10-10,41.85,41.88,41.74,41.76,41.76,1281515,0.0,1.0
2018-10-09,41.76,41.95,41.66,41.93,41.93,951932,0.0,1.0
2018-10-08,41.85,41.86,41.73,41.79,41.79,1367730,0.0,1.0
2018-10-05,41.88,42.16,41.75,41.75,41.75,682591,0.0,1.0
2018-10-04,41.89,41.96,41.8,41.86,41.86,905406,0.0,1.0
2018-10-03,41.85,42.02,41.82,41.93,41.93,976047,0.0,1.0
2018-10-02,41.75,41.86,41.73,41.8,41.8,956308,0.0,1.0
2018-10-01,41.77,41.92,41.65,41.75,41.75,2097813,0.0,1.0
2018-09-28,41.7,41.8,41.65,41.8,41.8,668905,0.0,1.0
2018-09-27,41.7,41.8,41.65,41.65,41.65,485888,0.0,1.0
2018-09-26,41.8,41.8,41.575,41.65,41.65,667636,0.0,1.0
2018-09-25,41.55,41.9,41.55,41.75,41.75,736950,0.0,1.0
2018-09-24,41.45,41.65,41.425,41.6,41.6,723202,0.0,1.0
2018-09-21,41.55,41.55,41.4,41.5,41.5,784072,0.0,1.0
2018-09-20,41.45,41.65,41.4,41.55,41.55,654281,0.0,1.0
2018-09-19,41.4,41.55,41.35,41.45,41.45,676927,0.0,1.0
2018-09-18,41.3,41.5,41.3,41.45,41.45,1016933,0.0,1.0
2018-09-17,41.2,41.45,41.2,41.3,41.3,867866,0.0,1.0
2018-09-14,41.25,41.4,41.2,41.2,41.2,644436,0.0,1.0
2018-09-13,41.0,41.45,41.0,41.3,41.3,1093693,0.0,1.0
2018-09-12,40.9,41.05,40.7,41.0,41.0,1806567,0.0,1.0
2018-09-11,41.0,41.05,40.8,40.9,40.9,1842621,0.0,1.0
2018-09-10,41.3,41.325,40.95,40.95,40.95,2952948,0.0,1.0
2018-09-07,41.3,41.4,41.25,41.35,41.35,1416606,0.0,1.0
2018-09-06,41.35,41.45,41.2,41.25,41.25,1226344,0.0,1.0
2018-09-05,41.15,41.45,41.1,41.4,41.4,2099411,0.0,1.0
2018-09-04,41.1,41.2,41.05,41.1,41.1,4313023,0.0,1.0
2018-08-31,41.15,41.2,41.1,41.15,41.15,4005633,0.0,1.0
2018-08-30,41.15,41.2,41.1,41.1,41.1,1836237,0.0,1.0
2018-08-29,41.05,41.25,41.0,41.1,41.1,4991747,0.0,1.0
2018-08-28,41.0,41.3,40.85,41.0,41.0,20217667,0.0,1.0
2018-08-27,38.9,40.55,38.55,40.1,40.1,2015858,0.0,1.0
2018-08-24,37.45,38.55,37.425,38.4,38.4,506422,0.0,1.0
2018-08-23,37.1,37.55,37.1,37.4,37.4,282198,0.0,1.0
2018-08-22,37.7,37.7,37.025,37.15,37.15,651967,0.0,1.0
2018-08-21,37.9,38.1,37.25,37.75,37.75,821270,0.0,1.0
2018-08-20,38.05,39.1,37.75,37.95,37.95,930954,0.0,1.0
2018-08-17,37.05,37.2,36.45,36.5,36.5,491684,0.0,1.0
2018-08-16,37.1,37.55,37.1,37.1,37.1,348563,0.24,1.0
2018-08-15,37.2,38.05,37.2,37.4,37.1596143545795,393183,0.0,1.0
2018-08-14,36.5,37.45,36.5,37.3,37.060257096947,473955,0.0,1.0
2018-08-13,36.75,37.2,36.65,36.7,36.4641135511516,347198,0.0,1.0
2018-08-10,36.7,37.05,36.475,36.9,36.6628280664167,357040,0.0,1.0
2018-08-09,36.7,37.05,36.55,37.0,36.7621853240493,375754,0.0,1.0
2018-08-08,37.15,37.2,36.8,36.85,36.6131494376004,305973,0.0,1.0
2018-08-07,37.4,37.75,37.1,37.25,37.0105784681307,451661,0.0,1.0
2018-08-06,37.7,38.1,37.05,37.45,37.2092929833958,544435,0.0,1.0
2018-08-03,38.15,38.4,37.05,37.95,37.7060792715587,935767,0.0,1.0
2018-08-02,39.55,40.5,38.3,38.45,38.2028655597215,1096321,0.0,1.0
2018-08-01,40.35,40.4,39.9,40.3,40.0409748259239,470241,0.0,1.0
2018-07-31,40.2,40.5,39.8,40.45,40.1900107123728,328277,0.0,1.0
2018-07-30,40.3,40.8,40.15,40.2,39.9416175682914,285183,0.0,1.0
2018-07-27,40.55,40.75,40.2,40.25,39.9912961971077,237730,0.0,1.0
2018-07-26,40.0,40.625,40.0,40.35,40.0906534547402,532293,0.0,1.0
2018-07-25,40.55,40.95,39.9,40.0,39.7429030530262,442923,0.0,1.0
2018-07-24,40.8,41.95,40.1,40.45,40.1900107123728,1156937,0.0,1.0
2018-07-23,40.3,40.9,40.05,40.8,40.5377611140868,644281,0.0,1.0
2018-07-20,40.4,40.625,39.7,40.4,40.1403320835565,381523,0.0,1.0
2018-07-19,40.0,40.575,39.95,40.4,40.1403320835565,434221,0.0,1.0
2018-07-18,40.0,40.55,40.0,40.15,39.8919389394751,197158,0.0,1.0
2018-07-17,40.3,40.45,40.05,40.1,39.8422603106588,289654,0.0,1.0
2018-07-16,39.75,40.35,39.45,40.2,39.9416175682914,351587,0.0,1.0
2018-07-13,39.2,39.75,38.9,39.65,39.3951526513123,369994,0.0,1.0
2018-07-12,41.1,41.1,39.35,39.65,39.3951526513123,484940,0.0,1.0
2018-07-11,40.85,41.05,40.7,40.95,40.6867970005356,386113,0.0,1.0
2018-07-10,41.0,41.0,40.75,40.8,40.5377611140868,354793,0.0,1.0
2018-07-09,40.45,41.175,40.3,40.95,40.6867970005356,479689,0.0,1.0
2018-07-06,41.05,41.35,40.05,40.5,40.2396893411891,877306,0.0,1.0
2018-07-05,41.35,41.45,40.85,41.15,40.8855115158007,513663,0.0,1.0
2018-07-03,40.8,41.3,40.7,41.1,40.8358328869845,337055,0.0,1.0
