,AIN_Open,AIN_High,AIN_Low,AIN_Close,AIN_Adj Close,AIN_Volume,AIN_Dividend Amount,AIN_Split Coefficient
2024-10-04,78.44,79.01,77.21,77.72,77.72,294176,0.0,1.0
2024-10-03,82.5,83.82,77.07,77.33,77.33,264585,0.0,1.0
2024-10-02,86.91,88.165,86.87,86.92,86.92,54853,0.0,1.0
2024-10-01,88.29,88.29,86.34,87.46,87.46,106604,0.0,1.0
2024-09-30,87.03,88.92,86.01,88.85,88.85,150805,0.0,1.0
2024-09-27,88.11,89.25,87.17,87.19,87.19,111155,0.0,1.0
2024-09-26,87.78,88.45,86.89,87.16,87.16,139957,0.0,1.0
2024-09-25,86.91,86.91,85.91,86.59,86.59,152334,0.0,1.0
2024-09-24,86.77,87.21,85.98,86.58,86.58,120268,0.0,1.0
2024-09-23,87.54,87.555,86.22,86.27,86.27,79628,0.0,1.0
2024-09-20,87.86,88.05,86.49,87.01,87.01,485309,0.0,1.0
2024-09-19,89.66,89.66,87.6875,88.47,88.47,102073,0.0,1.0
2024-09-18,86.74,89.51,85.925,87.01,87.01,132344,0.0,1.0
2024-09-17,86.24,87.69,85.8,86.55,86.55,120515,0.0,1.0
2024-09-16,86.08,86.39,84.6,85.79,85.79,134069,0.0,1.0
2024-09-13,86.17,87.03,84.79,85.44,85.44,110325,0.0,1.0
2024-09-12,84.99,85.56,83.7,84.88,84.88,98592,0.0,1.0
2024-09-11,84.5,84.5,82.14,84.21,84.21,299677,0.0,1.0
2024-09-10,85.71,85.71,84.39,85.47,85.47,80896,0.0,1.0
2024-09-09,84.93,85.69,84.135,85.19,85.19,299448,0.0,1.0
2024-09-06,86.93,87.5536,84.53,84.57,84.57,144884,0.0,1.0
2024-09-05,89.06,89.46,86.02,86.39,86.39,99009,0.0,1.0
2024-09-04,88.85,90.33,88.835,89.41,89.41,111855,0.0,1.0
2024-09-03,92.56,93.42,88.93,88.96,88.96,215290,0.26,1.0
2024-08-30,92.83,94.2,92.47,94.16,93.8856041246357,101508,0.0,1.0
2024-08-29,93.27,94.05,91.94,93.08,92.8087514010312,156198,0.0,1.0
2024-08-28,91.65,93.185,91.05,92.35,92.0808787267429,104645,0.0,1.0
2024-08-27,91.27,92.19,90.71,91.68,91.412831203766,130468,0.0,1.0
2024-08-26,92.44,93.385,91.56,91.58,91.313122618247,83392,0.0,1.0
2024-08-23,90.17,92.54,90.17,91.42,91.1535888814167,120950,0.0,1.0
2024-08-22,89.22,90.145,88.505,89.17,88.9101457072405,211506,0.0,1.0
2024-08-21,88.94,89.5,87.7,89.32,89.0597085855189,110650,0.0,1.0
2024-08-20,88.98,88.98,87.68,88.49,88.2321273257117,63813,0.0,1.0
2024-08-19,89.37,89.79,88.545,89.41,89.149446312486,61438,0.0,1.0
2024-08-16,89.12,89.47,88.265,88.92,88.6608742434432,71606,0.0,1.0
2024-08-15,89.76,90.26,88.99,89.31,89.0497377269671,84170,0.0,1.0
2024-08-14,88.87,88.87,86.99,87.44,87.1851871777628,88613,0.0,1.0
2024-08-13,87.86,88.59,86.17,88.01,87.7535261152208,213583,0.0,1.0
2024-08-12,88.83,89.06,86.71,86.9,86.6467608159605,102595,0.0,1.0
2024-08-09,88.93,89.46,87.845,89.03,88.770553687514,129422,0.0,1.0
2024-08-08,88.28,89.86,87.84,89.08,88.8204079802735,157422,0.0,1.0
2024-08-07,87.8,90.355,86.59,87.4,87.1453037435553,331397,0.0,1.0
2024-08-06,83.79,86.73,83.79,85.83,85.5798789509079,113855,0.0,1.0
2024-08-05,82.3,85.015,81.3722,84.36,84.1141627437794,219974,0.0,1.0
2024-08-02,86.26,87.24,85.73,86.67,86.417431069267,190208,0.0,1.0
2024-08-01,93.38,94.14,89.11,89.83,89.5682223716655,195051,0.0,1.0
2024-07-31,93.05,95.47,92.18,93.58,93.3072943286259,155457,0.0,1.0
2024-07-30,92.76,93.41,91.765,93.02,92.7489262497198,118009,0.0,1.0
2024-07-29,92.5,93.33,91.63,92.03,91.7618112530823,107310,0.0,1.0
2024-07-26,93.18,93.7,91.8,92.11,91.8415781214974,87970,0.0,1.0
2024-07-25,90.44,93.34,90.44,91.56,91.2931809011432,173408,0.0,1.0
2024-07-24,90.83,92.35,89.85,89.87,89.6081058058731,93466,0.0,1.0
2024-07-23,90.16,92.55,90.16,91.08,90.8145796906523,155132,0.0,1.0
2024-07-22,89.2,90.69,88.33,90.4,90.1365613091235,105323,0.0,1.0
2024-07-19,89.91,90.58,88.68,88.91,88.6509033848913,133621,0.0,1.0
2024-07-18,90.53,92.33,89.41,89.89,89.6280475229769,122882,0.0,1.0
2024-07-17,92.59,94.54,91.23,91.45,91.1835014570724,184107,0.0,1.0
2024-07-16,91.38,93.95,90.79,93.63,93.3571486213853,144252,0.0,1.0
2024-07-15,88.6,90.485,87.34,89.81,89.5482806545618,143662,0.0,1.0
2024-07-12,87.77,88.74,87.42,87.59,87.3347500560412,136889,0.0,1.0
2024-07-11,85.18,87.165,84.18,86.39,86.1382470298139,141346,0.0,1.0
2024-07-10,81.96,82.91,81.4,82.73,82.4889127998207,70803,0.0,1.0
2024-07-09,82.17,82.795,81.25,81.29,81.0531091683479,118117,0.0,1.0
2024-07-08,83.26,84.37,82.53,82.55,82.3094373458866,178567,0.0,1.0
2024-07-05,82.27,83.09,81.58,82.44,82.1997579018157,75833,0.0,1.0
2024-07-03,83.2,83.4721,82.26,82.79,82.548737951132,58044,0.0,1.0
2024-07-02,82.53,83.47,82.53,82.76,82.5188253754764,94574,0.0,1.0
2024-07-01,84.39,84.46,81.81,82.36,82.1199910334006,132363,0.0,1.0
2024-06-28,85.74,86.21,84.04,84.45,84.2039004707465,950279,0.0,1.0
2024-06-27,84.88,85.2,84.29,84.97,84.722385115445,81842,0.0,1.0
2024-06-26,83.83,85.37,83.2,84.32,84.0742793095718,109768,0.0,1.0
2024-06-25,85.06,85.27,83.83,84.14,83.8948038556377,98852,0.0,1.0
2024-06-24,85.47,86.24,85.043,85.66,85.4103743555257,111505,0.0,1.0
2024-06-21,84.5,85.33,83.51,85.13,84.8819188522753,400549,0.0,1.0
2024-06-20,84.42,85.88,83.76,83.94,83.6953866845999,92024,0.0,1.0
2024-06-18,84.59,85.17,83.88,85.11,84.8619771351715,115978,0.0,1.0
2024-06-17,82.76,84.6,82.58,84.5,84.2537547635059,102830,0.0,1.0
2024-06-14,83.24,83.8,82.01,83.29,83.0472808787268,103443,0.0,1.0
2024-06-13,85.42,85.42,83.84,84.56,84.3135799148173,139787,0.0,1.0
2024-06-12,86.02,87.0546,85.56,85.79,85.5399955167003,141337,0.0,1.0
2024-06-11,83.2,83.58,81.83,83.56,83.3164940596279,157448,0.0,1.0
2024-06-10,83.4,84.0,82.91,83.6,83.3563774938355,102754,0.0,1.0
2024-06-07,84.87,85.6824,84.3,84.37,84.1241336023313,66930,0.26,1.0
2024-06-06,87.49,87.83,85.68,86.07,85.5555261627396,102320,0.0,1.0
2024-06-05,87.18,88.06,86.49,87.96,87.4342288982756,104429,0.0,1.0
2024-06-04,86.46,87.64,86.28,86.82,86.3010431212856,95919,0.0,1.0
2024-06-03,89.03,89.33,86.88,86.95,86.430266060767,138622,0.0,1.0
2024-05-31,86.51,87.92,86.51,87.72,87.1956634715409,189534,0.0,1.0
2024-05-30,86.19,86.92,85.49,86.59,86.0724179206649,178235,0.0,1.0
2024-05-29,85.46,85.72,84.91,85.34,84.8298896564215,98872,0.0,1.0
2024-05-28,88.71,88.71,87.21,87.39,86.8676360097806,78746,0.0,1.0
2024-05-24,89.17,89.17,87.78,88.28,87.7523161339219,84634,0.0,1.0
2024-05-23,90.17,90.17,88.2,88.55,88.0207022389984,105255,0.0,1.0
2024-05-22,90.26,90.775,89.805,90.19,89.6508993216857,116272,0.0,1.0
2024-05-21,90.12,91.1,90.12,90.72,90.1777313057249,67265,0.0,1.0
2024-05-20,89.98,91.07,89.98,90.55,90.0087474617878,78910,0.0,1.0
2024-05-17,90.26,90.52,89.75,90.1,89.5614372866602,70244,0.0,1.0
2024-05-16,90.54,90.85,89.815,90.09,89.5514970605462,102788,0.0,1.0
2024-05-15,91.66,91.9,90.91,90.91,90.3665956018899,107779,0.0,1.0
2024-05-14,91.12,91.62,90.44,90.8,90.2572531146364,129034,0.0,1.0
2024-05-13,89.61,89.91,89.06,89.76,89.223469598786,116681,0.0,1.0
2024-05-10,89.11,89.96,88.37,88.83,88.2990285701889,82050,0.0,1.0
2024-05-09,88.2,89.31,88.15,88.96,88.4282515096702,108881,0.0,1.0
2024-05-08,86.71,88.7,86.71,87.89,87.364647315478,108717,0.0,1.0
2024-05-07,86.8,88.2,86.4541,87.56,87.0366198537177,272229,0.0,1.0
2024-05-06,86.06,87.38,85.6837,86.64,86.1221190512346,139516,0.0,1.0
2024-05-03,85.05,85.52,83.395,84.67,84.1638945067871,289734,0.0,1.0
2024-05-02,82.51,83.69,81.4054,83.66,83.1599316692785,244105,0.0,1.0
2024-05-01,80.11,83.75,79.76,81.71,81.2215875770589,328915,0.0,1.0
2024-04-30,85.65,86.825,78.55,79.75,79.2733032587253,519197,0.0,1.0
2024-04-29,87.67,88.735,87.67,88.3,87.7721965861498,161251,0.0,1.0
2024-04-26,87.8,88.11,87.33,87.68,87.1559025670851,125321,0.0,1.0
2024-04-25,87.44,87.92,86.58,87.38,86.8576957836667,177272,0.0,1.0
2024-04-24,87.46,88.315,87.2,88.08,87.5535116116429,200923,0.0,1.0
2024-04-23,87.59,88.55,87.59,88.08,87.5535116116429,198669,0.0,1.0
2024-04-22,88.63,88.76,87.27,87.57,87.0465600798316,136113,0.0,1.0
2024-04-19,87.69,89.18,87.5,88.23,87.7026150033521,150730,0.0,1.0
2024-04-18,88.31,89.43,87.7597,87.83,87.3050059587943,187960,0.0,1.0
2024-04-17,89.35,89.84,87.93,87.95,87.4242886721616,170938,0.0,1.0
2024-04-16,88.6,89.3314,88.0,88.48,87.9511206562008,162207,0.0,1.0
2024-04-15,89.98,90.525,88.925,89.48,88.9451432675955,120356,0.0,1.0
2024-04-12,90.35,90.59,88.77,89.54,89.0047846242792,199746,0.0,1.0
2024-04-11,89.18,91.45,88.545,91.16,90.6151012547385,412021,0.0,1.0
2024-04-10,87.1,88.82,86.93,88.79,88.2592676657332,181974,0.0,1.0
2024-04-09,88.88,89.82,88.39,89.58,89.0445455287349,100823,0.0,1.0
2024-04-08,89.71,89.96,88.6,88.72,88.1896860829355,155098,0.0,1.0
2024-04-05,88.72,89.98,88.59,89.12,88.5872951274934,140432,0.0,1.0
2024-04-04,89.69,90.57,88.68,89.13,88.5972353536073,208139,0.0,1.0
2024-04-03,87.94,89.45,87.94,89.18,88.6469364841771,165330,0.0,1.0
2024-04-02,90.04,90.04,87.91,88.73,88.1996263090495,225610,0.0,1.0
