,AIV_Open,AIV_High,AIV_Low,AIV_Close,AIV_Adj Close,AIV_Volume,AIV_Dividend Amount,AIV_Split Coefficient
2024-10-04,8.79,8.815,8.66,8.77,8.77,573860,0.0,1.0
2024-10-03,8.93,8.93,8.74,8.79,8.79,638618,0.0,1.0
2024-10-02,8.94,9.06,8.94,8.98,8.98,596816,0.0,1.0
2024-10-01,9.01,9.05,8.92,9.01,9.01,889352,0.0,1.0
2024-09-30,9.08,9.19,8.985,9.04,9.04,921550,0.0,1.0
2024-09-27,9.28,9.36,9.13,9.13,9.13,707253,0.0,1.0
2024-09-26,9.41,9.41,9.21,9.26,9.26,991934,0.0,1.0
2024-09-25,9.33,9.415,9.3,9.38,9.38,1237582,0.0,1.0
2024-09-24,9.27,9.41,9.24,9.34,9.34,715670,0.0,1.0
2024-09-23,9.27,9.38,9.27,9.3,9.3,833570,0.0,1.0
2024-09-20,9.26,9.39,9.21,9.24,9.24,2362032,0.0,1.0
2024-09-19,9.39,9.39,9.2,9.29,9.29,982244,0.0,1.0
2024-09-18,9.12,9.34,9.12,9.26,9.26,1170986,0.0,1.0
2024-09-17,9.14,9.17,9.045,9.16,9.16,817587,0.0,1.0
2024-09-16,9.29,9.295,9.06,9.08,9.08,1153056,0.0,1.0
2024-09-13,9.07,9.25,9.035,9.22,9.22,963512,0.0,1.0
2024-09-12,8.97,9.075,8.83,8.99,8.99,761698,0.0,1.0
2024-09-11,8.77,8.935,8.695,8.91,8.91,712304,0.0,1.0
2024-09-10,8.77,8.88,8.715,8.88,8.88,734365,0.0,1.0
2024-09-09,8.81,8.845,8.74,8.75,8.75,684840,0.0,1.0
2024-09-06,8.9,8.91,8.74,8.79,8.79,836985,0.0,1.0
2024-09-05,9.07,9.16,8.93,8.94,8.94,654968,0.0,1.0
2024-09-04,9.03,9.135,8.932,9.03,9.03,622045,0.0,1.0
2024-09-03,9.21,9.27,9.06,9.06,9.06,1271653,0.0,1.0
2024-08-30,9.4,9.48,9.23,9.3,9.3,871758,0.0,1.0
2024-08-29,9.34,9.485,9.288,9.35,9.35,957758,0.0,1.0
2024-08-28,9.14,9.4,9.1,9.33,9.33,1120369,0.0,1.0
2024-08-27,9.01,9.195,8.885,9.14,9.14,1732436,0.0,1.0
2024-08-26,8.99,9.0,8.79,8.82,8.82,822501,0.0,1.0
2024-08-23,8.87,9.07,8.85,8.91,8.91,1206870,0.0,1.0
2024-08-22,8.76,8.81,8.68,8.8,8.8,714071,0.0,1.0
2024-08-21,8.72,8.76,8.62,8.75,8.75,833000,0.0,1.0
2024-08-20,8.73,8.755,8.62,8.68,8.68,586090,0.0,1.0
2024-08-19,8.73,8.805,8.675,8.72,8.72,808844,0.0,1.0
2024-08-16,8.69,8.795,8.69,8.7,8.7,734586,0.0,1.0
2024-08-15,8.79,8.81,8.7,8.7,8.7,803130,0.0,1.0
2024-08-14,8.8,8.8,8.68,8.72,8.72,606289,0.0,1.0
2024-08-13,8.63,8.765,8.63,8.75,8.75,650006,0.0,1.0
2024-08-12,8.68,8.74,8.6,8.63,8.63,838324,0.0,1.0
2024-08-09,8.61,8.69,8.595,8.69,8.69,870443,0.0,1.0
2024-08-08,8.56,8.83,8.5,8.62,8.62,1367250,0.0,1.0
2024-08-07,8.87,8.97,8.74,8.75,8.75,757986,0.0,1.0
2024-08-06,8.72,8.95,8.695,8.85,8.85,738956,0.0,1.0
2024-08-05,8.63,8.98,8.575,8.71,8.71,1206125,0.0,1.0
2024-08-02,8.83,9.085,8.8,8.91,8.91,860228,0.0,1.0
2024-08-01,8.86,9.015,8.825,9.01,9.01,959868,0.0,1.0
2024-07-31,8.95,9.04,8.86,8.86,8.86,1022540,0.0,1.0
2024-07-30,9.08,9.12,8.9,8.97,8.97,582857,0.0,1.0
2024-07-29,9.12,9.12,8.96,9.01,9.01,752068,0.0,1.0
2024-07-26,9.06,9.125,9.025,9.05,9.05,597900,0.0,1.0
2024-07-25,9.01,9.14,8.885,8.98,8.98,1354733,0.0,1.0
2024-07-24,9.03,9.15,8.96,8.97,8.97,883526,0.0,1.0
2024-07-23,9.09,9.2,9.03,9.06,9.06,852971,0.0,1.0
2024-07-22,9.07,9.11,8.955,9.09,9.09,872042,0.0,1.0
2024-07-19,9.03,9.05,8.9346,9.01,9.01,651158,0.0,1.0
2024-07-18,8.97,9.125,8.961,9.0,9.0,714930,0.0,1.0
2024-07-17,9.06,9.135,8.96,9.04,9.04,1090093,0.0,1.0
2024-07-16,8.89,9.115,8.87,9.11,9.11,1030090,0.0,1.0
2024-07-15,8.56,8.82,8.545,8.81,8.81,1138088,0.0,1.0
2024-07-12,8.65,8.695,8.48,8.49,8.49,1021673,0.0,1.0
2024-07-11,8.49,8.61,8.45,8.57,8.57,882408,0.0,1.0
2024-07-10,8.39,8.41,8.235,8.31,8.31,671844,0.0,1.0
2024-07-09,8.21,8.33,8.09,8.32,8.32,1028891,0.0,1.0
2024-07-08,8.24,8.315,8.165,8.2,8.2,839027,0.0,1.0
2024-07-05,8.28,8.36,8.22,8.22,8.22,601535,0.0,1.0
2024-07-03,8.46,8.525,8.26,8.28,8.28,391243,0.0,1.0
2024-07-02,8.35,8.46,8.335,8.45,8.45,548055,0.0,1.0
2024-07-01,8.35,8.37,8.15,8.3,8.3,688311,0.0,1.0
2024-06-28,8.15,8.4,8.085,8.29,8.29,3876651,0.0,1.0
2024-06-27,8.02,8.08,7.98,8.08,8.08,908621,0.0,1.0
2024-06-26,7.91,8.13,7.91,7.97,7.97,3881804,0.0,1.0
2024-06-25,8.01,8.03,7.92,8.0,8.0,1222048,0.0,1.0
2024-06-24,7.96,8.05,7.96,8.0,8.0,1381714,0.0,1.0
2024-06-21,7.97,8.04,7.955,7.97,7.97,2882832,0.0,1.0
2024-06-20,7.96,8.015,7.94,7.97,7.97,749043,0.0,1.0
2024-06-18,8.03,8.06,7.99,8.02,8.02,588057,0.0,1.0
2024-06-17,8.01,8.06,7.97,8.02,8.02,843786,0.0,1.0
2024-06-14,7.99,8.095,7.99,8.07,8.07,734606,0.0,1.0
