,ALB_Open,ALB_High,ALB_Low,ALB_Close,ALB_Adj Close,ALB_Volume,ALB_Dividend Amount,ALB_Split Coefficient
2024-10-04,99.2,102.1,98.4,102.09,102.09,4790855,0.0,1.0
2024-10-03,92.05,95.0,91.9,94.31,94.31,1785640,0.0,1.0
2024-10-02,94.39,95.63,92.56,94.07,94.07,1271390,0.0,1.0
2024-10-01,94.16,94.95,92.7114,94.32,94.32,1269896,0.0,1.0
2024-09-30,96.19,98.1,94.2,94.71,94.71,1743351,0.0,1.0
2024-09-27,97.2,98.25,94.82,96.05,96.05,2592845,0.0,1.0
2024-09-26,92.0,95.53,90.51,95.17,95.17,4339616,0.0,1.0
2024-09-25,90.62,90.84,86.45,86.58,86.58,2170517,0.0,1.0
2024-09-24,92.7,94.845,90.46,90.46,90.46,3650486,0.0,1.0
2024-09-23,87.33,90.27,85.93,88.71,88.71,2005311,0.0,1.0
2024-09-20,88.47,88.97,85.45,86.03,86.03,4531530,0.0,1.0
2024-09-19,90.2,90.37,87.8394,89.33,89.33,1976211,0.0,1.0
2024-09-18,90.56,90.74,86.095,86.59,86.59,3200630,0.0,1.0
2024-09-17,90.51,91.9,89.76,89.82,89.82,1925607,0.0,1.0
2024-09-16,87.99,90.12,86.97,89.35,89.35,1566367,0.0,1.0
2024-09-13,88.9,89.805,85.87,87.44,87.44,2181681,0.405,1.0
2024-09-12,89.3,89.865,86.74,88.5,88.0919801923843,2865108,0.0,1.0
2024-09-11,90.21,91.81,84.75,89.3,88.8882918777392,6391826,0.0,1.0
2024-09-10,78.01,78.69,75.435,78.62,78.2575308782515,2058255,0.0,1.0
2024-09-09,78.0,79.76,76.77,78.41,78.0484990608458,2238826,0.0,1.0
2024-09-06,81.24,81.4555,75.36,76.9,76.5454607547385,3495879,0.0,1.0
2024-09-05,84.82,85.21,82.51,82.6,82.219181512892,1421643,0.0,1.0
2024-09-04,83.13,87.19,83.13,84.75,84.3592691672833,2147389,0.0,1.0
2024-09-03,87.3,87.999,82.7295,84.12,83.7321737150663,2748059,0.0,1.0
2024-08-30,93.0,94.69,89.53,90.25,89.8339120040981,2063275,0.0,1.0
2024-08-29,88.96,93.0,86.7925,91.65,91.2274574534692,1875089,0.0,1.0
2024-08-28,88.05,88.67,87.55,88.0,87.5942853890375,1802066,0.0,1.0
2024-08-27,88.98,89.7378,88.54,88.98,88.5697672035973,1165672,0.0,1.0
2024-08-26,91.26,91.68,88.38,88.94,88.5299516193295,2020231,0.0,1.0
2024-08-23,87.83,90.8335,87.0,90.5,90.0827594057715,2203776,0.0,1.0
2024-08-22,87.89,87.89,85.59,86.88,86.4794490295407,2588302,0.0,1.0
2024-08-21,85.6,88.85,84.91,88.6,88.1915191530537,3287691,0.0,1.0
2024-08-20,82.8,85.85,82.6,84.22,83.8317126757357,3463446,0.0,1.0
2024-08-19,79.75,83.37,79.24,82.78,82.3983516420969,2947299,0.0,1.0
2024-08-16,78.95,79.88,77.49,79.37,79.0040730832717,2921334,0.0,1.0
2024-08-15,74.15,79.3136,73.5872,79.14,78.7751334737321,6098796,0.0,1.0
2024-08-14,77.0,77.0,71.97,72.85,72.5141328476293,4528414,0.0,1.0
2024-08-13,76.9,77.93,75.46,77.22,76.8639854288804,3969296,0.0,1.0
2024-08-12,81.58,81.66,74.82,76.0,75.6496101087142,4590155,0.0,1.0
2024-08-09,82.27,82.6086,80.0,81.65,81.2735613865331,2165826,0.0,1.0
2024-08-08,80.0,83.31,79.09,81.83,81.452731515738,3296771,0.0,1.0
2024-08-07,82.235,84.474,79.0,79.06,78.6955023051967,3367683,0.0,1.0
2024-08-06,84.05,84.11,79.46,79.53,79.1633354203426,3707779,0.0,1.0
2024-08-05,80.3,85.44,79.9,83.52,83.1349399510501,5285403,0.0,1.0
2024-08-02,88.79,88.79,82.25,86.99,86.588941886277,5807206,0.0,1.0
2024-08-01,94.0,99.47,91.88,93.17,92.7404496556435,4807484,0.0,1.0
2024-07-31,91.92,95.9499,91.77,93.67,93.2381444589903,5756957,0.0,1.0
2024-07-30,91.03,93.16,90.48,92.51,92.0834925152257,2449371,0.0,1.0
2024-07-29,91.41,92.45,90.275,91.67,91.247365245603,1915077,0.0,1.0
2024-07-26,92.54,93.16,90.6,92.8,92.3721555011668,1868593,0.0,1.0
2024-07-25,90.55,94.72,90.2,91.0,90.5804542091183,2776553,0.0,1.0
2024-07-24,91.0,93.17,90.75,90.88,90.4610074563151,2100614,0.0,1.0
2024-07-23,92.38,93.04,91.06,91.48,91.0582412203313,1896476,0.0,1.0
2024-07-22,93.13,93.99,91.4,93.57,93.1386054983209,2075715,0.0,1.0
2024-07-19,92.74,92.925,90.02,92.09,91.6654288804144,2235708,0.0,1.0
2024-07-18,94.61,98.22,93.45,93.81,93.3774990039274,2324922,0.0,1.0
2024-07-17,97.31,99.255,92.65,95.08,94.6416438044283,2469028,0.0,1.0
2024-07-16,95.36,98.09,94.27,97.71,97.2595184700324,2586747,0.0,1.0
2024-07-15,93.6,96.95,93.12,95.49,95.0497535431726,2640030,0.0,1.0
2024-07-12,98.98,99.7,96.8301,97.87,97.4187808071034,1968423,0.0,1.0
2024-07-11,98.36,100.195,96.9101,97.95,97.4984119756389,2708662,0.0,1.0
