,ARRS_Open,ARRS_High,ARRS_Low,ARRS_Close,ARRS_Adj Close,ARRS_Volume,ARRS_Dividend Amount,ARRS_Split Coefficient
2019-04-04,31.66,31.66,31.66,31.66,31.66,0,0.0,1.0
2019-04-03,31.65,31.68,31.635,31.66,31.66,5134898,0.0,1.0
2019-04-02,31.61,31.67,31.59,31.66,31.66,1890906,0.0,1.0
2019-04-01,31.61,31.65,31.59,31.61,31.61,1753752,0.0,1.0
2019-03-29,31.57,31.61,31.56,31.61,31.61,1819948,0.0,1.0
2019-03-28,31.61,31.63,31.55,31.57,31.57,2587133,0.0,1.0
2019-03-27,31.58,31.63,31.58,31.6,31.6,1026251,0.0,1.0
2019-03-26,31.62,31.635,31.58,31.61,31.61,1019540,0.0,1.0
2019-03-25,31.65,31.66,31.535,31.59,31.59,1870117,0.0,1.0
2019-03-22,31.65,31.66,31.64,31.66,31.66,1536831,0.0,1.0
2019-03-21,31.65,31.67,31.64,31.66,31.66,2227362,0.0,1.0
2019-03-20,31.65,31.67,31.63,31.65,31.65,1103845,0.0,1.0
2019-03-19,31.66,31.67,31.64,31.64,31.64,1120309,0.0,1.0
2019-03-18,31.66,31.67,31.64,31.65,31.65,2445456,0.0,1.0
2019-03-15,31.66,31.68,31.63,31.66,31.66,2284573,0.0,1.0
2019-03-14,31.67,31.68,31.66,31.68,31.68,722968,0.0,1.0
2019-03-13,31.67,31.68,31.66,31.66,31.66,1022223,0.0,1.0
2019-03-12,31.66,31.68,31.66,31.67,31.67,959763,0.0,1.0
2019-03-11,31.66,31.69,31.66,31.67,31.67,451288,0.0,1.0
2019-03-08,31.65,31.68,31.65,31.67,31.67,1052774,0.0,1.0
2019-03-07,31.65,31.66,31.65,31.65,31.65,876891,0.0,1.0
2019-03-06,31.68,31.69,31.64,31.66,31.66,1658525,0.0,1.0
2019-03-05,31.69,31.69,31.67,31.68,31.68,910808,0.0,1.0
2019-03-04,31.68,31.7,31.67,31.67,31.67,1106694,0.0,1.0
2019-03-01,31.69,31.7,31.665,31.7,31.7,1865679,0.0,1.0
2019-02-28,31.67,31.7,31.63,31.68,31.68,3156735,0.0,1.0
2019-02-27,31.69,31.69,31.64,31.66,31.66,2933212,0.0,1.0
2019-02-26,31.67,31.7,31.655,31.67,31.67,1201075,0.0,1.0
2019-02-25,31.7,31.74,31.635,31.69,31.69,5292828,0.0,1.0
2019-02-22,31.65,31.68,31.635,31.64,31.64,1526931,0.0,1.0
2019-02-21,31.65,31.67,31.63,31.66,31.66,2407913,0.0,1.0
2019-02-20,31.63,31.66,31.62,31.66,31.66,1677837,0.0,1.0
2019-02-19,31.61,31.63,31.59,31.63,31.63,1378673,0.0,1.0
2019-02-15,31.58,31.61,31.57,31.59,31.59,1755175,0.0,1.0
2019-02-14,31.58,31.6,31.56,31.57,31.57,1578989,0.0,1.0
2019-02-13,31.59,31.63,31.555,31.56,31.56,2117438,0.0,1.0
2019-02-12,31.61,31.61,31.56,31.59,31.59,972352,0.0,1.0
2019-02-11,31.59,31.65,31.54,31.64,31.64,1837732,0.0,1.0
