,AVT_Open,AVT_High,AVT_Low,AVT_Close,AVT_Adj Close,AVT_Volume,AVT_Dividend Amount,AVT_Split Coefficient
2024-10-04,54.0,54.233,53.495,54.05,54.05,332268,0.0,1.0
2024-10-03,53.23,53.76,53.04,53.28,53.28,373017,0.0,1.0
2024-10-02,53.23,53.85,53.195,53.36,53.36,480290,0.0,1.0
2024-10-01,54.12,54.31,52.89,53.45,53.45,494156,0.0,1.0
2024-09-30,54.15,54.425,53.965,54.31,54.31,681473,0.0,1.0
2024-09-27,54.6,55.03,54.04,54.35,54.35,456473,0.0,1.0
2024-09-26,53.48,54.45,53.37,54.38,54.38,862303,0.0,1.0
2024-09-25,53.09,53.09,52.37,52.64,52.64,519154,0.0,1.0
2024-09-24,53.26,53.37,52.82,53.09,53.09,440314,0.0,1.0
2024-09-23,53.04,53.23,52.56,52.84,52.84,492087,0.0,1.0
2024-09-20,52.41,52.84,51.82,52.8,52.8,1758489,0.0,1.0
2024-09-19,52.3,52.695,50.25,52.55,52.55,476611,0.0,1.0
2024-09-18,51.59,52.43,50.96,51.09,51.09,369468,0.0,1.0
2024-09-17,51.29,51.788823,51.18,51.48,51.48,355219,0.0,1.0
2024-09-16,50.8,51.32,50.5,51.1,51.1,414027,0.0,1.0
2024-09-13,50.43,50.85,50.2407,50.64,50.64,376833,0.0,1.0
2024-09-12,50.19,50.38,49.415,49.99,49.99,423217,0.0,1.0
2024-09-11,49.32,50.21,48.15,50.11,50.11,674305,0.33,1.0
2024-09-10,49.84,50.25,49.32,49.63,49.3052993655829,698136,0.0,1.0
2024-09-09,50.96,50.975,49.87,49.9,49.5735329103886,893193,0.0,1.0
2024-09-06,51.68,51.97,50.58,50.74,50.4080372720064,393934,0.0,1.0
2024-09-05,52.15,52.44,51.58,51.83,51.4909060269627,348443,0.0,1.0
2024-09-04,51.98,52.46,51.86,52.13,51.7889432989691,420734,0.0,1.0
2024-09-03,54.51,54.65,52.03,52.17,51.8286816019033,610886,0.0,1.0
2024-08-30,54.96,55.475,54.89,55.18,54.8189888977002,1188588,0.0,1.0
2024-08-29,54.8,55.505,54.7,54.79,54.431540444092,439079,0.0,1.0
2024-08-28,54.7,55.05,54.19,54.47,54.1136340206186,430710,0.0,1.0
2024-08-27,54.7,55.25,54.7,54.91,54.5507553528945,364072,0.0,1.0
2024-08-26,55.43,55.7,54.89,55.02,54.6600356859635,389405,0.0,1.0
2024-08-23,54.99,55.8,54.99,55.3,54.9382038065028,943869,0.0,1.0
2024-08-22,55.25,55.49,54.49,54.59,54.2328489294211,508821,0.0,1.0
2024-08-21,54.42,55.16,54.34,55.12,54.759381443299,577854,0.0,1.0
2024-08-20,55.49,55.6996,54.26,54.29,53.9348116574148,545223,0.0,1.0
2024-08-19,55.0,55.63,54.6,55.43,55.0673532910389,737650,0.0,1.0
2024-08-16,54.55,54.95,54.14,54.22,53.8652696272799,757167,0.0,1.0
