,BCC_Open,BCC_High,BCC_Low,BCC_Close,BCC_Adj Close,BCC_Volume,BCC_Dividend Amount,BCC_Split Coefficient
2024-10-04,141.24,141.24,136.5,138.9,138.9,160928,0.0,1.0
2024-10-03,138.61,139.6,137.12,138.29,138.29,145981,0.0,1.0
2024-10-02,140.44,141.97,139.5,139.53,139.53,173657,0.0,1.0
2024-10-01,140.44,141.74,138.4,141.39,141.39,212299,0.0,1.0
2024-09-30,139.71,142.08,139.08,140.98,140.98,204173,0.0,1.0
2024-09-27,142.49,144.175,140.16,141.49,141.49,275365,0.0,1.0
2024-09-26,140.97,142.86,140.02,140.31,140.31,348682,0.0,1.0
2024-09-25,142.19,142.19,137.7,138.07,138.07,381538,0.0,1.0
2024-09-24,141.08,143.895,139.82,141.78,141.78,264014,0.0,1.0
2024-09-23,141.03,142.575,139.34,141.65,141.65,410768,0.0,1.0
2024-09-20,144.01,144.01,137.12,137.5,137.5,3094868,0.0,1.0
2024-09-19,143.57,144.71,140.17,144.69,144.69,279203,0.0,1.0
2024-09-18,136.03,141.99,135.41,137.06,137.06,277267,0.0,1.0
2024-09-17,136.0,137.86,134.5,135.24,135.24,265917,0.0,1.0
2024-09-16,136.12,136.69,133.55,134.81,134.81,308443,0.0,1.0
2024-09-13,130.14,136.79,129.915,135.86,135.86,333177,0.0,1.0
2024-09-12,122.45,127.55,121.62,127.48,127.48,237743,0.0,1.0
2024-09-11,120.7,122.89,117.69,122.09,122.09,273434,0.0,1.0
2024-09-10,121.85,122.645,120.0,121.7,121.7,260822,0.0,1.0
2024-09-09,123.87,125.01,121.55,121.66,121.66,283670,0.0,1.0
2024-09-06,125.03,126.45,122.64,124.13,124.13,270125,0.0,1.0
2024-09-05,126.26,126.56,122.86,124.79,124.79,258723,0.0,1.0
2024-09-04,124.18,126.36,122.62,125.84,125.84,188265,0.0,1.0
2024-09-03,128.18,129.87,124.49,124.81,124.81,350593,5.21,1.0
2024-08-30,135.15,135.96,133.09,135.62,130.185603753269,335632,0.0,1.0
2024-08-29,136.72,136.72,132.29,133.93,128.563323334872,374385,0.0,1.0
2024-08-28,133.07,137.0,131.51,136.24,130.780759883095,299175,0.0,1.0
2024-08-27,134.71,135.5525,132.59,133.91,128.544124750038,224219,0.0,1.0
2024-08-26,140.0,140.66,135.83,136.0,130.550376865098,236625,0.0,1.0
2024-08-23,131.06,139.265,130.31,138.66,133.1037886479,265432,0.0,1.0
2024-08-22,132.05,132.97,129.69,129.9,124.694808491001,204668,0.0,1.0
2024-08-21,129.13,132.21,128.45,132.05,126.75865636056,193763,0.0,1.0
2024-08-20,126.8,128.27,125.8501,127.55,122.438974773112,190039,0.0,1.0
2024-08-19,127.48,127.84,126.38,127.14,122.045403784033,176737,0.0,1.0
2024-08-16,127.5,129.585,126.67,127.0,121.911013690202,259053,0.0,1.0
2024-08-15,130.14,131.0,127.29,128.08,122.947737271189,194216,0.0,1.0
2024-08-14,129.95,129.95,125.32,125.64,120.605509921551,252850,0.0,1.0
2024-08-13,128.07,129.45,125.87,128.74,123.581290570681,258055,0.0,1.0
2024-08-12,126.49,128.0,124.65,126.62,121.546240578373,252261,0.0,1.0
2024-08-09,127.66,129.91,126.28,127.11,122.016605906784,263314,0.0,1.0
2024-08-08,125.5,127.6,124.11,126.86,121.77662359637,309903,0.0,1.0
2024-08-07,129.65,129.99,122.75,124.16,119.184814643901,572529,0.0,1.0
2024-08-06,120.32,133.19,119.765,129.65,124.454826180588,541551,0.0,1.0
2024-08-05,119.98,127.37,117.86,124.22,119.2424103984,432394,0.0,1.0
2024-08-02,129.21,129.32,125.22,128.89,123.72527995693,326874,0.0,1.0
2024-08-01,141.72,143.2941,131.76,133.6,128.246546685125,262135,0.0,1.0
2024-07-31,142.3,147.565,139.32,142.09,136.396345946777,323594,0.0,1.0
2024-07-30,140.56,142.76,138.93,140.95,135.302026611291,292999,0.0,1.0
2024-07-29,141.31,141.98,138.365,140.09,134.476487463467,158536,0.0,1.0
2024-07-26,139.69,144.0,138.625,141.04,135.38842024304,247136,0.0,1.0
2024-07-25,130.31,137.99,130.31,135.29,129.868827103523,382828,0.0,1.0
2024-07-24,133.09,135.3,129.325,129.42,124.234042455007,189569,0.0,1.0
2024-07-23,131.55,135.76,131.24,134.15,128.774507768036,252596,0.0,1.0
2024-07-22,132.0,133.97,130.36,133.96,128.592121212121,254379,0.0,1.0
2024-07-19,132.31,132.31,130.26,130.84,125.597141978157,245844,0.0,1.0
2024-07-18,133.75,139.51,131.25,132.1,126.806652822643,284668,0.0,1.0
