,BCO_Open,BCO_High,BCO_Low,BCO_Close,BCO_Adj Close,BCO_Volume,BCO_Dividend Amount,BCO_Split Coefficient
2024-10-04,111.57,112.6099,109.995,111.49,111.49,225781,0.0,1.0
2024-10-03,110.0,111.105,109.17,109.99,109.99,306443,0.0,1.0
2024-10-02,113.0,113.02,107.9,111.12,111.12,481867,0.0,1.0
2024-10-01,115.0,115.1008,112.47,114.23,114.23,227994,0.0,1.0
2024-09-30,113.79,115.91,113.79,115.64,115.64,282868,0.0,1.0
2024-09-27,113.52,115.13,112.71,114.35,114.35,261764,0.0,1.0
2024-09-26,113.0,113.425,111.84,113.0,113.0,281483,0.0,1.0
2024-09-25,111.88,113.0,110.5189,111.5,111.5,274149,0.0,1.0
2024-09-24,113.55,113.76,111.58,111.88,111.88,254029,0.0,1.0
2024-09-23,113.49,114.49,112.3,113.01,113.01,233326,0.0,1.0
2024-09-20,112.0,113.3,111.68,112.93,112.93,640880,0.0,1.0
2024-09-19,113.4,113.4,110.8778,111.8,111.8,333923,0.0,1.0
2024-09-18,110.99,113.3,110.13,110.67,110.67,282634,0.0,1.0
2024-09-17,110.99,112.62,110.01,110.73,110.73,391018,0.0,1.0
2024-09-16,111.59,112.7,109.98,110.99,110.99,290280,0.0,1.0
2024-09-13,109.58,111.67,109.205,111.07,111.07,258870,0.0,1.0
2024-09-12,105.23,108.61,105.23,107.73,107.73,213688,0.0,1.0
2024-09-11,104.46,105.33,102.805,105.21,105.21,414523,0.0,1.0
2024-09-10,104.55,105.565,103.43,105.1,105.1,229163,0.0,1.0
2024-09-09,106.04,107.51,104.3,104.44,104.44,244151,0.0,1.0
2024-09-06,107.08,107.19,105.31,105.7,105.7,248230,0.0,1.0
2024-09-05,106.76,107.31,105.67,106.99,106.99,149837,0.0,1.0
2024-09-04,106.36,107.855,105.42,106.5,106.5,142680,0.0,1.0
2024-09-03,109.74,110.78,106.31,106.79,106.79,192004,0.0,1.0
2024-08-30,110.17,110.96,108.95,110.93,110.93,242213,0.0,1.0
2024-08-29,109.55,110.87,108.85,109.48,109.48,221035,0.0,1.0
2024-08-28,108.82,109.72,108.16,108.53,108.53,163956,0.0,1.0
2024-08-27,108.96,110.19,107.62,108.91,108.91,236911,0.0,1.0
2024-08-26,109.87,110.745,108.33,109.29,109.29,324435,0.0,1.0
2024-08-23,106.58,109.75,105.6,109.22,109.22,346593,0.0,1.0
2024-08-22,105.88,105.88,104.68,105.26,105.26,284568,0.0,1.0
2024-08-21,103.04,105.43,102.83,105.38,105.38,267046,0.0,1.0
2024-08-20,103.95,104.3105,102.43,102.52,102.52,292691,0.0,1.0
2024-08-19,101.71,104.14,101.59,103.99,103.99,282923,0.0,1.0
2024-08-16,100.22,102.28,100.22,101.36,101.36,311408,0.0,1.0
2024-08-15,99.71,101.34,99.2201,100.61,100.61,309765,0.0,1.0
2024-08-14,97.0,98.625,96.52,97.84,97.84,370714,0.0,1.0
2024-08-13,94.46,96.96,94.15,96.71,96.71,356120,0.0,1.0
2024-08-12,95.9,95.98,93.77,93.97,93.97,312135,0.0,1.0
2024-08-09,95.48,96.99,94.95,95.98,95.98,265797,0.0,1.0
2024-08-08,94.67,96.62,93.95,95.74,95.74,427045,0.0,1.0
2024-08-07,103.37,104.02,92.83,94.81,94.81,770530,0.0,1.0
2024-08-06,99.57,103.12,98.8568,101.46,101.46,526689,0.0,1.0
2024-08-05,97.62,100.61,96.15,99.66,99.66,442049,0.0,1.0
2024-08-02,102.82,104.17,101.59,102.03,102.03,310363,0.0,1.0
2024-08-01,109.72,110.52,104.15,106.09,106.09,326884,0.0,1.0
2024-07-31,111.89,113.63,109.91,109.99,109.99,474276,0.0,1.0
2024-07-30,111.38,112.45,110.32,111.29,111.29,347624,0.0,1.0
2024-07-29,109.17,111.12,109.1,110.84,110.84,409666,0.2425,1.0
2024-07-26,108.51,109.41,107.15,108.86,108.622351855603,321805,0.0,1.0
2024-07-25,106.58,107.81,105.85,106.83,106.596783471744,365330,0.0,1.0
2024-07-24,108.34,109.48,106.1322,106.48,106.247547543492,203972,0.0,1.0
2024-07-23,107.23,109.44,106.55,108.99,108.752068057525,276292,0.0,1.0
2024-07-22,106.13,108.4,105.25,107.47,107.235386311975,243421,0.0,1.0
2024-07-19,105.88,107.06,104.98,105.34,105.11003623433,210467,0.0,1.0
2024-07-18,105.42,107.84,104.73,105.54,105.309599621903,204297,0.0,1.0
2024-07-17,106.39,107.715,105.77,105.83,105.598966533882,409201,0.0,1.0
2024-07-16,105.72,107.5,105.35,107.13,106.896128553102,330522,0.0,1.0
2024-07-15,104.67,106.59,103.59,104.86,104.631084104157,311313,0.0,1.0
2024-07-12,105.04,106.39,103.89,104.08,103.852786892625,239995,0.0,1.0
2024-07-11,103.25,105.04,102.58,104.22,103.992481263925,256110,0.0,1.0
2024-07-10,101.74,102.0,100.71,101.73,101.50791708865,171095,0.0,1.0
2024-07-09,101.99,102.5,100.73,101.22,100.999030450341,159480,0.0,1.0
2024-07-08,103.14,103.99,101.55,101.78,101.557807935543,158742,0.0,1.0
2024-07-05,101.89,102.59,101.375,102.33,102.106607251367,139121,0.0,1.0
2024-07-03,101.95,103.39,101.05,102.14,101.917022033174,93179,0.0,1.0
2024-07-02,100.75,102.35,100.25,101.4,101.178637499156,157493,0.0,1.0
2024-07-01,103.04,103.04,99.87,100.79,100.569969167061,232201,0.0,1.0
2024-06-28,103.5,103.77,101.77,102.4,102.176454437018,601327,0.0,1.0
2024-06-27,103.16,103.16,101.6,102.23,102.006825557581,272503,0.0,1.0
2024-06-26,102.87,103.85,102.02,102.78,102.555624873405,279605,0.0,1.0
2024-06-25,102.81,104.055,102.23,103.73,103.503550964373,403120,0.0,1.0
2024-06-24,103.23,105.5,102.39,102.75,102.525690365269,431569,0.0,1.0
2024-06-21,102.32,104.0,102.05,102.78,102.555624873405,789686,0.0,1.0
2024-06-20,101.56,103.7404,101.38,102.4,102.176454437018,263584,0.0,1.0
2024-06-18,100.46,102.48,99.9,101.85,101.627655121194,280117,0.0,1.0
2024-06-17,97.46,100.88,96.88,100.44,100.220733238809,300700,0.0,1.0
2024-06-14,98.97,99.5146,97.42,98.01,97.7960380798056,302244,0.0,1.0
2024-06-13,100.54,100.64,98.741,100.28,100.061082528751,238498,0.0,1.0
2024-06-12,104.27,104.74,100.58,100.98,100.759554385254,429412,0.0,1.0
2024-06-11,101.44,102.33,100.8,101.48,101.258462854185,318020,0.0,1.0
2024-06-10,100.6,102.3,100.595,101.9,101.677545968087,251473,0.0,1.0
2024-06-07,101.7,102.51,100.66,101.7,101.477982580514,214434,0.0,1.0
2024-06-06,103.3,104.01,102.12,102.69,102.465821348997,167729,0.0,1.0
2024-06-05,102.65,103.71,102.02,103.62,103.393791101209,119366,0.0,1.0
2024-06-04,102.45,102.85,101.39,102.28,102.056716404474,261393,0.0,1.0
2024-06-03,103.46,103.93,102.135,103.03,102.80507910787,210304,0.0,1.0
2024-05-31,102.37,103.5,100.96,103.24,103.014620664821,332142,0.0,1.0
2024-05-30,101.23,102.13,100.71,102.03,101.807262170009,136656,0.0,1.0
2024-05-29,101.55,102.37,100.16,100.5,100.280602255081,187755,0.0,1.0
2024-05-28,101.64,102.625,100.9,102.46,102.236323453289,231922,0.0,1.0
2024-05-24,100.0,101.6,99.49,101.31,101.088833974748,308150,0.0,1.0
2024-05-23,99.27,99.9,98.64,99.64,99.4224796885198,198370,0.0,1.0
2024-05-22,99.99,100.5,99.11,99.26,99.0433092521324,286311,0.0,1.0
2024-05-21,97.14,100.38,96.73,100.11,99.8914536493147,341031,0.0,1.0
2024-05-20,96.88,97.625,96.6,96.68,96.4689415524498,167913,0.0,1.0
2024-05-17,97.64,97.98,96.34,97.0,96.7882429725654,229144,0.0,1.0
2024-05-16,96.65,97.56,96.06,97.44,97.2272824252245,207812,0.0,1.0
2024-05-15,98.98,98.9899,97.28,97.31,97.0975662233025,240870,0.0,1.0
2024-05-14,98.38,98.95,97.48,98.0,97.7860599104269,289612,0.0,1.0
2024-05-13,97.28,98.76,97.18,97.25,97.0376972070308,330845,0.0,1.0
2024-05-10,96.43,97.39,95.73,96.68,96.4689415524498,266898,0.2425,1.0
2024-05-09,92.53,97.09,91.8,96.61,96.1579039271807,507111,0.0,1.0
2024-05-08,93.71,98.31,91.813,92.96,92.524984464038,547243,0.0,1.0
2024-05-07,90.92,91.845,90.6101,90.99,90.5642032743419,332739,0.0,1.0
2024-05-06,91.49,92.399,90.46,90.63,90.2058879300319,159150,0.0,1.0
2024-05-03,90.2,90.92,89.9,90.58,90.1561219099889,156906,0.0,1.0
2024-05-02,88.42,88.92,87.28,88.88,88.4640772285252,290792,0.0,1.0
2024-05-01,87.7,88.77,86.995,87.12,86.7123133230098,227073,0.0,1.0
2024-04-30,89.73,90.375,87.43,87.46,87.0507222593026,174366,0.0,1.0
2024-04-29,89.12,91.45,89.12,90.13,89.7082277296014,457455,0.0,1.0
2024-04-26,87.72,89.135,87.72,88.73,88.314779168396,121916,0.0,1.0
2024-04-25,88.24,88.37,86.95,87.13,86.7222665270184,197647,0.0,1.0
2024-04-24,88.86,89.42,88.16,89.13,88.7129073287404,131274,0.0,1.0
2024-04-23,88.04,89.72,88.04,89.37,88.9517842249471,131884,0.0,1.0
2024-04-22,87.83,88.94,87.58,88.13,87.7175869278794,323386,0.0,1.0
2024-04-19,86.22,87.325,86.22,87.04,86.632687690941,162278,0.0,1.0
2024-04-18,86.12,87.16,85.68,86.29,85.8861973902952,181556,0.0,1.0
2024-04-17,87.98,88.39,86.1,86.22,85.8165249622349,154667,0.0,1.0
2024-04-16,85.74,87.45,85.04,87.11,86.7023601190012,196830,0.0,1.0
2024-04-15,87.55,88.0099,85.955,86.49,86.0852614704674,152060,0.0,1.0
2024-04-12,87.52,87.87,86.35,86.97,86.5630152628807,124128,0.0,1.0
2024-04-11,87.73,88.455,87.22,88.22,87.8071657639569,176377,0.0,1.0
2024-04-10,88.21,88.67,87.01,87.64,87.2298799314575,155286,0.0,1.0
2024-04-09,89.02,90.41,88.87,90.07,89.6485085055498,113781,0.0,1.0
2024-04-08,89.03,89.59,88.57,88.93,88.5138432485682,140807,0.0,1.0
2024-04-05,88.1,89.32,88.1,88.59,88.1754343122755,250713,0.0,1.0
2024-04-04,91.17,91.44,87.96,88.14,87.727540131888,158698,0.0,1.0
2024-04-03,90.02,91.05,89.8,90.12,89.6982745255928,177341,0.0,1.0
