,BGFV_Open,BGFV_High,BGFV_Low,BGFV_Close,BGFV_Adj Close,BGFV_Volume,BGFV_Dividend Amount,BGFV_Split Coefficient
2024-10-04,2.03,2.13,2.02,2.05,2.05,219711,0.0,1.0
2024-10-03,1.97,2.04,1.97,2.02,2.02,99909,0.0,1.0
2024-10-02,2.01,2.05,1.958,2.0,2.0,154110,0.0,1.0
2024-10-01,2.05,2.0943,1.98,2.04,2.04,152053,0.0,1.0
2024-09-30,2.11,2.1734,2.03,2.09,2.09,212488,0.0,1.0
2024-09-27,2.08,2.17,2.0701,2.12,2.12,166321,0.0,1.0
2024-09-26,2.01,2.1027,2.01,2.08,2.08,134828,0.0,1.0
2024-09-25,2.08,2.1,1.95,1.99,1.99,192365,0.0,1.0
2024-09-24,2.03,2.15,2.01,2.08,2.08,139565,0.0,1.0
2024-09-23,1.88,2.17,1.88,2.14,2.14,475898,0.0,1.0
2024-09-20,2.0,2.03,1.88,1.88,1.88,258342,0.0,1.0
2024-09-19,2.06,2.1,1.97,2.02,2.02,244445,0.0,1.0
2024-09-18,2.1,2.18,2.01,2.01,2.01,240183,0.0,1.0
2024-09-17,2.03,2.13,1.96,2.12,2.12,432657,0.0,1.0
2024-09-16,1.94,2.07,1.94,2.04,2.04,245155,0.0,1.0
2024-09-13,1.9,2.0,1.85,1.93,1.93,403318,0.0,1.0
2024-09-12,1.9,1.9,1.87,1.87,1.87,93484,0.0,1.0
2024-09-11,1.9,1.9,1.84,1.89,1.89,192590,0.0,1.0
2024-09-10,1.95,1.95,1.83,1.9,1.9,134825,0.0,1.0
2024-09-09,2.13,2.13,1.94,1.94,1.94,167614,0.0,1.0
2024-09-06,1.99,2.12,1.961,2.12,2.12,314798,0.0,1.0
2024-09-05,1.92,2.05,1.88,2.01,2.01,319296,0.0,1.0
2024-09-04,1.86,2.05,1.83,1.92,1.92,396247,0.0,1.0
2024-09-03,1.87,1.92,1.84,1.88,1.88,172825,0.0,1.0
2024-08-30,1.85,1.92,1.8,1.88,1.88,232344,0.0,1.0
2024-08-29,1.86,1.8955,1.818,1.85,1.85,169912,0.0,1.0
2024-08-28,1.89,1.92,1.82,1.85,1.85,136720,0.0,1.0
2024-08-27,1.91,1.921,1.86,1.91,1.91,126008,0.0,1.0
2024-08-26,1.95,1.95,1.9,1.91,1.91,130523,0.0,1.0
2024-08-23,1.86,1.9499,1.85,1.9,1.9,279937,0.0,1.0
2024-08-22,1.89,1.9199,1.8409,1.86,1.86,128849,0.0,1.0
2024-08-21,1.76,1.93,1.75,1.9,1.9,289871,0.0,1.0
