,BKE_Open,BKE_High,BKE_Low,BKE_Close,BKE_Adj Close,BKE_Volume,BKE_Dividend Amount,BKE_Split Coefficient
2024-10-04,42.06,43.43,41.985,43.4,43.4,414679,0.0,1.0
2024-10-03,41.62,41.62,40.99,41.32,41.32,309028,0.0,1.0
2024-10-02,42.63,42.815,41.76,41.82,41.82,317693,0.0,1.0
2024-10-01,43.7,43.7,42.59,42.98,42.98,437065,0.0,1.0
2024-09-30,43.83,44.04,43.52,43.97,43.97,417778,0.0,1.0
2024-09-27,43.53,44.345,43.46,44.03,44.03,324388,0.0,1.0
2024-09-26,42.88,43.14,42.605,43.07,43.07,300995,0.0,1.0
2024-09-25,43.01,43.105,42.12,42.19,42.19,404061,0.0,1.0
2024-09-24,43.51,43.69,43.05,43.06,43.06,349400,0.0,1.0
2024-09-23,43.84,44.005,43.13,43.28,43.28,540598,0.0,1.0
2024-09-20,44.42,44.42,43.67,43.85,43.85,1394886,0.0,1.0
2024-09-19,44.84,45.15,44.43,44.62,44.62,511072,0.0,1.0
2024-09-18,44.36,45.51,43.835,44.08,44.08,478359,0.0,1.0
2024-09-17,44.27,44.95,43.92,44.52,44.52,327252,0.0,1.0
2024-09-16,44.12,44.21,43.57,44.08,44.08,421837,0.0,1.0
2024-09-13,42.78,44.31,42.59,43.98,43.98,367700,0.0,1.0
2024-09-12,41.56,42.01,40.93,41.95,41.95,272945,0.0,1.0
2024-09-11,42.14,42.49,41.41,41.51,41.51,453850,0.0,1.0
2024-09-10,41.39,42.535,41.35,42.44,42.44,336880,0.0,1.0
2024-09-09,41.4,41.76,41.11,41.58,41.58,312274,0.0,1.0
2024-09-06,42.14,42.14,41.12,41.31,41.31,280577,0.0,1.0
2024-09-05,42.41,42.6,41.73,42.03,42.03,335473,0.0,1.0
2024-09-04,41.38,41.54,41.11,41.32,41.32,238279,0.0,1.0
2024-09-03,41.56,42.23,41.33,41.57,41.57,296897,0.0,1.0
2024-08-30,42.19,42.19,41.69,41.9,41.9,361933,0.0,1.0
2024-08-29,41.93,42.35,40.96,41.83,41.83,281021,0.0,1.0
2024-08-28,42.59,42.82,41.53,41.69,41.69,466685,0.0,1.0
2024-08-27,42.57,43.045,42.1,42.93,42.93,368828,0.0,1.0
2024-08-26,43.05,43.965,42.45,42.46,42.46,474210,0.0,1.0
2024-08-23,41.82,45.47,41.62,43.7,43.7,909159,0.0,1.0
2024-08-22,41.87,42.01,40.73,41.67,41.67,569247,0.0,1.0
2024-08-21,42.68,43.1983,41.56,42.04,42.04,262632,0.0,1.0
2024-08-20,42.2,42.24,41.7944,42.06,42.06,241360,0.0,1.0
2024-08-19,42.79,43.0292,42.18,42.29,42.29,223915,0.0,1.0
2024-08-16,42.36,43.49,42.24,42.91,42.91,324470,0.0,1.0
2024-08-15,42.99,43.43,42.15,42.54,42.54,371287,0.0,1.0
2024-08-14,42.19,42.2,41.16,41.54,41.54,316975,0.0,1.0
2024-08-13,41.39,42.265,41.235,42.0,42.0,370662,0.0,1.0
2024-08-12,41.25,41.51,40.56,41.02,41.02,303978,0.0,1.0
2024-08-09,40.63,41.3,40.32,41.04,41.04,230228,0.0,1.0
2024-08-08,40.17,40.69,39.69,40.56,40.56,340112,0.0,1.0
2024-08-07,40.13,40.47,39.07,39.54,39.54,279595,0.0,1.0
2024-08-06,38.9,39.58,38.565,39.37,39.37,307660,0.0,1.0
2024-08-05,37.4,38.88,36.85,38.82,38.82,508231,0.0,1.0
2024-08-02,39.33,39.51,38.495,39.32,39.32,391196,0.0,1.0
2024-08-01,43.17,43.38,40.15,40.99,40.99,363576,0.0,1.0
2024-07-31,42.93,44.37,42.16,43.19,43.19,538640,0.0,1.0
2024-07-30,41.81,43.12,41.62,42.87,42.87,412935,0.0,1.0
2024-07-29,41.66,41.87,41.04,41.82,41.82,370256,0.0,1.0
2024-07-26,40.56,41.61,40.5,41.59,41.59,842781,0.0,1.0
2024-07-25,39.26,40.44,39.22,40.15,40.15,468560,0.0,1.0
2024-07-24,39.6,40.115,38.99,39.06,39.06,499940,0.0,1.0
2024-07-23,38.63,39.91,38.4,39.9,39.9,483048,0.0,1.0
2024-07-22,38.46,38.76,37.84,38.74,38.74,248693,0.0,1.0
2024-07-19,38.87,39.015,38.06,38.11,38.11,279034,0.0,1.0
2024-07-18,40.25,40.85,38.631,38.85,38.85,409762,0.0,1.0
