,BNED_Open,BNED_High,BNED_Low,BNED_Close,BNED_Adj Close,BNED_Volume,BNED_Dividend Amount,BNED_Split Coefficient
2024-10-04,9.28,9.65,9.1,9.26,9.26,346605,0.0,1.0
2024-10-03,9.01,9.13,8.9,9.11,9.11,119963,0.0,1.0
2024-10-02,9.0,9.225,8.856,9.0,9.0,246995,0.0,1.0
2024-10-01,9.14,9.2599,8.74,9.04,9.04,415748,0.0,1.0
2024-09-30,9.28,9.66,9.18,9.26,9.26,165879,0.0,1.0
2024-09-27,9.22,9.67,9.135,9.4,9.4,219571,0.0,1.0
2024-09-26,9.52,9.64,9.02,9.19,9.19,242976,0.0,1.0
2024-09-25,9.31,9.4,9.09,9.32,9.32,227727,0.0,1.0
2024-09-24,9.4,9.78,9.33,9.4,9.4,340172,0.0,1.0
2024-09-23,9.8,9.8247,9.31,9.63,9.63,692074,0.0,1.0
2024-09-20,10.7,10.88,9.38,9.79,9.79,1678242,0.0,1.0
2024-09-19,11.71,11.71,11.05,11.31,11.31,383958,0.0,1.0
2024-09-18,11.52,11.58,11.18,11.28,11.28,340516,0.0,1.0
2024-09-17,11.33,11.79,11.11,11.38,11.38,158484,0.0,1.0
2024-09-16,11.56,11.98,11.08,11.21,11.21,196426,0.0,1.0
2024-09-13,11.42,12.13,11.21,11.48,11.48,198847,0.0,1.0
2024-09-12,10.45,11.45,10.45,11.17,11.17,161727,0.0,1.0
2024-09-11,10.25,10.97,10.25,10.5,10.5,279041,0.0,1.0
2024-09-10,10.71,10.745,9.6,10.26,10.26,358872,0.0,1.0
2024-09-09,11.96,12.8199,10.58,10.81,10.81,383441,0.0,1.0
2024-09-06,12.35,12.7399,11.51,11.91,11.91,298136,0.0,1.0
2024-09-05,12.27,12.7,12.27,12.35,12.35,111434,0.0,1.0
2024-09-04,12.25,12.775,12.02,12.46,12.46,134184,0.0,1.0
2024-09-03,12.82,12.82,11.91,12.25,12.25,387588,0.0,1.0
2024-08-30,13.04,13.26,12.88,13.0,13.0,120050,0.0,1.0
2024-08-29,13.1,13.38,12.9,13.0,13.0,134158,0.0,1.0
2024-08-28,13.11,13.46,12.93,13.01,13.01,165871,0.0,1.0
2024-08-27,13.65,13.72,12.7,13.21,13.21,253960,0.0,1.0
2024-08-26,13.53,14.39,13.35,13.84,13.84,376811,0.0,1.0
2024-08-23,12.45,13.215,12.12,13.05,13.05,362614,0.0,1.0
2024-08-22,12.25,12.3662,12.04,12.27,12.27,103048,0.0,1.0
2024-08-21,11.7,12.702,11.7,12.24,12.24,329155,0.0,1.0
2024-08-20,12.01,12.23,11.36,11.53,11.53,159560,0.0,1.0
2024-08-19,11.2,12.15,11.11,12.06,12.06,199995,0.0,1.0
2024-08-16,10.83,11.25,10.8,11.13,11.13,158078,0.0,1.0
2024-08-15,11.32,11.35,10.81,10.92,10.92,291180,0.0,1.0
2024-08-14,11.15,11.48,10.86,10.91,10.91,238137,0.0,1.0
2024-08-13,10.73,11.69,10.7025,11.0,11.0,298583,0.0,1.0
2024-08-12,11.16,11.16,10.455,10.79,10.79,152904,0.0,1.0
2024-08-09,10.67,11.17,10.62,10.97,10.97,102832,0.0,1.0
2024-08-08,11.47,11.47,10.25,10.7,10.7,313286,0.0,1.0
2024-08-07,10.79,11.656,10.55,10.59,10.59,670372,0.0,1.0
2024-08-06,10.24,10.6,10.1,10.5,10.5,203514,0.0,1.0
2024-08-05,9.6,10.33,9.5854,10.28,10.28,369040,0.0,1.0
2024-08-02,10.96,11.0855,9.79,10.59,10.59,393723,0.0,1.0
2024-08-01,10.76,11.51,10.5801,11.3,11.3,349363,0.0,1.0
2024-07-31,10.57,10.74,10.21,10.64,10.64,203060,0.0,1.0
2024-07-30,9.87,10.5,9.8,10.31,10.31,210142,0.0,1.0
2024-07-29,9.97,10.25,9.52,9.8,9.8,184599,0.0,1.0
2024-07-26,10.0,10.45,9.5,10.05,10.05,235141,0.0,1.0
2024-07-25,9.5,10.25,9.5,9.97,9.97,238602,0.0,1.0
2024-07-24,10.17,10.77,9.47,9.54,9.54,415438,0.0,1.0
2024-07-23,9.5,10.11,9.3,10.07,10.07,350206,0.0,1.0
2024-07-22,9.98,10.3399,9.41,9.77,9.77,543117,0.0,1.0
2024-07-19,10.4,10.4,9.2,10.0,10.0,488201,0.0,1.0
2024-07-18,8.2,11.1399,8.2,10.43,10.43,2591637,0.0,1.0
2024-07-17,8.56,9.14,8.2,8.27,8.27,442245,0.0,1.0
2024-07-16,7.99,8.36,7.96,8.25,8.25,245124,0.0,1.0
2024-07-15,8.06,8.85,7.85,8.03,8.03,584915,0.0,1.0
2024-07-12,8.4,8.57,7.98,8.3,8.3,344417,0.0,1.0
2024-07-11,8.05,8.89,7.75,8.25,8.25,723984,0.0,1.0
2024-07-10,7.28,7.7537,6.9703,7.12,7.12,370082,0.0,1.0
2024-07-09,7.03,7.5786,7.03,7.36,7.36,329036,0.0,1.0
2024-07-08,6.35,7.25,6.35,7.11,7.11,539189,0.0,1.0
2024-07-05,6.58,6.91,6.34,6.42,6.42,300636,0.0,1.0
2024-07-03,6.77,7.3216,6.55,6.55,6.55,320267,0.0,1.0
2024-07-02,6.33,6.9,6.14,6.81,6.81,517119,0.0,1.0
2024-07-01,6.26,6.5,6.05,6.12,6.12,290478,0.0,1.0
2024-06-28,6.37,6.72,6.2701,6.4,6.4,317766,0.0,1.0
2024-06-27,6.69,6.89,6.2001,6.42,6.42,518853,0.0,1.0
2024-06-26,6.57,7.13,6.43,7.02,7.02,387689,0.0,1.0
2024-06-25,7.39,7.39,6.53,6.61,6.61,510870,0.0,1.0
2024-06-24,6.44,7.42,6.35,7.27,7.27,613837,0.0,1.0
2024-06-21,6.45,6.63,6.05,6.31,6.31,461926,0.0,1.0
2024-06-20,7.1,7.1985,6.5,6.5,6.5,565598,0.0,1.0
2024-06-18,7.84,8.36,6.5502,6.72,6.72,745475,0.0,1.0
2024-06-17,8.76,8.95,7.8301,8.08,8.08,698653,0.0,1.0
2024-06-14,8.88,9.788,8.12,8.65,8.65,1074041,0.0,1.0
