,CAKE_Open,CAKE_High,CAKE_Low,CAKE_Close,CAKE_Adj Close,CAKE_Volume,CAKE_Dividend Amount,CAKE_Split Coefficient
2024-10-04,41.37,42.82,40.98,42.6,42.6,1005257,0.0,1.0
2024-10-03,40.98,41.18,40.3,40.53,40.53,547071,0.0,1.0
2024-10-02,40.7,41.8,40.47,41.46,41.46,738719,0.0,1.0
2024-10-01,40.73,41.6199,40.6,40.965,40.965,763383,0.0,1.0
2024-09-30,39.93,41.0,39.85,40.55,40.55,867505,0.0,1.0
2024-09-27,41.24,41.26,39.46,39.8,39.8,869441,0.0,1.0
2024-09-26,40.6,41.21,40.3,41.13,41.13,684799,0.0,1.0
2024-09-25,40.0,40.5,39.67,40.14,40.14,823719,0.0,1.0
2024-09-24,39.57,40.52,39.57,39.92,39.92,794515,0.0,1.0
2024-09-23,39.05,39.745,38.82,39.56,39.56,999516,0.0,1.0
2024-09-20,39.27,39.4,38.53,38.73,38.73,1344886,0.0,1.0
2024-09-19,39.33,40.08,38.37,39.21,39.21,1038907,0.0,1.0
2024-09-18,38.36,39.07,37.82,38.14,38.14,931443,0.0,1.0
2024-09-17,38.0,38.92,37.87,38.29,38.29,922433,0.0,1.0
2024-09-16,37.39,38.09,37.18,37.58,37.58,1024905,0.0,1.0
2024-09-13,37.15,37.47,36.78,37.37,37.37,1162410,0.0,1.0
2024-09-12,36.4,36.92,35.8,36.7,36.7,576675,0.0,1.0
2024-09-11,35.92,36.46,35.4,36.26,36.26,615755,0.0,1.0
2024-09-10,36.45,36.45,35.6051,36.04,36.04,633786,0.0,1.0
2024-09-09,37.31,38.03,36.37,36.49,36.49,944521,0.0,1.0
2024-09-06,38.66,39.025,37.34,37.46,37.46,775322,0.0,1.0
2024-09-05,39.06,39.36,38.59,38.66,38.66,403937,0.0,1.0
2024-09-04,38.94,39.24,38.64,38.82,38.82,622888,0.0,1.0
2024-09-03,39.05,39.84,38.75,38.93,38.93,825322,0.0,1.0
2024-08-30,39.38,39.6,38.72,39.31,39.31,644708,0.0,1.0
2024-08-29,39.9,40.21,39.235,39.29,39.29,816568,0.0,1.0
2024-08-28,40.3,40.55,39.47,39.85,39.85,1097423,0.0,1.0
2024-08-27,40.34,40.59,39.4,40.58,40.58,800998,0.0,1.0
2024-08-26,40.71,41.335,40.38,40.57,40.57,1119069,0.0,1.0
2024-08-23,38.92,40.7199,38.5435,40.61,40.61,1290108,0.0,1.0
2024-08-22,38.66,39.09,38.265,38.36,38.36,603963,0.0,1.0
2024-08-21,38.48,38.96,38.21,38.75,38.75,487000,0.0,1.0
2024-08-20,38.41,38.73,37.65,38.18,38.18,665666,0.0,1.0
2024-08-19,37.0,38.549,37.0,38.51,38.51,1192671,0.0,1.0
2024-08-16,37.15,37.56,36.82,37.19,37.19,590361,0.0,1.0
2024-08-15,36.31,37.49,36.2922,37.2,37.2,906241,0.0,1.0
2024-08-14,36.2,36.23,35.12,35.36,35.36,783821,0.27,1.0
2024-08-13,36.38,36.99,36.08,36.41,36.1340892506315,875029,0.0,1.0
2024-08-12,36.08,36.49,35.84,36.09,35.8165141734493,664785,0.0,1.0
2024-08-09,35.84,36.13,35.54,35.74,35.4691664327814,699660,0.0,1.0
2024-08-08,35.0,36.28,34.82,35.93,35.6577266348583,844476,0.0,1.0
2024-08-07,35.16,36.06,34.53,34.58,34.3179567779961,917389,0.0,1.0
2024-08-06,34.41,35.745,34.04,34.74,34.4767443165871,1152965,0.0,1.0
2024-08-05,33.79,34.55,33.5,34.24,33.98053325849,1588313,0.0,1.0
2024-08-02,36.05,36.4731,34.23,35.1,34.8340162784171,2125273,0.0,1.0
2024-08-01,38.75,38.75,36.29,36.85,36.5707549817569,2190914,0.0,1.0
2024-07-31,39.15,39.86,38.85,38.89,38.5952960987931,1473482,0.0,1.0
2024-07-30,38.39,39.14,38.255,38.92,38.625068762279,976772,0.0,1.0
2024-07-29,37.39,38.31,36.8,38.25,37.9601459444288,994432,0.0,1.0
2024-07-26,37.21,37.93,36.795,37.38,37.0967387033399,1060227,0.0,1.0
2024-07-25,36.76,37.34,36.005,36.69,36.4119674431659,1380447,0.0,1.0
2024-07-24,38.76,38.76,36.52,36.96,36.6799214145383,1369474,0.0,1.0
2024-07-23,38.78,39.74,38.64,38.76,38.4662812236879,1048542,0.0,1.0
2024-07-22,39.65,39.735,38.375,39.2,38.9029469548134,1038143,0.0,1.0
2024-07-19,39.88,40.02,39.4,39.79,39.4884760033679,951251,0.0,1.0
2024-07-18,39.38,40.18,38.88,39.76,39.4587033398821,1436215,0.0,1.0
2024-07-17,39.98,41.12,39.61,39.84,39.5380971091777,1336493,0.0,1.0
2024-07-16,38.86,40.22,37.87,40.2,39.8953690710076,1367003,0.0,1.0
2024-07-15,38.43,38.87,38.04,38.65,38.3571147909065,905327,0.0,1.0
2024-07-12,38.05,38.8,37.97,37.97,37.6822677518945,721757,0.0,1.0
2024-07-11,37.46,38.17,36.915,37.75,37.4639348863317,837225,0.0,1.0
2024-07-10,37.65,37.65,36.78,36.82,36.5409823182711,717181,0.0,1.0
2024-07-09,37.94,38.085,37.1,37.5,37.2158293572832,887492,0.0,1.0
2024-07-08,37.9,38.74,37.6694,37.97,37.6822677518945,867021,0.0,1.0
2024-07-05,37.22,37.6288,36.9775,37.53,37.245602020769,719789,0.0,1.0
2024-07-03,38.01,38.01,37.22,37.22,36.9379511647488,568088,0.0,1.0
2024-07-02,38.51,38.575,37.77,37.83,37.5433286556273,737743,0.0,1.0
2024-07-01,39.39,39.4,38.15,38.5,38.2082514734774,738840,0.0,1.0
2024-06-28,40.09,40.09,38.77,39.29,38.9922649452708,1119613,0.0,1.0
2024-06-27,39.98,39.98,39.435,39.84,39.5380971091777,542754,0.0,1.0
2024-06-26,40.38,40.65,39.59,39.76,39.4587033398821,624461,0.0,1.0
2024-06-25,40.37,40.88,40.33,40.75,40.4412012349144,573065,0.0,1.0
2024-06-24,40.07,40.44,39.635,40.4,40.0938534942464,794080,0.0,1.0
2024-06-21,40.33,40.435,39.9,40.01,39.7068088689307,1182643,0.0,1.0
2024-06-20,39.63,40.98,39.425,40.44,40.1335503788942,917853,0.0,1.0
2024-06-18,40.76,40.76,39.45,39.56,39.2602189166433,831456,0.0,1.0
2024-06-17,39.47,40.85,39.01,40.79,40.4808981195622,954822,0.0,1.0
2024-06-14,39.82,39.91,39.25,39.47,39.1709009261858,1125263,0.0,1.0
2024-06-13,39.89,40.4,39.5,40.32,40.0144597249509,845167,0.0,1.0
2024-06-12,39.95,40.81,39.695,40.29,39.984687061465,1202613,0.0,1.0
2024-06-11,37.71,39.28,37.35,39.13,38.8334774066798,1123377,0.0,1.0
2024-06-10,38.23,38.4299,37.55,37.78,37.4937075498176,918652,0.0,1.0
2024-06-07,39.0,39.09,38.53,38.8,38.5059781083357,748431,0.0,1.0
2024-06-06,39.29,39.51,39.0,39.25,38.9525680606231,858067,0.0,1.0
2024-06-05,39.148,39.95,38.685,39.53,39.2304462531574,857487,0.0,1.0
2024-06-04,38.8,39.0399,38.08,38.95,38.6548414257648,783342,0.0,1.0
2024-06-03,38.26,39.12,38.26,39.0,38.7044625315745,795733,0.0,1.0
2024-05-31,38.86,38.93,38.07,38.48,38.1884030311535,833943,0.0,1.0
2024-05-30,37.84,38.655,37.54,38.46,38.1685545888296,929771,0.0,1.0
2024-05-29,37.4,37.5,36.98,37.25,36.9677238282346,709675,0.0,1.0
2024-05-28,38.01,38.79,37.67,37.91,37.6227224249228,1291430,0.0,1.0
2024-05-24,37.12,37.53,36.85,37.48,37.1959809149593,789920,0.0,1.0
2024-05-23,37.31,37.31,36.54,36.82,36.5409823182711,805635,0.0,1.0
2024-05-22,37.38,37.5699,36.9706,37.11,36.8287847319674,1327996,0.0,1.0
2024-05-21,38.34,38.58,37.56,37.59,37.3051473477407,863701,0.27,1.0
2024-05-20,38.34,38.7,37.76,38.57,38.0047420285884,1431056,0.0,1.0
2024-05-17,38.995,39.155,38.41,38.44,37.8766472278698,2756021,0.0,1.0
2024-05-16,41.0,41.14,40.15,40.69,40.0936726249225,963473,0.0,1.0
2024-05-15,40.76,41.25,40.1,41.01,40.4089829036145,1686654,0.0,1.0
2024-05-14,39.605,40.73,39.4,40.02,39.4334917289113,1732443,0.0,1.0
2024-05-13,37.88,39.25,37.8,39.13,38.5565350162993,1495187,0.0,1.0
2024-05-10,36.92,37.775,36.7501,37.65,37.0982249773491,2507915,0.0,1.0
2024-05-09,36.5,37.89,35.49,36.06,35.5315270300985,3336633,0.0,1.0
