,CBU_Open,CBU_High,CBU_Low,CBU_Close,CBU_Adj Close,CBU_Volume,CBU_Dividend Amount,CBU_Split Coefficient
2024-10-04,58.65,58.95,58.0,58.17,58.17,189957,0.0,1.0
2024-10-03,56.53,57.49,56.165,57.33,57.33,200306,0.0,1.0
2024-10-02,56.33,57.56,56.27,56.88,56.88,197682,0.0,1.0
2024-10-01,57.64,57.64,55.97,56.38,56.38,176653,0.0,1.0
2024-09-30,56.94,58.5,56.84,58.07,58.07,169664,0.0,1.0
2024-09-27,57.9,58.175,56.88,57.2,57.2,202801,0.0,1.0
2024-09-26,58.16,58.26,57.09,57.13,57.13,164026,0.0,1.0
2024-09-25,57.84,58.13,57.32,57.5,57.5,219115,0.0,1.0
2024-09-24,59.22,59.39,57.82,57.85,57.85,280960,0.0,1.0
2024-09-23,59.15,59.38,58.53,59.11,59.11,233472,0.0,1.0
2024-09-20,59.58,59.88,58.45,58.75,58.75,1220152,0.0,1.0
2024-09-19,59.82,60.2915,58.69,59.9,59.9,256768,0.0,1.0
2024-09-18,58.25,60.46,57.38,58.16,58.16,254718,0.0,1.0
2024-09-17,58.66,59.71,58.01,58.17,58.17,197027,0.0,1.0
2024-09-16,57.83,58.43,56.71,57.97,57.97,179984,0.0,1.0
2024-09-13,57.0,57.695,56.865,57.59,57.59,205955,0.46,1.0
2024-09-12,56.83,56.83,55.7865,56.59,56.1415693367786,195685,0.0,1.0
2024-09-11,56.5,56.7,55.2,56.32,55.8737088716624,257468,0.0,1.0
2024-09-10,57.55,57.55,56.25,57.24,56.7864186046512,269555,0.0,1.0
2024-09-09,57.85,58.25,57.15,57.44,56.9848337639966,249971,0.0,1.0
2024-09-06,59.15,60.255,57.885,57.98,57.5205546942291,187073,0.0,1.0
2024-09-05,60.59,60.59,58.795,58.85,58.3836606373816,460650,0.0,1.0
2024-09-04,60.55,61.47,59.76,60.06,59.5840723514212,194491,0.0,1.0
2024-09-03,60.51,61.205,60.2475,60.71,60.2289216192937,213906,0.0,1.0
2024-08-30,61.0,61.35,60.31,61.16,60.6753557278208,230709,0.0,1.0
2024-08-29,62.03,62.03,60.77,60.82,60.3380499569337,240953,0.0,1.0
2024-08-28,60.36,62.22,60.36,61.37,60.8836916451335,209266,0.0,1.0
2024-08-27,60.71,61.075,60.23,60.74,60.2586838931955,198109,0.0,1.0
2024-08-26,62.3,62.89,61.11,61.2,60.7150387596899,183419,0.0,1.0
2024-08-23,59.45,62.9,59.11,61.49,61.0027407407407,287957,0.0,1.0
2024-08-22,58.82,59.345,58.47,58.92,58.4531059431525,126166,0.0,1.0
2024-08-21,58.76,59.02,58.18,58.99,58.5225512489233,145376,0.0,1.0
2024-08-20,59.35,59.35,58.37,58.41,57.9471472868217,141475,0.0,1.0
2024-08-19,59.16,59.72,59.01,59.62,59.1475590008613,165649,0.0,1.0
2024-08-16,57.72,59.59,57.72,59.22,58.7507286821705,234233,0.0,1.0
2024-08-15,58.3,58.97,57.79,57.81,57.3519018087855,204096,0.0,1.0
2024-08-14,57.39,57.39,56.0,56.89,56.4391920757967,150361,0.0,1.0
2024-08-13,56.89,57.33,55.6,57.03,56.5780826873385,253955,0.0,1.0
2024-08-12,57.87,58.505,55.925,56.13,55.6852144702842,199187,0.0,1.0
2024-08-09,57.9,57.9,56.8,57.4,56.9451507321275,176717,0.0,1.0
2024-08-08,57.49,57.99,57.04,57.97,57.5106339362618,248283,0.0,1.0
2024-08-07,58.36,58.93,56.58,56.72,56.2705391903531,199617,0.0,1.0
2024-08-06,57.13,58.27,56.69,57.45,56.9947545219638,217479,0.0,1.0
2024-08-05,56.38,58.35,55.31,57.31,56.8558639104221,313405,0.0,1.0
2024-08-02,58.12,58.97,57.34,58.96,58.4927889750215,399580,0.0,1.0
2024-08-01,61.57,61.605,58.295,60.02,59.5443893195521,421493,0.0,1.0
2024-07-31,61.45,63.29,60.71,61.68,61.1912351421189,953884,0.0,1.0
2024-07-30,60.95,61.82,60.95,61.7,61.2110766580534,230150,0.0,1.0
2024-07-29,62.81,63.057,60.731,60.77,60.2884461670973,231582,0.0,1.0
2024-07-26,63.06,63.95,61.995,62.82,62.3222015503876,322527,0.0,1.0
2024-07-25,60.63,63.03,60.5601,62.59,62.0940241171404,382145,0.0,1.0
2024-07-24,61.21,62.02,59.59,60.13,59.6535176571921,541465,0.0,1.0
2024-07-23,58.61,62.49,57.86,61.43,60.9432161929371,455426,0.0,1.0
2024-07-22,58.25,59.625,57.595,59.38,58.9094608096469,300156,0.0,1.0
2024-07-19,58.26,59.7799,58.13,58.65,58.1852454780362,407344,0.0,1.0
