,CF_Open,CF_High,CF_Low,CF_Close,CF_Adj Close,CF_Volume,CF_Dividend Amount,CF_Split Coefficient
2024-10-04,89.95,90.86,89.03,90.15,90.15,1289804,0.0,1.0
2024-10-03,87.7,89.46,87.35,89.29,89.29,1536667,0.0,1.0
2024-10-02,87.87,89.64,87.78,88.15,88.15,1870845,0.0,1.0
2024-10-01,85.25,88.16,84.95,87.21,87.21,1804066,0.0,1.0
2024-09-30,85.68,85.97,84.99,85.8,85.8,1462768,0.0,1.0
2024-09-27,85.44,86.7,85.155,85.64,85.64,1000534,0.0,1.0
2024-09-26,83.85,85.21,83.82,85.01,85.01,1661093,0.0,1.0
2024-09-25,85.35,85.38,83.52,83.84,83.84,1492682,0.0,1.0
2024-09-24,84.36,85.35,84.23,84.89,84.89,1709933,0.0,1.0
2024-09-23,81.83,83.58,81.575,83.27,83.27,1581667,0.0,1.0
2024-09-20,82.53,82.9,81.52,81.61,81.61,5249605,0.0,1.0
2024-09-19,83.0,84.038,82.5,83.13,83.13,2667144,0.0,1.0
2024-09-18,81.93,82.81,81.32,81.49,81.49,1368847,0.0,1.0
2024-09-17,79.95,81.71,79.885,81.47,81.47,1564167,0.0,1.0
2024-09-16,79.21,80.43,79.21,79.73,79.73,1304887,0.0,1.0
2024-09-13,78.51,79.765,78.335,79.15,79.15,1279871,0.0,1.0
2024-09-12,77.49,78.68,77.49,77.7,77.7,1494039,0.0,1.0
2024-09-11,76.99,77.68,76.115,77.45,77.45,1462499,0.0,1.0
2024-09-10,78.33,78.42,76.47,76.78,76.78,1552768,0.0,1.0
2024-09-09,78.36,79.29,77.63,78.47,78.47,1484507,0.0,1.0
2024-09-06,78.39,79.69,78.01,78.56,78.56,1444250,0.0,1.0
2024-09-05,80.5,80.83,78.416,78.54,78.54,1363060,0.0,1.0
2024-09-04,79.82,80.87,79.82,80.13,80.13,1335144,0.0,1.0
2024-09-03,82.17,82.235,78.375,79.11,79.11,2946398,0.0,1.0
2024-08-30,82.86,83.3101,82.19,83.09,83.09,1772226,0.0,1.0
2024-08-29,82.34,83.44,81.89,82.93,82.93,1380340,0.0,1.0
2024-08-28,81.1,82.26,81.0,81.85,81.85,1308905,0.0,1.0
2024-08-27,81.49,81.8699,81.17,81.62,81.62,1299975,0.0,1.0
2024-08-26,80.53,81.97,80.09,81.64,81.64,1180585,0.0,1.0
2024-08-23,79.37,80.68,79.105,80.41,80.41,1249246,0.0,1.0
2024-08-22,80.09,80.175,78.55,78.88,78.88,1457145,0.0,1.0
2024-08-21,80.6,80.99,79.98,80.13,80.13,1252136,0.0,1.0
2024-08-20,80.95,81.3,79.99,80.06,80.06,1186662,0.0,1.0
2024-08-19,81.23,81.777,80.9,81.14,81.14,863833,0.0,1.0
2024-08-16,80.65,81.36,79.47,80.97,80.97,1777141,0.0,1.0
2024-08-15,80.85,80.95,79.45,79.78,79.78,1533172,0.5,1.0
2024-08-14,80.59,81.02,80.02,80.55,80.0483183856502,1291648,0.0,1.0
2024-08-13,80.8,81.66,80.03,80.93,80.425951669158,1283502,0.0,1.0
2024-08-12,80.0,81.84,79.955,80.85,80.3464499252616,2215113,0.0,1.0
2024-08-09,79.67,79.86,77.709,79.79,79.2930518186348,1554091,0.0,1.0
2024-08-08,77.19,79.62,75.53,79.53,79.0346711509716,2982102,0.0,1.0
2024-08-07,74.48,75.23,73.22,73.3,72.8434728450424,2877064,0.0,1.0
2024-08-06,73.0,73.59,72.15,73.4,72.9428500249128,1822971,0.0,1.0
2024-08-05,72.22,72.99,71.47,72.86,72.4062132536124,1588227,0.0,1.0
2024-08-02,75.06,75.225,71.8,73.22,72.763971101146,1751663,0.0,1.0
2024-08-01,76.54,77.84,75.55,75.8,75.3279023418037,1579682,0.0,1.0
2024-07-31,76.5,77.54,76.24,76.39,75.9142277030394,1540874,0.0,1.0
2024-07-30,74.57,76.785,74.34,76.43,75.9539785749876,1678677,0.0,1.0
2024-07-29,75.01,75.22,74.01,74.63,74.1651893373194,1235581,0.0,1.0
2024-07-26,73.84,75.14,73.7,75.04,74.5726357747883,1668587,0.0,1.0
2024-07-25,71.41,73.94,71.2743,73.51,73.0521649227703,1615495,0.0,1.0
2024-07-24,70.78,71.62,70.49,71.48,71.0348081714001,1216519,0.0,1.0
2024-07-23,70.81,71.37,70.42,70.52,70.0807872446437,1935323,0.0,1.0
2024-07-22,72.08,72.18,71.03,71.39,70.9453687095167,992101,0.0,1.0
2024-07-19,72.87,72.87,71.12,71.74,71.2931888390633,1124902,0.0,1.0
2024-07-18,72.71,73.18,72.04,72.41,71.9590159441953,1243831,0.0,1.0
2024-07-17,73.18,73.72,72.62,72.87,72.4161509715994,1752780,0.0,1.0
2024-07-16,70.36,73.51,70.31,73.2,72.7440956651719,1716804,0.0,1.0
2024-07-15,70.29,70.855,69.72,70.75,70.3093547583458,1625646,0.0,1.0
2024-07-12,70.82,71.03,70.01,70.64,70.2000398604883,1411656,0.0,1.0
2024-07-11,69.99,71.41,69.9701,70.35,69.911846038864,1758691,0.0,1.0
2024-07-10,70.02,70.19,69.3801,69.75,69.3155829596413,2205232,0.0,1.0
2024-07-09,69.19,70.11,69.13,69.87,69.4348355754858,2123730,0.0,1.0
2024-07-08,70.1,70.435,69.16,69.38,68.9478873941206,1830702,0.0,1.0
2024-07-05,69.81,70.529,69.33,70.14,69.703153961136,3342642,0.0,1.0
2024-07-03,70.83,71.18,69.8,69.96,69.5242750373692,1879905,0.0,1.0
2024-07-02,73.59,73.73,70.44,70.83,70.3888565022422,2207147,0.0,1.0
2024-07-01,74.29,74.8,73.211,73.38,72.9229745889387,1320596,0.0,1.0
2024-06-28,75.16,75.5699,73.85,74.12,73.6583657199801,2999612,0.0,1.0
2024-06-27,75.86,76.4177,74.71,74.76,74.294379671151,1471341,0.0,1.0
2024-06-26,75.41,76.32,75.13,76.22,75.7452864972596,1674938,0.0,1.0
2024-06-25,75.13,76.07,74.88,75.44,74.9701444942701,1224173,0.0,1.0
2024-06-24,73.86,76.05,73.54,75.6,75.1291479820628,2835493,0.0,1.0
2024-06-21,73.9,74.19,72.81,73.11,72.6546562032885,5844724,0.0,1.0
2024-06-20,73.725,75.04,73.62,74.13,73.6683034379671,2458618,0.0,1.0
2024-06-18,74.15,74.89,73.28,73.55,73.0919157947185,2017389,0.0,1.0
2024-06-17,73.19,74.41,73.14,74.02,73.5589885401096,1865757,0.0,1.0
2024-06-14,72.65,73.75,72.54,73.26,72.8037219730942,1763954,0.0,1.0
2024-06-13,75.16,75.44,72.46,72.95,72.4956527154958,3132408,0.0,1.0
2024-06-12,77.0,77.8,74.81,75.19,74.7217015445939,1828006,0.0,1.0
2024-06-11,78.12,78.12,76.3,76.81,76.3316118584953,1617153,0.0,1.0
2024-06-10,77.57,78.97,77.29,78.67,78.1800274040857,1923400,0.0,1.0
2024-06-07,77.65,78.67,77.18,77.86,77.375072247135,1916583,0.0,1.0
2024-06-06,76.91,77.68,76.4363,77.3,76.8185600398605,1522555,0.0,1.0
2024-06-05,80.08,80.08,76.08,76.84,76.3614250124564,2907816,0.0,1.0
2024-06-04,81.26,82.14,79.36,80.51,80.0085675137021,3007478,0.0,1.0
2024-06-03,79.36,80.92,79.1485,80.54,80.0383806676632,2480750,0.0,1.0
2024-05-31,76.97,79.77,76.4,79.73,79.2334255107125,5632589,0.0,1.0
2024-05-30,76.93,77.73,76.26,76.98,76.5005530642751,1655128,0.0,1.0
2024-05-29,78.15,78.5,76.8705,77.1,76.6198056801196,1704352,0.0,1.0
2024-05-28,77.57,79.27,77.57,78.71,78.2197782760339,1879012,0.0,1.0
2024-05-24,78.5,78.61,77.06,77.51,77.0272521175884,1867451,0.0,1.0
2024-05-23,79.43,79.52,77.78,78.26,77.7725809666169,2838193,0.0,1.0
2024-05-22,77.72,80.92,77.06,79.68,79.1837369207773,2263352,0.0,1.0
2024-05-21,78.36,79.4,77.59,78.58,78.0905879422023,1587636,0.0,1.0
2024-05-20,76.15,79.22,76.15,78.56,78.0707125062282,1966638,0.0,1.0
2024-05-17,77.28,77.4,75.74,76.22,75.7452864972596,1285545,0.0,1.0
2024-05-16,74.81,77.52,74.46,77.32,76.8384354758346,2681307,0.0,1.0
2024-05-15,74.72,75.34,74.02,74.82,74.3540059790732,1653040,0.0,1.0
2024-05-14,73.97,74.52,73.935,74.38,73.9167463876432,1263319,0.5,1.0
2024-05-13,74.33,75.49,73.92,74.26,73.3047220452242,1886112,0.0,1.0
2024-05-10,74.64,75.16,73.83,73.95,72.9987098740147,1283914,0.0,1.0
2024-05-09,73.6,74.66,73.32,74.29,73.334336126309,1673253,0.0,1.0
2024-05-08,74.4,74.62,73.04,73.25,72.3077146487028,3092500,0.0,1.0
2024-05-07,74.45,75.24,74.21,74.99,74.0253313516208,2882782,0.0,1.0
2024-05-06,74.66,75.34,73.92,74.51,73.5515060542641,2433888,0.0,1.0
2024-05-03,74.11,75.17,73.41,74.09,73.136908919077,2360740,0.0,1.0
2024-05-02,76.5,76.5,73.125,73.87,72.9197389911219,4327135,0.0,1.0
2024-05-01,78.9,79.1165,77.5,77.97,76.9669967393769,1889324,0.0,1.0
2024-04-30,80.88,80.88,78.84,78.97,77.9541327755367,1869504,0.0,1.0
2024-04-29,80.48,81.41,79.695,80.83,79.7902058027938,1222185,0.0,1.0
2024-04-26,79.66,80.09,78.98,80.0,78.9708828927812,1380428,0.0,1.0
2024-04-25,79.09,80.0,78.285,79.97,78.9412688116965,1507267,0.0,1.0
2024-04-24,78.45,79.41,78.064,79.25,78.2305308656614,1416251,0.0,1.0
2024-04-23,78.27,79.49,77.94,78.54,77.529664279988,1606869,0.0,1.0
2024-04-22,79.05,79.45,78.31,78.8,77.7863196493895,1399955,0.0,1.0
2024-04-19,79.64,80.645,79.295,79.47,78.4477007936166,1503896,0.0,1.0
2024-04-18,80.6,81.19,79.2,79.59,78.5661571179558,4194389,0.0,1.0
2024-04-17,78.19,78.36,77.1,77.8,76.7991836132298,1839176,0.0,1.0
2024-04-16,78.11,78.8088,77.67,77.75,76.7498268114218,2027586,0.0,1.0
2024-04-15,78.38,79.46,77.63,78.07,77.0657103429929,2419647,0.0,1.0
2024-04-12,79.79,80.83,77.94,78.1,77.0953244240777,3429778,0.0,1.0
2024-04-11,80.65,81.02,79.87,80.84,79.8000771631554,2348026,0.0,1.0
2024-04-10,79.48,81.09,78.85,80.89,79.8494339649634,3303940,0.0,1.0
2024-04-09,80.0,81.42,79.5,81.12,80.0764752532802,2606976,0.0,1.0
2024-04-08,85.21,85.48,79.68,79.79,78.7635843251877,4607988,0.0,1.0
2024-04-05,85.32,86.19,84.34,85.11,84.0151480375577,2753722,0.0,1.0
2024-04-04,83.66,86.27,82.84,86.18,85.0713835962486,3584352,0.0,1.0
2024-04-03,83.02,83.44,82.45,83.21,82.1395895688541,1542261,0.0,1.0
2024-04-02,83.54,85.05,82.33,82.94,81.873062839091,1746067,0.0,1.0
2024-04-01,83.5,83.76,82.665,83.33,82.2580458931933,1424694,0.0,1.0
2024-03-28,82.83,83.935,81.92,83.21,82.1395895688541,2325219,0.0,1.0
2024-03-27,82.2,82.9,81.83,82.61,81.5473079471582,2419867,0.0,1.0
2024-03-26,82.95,83.56,81.8,81.81,80.7575991182304,2441827,0.0,1.0
