,CFR_Open,CFR_High,CFR_Low,CFR_Close,CFR_Adj Close,CFR_Volume,CFR_Dividend Amount,CFR_Split Coefficient
2024-10-04,111.2,113.46,111.08,113.32,113.32,489376,0.0,1.0
2024-10-03,107.37,109.15,106.59,108.95,108.95,279938,0.0,1.0
2024-10-02,107.79,109.4551,107.79,108.4,108.4,306929,0.0,1.0
2024-10-01,110.9,110.9,107.72,107.98,107.98,335722,0.0,1.0
2024-09-30,111.25,112.61,110.63,111.86,111.86,291742,0.0,1.0
2024-09-27,112.73,113.2,110.93,111.19,111.19,270800,0.0,1.0
2024-09-26,112.36,112.36,110.96,111.73,111.73,436426,0.0,1.0
2024-09-25,112.62,112.71,110.5,111.02,111.02,382129,0.0,1.0
2024-09-24,112.65,113.8,111.29,112.5,112.5,406922,0.0,1.0
2024-09-23,113.82,114.585,112.15,112.54,112.54,453060,0.0,1.0
2024-09-20,114.82,115.95,113.49,114.24,114.24,1344154,0.0,1.0
2024-09-19,113.7,116.095,112.99,115.56,115.56,850416,0.0,1.0
2024-09-18,110.45,114.54,110.15,111.79,111.79,754377,0.0,1.0
2024-09-17,110.79,113.28,110.53,110.68,110.68,351103,0.0,1.0
2024-09-16,109.99,110.83,108.545,110.42,110.42,315985,0.0,1.0
2024-09-13,106.4,109.54,106.4,109.41,109.41,581394,0.0,1.0
2024-09-12,105.93,106.5929,104.7941,105.87,105.87,201407,0.0,1.0
2024-09-11,105.68,106.345,103.61,105.75,105.75,273119,0.0,1.0
2024-09-10,108.65,108.65,105.59,106.74,106.74,304478,0.0,1.0
2024-09-09,106.77,108.7454,106.58,108.59,108.59,375791,0.0,1.0
2024-09-06,109.98,110.515,106.22,106.72,106.72,322218,0.0,1.0
2024-09-05,112.52,112.52,109.27,109.54,109.54,371946,0.0,1.0
2024-09-04,111.76,113.47,111.355,111.71,111.71,425954,0.0,1.0
2024-09-03,111.34,112.88,111.25,112.49,112.49,367393,0.0,1.0
2024-08-30,112.0,112.42,111.0,112.23,112.23,261460,0.95,1.0
2024-08-29,113.39,113.7,111.545,112.42,111.476379218943,240300,0.0,1.0
2024-08-28,110.74,112.8506,110.59,112.5,111.555707722212,328242,0.0,1.0
2024-08-27,110.57,110.98,109.34,110.72,109.790648524474,240478,0.0,1.0
2024-08-26,112.57,112.91,111.155,111.26,110.326115921541,337744,0.0,1.0
2024-08-23,109.95,114.59,109.95,111.79,110.851667255699,470589,0.0,1.0
2024-08-22,108.88,109.77,108.37,109.09,108.174330270366,245689,0.0,1.0
2024-08-21,108.95,109.07,107.3177,108.54,107.628946810391,326798,0.0,1.0
2024-08-20,110.0,110.0,107.49,107.98,107.073647287507,332517,0.0,1.0
2024-08-19,109.71,110.79,109.34,110.73,109.800564587383,314502,0.0,1.0
2024-08-16,108.33,110.355,108.16,109.97,109.046943806326,402504,0.0,1.0
2024-08-15,108.09,109.9,107.95,108.37,107.460373740944,279126,0.0,1.0
2024-08-14,107.19,107.19,105.28,106.17,105.278839901043,299303,0.0,1.0
2024-08-13,106.39,106.969,104.68,106.4,105.506909347941,243299,0.0,1.0
2024-08-12,106.63,108.43,105.21,105.4,104.515303057077,441040,0.0,1.0
2024-08-09,106.02,106.07,104.7,105.66,104.773120692702,324774,0.0,1.0
2024-08-08,105.83,106.44,104.59,106.19,105.29867202686,459152,0.0,1.0
2024-08-07,106.58,108.105,104.7,104.79,103.91042321965,577050,0.0,1.0
2024-08-06,105.5,106.6,104.59,105.13,104.247569358544,704436,0.0,1.0
2024-08-05,104.72,107.32,102.62,105.5,104.614463686164,733814,0.0,1.0
2024-08-02,110.55,110.695,107.21,108.91,107.99584113801,739867,0.0,1.0
2024-08-01,117.03,117.425,112.0,112.64,111.694532602933,703901,0.0,1.0
2024-07-31,119.11,120.45,116.97,117.06,116.077432408553,745008,0.0,1.0
2024-07-30,118.4,119.73,117.41,119.69,118.685356953525,344351,0.0,1.0
2024-07-29,120.12,120.19,117.67,117.98,116.989710196148,436201,0.0,1.0
2024-07-26,120.37,121.95,118.86,119.74,118.734937268069,596326,0.0,1.0
2024-07-25,115.49,123.17,115.49,117.71,116.721976497614,1644766,0.0,1.0
2024-07-24,115.17,116.52,113.79,113.85,112.894376214879,687729,0.0,1.0
2024-07-23,113.86,116.39,113.3991,115.37,114.401617776992,446712,0.0,1.0
2024-07-22,113.58,114.76,111.79,114.54,113.578584555575,477191,0.0,1.0
2024-07-19,112.03,113.82,111.62,113.68,112.725803145432,678244,0.0,1.0
2024-07-18,112.77,115.69,111.7,112.55,111.605288036756,1335325,0.0,1.0
