,CHSP_Open,CHSP_High,CHSP_Low,CHSP_Close,CHSP_Adj Close,CHSP_Volume,CHSP_Dividend Amount,CHSP_Split Coefficient
2019-09-26,27.17,27.17,27.17,27.17,27.17,0,0.0,1.0
2019-09-25,27.17,27.17,27.17,27.17,27.17,0,0.0,1.0
2019-09-24,27.17,27.17,27.17,27.17,27.17,0,0.0,1.0
2019-09-23,27.17,27.17,27.17,27.17,27.17,0,0.0,1.0
2019-09-20,27.17,27.17,27.17,27.17,27.17,0,0.0,1.0
2019-09-19,27.17,27.17,27.17,27.17,27.17,0,0.0,1.0
2019-09-18,27.17,27.17,27.17,27.17,27.17,0,0.0,1.0
2019-09-17,27.33,27.49,27.03,27.17,27.17,21672134,0.0,1.0
2019-09-16,27.23,27.46,27.14,27.36,27.36,1036415,0.0,1.0
2019-09-13,27.55,27.96,27.31,27.33,27.33,841177,0.0,1.0
2019-09-12,27.21,27.21,26.735,26.88,26.88,2298621,0.0,1.0
2019-09-11,26.81,27.32,26.8,27.05,27.05,961686,0.0,1.0
2019-09-10,26.73,26.96,26.66,26.81,26.81,870323,0.0,1.0
2019-09-09,26.14,26.83,26.08,26.8,26.8,316071,0.0,1.0
2019-09-06,26.33,26.36,26.14,26.14,26.14,133427,0.0,1.0
2019-09-05,26.0,26.32,25.95,26.29,26.29,213746,0.0,1.0
2019-09-04,25.75,25.92,25.7,25.92,25.92,308549,0.0,1.0
2019-09-03,25.61,25.71,25.54,25.64,25.64,179056,0.0,1.0
2019-08-30,25.84,25.84,25.59,25.75,25.75,463165,0.0,1.0
2019-08-29,25.68,25.92,25.68,25.72,25.72,188491,0.0,1.0
2019-08-28,25.48,25.7,25.32,25.64,25.64,487614,0.0,1.0
2019-08-27,25.79,25.83,25.52,25.55,25.55,325019,0.0,1.0
2019-08-26,25.82,25.82,25.53,25.65,25.65,117006,0.0,1.0
2019-08-23,25.93,26.14,25.62,25.64,25.64,210405,0.0,1.0
2019-08-22,25.87,26.1,25.87,26.02,26.02,132349,0.0,1.0
2019-08-21,26.15,26.15,25.87,25.9,25.9,127340,0.0,1.0
2019-08-20,26.07,26.08,25.95,26.0,26.0,229741,0.0,1.0
2019-08-19,26.32,26.32,26.0,26.15,26.15,435645,0.0,1.0
2019-08-16,25.86,26.15,25.8,26.04,26.04,188258,0.0,1.0
2019-08-15,25.67,25.83,25.6484,25.75,25.75,237362,0.0,1.0
2019-08-14,25.93,25.95,25.54,25.73,25.73,191784,0.0,1.0
2019-08-13,26.15,26.34,26.09,26.18,26.18,166435,0.0,1.0
2019-08-12,26.25,26.44,26.07,26.18,26.18,83700,0.0,1.0
2019-08-09,26.62,26.62,26.36,26.47,26.47,192178,0.0,1.0
2019-08-08,26.31,26.73,26.22,26.73,26.73,186209,0.0,1.0
2019-08-07,26.09,26.4,25.9,26.3,26.3,206711,0.0,1.0
2019-08-06,26.27,26.52,26.2,26.27,26.27,200654,0.0,1.0
2019-08-05,26.44,26.5986,25.79,26.17,26.17,216322,0.0,1.0
2019-08-02,26.84,27.0,26.655,26.78,26.78,209914,0.0,1.0
2019-08-01,27.4,27.45,26.85,26.96,26.96,368005,0.0,1.0
2019-07-31,27.99,28.15,27.4,27.47,27.47,472639,0.0,1.0
2019-07-30,27.72,28.11,27.72,27.99,27.99,201618,0.0,1.0
2019-07-29,28.06,28.2,27.77,27.82,27.82,188060,0.0,1.0
2019-07-26,27.58,28.21,27.5,28.1,28.1,336140,0.0,1.0
2019-07-25,27.8,27.91,27.61,27.63,27.63,178778,0.0,1.0
2019-07-24,27.66,27.89,27.59,27.85,27.85,301350,0.0,1.0
2019-07-23,27.47,27.71,27.41,27.69,27.69,175104,0.0,1.0
2019-07-22,27.7,27.87,27.41,27.47,27.47,180075,0.0,1.0
2019-07-19,27.82,28.0,27.73,27.84,27.84,387138,0.0,1.0
2019-07-18,27.97,27.98,27.67,27.93,27.93,235194,0.0,1.0
2019-07-17,27.8,28.04,27.69,28.04,28.04,210592,0.0,1.0
