,CMCSA_Open,CMCSA_High,CMCSA_Low,CMCSA_Close,CMCSA_Adj Close,CMCSA_Volume,CMCSA_Dividend Amount,CMCSA_Split Coefficient
2024-10-04,40.89,41.36,40.66,41.19,41.19,13697490,0.0,1.0
2024-10-03,41.03,41.12,40.53,40.81,40.81,10457611,0.0,1.0
2024-10-02,41.39,41.855,41.25,41.3,41.3,11124411,0.31,1.0
2024-10-01,41.625,41.97,41.17,41.7,41.3893294881038,18226381,0.0,1.0
2024-09-30,41.75,41.9,41.3,41.77,41.4588079788512,22382689,0.0,1.0
2024-09-27,41.23,42.08,41.1901,41.64,41.3297764960346,17491235,0.0,1.0
2024-09-26,40.71,41.075,40.655,41.02,40.7143955779861,19316723,0.0,1.0
2024-09-25,41.3,41.31,40.525,40.59,40.2875991348234,24054860,0.0,1.0
2024-09-24,40.83,41.475,40.615,41.35,41.0419370343667,24195547,0.0,1.0
2024-09-23,40.21,40.92,40.12,40.73,40.4265561163182,21977300,0.0,1.0
2024-09-20,40.22,40.64,39.94,40.11,39.8111751982696,59666402,0.0,1.0
2024-09-19,40.36,41.07,40.145,40.27,39.9699831771209,16867403,0.0,1.0
2024-09-18,39.36,40.11,38.5,39.82,39.5233357366018,17279081,0.0,1.0
2024-09-17,39.55,39.82,39.22,39.28,38.9873588079789,13113216,0.0,1.0
2024-09-16,39.79,40.05,39.19,39.36,39.0667627974045,16731015,0.0,1.0
2024-09-13,39.31,39.89,39.23,39.55,39.2553472722903,13100499,0.0,1.0
2024-09-12,38.87,39.325,38.505,39.31,39.0171353040135,17059378,0.0,1.0
2024-09-11,39.14,39.14,38.14,38.68,38.3918288872867,16883352,0.0,1.0
2024-09-10,39.82,39.96,38.91,39.14,38.848401826484,13752432,0.0,1.0
2024-09-09,39.74,40.03,38.95,39.72,39.4240807498198,13590818,0.0,1.0
2024-09-06,39.8,40.35,39.49,39.61,39.3149002643595,18549208,0.0,1.0
2024-09-05,38.91,39.825,38.88,39.8,39.5034847392454,19033723,0.0,1.0
2024-09-04,39.7,40.175,38.4,38.67,38.3819033886085,24412627,0.0,1.0
2024-09-03,39.68,39.885,39.41,39.5,39.2057197788993,18351112,0.0,1.0
2024-08-30,39.73,39.73,39.17,39.57,39.2751982696467,25874923,0.0,1.0
2024-08-29,40.02,40.08,39.395,39.46,39.1660177841865,22626412,0.0,1.0
2024-08-28,40.25,40.35,39.91,39.93,39.632516222062,11219791,0.0,1.0
2024-08-27,40.17,40.54,40.1401,40.24,39.9402066810863,13067629,0.0,1.0
2024-08-26,40.02,40.455,39.86,40.25,39.9501321797645,11122354,0.0,1.0
2024-08-23,39.63,39.94,39.49,39.82,39.5233357366018,11682156,0.0,1.0
2024-08-22,40.1,40.1,39.18,39.41,39.1163902907955,9263084,0.0,1.0
2024-08-21,40.23,40.3,39.8046,39.94,39.6424417207402,12748066,0.0,1.0
2024-08-20,40.05,40.28,39.965,40.03,39.731771208844,13552677,0.0,1.0
2024-08-19,39.47,40.31,39.47,40.26,39.9600576784427,13280652,0.0,1.0
2024-08-16,39.64,39.83,39.5,39.62,39.3248257630377,14170218,0.0,1.0
2024-08-15,39.28,39.54,38.925,39.52,39.2255707762557,17290991,0.0,1.0
2024-08-14,38.78,39.12,38.77,39.01,38.7193703436674,17941846,0.0,1.0
2024-08-13,38.9,39.259,38.68,39.12,38.8285508291276,14022583,0.0,1.0
2024-08-12,39.0,39.1,38.47,38.53,38.2429464071137,12209362,0.0,1.0
2024-08-09,39.07,39.3692,38.701,39.08,38.7888488344148,13999553,0.0,1.0
2024-08-08,38.46,39.435,38.44,39.35,39.0568372987263,13668051,0.0,1.0
2024-08-07,39.19,39.605,38.465,38.51,38.2230954097573,16744180,0.0,1.0
2024-08-06,38.9,39.45,38.73,38.92,38.6300408555636,15853770,0.0,1.0
2024-08-05,40.18,40.52,38.61,39.18,38.8881038211968,21390798,0.0,1.0
2024-08-02,40.87,41.14,39.84,39.9,39.6027397260274,25951665,0.0,1.0
2024-08-01,41.25,41.42,40.21,40.26,39.9600576784427,21797021,0.0,1.0
2024-07-31,40.76,41.63,40.68,41.27,40.9625330449411,24873187,0.0,1.0
2024-07-30,40.77,41.05,40.38,40.81,40.5059601057438,25226145,0.0,1.0
2024-07-29,39.73,40.78,39.625,40.68,40.3769286229272,21996103,0.0,1.0
2024-07-26,38.57,40.11,38.54,39.69,39.3943042537851,24563940,0.0,1.0
2024-07-25,38.54,39.365,38.23,38.24,37.9551069454458,18385331,0.0,1.0
2024-07-24,38.72,38.85,37.38,38.09,37.8062244652728,23447927,0.0,1.0
2024-07-23,39.41,39.57,36.965,38.51,38.2230954097573,30777471,0.0,1.0
2024-07-22,40.11,40.19,38.785,39.53,39.2354962749339,23213395,0.0,1.0
2024-07-19,40.18,40.29,39.865,40.08,39.781398702235,19305172,0.0,1.0
2024-07-18,40.23,41.2,40.13,40.14,39.8409516943043,17757892,0.0,1.0
2024-07-17,39.68,40.7373,39.67,40.59,40.2875991348234,31689716,0.0,1.0
2024-07-16,38.94,39.665,38.86,39.61,39.3149002643595,18541181,0.0,1.0
2024-07-15,38.25,39.435,38.2,38.94,38.64989185292,19018462,0.0,1.0
2024-07-12,37.99,38.34,37.91,38.29,38.0047344388368,16748603,0.0,1.0
2024-07-11,37.585,38.19,37.56,37.75,37.4687575102139,18629978,0.0,1.0
2024-07-10,37.58,37.675,37.14,37.43,37.1511415525114,19225379,0.0,1.0
2024-07-09,37.27,37.675,37.145,37.51,37.230545541937,18697064,0.0,1.0
2024-07-08,37.79,37.995,37.205,37.33,37.0518865657294,17617745,0.0,1.0
2024-07-05,37.96,37.9887,37.68,37.86,37.5779379956741,12172337,0.0,1.0
2024-07-03,37.75,38.31,37.71,38.05,37.76652247056,7657993,0.31,1.0
2024-07-02,38.36,38.36,37.77,38.16,37.5696167225383,15707757,0.0,1.0
2024-07-01,38.9,39.08,38.14,38.17,37.5794620099394,16905672,0.0,1.0
2024-06-28,38.54,39.25,38.5,39.16,38.5541454626467,38288913,0.0,1.0
2024-06-27,38.28,38.39,37.955,38.28,37.6877601713513,13073219,0.0,1.0
2024-06-26,38.29,38.44,37.62,38.22,37.6286884469448,23560558,0.0,1.0
2024-06-25,38.66,38.66,37.94,38.4,37.8059036201643,25171946,0.0,1.0
2024-06-24,38.29,38.795,38.06,38.48,37.884665919373,19434313,0.0,1.0
2024-06-21,38.22,38.71,37.965,38.48,37.884665919373,49147049,0.0,1.0
2024-06-20,36.78,37.98,36.71,37.85,37.2644128131047,21203331,0.0,1.0
2024-06-18,37.34,37.79,36.75,36.9,36.3291105100016,22444935,0.0,1.0
2024-06-17,37.39,37.47,36.92,37.31,36.7327672934461,31105461,0.0,1.0
2024-06-14,37.37,37.68,37.26,37.44,36.8607560296602,12692458,0.0,1.0
2024-06-13,37.5,37.84,37.305,37.58,36.9985900532754,18514835,0.0,1.0
2024-06-12,38.53,38.64,37.48,37.83,37.2447222383025,18902747,0.0,1.0
2024-06-11,38.15,38.6,37.955,38.32,37.7271413209556,16479963,0.0,1.0
2024-06-10,38.91,38.975,38.52,38.79,38.1898698288066,13185628,0.0,1.0
2024-06-07,39.06,39.355,38.905,38.96,38.357239714625,16049255,0.0,1.0
2024-06-06,39.17,39.92,39.0088,39.07,38.465537876037,20336260,0.0,1.0
2024-06-05,39.6,39.6,39.06,39.14,38.5344548878445,12635487,0.0,1.0
2024-06-04,39.42,39.785,39.2,39.56,38.9479569586901,14580868,0.0,1.0
2024-06-03,40.0,40.07,39.28,39.58,38.9676475334923,15651441,0.0,1.0
2024-05-31,38.46,40.09,38.125,40.03,39.4106854665411,27039346,0.0,1.0
2024-05-30,38.06,38.905,37.92,38.87,38.2686321280153,18256097,0.0,1.0
2024-05-29,38.26,38.43,37.845,37.94,37.3530203997144,28533496,0.0,1.0
2024-05-28,38.23,38.8095,38.155,38.54,37.9437376437795,16937290,0.0,1.0
