,COP_Open,COP_High,COP_Low,COP_Close,COP_Adj Close,COP_Volume,COP_Dividend Amount,COP_Split Coefficient
2024-10-04,113.57,114.63,112.05,114.54,114.54,7585770,0.0,1.0
2024-10-03,110.7,112.51,109.99,112.42,112.42,7397411,0.0,1.0
2024-10-02,111.28,111.64,108.585,110.36,110.36,7559883,0.0,1.0
2024-10-01,104.54,109.675,104.1,109.37,109.37,8067607,0.0,1.0
2024-09-30,104.4,105.58,103.87,105.28,105.28,6584319,0.0,1.0
2024-09-27,102.63,104.84,102.6,104.72,104.72,5489511,0.0,1.0
2024-09-26,103.0,104.22,102.165,102.31,102.31,9523996,0.0,1.0
2024-09-25,108.5,108.82,105.69,105.73,105.73,6561430,0.0,1.0
2024-09-24,111.34,111.47,108.775,108.91,108.91,7787402,0.0,1.0
2024-09-23,110.1,110.9399,107.49,109.69,109.69,8197582,0.0,1.0
2024-09-20,111.16,111.74,109.73,109.87,109.87,33515146,0.0,1.0
2024-09-19,110.5,111.345,109.365,110.55,110.55,7990658,0.0,1.0
2024-09-18,107.52,109.93,107.51,108.62,108.62,7424108,0.0,1.0
2024-09-17,105.51,108.495,105.3,108.29,108.29,8661529,0.0,1.0
2024-09-16,104.96,105.685,104.45,105.55,105.55,9325463,0.0,1.0
2024-09-13,103.32,104.368,103.05,103.5,103.5,5441624,0.0,1.0
2024-09-12,102.72,103.68,102.15,102.9,102.9,6775934,0.0,1.0
2024-09-11,103.8,104.04,101.295,102.57,102.57,6803068,0.0,1.0
2024-09-10,105.55,105.7399,103.24,104.0,104.0,5611503,0.0,1.0
2024-09-09,106.05,106.67,105.54,105.6,105.6,6477014,0.0,1.0
2024-09-06,107.73,108.62,105.72,106.02,106.02,5229946,0.0,1.0
2024-09-05,109.22,109.39,107.29,107.45,107.45,5582550,0.0,1.0
2024-09-04,110.33,111.19,108.44,108.56,108.56,6231236,0.0,1.0
2024-09-03,111.9,111.91,109.21,109.85,109.85,6369950,0.0,1.0
2024-08-30,113.12,114.04,112.41,113.79,113.79,5559473,0.0,1.0
2024-08-29,112.98,115.14,112.07,114.37,114.37,5270355,0.0,1.0
2024-08-28,112.04,112.2,110.64,112.15,112.15,4506609,0.0,1.0
2024-08-27,113.66,113.66,112.06,112.43,112.43,3521682,0.0,1.0
2024-08-26,113.02,115.03,112.94,113.56,113.56,6253903,0.0,1.0
2024-08-23,110.83,111.49,110.27,111.4,111.4,4024190,0.0,1.0
2024-08-22,109.6,110.515,109.41,109.97,109.97,3644660,0.0,1.0
2024-08-21,110.805,111.19,108.9,109.62,109.62,4012061,0.0,1.0
2024-08-20,111.57,111.81,108.85,109.85,109.85,6783295,0.0,1.0
2024-08-19,111.22,112.75,111.12,111.74,111.74,4335845,0.0,1.0
2024-08-16,110.32,111.38,109.86,111.18,111.18,3819194,0.0,1.0
2024-08-15,109.68,111.37,109.68,111.23,111.23,6307107,0.0,1.0
2024-08-14,108.51,109.84,108.23,109.33,109.33,6388043,0.0,1.0
2024-08-13,108.99,109.375,107.86,108.34,108.34,5866836,0.0,1.0
