,CPRT_Open,CPRT_High,CPRT_Low,CPRT_Close,CPRT_Adj Close,CPRT_Volume,CPRT_Dividend Amount,CPRT_Split Coefficient
2024-10-04,52.8,53.025,52.35,52.9,52.9,3682181,0.0,1.0
2024-10-03,52.43,52.66,52.045,52.19,52.19,2681118,0.0,1.0
2024-10-02,52.39,52.8319,52.16,52.65,52.65,2519364,0.0,1.0
2024-10-01,52.36,52.83,51.8,52.48,52.48,5122847,0.0,1.0
2024-09-30,52.12,52.5,51.88,52.4,52.4,4069191,0.0,1.0
2024-09-27,52.17,52.3,51.76,52.06,52.06,3035714,0.0,1.0
2024-09-26,52.53,52.7,52.07,52.11,52.11,3152165,0.0,1.0
2024-09-25,52.53,52.59,51.99,52.05,52.05,5095099,0.0,1.0
2024-09-24,51.72,52.495,51.535,52.45,52.45,3441603,0.0,1.0
2024-09-23,51.51,52.01,51.46,51.69,51.69,2857422,0.0,1.0
2024-09-20,51.84,51.84,51.15,51.44,51.44,8641146,0.0,1.0
2024-09-19,51.86,52.115,51.37,51.8,51.8,4154857,0.0,1.0
2024-09-18,51.0,51.92,50.865,51.0,51.0,4337344,0.0,1.0
2024-09-17,50.07,50.815,49.91,50.72,50.72,4207612,0.0,1.0
2024-09-16,50.59,51.03,49.69,49.75,49.75,5211541,0.0,1.0
2024-09-13,49.64,50.38,49.5,50.23,50.23,3081075,0.0,1.0
2024-09-12,49.31,49.721,49.14,49.47,49.47,3862042,0.0,1.0
2024-09-11,49.3,49.45,48.05,49.38,49.38,4591573,0.0,1.0
2024-09-10,49.42,49.6,48.74,49.51,49.51,4155087,0.0,1.0
2024-09-09,49.82,49.97,49.16,49.42,49.42,5243885,0.0,1.0
2024-09-06,49.7,50.08,48.945,49.46,49.46,7844381,0.0,1.0
2024-09-05,50.0,50.24,48.375,49.51,49.51,11425616,0.0,1.0
2024-09-04,53.5,54.02,52.93,53.05,53.05,5341797,0.0,1.0
2024-09-03,53.06,54.145,53.03,53.52,53.52,7222909,0.0,1.0
2024-08-30,52.57,53.56,52.43,52.96,52.96,4919942,0.0,1.0
2024-08-29,53.18,53.31,52.145,52.4,52.4,6025440,0.0,1.0
2024-08-28,52.74,53.25,52.67,53.21,53.21,3615622,0.0,1.0
2024-08-27,52.54,52.7,52.18,52.59,52.59,2884105,0.0,1.0
2024-08-26,52.88,53.23,52.48,52.56,52.56,2442285,0.0,1.0
2024-08-23,52.53,53.06,52.47,52.76,52.76,2126029,0.0,1.0
2024-08-22,52.61,52.61,52.07,52.24,52.24,2483248,0.0,1.0
2024-08-21,52.21,52.59,51.88,52.45,52.45,2592617,0.0,1.0
2024-08-20,51.59,52.04,51.53,51.98,51.98,2853704,0.0,1.0
2024-08-19,51.385,51.6,51.15,51.59,51.59,3399758,0.0,1.0
2024-08-16,51.4,51.66,51.08,51.31,51.31,3376348,0.0,1.0
2024-08-15,51.41,51.925,51.15,51.6,51.6,6035947,0.0,1.0
2024-08-14,50.99,51.14,50.62,50.99,50.99,4110313,0.0,1.0
2024-08-13,50.6,51.11,50.12,50.97,50.97,4335171,0.0,1.0
2024-08-12,50.78,51.0099,50.1,50.26,50.26,2790540,0.0,1.0
2024-08-09,49.97,51.17,49.84,50.99,50.99,2904276,0.0,1.0
2024-08-08,49.415,50.2,49.07,50.09,50.09,4756886,0.0,1.0
2024-08-07,50.02,50.45,49.13,49.19,49.19,5222760,0.0,1.0
2024-08-06,50.78,50.835,49.21,49.66,49.66,7245867,0.0,1.0
2024-08-05,51.36,51.59,50.32,50.93,50.93,4545858,0.0,1.0
2024-08-02,52.22,52.27,50.8901,51.73,51.73,3767234,0.0,1.0
2024-08-01,52.27,53.19,51.68,52.23,52.23,4140895,0.0,1.0
2024-07-31,52.31,52.64,51.86,52.33,52.33,4360279,0.0,1.0
2024-07-30,51.42,51.845,51.25,51.72,51.72,4807909,0.0,1.0
2024-07-29,51.13,51.32,50.73,51.05,51.05,3163133,0.0,1.0
2024-07-26,50.88,51.36,50.585,51.05,51.05,3969340,0.0,1.0
2024-07-25,51.5,51.62,50.405,50.43,50.43,4661091,0.0,1.0
2024-07-24,52.25,52.395,51.12,51.16,51.16,4235928,0.0,1.0
2024-07-23,52.52,52.75,52.23,52.32,52.32,3408012,0.0,1.0
2024-07-22,52.17,52.56,51.665,52.53,52.53,3848189,0.0,1.0
2024-07-19,51.88,52.45,51.52,51.71,51.71,4743220,0.0,1.0
2024-07-18,52.89,53.02,51.485,51.65,51.65,7614417,0.0,1.0
2024-07-17,53.64,53.75,52.97,52.99,52.99,6821223,0.0,1.0
2024-07-16,54.78,54.85,53.7,54.0,54.0,4762755,0.0,1.0
2024-07-15,55.47,55.65,54.6,54.72,54.72,5415453,0.0,1.0
2024-07-12,55.21,56.055,55.13,55.54,55.54,3309548,0.0,1.0
2024-07-11,54.185,55.01,54.125,54.84,54.84,4654689,0.0,1.0
2024-07-10,54.37,54.51,53.9,54.13,54.13,3527863,0.0,1.0
2024-07-09,55.01,55.22,54.3425,54.44,54.44,2687509,0.0,1.0
2024-07-08,54.44,54.87,54.11,54.79,54.79,2894425,0.0,1.0
2024-07-05,53.85,54.42,53.56,54.22,54.22,4272489,0.0,1.0
2024-07-03,54.63,54.725,53.65,53.89,53.89,2265871,0.0,1.0
2024-07-02,53.25,54.71,52.9,54.69,54.69,3214733,0.0,1.0
2024-07-01,54.12,54.38,53.18,53.35,53.35,3609596,0.0,1.0
2024-06-28,54.88,55.345,54.01,54.16,54.16,25202544,0.0,1.0
2024-06-27,54.81,54.95,54.46,54.76,54.76,3876420,0.0,1.0
2024-06-26,54.83,55.15,54.415,54.63,54.63,3817696,0.0,1.0
2024-06-25,55.14,55.33,54.69,55.27,55.27,3676246,0.0,1.0
2024-06-24,54.29,55.0,54.06,54.9,54.9,3711345,0.0,1.0
2024-06-21,54.28,54.38,53.81,54.24,54.24,5559554,0.0,1.0
2024-06-20,54.94,54.9794,53.355,54.01,54.01,4462498,0.0,1.0
2024-06-18,54.24,55.0091,53.935,54.86,54.86,3251462,0.0,1.0
2024-06-17,52.89,54.37,52.75,54.35,54.35,3774007,0.0,1.0
2024-06-14,52.95,53.25,52.36,53.21,53.21,3592571,0.0,1.0
2024-06-13,53.55,53.94,53.03,53.06,53.06,3532699,0.0,1.0
2024-06-12,53.59,54.375,53.39,53.88,53.88,3963555,0.0,1.0
2024-06-11,53.37,53.535,52.76,53.27,53.27,2652323,0.0,1.0
2024-06-10,53.53,54.06,53.27,53.59,53.59,2642115,0.0,1.0
2024-06-07,53.44,54.175,53.16,53.76,53.76,3370405,0.0,1.0
2024-06-06,54.05,54.23,53.27,53.47,53.47,4821404,0.0,1.0
2024-06-05,53.28,54.07,52.94,54.0,54.0,3622228,0.0,1.0
2024-06-04,52.38,53.29,52.38,52.99,52.99,3690115,0.0,1.0
2024-06-03,53.06,53.55,52.31,52.65,52.65,4225623,0.0,1.0
2024-05-31,52.51,53.1,52.03,53.06,53.06,7431407,0.0,1.0
2024-05-30,52.2,52.895,52.09,52.53,52.53,4326656,0.0,1.0
2024-05-29,52.26,52.485,51.73,52.14,52.14,4790933,0.0,1.0
2024-05-28,53.78,53.9,52.66,52.73,52.73,4164250,0.0,1.0
2024-05-24,53.52,54.2701,53.23,54.02,54.02,2632294,0.0,1.0
2024-05-23,54.16,54.27,53.3,53.52,53.52,3312580,0.0,1.0
2024-05-22,54.73,55.11,53.9,53.95,53.95,3590807,0.0,1.0
2024-05-21,55.12,55.15,54.28,54.93,54.93,3339336,0.0,1.0
2024-05-20,54.52,55.0,54.295,54.92,54.92,3267620,0.0,1.0
2024-05-17,53.575,55.43,52.83,54.5,54.5,6566476,0.0,1.0
2024-05-16,55.5,55.53,54.455,54.58,54.58,5160478,0.0,1.0
2024-05-15,54.73,55.35,54.59,55.31,55.31,4145757,0.0,1.0
2024-05-14,54.37,54.48,53.8,54.4,54.4,5176755,0.0,1.0
2024-05-13,55.0,55.03,54.27,54.59,54.59,3815017,0.0,1.0
2024-05-10,55.35,55.76,54.68,54.74,54.74,3899065,0.0,1.0
2024-05-09,55.08,55.645,54.91,55.26,55.26,3365242,0.0,1.0
2024-05-08,55.77,55.825,55.12,55.16,55.16,2747247,0.0,1.0
2024-05-07,55.94,56.09,55.6,55.93,55.93,3094601,0.0,1.0
2024-05-06,55.27,55.76,55.03,55.74,55.74,3209620,0.0,1.0
