,CRZO_Open,CRZO_High,CRZO_Low,CRZO_Close,CRZO_Adj Close,CRZO_Volume,CRZO_Dividend Amount,CRZO_Split Coefficient
2019-12-20,8.16,8.33,7.72,7.83,7.83,30962889,0.0,1.0
2019-12-19,8.16,8.35,8.13,8.25,8.25,3516074,0.0,1.0
2019-12-18,8.24,8.31,8.06,8.24,8.24,4742998,0.0,1.0
2019-12-17,7.68,8.325,7.68,8.32,8.32,4068967,0.0,1.0
2019-12-16,7.5,7.95,7.5,7.67,7.67,9690612,0.0,1.0
2019-12-13,7.78,7.965,7.39,7.46,7.46,2736537,0.0,1.0
2019-12-12,7.39,7.8,7.37,7.78,7.78,3734861,0.0,1.0
2019-12-11,7.52,7.65,7.385,7.41,7.41,2792328,0.0,1.0
2019-12-10,7.46,7.61,7.365,7.53,7.53,3042395,0.0,1.0
2019-12-09,7.14,7.52,7.1,7.47,7.47,3647830,0.0,1.0
2019-12-06,6.73,7.21,6.73,7.21,7.21,3977002,0.0,1.0
2019-12-05,6.58,6.85,6.58,6.7,6.7,3939554,0.0,1.0
2019-12-04,6.56,6.7,6.44,6.545,6.545,7148130,0.0,1.0
2019-12-03,6.42,6.5,6.29,6.35,6.35,4419429,0.0,1.0
2019-12-02,6.51,6.575,6.43,6.52,6.52,4234922,0.0,1.0
2019-11-29,6.6,6.67,6.38,6.41,6.41,1941966,0.0,1.0
2019-11-27,6.51,6.72,6.43,6.72,6.72,4477822,0.0,1.0
2019-11-26,6.58,6.66,6.41,6.5,6.5,12533676,0.0,1.0
2019-11-25,6.39,6.67,6.345,6.63,6.63,5018614,0.0,1.0
2019-11-22,6.68,6.72,6.35,6.46,6.46,5607980,0.0,1.0
2019-11-21,6.45,6.63,6.15,6.53,6.53,9921597,0.0,1.0
2019-11-20,6.39,6.74,6.3,6.34,6.34,6846450,0.0,1.0
2019-11-19,6.79,6.84,6.42,6.44,6.44,5108075,0.0,1.0
2019-11-18,7.39,7.595,6.69,6.87,6.87,10547279,0.0,1.0
2019-11-15,7.34,7.69,7.28,7.55,7.55,11219338,0.0,1.0
2019-11-14,7.83,7.89,7.17,7.25,7.25,25284971,0.0,1.0
2019-11-13,7.84,7.96,7.61,7.72,7.72,5791906,0.0,1.0
