,CSCO_Open,CSCO_High,CSCO_Low,CSCO_Close,CSCO_Adj Close,CSCO_Volume,CSCO_Dividend Amount,CSCO_Split Coefficient
2024-10-04,52.8,52.91,52.41,52.75,52.75,11728606,0.0,1.0
2024-10-03,52.19,52.66,52.16,52.43,52.43,11029127,0.0,1.0
2024-10-02,52.395,52.835,52.1301,52.62,52.62,11071270,0.4,1.0
2024-10-01,53.11,53.2,52.31,52.74,52.3421124104112,16621842,0.0,1.0
2024-09-30,53.02,53.31,52.645,53.22,52.8184911354206,17807632,0.0,1.0
2024-09-27,53.04,53.217,52.86,53.02,52.62,13868340,0.0,1.0
2024-09-26,53.0,53.29,52.76,52.85,52.4512825348925,18374000,0.0,1.0
2024-09-25,52.57,52.73,52.365,52.65,52.2527913994719,22422194,0.0,1.0
2024-09-24,52.21,52.57,52.005,52.52,52.1237721614485,26479286,0.0,1.0
2024-09-23,52.06,52.44,51.89,52.19,51.7962617880045,18343362,0.0,1.0
2024-09-20,51.45,52.33,51.415,51.97,51.5779215390419,44096635,0.0,1.0
2024-09-19,51.41,51.715,51.145,51.44,51.0519200301773,16273986,0.0,1.0
2024-09-18,50.39,51.14,50.27,50.57,50.1884835910977,12697695,0.0,1.0
2024-09-17,51.02,51.415,50.57,50.61,50.2281818181818,13230265,0.0,1.0
2024-09-16,49.88,51.07,49.78,51.03,50.6450132025651,16668244,0.0,1.0
2024-09-13,49.74,50.055,49.67,49.8,49.4242927197284,10168934,0.0,1.0
2024-09-12,49.09,49.64,48.86,49.61,49.2357261410788,13236852,0.0,1.0
2024-09-11,48.75,49.21,47.8501,49.11,48.7394983025274,15106553,0.0,1.0
2024-09-10,48.79,48.97,48.44,48.79,48.4219124858544,11754935,0.0,1.0
2024-09-09,48.47,49.15,48.26,48.7,48.3325914749151,18677582,0.0,1.0
2024-09-06,48.87,49.23,48.2,48.5,48.1341003394945,21040496,0.0,1.0
2024-09-05,49.5,49.645,48.935,49.13,48.7593474160694,16311956,0.0,1.0
2024-09-04,49.82,50.04,49.58,49.7,49.3250471520181,15168642,0.0,1.0
2024-09-03,50.31,50.5,49.9,50.06,49.6823311957752,14918584,0.0,1.0
2024-08-30,50.55,50.685,50.07,50.54,50.1587099207846,15615756,0.0,1.0
2024-08-29,49.97,50.82,49.88,50.39,50.0098415692192,16324066,0.0,1.0
2024-08-28,50.45,50.57,49.41,49.85,49.4739155035836,14571378,0.0,1.0
2024-08-27,50.67,50.84,50.4,50.71,50.3274273858921,10243884,0.0,1.0
2024-08-26,50.79,51.015,50.7242,50.79,50.4068238400604,12016800,0.0,1.0
2024-08-23,50.51,50.77,50.32,50.74,50.3572010562052,16474069,0.0,1.0
2024-08-22,50.715,50.93,50.18,50.22,49.8411241041117,19143128,0.0,1.0
2024-08-21,50.29,50.55,50.03,50.45,50.0693889098454,21177597,0.0,1.0
2024-08-20,49.98,50.37,49.595,50.24,49.8609732176537,18697264,0.0,1.0
2024-08-19,49.33,49.99,49.3,49.98,49.6029347416069,16436577,0.0,1.0
2024-08-16,48.64,49.73,48.5,49.46,49.0868577895134,27424886,0.0,1.0
2024-08-15,48.75,50.28,48.1615,48.53,48.1638740098076,45976376,0.0,1.0
