,CTS_Open,CTS_High,CTS_Low,CTS_Close,CTS_Adj Close,CTS_Volume,CTS_Dividend Amount,CTS_Split Coefficient
2024-10-04,48.19,48.19,47.5859,48.1,48.1,99008,0.0,1.0
2024-10-03,47.71,48.0,47.215,47.37,47.37,84468,0.0,1.0
2024-10-02,47.54,48.39,47.425,48.16,48.16,69578,0.0,1.0
2024-10-01,48.47,48.47,47.06,47.58,47.58,114410,0.0,1.0
2024-09-30,48.21,48.61,47.955,48.38,48.38,97872,0.0,1.0
2024-09-27,48.74,49.2,48.15,48.38,48.38,97180,0.04,1.0
2024-09-26,48.11,48.6,47.73,48.27,48.2301239157373,94567,0.0,1.0
2024-09-25,47.72,48.04,46.97,47.22,47.1809913258984,85335,0.0,1.0
2024-09-24,47.9,48.335,47.447,48.05,48.0103056588187,63610,0.0,1.0
2024-09-23,48.18,48.38,47.48,47.5,47.4607600165221,100963,0.0,1.0
2024-09-20,48.16,48.44,47.35,47.99,47.9503552251136,723852,0.0,1.0
2024-09-19,48.66,48.66,47.48,48.57,48.5298760842627,132369,0.0,1.0
2024-09-18,46.97,48.21,46.485,47.03,46.9911482858323,113458,0.0,1.0
2024-09-17,47.23,47.74,46.6863,46.83,46.7913135068154,109983,0.0,1.0
2024-09-16,46.9,47.04,45.91,46.52,46.4815695993391,149173,0.0,1.0
2024-09-13,46.39,47.27,46.29,47.03,46.9911482858323,97244,0.0,1.0
2024-09-12,46.29,46.29,45.365,45.76,45.7221974390748,83702,0.0,1.0
2024-09-11,44.56,46.08,43.85,45.83,45.7921396117307,269692,0.0,1.0
2024-09-10,45.07,45.36,44.42,44.95,44.9128665840562,138848,0.0,1.0
2024-09-09,45.11,45.47,44.64,44.89,44.8529161503511,153663,0.0,1.0
2024-09-06,45.94,46.025,45.16,45.28,45.2425939694341,79118,0.0,1.0
2024-09-05,46.44,46.86,46.05,46.19,46.1518422139612,99775,0.0,1.0
2024-09-04,46.96,47.62,46.51,46.58,46.5415200330442,114844,0.0,1.0
2024-09-03,48.54,48.745,46.71,46.92,46.881239157373,151891,0.0,1.0
2024-08-30,49.05,49.33,48.6,49.25,49.2093143329203,295374,0.0,1.0
2024-08-29,48.72,49.445,48.32,48.96,48.9195539033457,112769,0.0,1.0
2024-08-28,48.76,49.25,48.15,48.21,48.1701734820322,115488,0.0,1.0
2024-08-27,49.44,49.44,48.7188,48.98,48.9395373812474,113840,0.0,1.0
2024-08-26,50.0,50.23,49.44,49.54,49.4990747624948,90505,0.0,1.0
2024-08-23,48.34,50.0,48.1658,49.66,49.618975629905,111864,0.0,1.0
2024-08-22,48.62,48.875,47.65,47.81,47.7705039239984,97751,0.0,1.0
2024-08-21,48.12,48.51,47.78,48.47,48.4299586947542,83370,0.0,1.0
2024-08-20,47.99,48.09,47.32,47.57,47.530702189178,81653,0.0,1.0
2024-08-19,47.58,48.23,47.45,48.2,48.1601817430814,105779,0.0,1.0
2024-08-16,47.22,47.87,47.055,47.52,47.4807434944238,108226,0.0,1.0
2024-08-15,46.92,47.75,46.81,47.23,47.1909830648492,74067,0.0,1.0
2024-08-14,46.63,46.63,45.35,45.73,45.6922222222222,70749,0.0,1.0
2024-08-13,45.74,46.35,45.24,46.26,46.2217843866171,100973,0.0,1.0
2024-08-12,45.83,45.865,44.63,45.07,45.0327674514663,78198,0.0,1.0
2024-08-09,45.74,45.74,44.9,45.54,45.5023791821561,101836,0.0,1.0
2024-08-08,45.19,45.74,44.79,45.72,45.6822304832714,137921,0.0,1.0
2024-08-07,45.97,46.2233,44.33,44.69,44.6530813713342,168613,0.0,1.0
2024-08-06,44.68,45.6,44.24,45.25,45.2126187525816,218752,0.0,1.0
2024-08-05,43.88,44.74,43.11,44.74,44.7030400660884,191111,0.0,1.0
2024-08-02,46.67,47.0578,45.26,46.03,45.9919743907476,247200,0.0,1.0
2024-08-01,48.86,48.95,47.61,48.42,48.38,415614,0.0,1.0
2024-07-31,48.24,50.4,47.63,48.88,48.839619991739,355066,0.0,1.0
2024-07-30,48.52,49.99,47.1,47.89,47.8504378356051,259983,0.0,1.0
2024-07-29,52.55,52.55,51.3,51.7,51.6572903758777,223470,0.0,1.0
2024-07-26,52.8,53.01,51.71,52.29,52.2468029739777,304930,0.0,1.0
2024-07-25,52.75,53.1,51.84,51.92,51.8771086327964,202658,0.0,1.0
2024-07-24,53.45,54.67,52.32,52.54,52.4965964477489,209549,0.0,1.0
2024-07-23,53.88,54.89,53.45,53.73,53.6856133828996,166279,0.0,1.0
2024-07-22,53.09,54.24,52.26,54.18,54.1352416356877,112495,0.0,1.0
2024-07-19,53.52,53.52,52.18,52.6,52.556546881454,144622,0.0,1.0
2024-07-18,53.49,54.065,52.73,53.4,53.3558859975217,121722,0.0,1.0
2024-07-17,54.27,55.47,53.55,53.66,53.6156712102437,134479,0.0,1.0
2024-07-16,53.35,55.155,52.8,54.94,54.8946137959521,202920,0.0,1.0
2024-07-15,52.47,53.43,50.99,52.72,52.6764477488641,189088,0.0,1.0
2024-07-12,52.56,53.175,51.79,51.8,51.7572077653862,191070,0.0,1.0
2024-07-11,51.15,52.06,50.7,51.9,51.8571251548947,162533,0.0,1.0
2024-07-10,49.1,49.85,48.73,49.65,49.6089838909542,107558,0.0,1.0
2024-07-09,49.5,49.5,48.58,48.63,48.5898265179678,88043,0.0,1.0
2024-07-08,49.77,50.36,49.37,49.5,49.4591078066915,87545,0.0,1.0
2024-07-05,49.56,49.76,49.26,49.31,49.2692647666254,86459,0.0,1.0
2024-07-03,49.65,50.01,49.05,49.87,49.8288021478728,53941,0.0,1.0
2024-07-02,49.14,49.555,49.14,49.29,49.2492812887237,70445,0.0,1.0
