,CUZ_Open,CUZ_High,CUZ_Low,CUZ_Close,CUZ_Adj Close,CUZ_Volume,CUZ_Dividend Amount,CUZ_Split Coefficient
2024-10-04,28.78,29.07,28.64,28.93,28.93,744879,0.0,1.0
2024-10-03,28.69,28.93,28.58,28.84,28.84,668271,0.32,1.0
2024-10-02,29.01,29.28,29.0,29.24,28.919122085048,774188,0.0,1.0
2024-10-01,29.48,29.535,29.01,29.3,28.978463648834,746600,0.0,1.0
2024-09-30,29.16,29.62,29.06,29.48,29.156488340192,1410910,0.0,1.0
2024-09-27,29.71,29.81,29.2,29.28,28.958683127572,840317,0.0,1.0
2024-09-26,30.05,30.05,29.4,29.51,29.1861591220851,1014989,0.0,1.0
2024-09-25,30.25,30.38,29.63,29.78,29.4531961591221,1053309,0.0,1.0
2024-09-24,29.78,30.5,29.62,30.21,29.8784773662551,1801431,0.0,1.0
2024-09-23,29.54,29.88,29.34,29.83,29.5026474622771,2042385,0.0,1.0
2024-09-20,29.35,29.57,29.14,29.35,29.027914951989,3233724,0.0,1.0
2024-09-19,29.5,29.62,29.075,29.41,29.087256515775,1292647,0.0,1.0
2024-09-18,29.06,29.77,28.95,29.14,28.820219478738,1912151,0.0,1.0
2024-09-17,29.48,29.59,28.945,28.97,28.652085048011,1463001,0.0,1.0
2024-09-16,29.45,29.71,29.15,29.5,29.176268861454,749018,0.0,1.0
2024-09-13,29.35,29.5,29.02,29.43,29.107037037037,758011,0.0,1.0
2024-09-12,28.86,29.155,28.86,29.1,28.780658436214,807164,0.0,1.0
2024-09-11,28.38,28.845,28.15,28.8,28.483950617284,926868,0.0,1.0
2024-09-10,28.5,28.74,28.35,28.73,28.4147187928669,707734,0.0,1.0
2024-09-09,28.29,28.52,28.0242,28.39,28.0784499314129,1088199,0.0,1.0
2024-09-06,28.34,28.49,28.04,28.33,28.0191083676269,1363889,0.0,1.0
2024-09-05,28.39,28.575,28.28,28.29,27.9795473251029,1041665,0.0,1.0
2024-09-04,27.94,28.4,27.94,28.15,27.8410836762689,774357,0.0,1.0
2024-09-03,28.29,28.45,27.75,28.07,27.7619615912208,820712,0.0,1.0
2024-08-30,28.25,28.57,28.11,28.51,28.1971330589849,1419627,0.0,1.0
2024-08-29,28.17,28.25,27.885,28.09,27.7817421124829,948717,0.0,1.0
2024-08-28,27.98,28.26,27.98,28.13,27.8213031550069,622595,0.0,1.0
2024-08-27,27.72,28.19,27.585,28.13,27.8213031550069,733901,0.0,1.0
2024-08-26,28.09,28.41,28.0,28.0,27.6927297668038,820065,0.0,1.0
2024-08-23,27.44,28.09,27.25,27.95,27.6432784636488,713956,0.0,1.0
2024-08-22,27.32,27.41,27.05,27.29,26.9905212620027,683596,0.0,1.0
2024-08-21,27.15,27.33,26.91,27.3,27.0004115226337,750202,0.0,1.0
2024-08-20,27.12,27.19,26.85,27.03,26.7333744855967,878168,0.0,1.0
2024-08-19,27.2,27.43,27.17,27.42,27.1190946502058,714020,0.0,1.0
2024-08-16,27.2,27.37,26.94,27.24,26.9410699588477,501566,0.0,1.0
2024-08-15,27.25,27.55,27.03,27.24,26.9410699588477,1078736,0.0,1.0
2024-08-14,27.17,27.25,26.865,27.02,26.7234842249657,822522,0.0,1.0
2024-08-13,26.87,27.145,26.63,27.05,26.7531550068587,599696,0.0,1.0
2024-08-12,27.12,27.12,26.39,26.63,26.3377640603567,654126,0.0,1.0
2024-08-09,27.4,27.4,26.9001,27.25,26.9509602194787,584077,0.0,1.0
2024-08-08,26.95,27.47,26.79,27.21,26.9113991769547,860777,0.0,1.0
2024-08-07,27.51,27.54,26.715,26.76,26.4663374485597,700899,0.0,1.0
2024-08-06,26.23,27.57,26.145,27.12,26.8223868312757,1097620,0.0,1.0
2024-08-05,25.53,26.71,25.18,26.24,25.9520438957476,2359222,0.0,1.0
2024-08-02,26.51,26.84,26.29,26.69,26.3971056241427,2019554,0.0,1.0
2024-08-01,27.78,27.94,26.69,27.19,26.8916186556927,1471691,0.0,1.0
2024-07-31,27.36,27.97,27.155,27.51,27.2081069958848,1733898,0.0,1.0
2024-07-30,27.49,27.49,26.785,27.2,26.9015089163237,1920118,0.0,1.0
2024-07-29,27.25,27.66,27.06,27.42,27.1190946502058,2119054,0.0,1.0
2024-07-26,25.94,27.3,25.6,27.24,26.9410699588477,2703780,0.0,1.0
2024-07-25,24.86,25.5,24.815,25.18,24.9036762688615,1943252,0.0,1.0
2024-07-24,24.63,25.42,24.63,24.88,24.6069684499314,1659698,0.0,1.0
2024-07-23,24.4,24.88,24.28,24.77,24.4981755829904,1371298,0.0,1.0
2024-07-22,24.15,24.535,24.015,24.51,24.2410288065844,838186,0.0,1.0
2024-07-19,24.35,24.42,24.025,24.15,23.8849794238683,849790,0.0,1.0
2024-07-18,24.8,25.2,24.24,24.39,24.1223456790123,1620810,0.0,1.0
2024-07-17,24.91,25.4808,24.83,24.93,24.6564197530864,1016579,0.0,1.0
2024-07-16,25.08,25.195,24.855,25.08,24.8047736625514,1416760,0.0,1.0
2024-07-15,24.66,25.035,24.58,24.86,24.5871879286694,1672888,0.0,1.0
2024-07-12,24.35,24.86,24.13,24.5,24.2311385459534,1284954,0.0,1.0
2024-07-11,23.56,24.185,23.54,24.1,23.8355281207133,830882,0.0,1.0
2024-07-10,23.03,23.06,22.79,22.98,22.7278189300412,820216,0.0,1.0
2024-07-09,22.61,23.04,22.47,22.91,22.6585871056241,1007161,0.0,1.0
2024-07-08,22.54,22.74,22.5049,22.63,22.3816598079561,599768,0.0,1.0
2024-07-05,22.72,22.87,22.325,22.4,22.1541838134431,1519650,0.0,1.0
2024-07-03,22.78,23.01,22.685,22.79,22.5399039780521,497353,0.32,1.0
2024-07-02,22.92,23.035,22.79,22.99,22.4228642343323,918677,0.0,1.0
2024-07-01,23.13,23.21,22.785,22.89,22.3253311145657,975881,0.0,1.0
2024-06-28,22.66,23.15,22.535,23.15,22.5789172259587,1796564,0.0,1.0
2024-06-27,22.39,22.57,22.16,22.49,21.9351986354995,1015384,0.0,1.0
2024-06-26,22.54,22.64,22.32,22.37,21.8181588917796,1347509,0.0,1.0
2024-06-25,23.13,23.14,22.585,22.71,22.1497714989859,1953258,0.0,1.0
2024-06-24,23.27,23.59,23.2,23.23,22.656943721772,1072793,0.0,1.0
2024-06-21,23.22,23.23,22.97,23.13,22.5594106020054,1466134,0.0,1.0
2024-06-20,23.14,23.365,23.12,23.16,22.5886705379354,802916,0.0,1.0
2024-06-18,22.95,23.375,22.95,23.3,22.7252169056086,986849,0.0,1.0
2024-06-17,22.96,23.115,22.685,22.9,22.3350844265423,1154547,0.0,1.0
2024-06-14,22.64,23.1,22.63,23.09,22.5203973540988,1222153,0.0,1.0
2024-06-13,22.76,23.2,22.605,22.9,22.3350844265423,991560,0.0,1.0
2024-06-12,23.14,23.7,22.649,22.79,22.2277979947991,1705999,0.0,1.0
2024-06-11,22.6,22.68,22.28,22.32,21.7693923318963,1597793,0.0,1.0
2024-06-10,22.57,22.985,22.31,22.85,22.2863178666591,903668,0.0,1.0
2024-06-07,22.59,22.91,22.56,22.8,22.2375513067758,880784,0.0,1.0
2024-06-06,22.96,23.1502,22.85,23.05,22.4813841061922,492246,0.0,1.0
2024-06-05,23.11,23.165,22.82,23.08,22.5106440421222,767386,0.0,1.0
2024-06-04,22.91,23.32,22.91,23.05,22.4813841061922,801293,0.0,1.0
2024-06-03,23.27,23.29,22.94,23.09,22.5203973540988,797199,0.0,1.0
2024-05-31,22.86,23.18,22.75,23.13,22.5594106020054,1107663,0.0,1.0
2024-05-30,22.46,22.735,22.37,22.67,22.1107582510793,726213,0.0,1.0
2024-05-29,22.3,22.38,22.01,22.22,21.6718592121297,1256203,0.0,1.0
2024-05-28,23.01,23.27,22.635,22.67,22.1107582510793,861381,0.0,1.0
2024-05-24,23.0,23.165,22.89,22.91,22.344837738519,614266,0.0,1.0
2024-05-23,23.57,23.59,22.785,22.85,22.2863178666591,697348,0.0,1.0
2024-05-22,23.65,23.85,23.49,23.58,22.998309640955,805333,0.0,1.0
2024-05-21,23.56,23.795,23.56,23.76,23.1738692565348,755019,0.0,1.0
2024-05-20,23.85,23.94,23.61,23.63,23.0470762008382,846031,0.0,1.0
2024-05-17,23.91,23.94,23.69,23.82,23.2323891283947,1231253,0.0,1.0
2024-05-16,24.02,24.05,23.785,23.91,23.3201689361846,786161,0.0,1.0
2024-05-15,24.54,24.62,24.005,24.05,23.4567153038578,1140585,0.0,1.0
2024-05-14,24.09,24.215,23.83,24.06,23.4664686158344,1392494,0.0,1.0
2024-05-13,23.87,23.955,23.66,23.81,23.222635816418,1175350,0.0,1.0
2024-05-10,23.87,23.87,23.445,23.62,23.0373228888616,733966,0.0,1.0
2024-05-09,23.78,23.79,23.44,23.76,23.1738692565348,1369376,0.0,1.0
2024-05-08,23.51,23.78,23.38,23.65,23.0665828247915,1363055,0.0,1.0
2024-05-07,24.02,24.37,23.71,23.72,23.1348560086281,1480223,0.0,1.0
2024-05-06,23.76,23.9,23.57,23.85,23.2616490643247,983646,0.0,1.0
2024-05-03,24.02,24.28,23.23,23.44,22.8617632732818,1161626,0.0,1.0
2024-05-02,23.26,23.62,22.99,23.59,23.0080629529316,1270299,0.0,1.0
2024-05-01,22.98,23.52,22.85,22.92,22.3545910504957,1374925,0.0,1.0
2024-04-30,23.03,23.46,22.875,22.94,22.374097674449,1613416,0.0,1.0
2024-04-29,23.11,23.42,23.11,23.28,22.7057102816553,1217713,0.0,1.0
2024-04-26,22.66,23.445,22.66,22.86,22.2960711786357,2938154,0.0,1.0
2024-04-25,22.78,23.07,22.61,23.04,22.4716307942155,1839121,0.0,1.0
2024-04-24,22.52,23.135,22.44,23.12,22.5496572900288,1364052,0.0,1.0
2024-04-23,22.37,22.875,22.3201,22.7,22.1400181870092,1419713,0.0,1.0
2024-04-22,22.21,22.51,22.05,22.38,21.8279122037562,1123660,0.0,1.0
2024-04-19,22.06,22.36,21.99,22.17,21.6230926522465,926286,0.0,1.0
2024-04-18,22.08,22.13,21.765,22.04,21.4962995965499,740506,0.0,1.0
2024-04-17,21.79,22.195,21.72,21.9,21.3597532288767,1078393,0.0,1.0
2024-04-16,21.87,21.99,21.58,21.74,21.2037002372502,993415,0.0,1.0
2024-04-15,22.56,22.66,21.96,22.07,21.5255595324799,1202364,0.0,1.0
2024-04-12,22.72,22.79,22.33,22.49,21.9351986354995,1324726,0.0,1.0
2024-04-11,22.74,22.945,22.47,22.81,22.2473046187524,1413810,0.0,1.0
2024-04-10,22.69,22.8,22.29,22.5,21.9449519474761,1434964,0.0,1.0
2024-04-09,23.23,23.7,23.195,23.61,23.0275695768849,1198977,0.0,1.0
2024-04-08,22.9,23.21,22.79,23.18,22.6081771618887,911917,0.0,1.0
2024-04-05,22.43,22.715,22.39,22.56,22.003471819336,987629,0.0,1.0
2024-04-04,22.98,23.13,22.5,22.61,22.0522383792193,1242238,0.0,1.0
2024-04-03,22.39,22.76,22.39,22.71,22.1497714989859,1154991,0.32,1.0
