,CVCO_Open,CVCO_High,CVCO_Low,CVCO_Close,CVCO_Adj Close,CVCO_Volume,CVCO_Dividend Amount,CVCO_Split Coefficient
2024-10-04,435.41,435.41,419.355,422.28,422.28,53313,0.0,1.0
2024-10-03,428.21,434.0,427.165,429.52,429.52,40826,0.0,1.0
2024-10-02,435.18,438.99,431.42,432.74,432.74,37334,0.0,1.0
2024-10-01,429.55,440.725,424.31,440.47,440.47,80321,0.0,1.0
2024-09-30,427.15,431.948,424.49,428.24,428.24,55992,0.0,1.0
2024-09-27,432.07,441.52,430.52,431.82,431.82,48612,0.0,1.0
2024-09-26,429.13,431.7,425.26,426.15,426.15,52336,0.0,1.0
2024-09-25,426.48,426.52,421.2,422.01,422.01,51200,0.0,1.0
2024-09-24,428.44,435.11,425.22,428.63,428.63,46052,0.0,1.0
2024-09-23,440.12,440.12,427.095,430.28,430.28,64328,0.0,1.0
2024-09-20,443.52,444.9,429.4,435.77,435.77,488090,0.0,1.0
2024-09-19,436.5,444.64,428.0,444.2,444.2,79623,0.0,1.0
2024-09-18,431.6,436.2,421.89,424.03,424.03,82244,0.0,1.0
2024-09-17,430.39,437.02,426.315,431.6,431.6,51744,0.0,1.0
2024-09-16,431.22,431.22,425.04,427.17,427.17,54297,0.0,1.0
2024-09-13,422.84,435.5612,422.84,427.53,427.53,64059,0.0,1.0
2024-09-12,405.01,417.0,405.01,415.9,415.9,49786,0.0,1.0
2024-09-11,401.4,407.69,393.815,402.84,402.84,58004,0.0,1.0
2024-09-10,407.07,407.99,400.37,403.32,403.32,44758,0.0,1.0
2024-09-09,401.84,411.455,398.95,403.58,403.58,73323,0.0,1.0
2024-09-06,398.7,405.68,397.93,402.45,402.45,51584,0.0,1.0
2024-09-05,399.91,405.29,394.85,397.85,397.85,87173,0.0,1.0
2024-09-04,396.85,400.49,390.46,399.07,399.07,40982,0.0,1.0
2024-09-03,412.9,417.0,395.64,397.13,397.13,59910,0.0,1.0
2024-08-30,407.39,421.27,405.0,413.32,413.32,58168,0.0,1.0
2024-08-29,405.77,408.24,398.475,404.11,404.11,41204,0.0,1.0
2024-08-28,401.64,405.06,399.29,402.8,402.8,38849,0.0,1.0
2024-08-27,399.81,407.065,398.13,403.05,403.05,43625,0.0,1.0
2024-08-26,409.79,414.315,403.89,404.29,404.29,47680,0.0,1.0
2024-08-23,390.4,411.355,390.4,409.16,409.16,59003,0.0,1.0
2024-08-22,394.85,395.45,388.685,389.41,389.41,28906,0.0,1.0
2024-08-21,389.95,395.61,389.95,394.4,394.4,37895,0.0,1.0
2024-08-20,393.54,394.585,384.46,385.04,385.04,42305,0.0,1.0
