,CYTK_Open,CYTK_High,CYTK_Low,CYTK_Close,CYTK_Adj Close,CYTK_Volume,CYTK_Dividend Amount,CYTK_Split Coefficient
2024-10-04,55.75,56.9,55.68,56.68,56.68,1190130,0.0,1.0
2024-10-03,52.53,55.81,52.08,55.71,55.71,1513159,0.0,1.0
2024-10-02,51.6,54.16,51.6,52.61,52.61,900094,0.0,1.0
2024-10-01,52.44,52.78,51.625,52.6,52.6,990829,0.0,1.0
2024-09-30,52.1,52.96,51.655,52.8,52.8,1057240,0.0,1.0
2024-09-27,53.17,53.42,52.01,52.34,52.34,860958,0.0,1.0
2024-09-26,53.5,53.5,52.0996,52.63,52.63,859208,0.0,1.0
2024-09-25,52.81,53.9399,52.4,52.68,52.68,1054625,0.0,1.0
2024-09-24,51.92,52.89,51.47,52.66,52.66,1467003,0.0,1.0
2024-09-23,53.95,54.54,52.08,52.09,52.09,1358045,0.0,1.0
2024-09-20,55.45,55.8811,53.6,53.77,53.77,3186452,0.0,1.0
2024-09-19,54.99,56.27,53.255,55.6,55.6,2725380,0.0,1.0
2024-09-18,56.95,57.76,53.88,55.94,55.94,1376831,0.0,1.0
2024-09-17,57.0,57.48,53.31,56.16,56.16,2143530,0.0,1.0
2024-09-16,56.46,57.03,55.44,56.75,56.75,809375,0.0,1.0
2024-09-13,54.34,56.2,54.08,55.88,55.88,879895,0.0,1.0
2024-09-12,53.78,55.41,53.505,54.06,54.06,894431,0.0,1.0
2024-09-11,53.69,54.06,52.85,53.77,53.77,726864,0.0,1.0
2024-09-10,56.03,56.19,53.8,54.15,54.15,788478,0.0,1.0
2024-09-09,54.31,56.26,54.17,55.83,55.83,1180125,0.0,1.0
2024-09-06,56.19,56.36,53.205,54.09,54.09,1396422,0.0,1.0
2024-09-05,55.5,56.87,54.68,55.93,55.93,1135109,0.0,1.0
2024-09-04,54.29,55.054,53.16,54.89,54.89,866292,0.0,1.0
2024-09-03,56.72,57.8,54.22,54.56,54.56,1633057,0.0,1.0
2024-08-30,57.94,57.98,56.275,57.08,57.08,1080796,0.0,1.0
2024-08-29,55.99,58.68,55.21,57.39,57.39,1329309,0.0,1.0
2024-08-28,55.43,55.92,55.02,55.53,55.53,567569,0.0,1.0
2024-08-27,56.73,57.22,55.32,55.85,55.85,965694,0.0,1.0
2024-08-26,57.56,58.05,56.85,57.07,57.07,625384,0.0,1.0
2024-08-23,56.57,57.94,56.21,57.32,57.32,1206898,0.0,1.0
2024-08-22,56.83,56.91,55.43,56.25,56.25,837974,0.0,1.0
2024-08-21,57.0,58.21,56.22,56.58,56.58,759240,0.0,1.0
2024-08-20,56.37,57.23,55.58,56.85,56.85,1514783,0.0,1.0
2024-08-19,56.56,57.38,55.63,56.46,56.46,1497379,0.0,1.0
2024-08-16,56.73,57.4542,55.68,56.5,56.5,1246023,0.0,1.0
2024-08-15,57.46,57.73,56.3001,57.06,57.06,1192943,0.0,1.0
2024-08-14,55.92,56.065,54.87,55.88,55.88,805608,0.0,1.0
2024-08-13,54.74,56.34,53.94,56.07,56.07,2113356,0.0,1.0
2024-08-12,56.18,57.14,54.35,56.18,56.18,946398,0.0,1.0
2024-08-09,52.0,56.43,51.92,55.79,55.79,1819200,0.0,1.0
2024-08-08,51.39,54.47,51.17,54.0,54.0,1721648,0.0,1.0
2024-08-07,53.93,53.93,51.05,51.22,51.22,1474621,0.0,1.0
2024-08-06,53.55,54.83,53.21,53.54,53.54,949220,0.0,1.0
2024-08-05,53.1,56.13,53.0,53.43,53.43,2036510,0.0,1.0
2024-08-02,55.97,57.565,55.492,57.14,57.14,1322588,0.0,1.0
2024-08-01,58.95,59.805,57.85,57.91,57.91,1047666,0.0,1.0
2024-07-31,60.3,61.27,58.67,59.01,59.01,1321484,0.0,1.0
2024-07-30,59.44,60.54,58.67,60.16,60.16,923518,0.0,1.0
2024-07-29,59.61,60.2,57.53,59.09,59.09,1209770,0.0,1.0
2024-07-26,59.62,61.38,58.5,59.69,59.69,1166219,0.0,1.0
2024-07-25,56.86,58.69,56.765,58.5,58.5,1343270,0.0,1.0
2024-07-24,56.76,57.94,56.63,56.8,56.8,926406,0.0,1.0
2024-07-23,56.87,58.2,56.21,57.38,57.38,1426720,0.0,1.0
2024-07-22,56.88,57.69,55.66,57.42,57.42,1436834,0.0,1.0
2024-07-19,55.95,57.0,55.14,56.41,56.41,827901,0.0,1.0
2024-07-18,56.78,57.88,55.5,55.91,55.91,1223047,0.0,1.0
2024-07-17,55.65,57.44,54.9725,56.79,56.79,2133073,0.0,1.0
2024-07-16,57.69,58.85,56.24,56.76,56.76,1031887,0.0,1.0
2024-07-15,56.1,57.53,55.34,57.39,57.39,1074096,0.0,1.0
2024-07-12,56.8,57.395,55.54,55.98,55.98,1169947,0.0,1.0
2024-07-11,56.24,56.65,55.25,56.3,56.3,1464196,0.0,1.0
2024-07-10,55.14,55.58,53.59,54.93,54.93,1044746,0.0,1.0
