,DAKT_Open,DAKT_High,DAKT_Low,DAKT_Close,DAKT_Adj Close,DAKT_Volume,DAKT_Dividend Amount,DAKT_Split Coefficient
2024-10-04,13.33,13.45,13.1,13.15,13.15,362317,0.0,1.0
2024-10-03,12.93,13.215,12.86,13.07,13.07,337300,0.0,1.0
2024-10-02,13.25,13.4,13.045,13.05,13.05,332015,0.0,1.0
2024-10-01,12.87,13.33,12.56,13.26,13.26,656634,0.0,1.0
2024-09-30,12.88,13.14,12.75,12.91,12.91,1203741,0.0,1.0
2024-09-27,12.75,13.14,12.71,12.95,12.95,593918,0.0,1.0
2024-09-26,12.61,12.78,12.461501,12.62,12.62,527597,0.0,1.0
2024-09-25,12.5,12.79,12.28,12.56,12.56,513128,0.0,1.0
2024-09-24,11.87,12.68,11.77,12.51,12.51,591608,0.0,1.0
2024-09-23,12.16,12.29,11.86,11.91,11.91,316658,0.0,1.0
2024-09-20,12.4,12.5508,12.1,12.13,12.13,1099576,0.0,1.0
2024-09-19,12.52,12.62,12.275,12.44,12.44,333811,0.0,1.0
2024-09-18,12.47,12.595,12.17,12.19,12.19,385882,0.0,1.0
2024-09-17,12.72,12.78,12.39,12.49,12.49,364773,0.0,1.0
2024-09-16,12.51,12.78,12.465,12.66,12.66,276492,0.0,1.0
2024-09-13,12.49,12.63,12.4,12.56,12.56,414726,0.0,1.0
2024-09-12,12.3,12.45,12.0,12.32,12.32,500745,0.0,1.0
2024-09-11,12.08,12.32,11.93,12.19,12.19,709313,0.0,1.0
2024-09-10,11.93,12.26,11.67,12.05,12.05,783466,0.0,1.0
2024-09-09,11.8,12.11,11.55,11.87,11.87,945011,0.0,1.0
2024-09-06,11.68,11.86,11.54,11.81,11.81,710014,0.0,1.0
2024-09-05,12.38,12.51,11.75,11.8,11.8,565106,0.0,1.0
2024-09-04,12.99,13.2,12.08,12.37,12.37,998422,0.0,1.0
2024-09-03,14.22,14.405,13.0,13.61,13.61,791183,0.0,1.0
2024-08-30,14.64,14.7263,14.34,14.45,14.45,954038,0.0,1.0
2024-08-29,15.01,15.08,14.54,14.61,14.61,373044,0.0,1.0
2024-08-28,15.31,15.41,15.01,15.04,15.04,276957,0.0,1.0
2024-08-27,15.56,15.66,15.31,15.35,15.35,227431,0.0,1.0
2024-08-26,15.93,15.97,15.55,15.58,15.58,282660,0.0,1.0
2024-08-23,15.17,15.85,15.16,15.84,15.84,328939,0.0,1.0
2024-08-22,15.18,15.32,15.04,15.13,15.13,191577,0.0,1.0
2024-08-21,15.28,15.4,15.04,15.21,15.21,294966,0.0,1.0
2024-08-20,15.32,15.43,15.0806,15.21,15.21,301216,0.0,1.0
2024-08-19,15.36,15.52,15.25,15.28,15.28,291760,0.0,1.0
2024-08-16,15.36,15.69,15.25,15.33,15.33,482241,0.0,1.0
2024-08-15,15.25,15.72,15.17,15.36,15.36,405918,0.0,1.0
2024-08-14,15.08,15.08,14.76,15.04,15.04,224300,0.0,1.0
2024-08-13,14.15,14.98,14.0,14.96,14.96,367746,0.0,1.0
2024-08-12,14.08,14.3382,14.02,14.03,14.03,300194,0.0,1.0
2024-08-09,13.79,14.08,13.62,14.06,14.06,275883,0.0,1.0
2024-08-08,13.65,13.96,13.49,13.83,13.83,307912,0.0,1.0
2024-08-07,13.7,13.86,13.45,13.46,13.46,346242,0.0,1.0
2024-08-06,13.41,13.715,13.03,13.48,13.48,320985,0.0,1.0
2024-08-05,12.65,13.36,12.16,13.29,13.29,773450,0.0,1.0
2024-08-02,14.02,14.19,13.6004,13.79,13.79,708817,0.0,1.0
2024-08-01,15.04,15.3,14.57,14.6,14.6,435194,0.0,1.0
2024-07-31,14.61,15.35,14.5373,14.98,14.98,421623,0.0,1.0
