,DAL_Open,DAL_High,DAL_Low,DAL_Close,DAL_Adj Close,DAL_Volume,DAL_Dividend Amount,DAL_Split Coefficient
2024-10-04,49.07,49.65,48.35,49.28,49.28,8581150,0.0,1.0
2024-10-03,48.42,48.5003,46.9,47.46,47.46,9561805,0.0,1.0
2024-10-02,49.38,49.38,48.195,48.4,48.4,8141960,0.0,1.0
2024-10-01,50.8,50.98,49.08,49.96,49.96,10546022,0.0,1.0
2024-09-30,51.46,51.61,50.2658,50.79,50.79,8086033,0.0,1.0
2024-09-27,52.015,52.45,51.21,51.54,51.54,10931304,0.0,1.0
2024-09-26,50.0,51.99,49.66,51.81,51.81,17920428,0.0,1.0
2024-09-25,47.98,49.19,47.96,48.75,48.75,9203392,0.0,1.0
2024-09-24,47.37,47.89,46.87,47.8,47.8,6652704,0.0,1.0
2024-09-23,46.865,47.43,46.5001,47.16,47.16,5449640,0.0,1.0
2024-09-20,47.055,47.16,46.52,46.94,46.94,9728430,0.0,1.0
2024-09-19,47.69,47.8,46.87,47.13,47.13,6676792,0.0,1.0
2024-09-18,46.81,47.97,46.454,46.92,46.92,7584019,0.0,1.0
2024-09-17,45.96,47.43,45.81,46.68,46.68,8579559,0.0,1.0
2024-09-16,45.06,45.9,45.06,45.32,45.32,7171371,0.0,1.0
2024-09-13,44.92,45.665,44.85,45.18,45.18,9391421,0.0,1.0
2024-09-12,46.28,46.55,42.86,44.27,44.27,13658281,0.0,1.0
2024-09-11,43.51,44.34,43.03,44.28,44.28,6984884,0.0,1.0
2024-09-10,43.92,44.0,42.79,43.4,43.4,7184769,0.0,1.0
2024-09-09,42.56,44.07,42.56,43.68,43.68,12175989,0.0,1.0
2024-09-06,42.14,43.04,41.4835,42.03,42.03,8498150,0.0,1.0
2024-09-05,42.82,43.89,42.065,42.17,42.17,18941429,0.0,1.0
2024-09-04,42.28,42.865,42.16,42.37,42.37,6224541,0.0,1.0
2024-09-03,42.1,42.74,42.045,42.37,42.37,7690238,0.0,1.0
2024-08-30,41.91,42.6125,41.81,42.49,42.49,8651954,0.0,1.0
2024-08-29,40.65,41.875,40.6373,41.56,41.56,8824233,0.0,1.0
