,DECK_Open,DECK_High,DECK_Low,DECK_Close,DECK_Adj Close,DECK_Volume,DECK_Dividend Amount,DECK_Split Coefficient
2024-10-04,159.38,167.23,159.15,166.81,166.81,2328481,0.0,1.0
2024-10-03,157.11,159.14,156.01,156.79,156.79,1574284,0.0,1.0
2024-10-02,152.42,158.83,150.6,157.66,157.66,1905805,0.0,1.0
2024-10-01,159.42,160.06,154.84,155.62,155.62,1354779,0.0,1.0
2024-09-30,158.78,161.38,157.74,159.45,159.45,2148770,0.0,1.0
2024-09-27,158.91,160.0,156.84,159.42,159.42,1218415,0.0,1.0
2024-09-26,157.41,158.685,153.35,157.26,157.26,1244989,0.0,1.0
2024-09-25,154.57,156.21,153.14,154.5,154.5,1362023,0.0,1.0
2024-09-24,154.86,157.49,153.45,154.4,154.4,1309803,0.0,1.0
2024-09-23,151.2,155.025,149.13,154.21,154.21,1990119,0.0,1.0
2024-09-20,147.98,151.283,146.2111,150.73,150.73,4516990,0.0,1.0
2024-09-19,159.67,160.79,152.04,152.11,152.11,2198783,0.0,1.0
2024-09-18,160.45,162.05,156.76,157.23,157.23,1365194,0.0,1.0
2024-09-17,156.33,159.25,152.63,155.1,155.1,1008812,0.0,6.0
2024-09-16,942.96,942.96,918.44,937.68,156.28,258600,0.0,1.0
2024-09-13,924.71,945.52,922.05,935.07,155.845,230434,0.0,1.0
2024-09-12,911.67,930.6399,909.2222,919.13,153.188333333333,166361,0.0,1.0
2024-09-11,884.66,911.65,880.61,909.26,151.543333333333,378866,0.0,1.0
2024-09-10,882.0,892.415,871.2,890.71,148.451666666667,284059,0.0,1.0
2024-09-09,867.0,897.16,867.0,894.09,149.015,397578,0.0,1.0
2024-09-06,880.54,885.0,856.17,859.96,143.326666666667,389056,0.0,1.0
2024-09-05,889.75,891.16,871.3043,879.38,146.563333333333,251267,0.0,1.0
2024-09-04,891.77,899.15,881.49,895.37,149.228333333333,295477,0.0,1.0
2024-09-03,956.2,959.05,893.97,899.04,149.84,469556,0.0,1.0
2024-08-30,946.11,959.5,935.78,959.29,159.881666666667,287165,0.0,1.0
2024-08-29,948.72,956.93,940.42,941.43,156.905,185479,0.0,1.0
2024-08-28,957.76,964.0,942.57,949.58,158.263333333333,275043,0.0,1.0
2024-08-27,940.71,955.505,934.32,952.84,158.806666666667,178571,0.0,1.0
2024-08-26,971.84,973.43,941.76,945.03,157.505,239568,0.0,1.0
2024-08-23,955.16,980.505,955.16,974.56,162.426666666667,217206,0.0,1.0
2024-08-22,959.88,964.0,951.5,954.89,159.148333333333,175101,0.0,1.0
2024-08-21,957.7,964.19,948.6,957.54,159.59,298478,0.0,1.0
2024-08-20,965.25,969.99,943.98,948.67,158.111666666667,196421,0.0,1.0
2024-08-19,951.5,965.95,951.5,963.22,160.536666666667,164035,0.0,1.0
2024-08-16,947.41,963.1275,942.62,950.53,158.421666666667,288710,0.0,1.0
2024-08-15,953.78,966.5,937.07,947.55,157.925,319787,0.0,1.0
2024-08-14,939.69,950.0,917.73,919.37,153.228333333333,260728,0.0,1.0
2024-08-13,920.0,944.75,920.0,944.32,157.386666666667,322784,0.0,1.0
2024-08-12,890.02,918.93,890.02,918.3,153.05,347394,0.0,1.0
2024-08-09,880.83,892.34,874.61,890.25,148.375,215737,0.0,1.0
2024-08-08,854.17,885.73,846.44,883.93,147.321666666667,397047,0.0,1.0
2024-08-07,881.99,884.0,841.48,843.28,140.546666666667,394223,0.0,1.0
2024-08-06,863.25,882.36,852.77,869.2,144.866666666667,312358,0.0,1.0
2024-08-05,824.63,863.0,806.9,850.48,141.746666666667,374529,0.0,1.0
2024-08-02,882.91,882.91,854.38,865.33,144.221666666667,307680,0.0,1.0
2024-08-01,922.77,932.86,895.02,906.21,151.035,253824,0.0,1.0
