,DTE_Open,DTE_High,DTE_Low,DTE_Close,DTE_Adj Close,DTE_Volume,DTE_Dividend Amount,DTE_Split Coefficient
2024-10-04,126.15,127.27,125.7,126.98,126.98,721390,0.0,1.0
2024-10-03,128.76,128.93,127.3,127.55,127.55,868538,0.0,1.0
2024-10-02,127.43,129.0,126.75,128.7,128.7,763534,0.0,1.0
2024-10-01,128.58,129.53,127.97,128.7,128.7,780379,0.0,1.0
2024-09-30,128.0,128.48,126.72,128.41,128.41,1117743,0.0,1.0
2024-09-27,126.21,127.89,126.04,127.38,127.38,990768,0.0,1.0
2024-09-26,125.26,126.5,125.05,125.58,125.58,639368,0.0,1.0
2024-09-25,126.13,126.13,124.2,125.54,125.54,964788,0.0,1.0
2024-09-24,125.59,127.01,124.995,125.29,125.29,744237,0.0,1.0
2024-09-23,125.45,126.77,124.76,126.41,126.41,969439,0.0,1.0
2024-09-20,123.6,125.48,123.04,125.09,125.09,1834168,0.0,1.0
2024-09-19,123.78,124.27,122.88,123.53,123.53,2089801,0.0,1.0
2024-09-18,125.76,126.0417,122.84,124.42,124.42,1301389,0.0,1.0
2024-09-17,126.18,126.71,125.19,125.68,125.68,832373,0.0,1.0
2024-09-16,126.37,126.77,125.685,126.36,126.36,1018504,1.02,1.0
2024-09-13,124.8,125.99,123.67,125.95,124.941450777202,806489,0.0,1.0
2024-09-12,124.37,124.835,123.59,124.49,123.493141780499,933108,0.0,1.0
2024-09-11,125.28,125.28,123.21,124.38,123.384022609515,1162443,0.0,1.0
2024-09-10,124.69,126.08,124.46,125.55,124.544653791804,1278757,0.0,1.0
2024-09-09,123.15,124.95,122.58,124.62,123.622100800754,1030729,0.0,1.0
2024-09-06,124.04,124.965,122.95,123.19,122.203551577956,1709129,0.0,1.0
2024-09-05,127.31,127.31,122.73,123.66,122.669788035798,2609848,0.0,1.0
2024-09-04,126.08,127.59,125.33,126.32,125.308487988695,709468,0.0,1.0
2024-09-03,125.0,126.58,124.79,125.54,124.534733867169,793815,0.0,1.0
2024-08-30,124.78,125.18,123.89,125.02,124.018897786152,656194,0.0,1.0
2024-08-29,124.4,124.63,123.22,124.59,123.592341026849,580526,0.0,1.0
2024-08-28,124.26,125.335,124.015,124.4,123.403862458785,701771,0.0,1.0
2024-08-27,124.5,125.005,123.2801,123.88,122.888026377767,549307,0.0,1.0
2024-08-26,124.23,125.51,123.7,124.67,123.671700423928,442166,0.0,1.0
2024-08-23,123.86,124.15,123.26,123.82,122.828506829958,489286,0.0,1.0
2024-08-22,123.48,123.83,122.37,123.34,122.35235044748,757823,0.0,1.0
2024-08-21,123.1,123.79,122.77,123.32,122.33251059821,579213,0.0,1.0
2024-08-20,123.52,124.015,122.67,122.93,121.945633537447,580652,0.0,1.0
2024-08-19,121.91,123.36,121.91,123.27,122.282910975035,744312,0.0,1.0
2024-08-16,122.44,122.94,121.44,121.89,120.913961375412,2423752,0.0,1.0
2024-08-15,121.23,122.19,120.765,121.98,121.003240697127,987658,0.0,1.0
2024-08-14,120.95,122.79,120.5437,122.03,121.052840320301,767569,0.0,1.0
2024-08-13,120.99,121.6,120.44,121.3,120.32868582195,743903,0.0,1.0
2024-08-12,119.62,120.65,119.38,120.6,119.634291097504,639844,0.0,1.0
2024-08-09,120.05,120.3,117.91,119.91,118.949816297692,634234,0.0,1.0
2024-08-08,119.25,120.55,119.15,119.89,118.929976448422,804246,0.0,1.0
2024-08-07,119.45,121.37,118.78,120.1,119.138294865756,1012215,0.0,1.0
2024-08-06,118.79,120.55,118.13,119.07,118.116542628356,1430692,0.0,1.0
2024-08-05,124.27,124.42,118.65,118.79,117.838784738577,1099791,0.0,1.0
2024-08-02,125.0,126.76,121.69,123.24,122.25315120113,1256165,0.0,1.0
2024-08-01,121.07,123.54,120.47,123.38,122.39203014602,1101916,0.0,1.0
2024-07-31,120.69,120.88,119.56,120.53,119.564851625059,1046710,0.0,1.0
2024-07-30,119.01,120.84,118.49,120.63,119.664050871408,807545,0.0,1.0
2024-07-29,118.21,119.56,117.44,119.11,118.156222326896,882121,0.0,1.0
2024-07-26,119.32,119.32,117.0,118.19,117.24358926048,1712734,0.0,1.0
2024-07-25,118.32,120.54,117.21,118.19,117.24358926048,1063497,0.0,1.0
2024-07-24,117.16,118.35,116.39,117.91,116.965831370702,954024,0.0,1.0
2024-07-23,117.04,117.155,115.8,115.9,114.971926519077,647171,0.0,1.0
2024-07-22,116.65,117.39,115.97,117.21,116.271436646255,760917,0.0,1.0
2024-07-19,117.59,117.59,115.4811,116.09,115.160405087141,671547,0.0,1.0
2024-07-18,116.36,118.58,116.335,116.68,115.745680640603,1018925,0.0,1.0
2024-07-17,115.16,118.53,114.77,117.34,116.40039566651,1274864,0.0,1.0
2024-07-16,113.58,114.865,113.14,114.7,113.781535562883,1118338,0.0,1.0
2024-07-15,113.84,114.83,112.65,113.13,112.224107395195,1133643,0.0,1.0
2024-07-12,113.62,115.25,113.25,114.48,113.563297220914,1039226,0.0,1.0
2024-07-11,109.87,113.5,109.73,113.18,112.27370701837,1903969,0.0,1.0
2024-07-10,109.21,109.45,108.4,109.08,108.20653791804,1025568,0.0,1.0
2024-07-09,108.75,109.86,108.57,108.67,107.799821008008,968231,0.0,1.0
2024-07-08,109.75,110.0,108.71,109.01,108.137098445596,972113,0.0,1.0
2024-07-05,109.32,110.17,108.955,109.77,108.891012717852,937889,0.0,1.0
2024-07-03,109.39,110.7,109.2,109.24,108.3652567122,350282,0.0,1.0
2024-07-02,109.53,109.83,109.0,109.4,108.523975506359,727910,0.0,1.0
2024-07-01,111.44,111.75,108.8,109.12,108.24621761658,890941,0.0,1.0
2024-06-28,111.7,111.72,110.43,111.01,110.121083372586,1566147,0.0,1.0
2024-06-27,110.55,111.42,110.14,111.25,110.359161563825,669367,0.0,1.0
2024-06-26,109.37,110.81,108.95,110.45,109.565567593029,957156,0.0,1.0
2024-06-25,112.14,112.57,109.95,110.02,109.139010833726,1208099,0.0,1.0
2024-06-24,110.96,113.165,110.84,112.8,111.896749882242,839710,0.0,1.0
2024-06-21,111.63,112.45,110.76,110.91,110.021884126236,1884679,0.0,1.0
2024-06-20,110.6,111.84,110.13,111.12,110.23020254357,902048,0.0,1.0
2024-06-18,110.4,110.79,109.57,110.57,109.684606688648,946019,0.0,1.0
2024-06-17,110.32,111.465,109.83,110.76,109.873085256712,1178423,1.02,1.0
2024-06-14,112.04,112.95,111.68,112.14,110.226943824367,766328,0.0,1.0
2024-06-13,112.51,113.2,111.4401,112.54,110.620120010649,1521202,0.0,1.0
2024-06-12,115.2,115.3,112.32,112.63,110.708584652563,999361,0.0,1.0
2024-06-11,111.69,113.8599,111.365,113.74,111.799648569498,1390330,0.0,1.0
2024-06-10,112.2,113.4,111.84,112.64,110.71841405722,1093642,0.0,1.0
2024-06-07,112.15,113.15,112.075,112.33,110.413702512851,747980,0.0,1.0
2024-06-06,114.06,114.89,113.43,113.54,111.603060476356,746041,0.0,1.0
2024-06-05,115.95,116.28,114.39,114.54,112.586000942063,822482,0.0,1.0
2024-06-04,115.92,116.86,115.14,116.53,114.54205246882,753733,0.0,1.0
2024-06-03,116.49,117.03,115.69,116.24,114.256999733765,1034988,0.0,1.0
2024-05-31,113.17,116.61,112.63,116.53,114.54205246882,1519679,0.0,1.0
2024-05-30,111.52,112.81,111.48,112.75,110.826537508448,760390,0.0,1.0
2024-05-29,112.29,112.36,110.92,110.97,109.07690347949,788790,0.0,1.0
2024-05-28,112.85,114.05,112.842,113.0,111.072272624875,879108,0.0,1.0
2024-05-24,112.4,113.0,111.78,112.96,111.032955006246,661319,0.0,1.0
2024-05-23,114.21,114.48,112.02,112.06,110.14830858711,733842,0.0,1.0
2024-05-22,116.41,117.0,114.81,115.06,113.097129984231,901100,0.0,1.0
2024-05-21,116.67,117.445,116.21,117.18,115.180963771529,596884,0.0,1.0
2024-05-20,117.0,117.3,115.88,116.35,114.365123184992,734936,0.0,1.0
