,DUK_Open,DUK_High,DUK_Low,DUK_Close,DUK_Adj Close,DUK_Volume,DUK_Dividend Amount,DUK_Split Coefficient
2024-10-04,114.63,114.87,113.805,114.05,114.05,3513136,0.0,1.0
2024-10-03,116.98,117.0942,115.4753,115.76,115.76,3856686,0.0,1.0
2024-10-02,115.5,116.805,115.13,116.68,116.68,3360242,0.0,1.0
2024-10-01,115.45,116.46,114.9097,116.22,116.22,3729704,0.0,1.0
2024-09-30,116.29,116.34,114.34,115.3,115.3,5539445,0.0,1.0
2024-09-27,115.5,116.33,114.83,115.97,115.97,3523061,0.0,1.0
2024-09-26,115.12,116.32,114.8421,115.17,115.17,3425688,0.0,1.0
2024-09-25,116.6,116.76,115.374,116.21,116.21,3496737,0.0,1.0
2024-09-24,116.5,117.765,115.835,115.98,115.98,2925377,0.0,1.0
2024-09-23,116.86,117.47,116.46,117.31,117.31,2332581,0.0,1.0
2024-09-20,115.66,116.67,115.34,116.37,116.37,6277016,0.0,1.0
2024-09-19,115.09,115.54,113.95,115.14,115.14,3952341,0.0,1.0
2024-09-18,116.63,117.175,115.29,115.88,115.88,2265346,0.0,1.0
2024-09-17,117.55,117.73,116.315,116.73,116.73,2251567,0.0,1.0
2024-09-16,118.11,118.31,117.46,117.7,117.7,2212044,0.0,1.0
2024-09-13,116.24,117.4,115.74,117.31,117.31,2311011,0.0,1.0
2024-09-12,116.36,116.825,115.84,115.97,115.97,2390288,0.0,1.0
2024-09-11,116.38,116.49,115.34,116.2,116.2,3667419,0.0,1.0
2024-09-10,117.37,118.18,116.71,116.93,116.93,2594220,0.0,1.0
2024-09-09,116.93,117.25,115.94,117.16,117.16,2829822,0.0,1.0
2024-09-06,117.05,117.33,116.225,116.6,116.6,3482508,0.0,1.0
2024-09-05,117.77,118.11,116.32,116.85,116.85,2585878,0.0,1.0
2024-09-04,116.48,117.93,116.19,117.06,117.06,2693450,0.0,1.0
2024-09-03,114.0,116.4099,113.91,115.79,115.79,3792664,0.0,1.0
2024-08-30,113.0,114.08,112.84,113.95,113.95,3022442,0.0,1.0
2024-08-29,112.7,113.07,111.85,112.99,112.99,2022057,0.0,1.0
2024-08-28,112.39,113.64,111.89,112.7,112.7,2429737,0.0,1.0
2024-08-27,112.77,113.09,111.775,111.9,111.9,2136530,0.0,1.0
2024-08-26,112.53,113.63,112.01,113.01,113.01,3038898,0.0,1.0
2024-08-23,112.25,113.0,111.9,112.36,112.36,2732539,0.0,1.0
2024-08-22,112.66,112.68,111.45,112.12,112.12,5459732,0.0,1.0
2024-08-21,112.37,113.16,112.255,112.73,112.73,2798787,0.0,1.0
2024-08-20,112.91,113.41,112.1,112.38,112.38,2822667,0.0,1.0
2024-08-19,112.28,113.18,112.25,112.72,112.72,1716210,0.0,1.0
2024-08-16,112.38,112.65,111.61,112.3,112.3,2642700,1.045,1.0
2024-08-15,112.93,113.269,112.4,113.11,112.067166615201,2658325,0.0,1.0
2024-08-14,113.38,114.54,112.81,113.46,112.413939741497,1979232,0.0,1.0
2024-08-13,113.35,113.94,112.77,113.72,112.671542635317,2732952,0.0,1.0
2024-08-12,112.63,113.42,112.095,113.37,112.324769509021,3058672,0.0,1.0
2024-08-09,112.95,112.96,111.13,112.67,111.631223256429,2218742,0.0,1.0
2024-08-08,112.47,113.96,111.9,112.43,111.393435969827,4716709,0.0,1.0
2024-08-07,113.22,114.78,112.63,113.51,112.463478759539,4921524,0.0,1.0
2024-08-06,112.49,114.2,111.36,112.92,111.878918346641,4289815,0.0,1.0
2024-08-05,114.11,114.98,111.01,111.01,109.986527857426,4918669,0.0,1.0
2024-08-02,114.35,116.67,111.65,113.92,112.869698707486,4606697,0.0,1.0
2024-08-01,109.77,112.71,109.27,112.6,111.56186863117,3975502,0.0,1.0
2024-07-31,108.9,109.75,108.43,109.27,108.262570029556,3946121,0.0,1.0
2024-07-30,108.12,110.03,107.895,109.9,108.886761656888,2929982,0.0,1.0
2024-07-29,108.28,109.2,107.94,108.68,107.678009616657,3445128,0.0,1.0
2024-07-26,107.8,108.48,107.41,108.03,107.034002382108,2270522,0.0,1.0
2024-07-25,109.0,110.02,106.95,107.56,106.56833561251,3165244,0.0,1.0
2024-07-24,108.25,108.92,107.04,108.6,107.598747187789,2875664,0.0,1.0
2024-07-23,107.48,107.9,107.02,107.12,106.132392253739,1512114,0.0,1.0
2024-07-22,106.94,107.7,106.58,107.54,106.548520005294,2373275,0.0,1.0
2024-07-19,107.58,107.605,106.31,106.92,105.93423618157,2163194,0.0,1.0
2024-07-18,107.01,108.59,106.715,106.91,105.924328377961,2638710,0.0,1.0
2024-07-17,107.07,108.44,105.65,107.52,106.528704398077,3374837,0.0,1.0
