,ECPG_Open,ECPG_High,ECPG_Low,ECPG_Close,ECPG_Adj Close,ECPG_Volume,ECPG_Dividend Amount,ECPG_Split Coefficient
2024-10-04,45.63,45.9,45.04,45.41,45.41,91958,0.0,1.0
2024-10-03,45.01,45.01,43.84,44.79,44.79,135168,0.0,1.0
2024-10-02,46.05,46.28,45.07,45.24,45.24,94893,0.0,1.0
2024-10-01,47.01,47.01,45.73,46.09,46.09,130126,0.0,1.0
2024-09-30,46.76,47.4,46.3301,47.27,47.27,177624,0.0,1.0
2024-09-27,47.73,48.395,46.58,47.08,47.08,125254,0.0,1.0
2024-09-26,46.95,47.97,46.77,47.26,47.26,137222,0.0,1.0
2024-09-25,47.17,47.28,46.375,46.58,46.58,230132,0.0,1.0
2024-09-24,47.05,47.345,46.32,47.17,47.17,94497,0.0,1.0
2024-09-23,48.36,48.585,47.0,47.05,47.05,138686,0.0,1.0
2024-09-20,48.72,48.72,47.48,47.98,47.98,495441,0.0,1.0
2024-09-19,49.98,50.0,48.825,49.0,49.0,132286,0.0,1.0
2024-09-18,49.38,50.81,48.64,49.05,49.05,145413,0.0,1.0
2024-09-17,48.47,50.18,48.435,49.17,49.17,115950,0.0,1.0
2024-09-16,48.6,48.77,47.8,47.94,47.94,56135,0.0,1.0
2024-09-13,46.46,48.26,46.46,48.18,48.18,214067,0.0,1.0
2024-09-12,45.78,46.38,45.1,45.87,45.87,117681,0.0,1.0
2024-09-11,45.71,45.81,44.74,45.49,45.49,119084,0.0,1.0
2024-09-10,46.035,46.36,45.59,46.09,46.09,137607,0.0,1.0
2024-09-09,47.11,47.11,46.14,46.17,46.17,148709,0.0,1.0
2024-09-06,47.75,48.16,46.64,47.14,47.14,75700,0.0,1.0
2024-09-05,47.88,48.49,47.495,47.81,47.81,51158,0.0,1.0
2024-09-04,48.17,48.61,47.52,47.53,47.53,72823,0.0,1.0
2024-09-03,49.73,50.1,47.65,48.45,48.45,107951,0.0,1.0
2024-08-30,49.93,50.54,49.42,50.08,50.08,232328,0.0,1.0
2024-08-29,50.36,50.36,49.3,49.58,49.58,89209,0.0,1.0
2024-08-28,49.68,50.48,49.62,49.85,49.85,57127,0.0,1.0
2024-08-27,50.19,50.295,49.51,49.88,49.88,113009,0.0,1.0
2024-08-26,51.09,51.12,50.16,50.22,50.22,72420,0.0,1.0
2024-08-23,49.15,51.13,48.99,50.58,50.58,123983,0.0,1.0
2024-08-22,49.25,49.45,48.75,48.98,48.98,33013,0.0,1.0
2024-08-21,49.11,49.59,48.585,49.2,49.2,69536,0.0,1.0
2024-08-20,49.63,50.43,49.065,49.08,49.08,93286,0.0,1.0
2024-08-19,49.61,50.36,49.105,49.92,49.92,112350,0.0,1.0
2024-08-16,48.24,50.165,48.24,49.61,49.61,103747,0.0,1.0
2024-08-15,49.36,50.18,48.2,48.28,48.28,128900,0.0,1.0
2024-08-14,47.83,48.625,46.84,48.09,48.09,80356,0.0,1.0
2024-08-13,47.91,48.225,47.06,47.58,47.58,134917,0.0,1.0
2024-08-12,48.99,48.99,47.28,47.37,47.37,113102,0.0,1.0
2024-08-09,49.59,50.02,47.62,48.73,48.73,132296,0.0,1.0
2024-08-08,46.88,50.31,44.05,49.93,49.93,337041,0.0,1.0
2024-08-07,46.17,46.92,44.76,44.81,44.81,126996,0.0,1.0
2024-08-06,46.19,46.29,44.95,45.77,45.77,181423,0.0,1.0
2024-08-05,44.83,46.69,44.26,46.13,46.13,187338,0.0,1.0
2024-08-02,46.86,47.53,46.13,47.24,47.24,90872,0.0,1.0
2024-08-01,50.64,50.64,47.36,48.31,48.31,146644,0.0,1.0
2024-07-31,50.64,51.71,50.275,50.55,50.55,98514,0.0,1.0
2024-07-30,50.33,51.06,49.68,50.68,50.68,92003,0.0,1.0
2024-07-29,50.03,50.33,49.7264,50.21,50.21,62273,0.0,1.0
2024-07-26,49.83,50.64,49.51,50.3,50.3,111324,0.0,1.0
2024-07-25,49.03,49.99,49.03,49.56,49.56,111138,0.0,1.0
2024-07-24,48.77,50.0,48.26,48.69,48.69,93867,0.0,1.0
2024-07-23,47.99,49.21,47.52,49.07,49.07,76246,0.0,1.0
2024-07-22,47.7,48.5,47.24,48.27,48.27,68059,0.0,1.0
2024-07-19,48.74,48.74,47.27,47.55,47.55,72083,0.0,1.0
2024-07-18,48.95,49.99,47.895,48.57,48.57,124073,0.0,1.0
2024-07-17,48.32,50.34,47.43,49.46,49.46,261976,0.0,1.0
2024-07-16,46.93,48.835,46.93,48.63,48.63,241180,0.0,1.0
2024-07-15,45.44,46.93,45.05,46.4,46.4,208229,0.0,1.0
2024-07-12,44.71,45.42,44.52,44.89,44.89,126842,0.0,1.0
2024-07-11,43.46,45.04,43.3,44.71,44.71,183392,0.0,1.0
2024-07-10,42.49,42.52,41.85,42.47,42.47,50975,0.0,1.0
2024-07-09,41.36,42.66,41.04,42.29,42.29,177724,0.0,1.0
2024-07-08,41.62,41.66,40.83,41.36,41.36,62303,0.0,1.0
2024-07-05,41.37,41.52,40.33,41.28,41.28,69453,0.0,1.0
2024-07-03,42.31,42.31,41.41,41.51,41.51,50241,0.0,1.0
2024-07-02,41.81,42.44,41.5886,41.91,41.91,90391,0.0,1.0
2024-07-01,41.69,42.41,41.075,41.68,41.68,89298,0.0,1.0
2024-06-28,40.43,41.9,40.25,41.73,41.73,448793,0.0,1.0
2024-06-27,40.19,40.3311,39.81,40.08,40.08,99856,0.0,1.0
2024-06-26,40.6,40.9,39.6401,39.95,39.95,142069,0.0,1.0
2024-06-25,41.11,41.11,40.34,40.8,40.8,249700,0.0,1.0
2024-06-24,42.86,43.42,41.21,41.24,41.24,197569,0.0,1.0
2024-06-21,42.06,42.57,41.275,42.5,42.5,374376,0.0,1.0
2024-06-20,40.92,42.62,40.47,41.86,41.86,196446,0.0,1.0
2024-06-18,40.87,41.39,40.45,41.0,41.0,112886,0.0,1.0
2024-06-17,40.36,41.4,40.2191,41.17,41.17,105481,0.0,1.0
2024-06-14,40.48,40.88,40.07,40.48,40.48,131492,0.0,1.0
2024-06-13,41.84,41.84,40.6,41.16,41.16,99871,0.0,1.0
2024-06-12,42.68,43.42,41.7875,41.96,41.96,67508,0.0,1.0
2024-06-11,41.07,41.585,40.675,41.48,41.48,87270,0.0,1.0
2024-06-10,42.24,42.59,41.44,41.58,41.58,94010,0.0,1.0
2024-06-07,42.1,42.86,42.0,42.85,42.85,111863,0.0,1.0
2024-06-06,43.82,43.84,42.48,42.61,42.61,147963,0.0,1.0
2024-06-05,44.15,44.68,43.97,44.1,44.1,67111,0.0,1.0
2024-06-04,43.41,44.42,42.98,44.18,44.18,92324,0.0,1.0
2024-06-03,44.66,44.66,43.37,43.81,43.81,75928,0.0,1.0
2024-05-31,43.9,44.53,43.69,44.24,44.24,96569,0.0,1.0
2024-05-30,43.54,44.34,43.38,43.8,43.8,84580,0.0,1.0
2024-05-29,43.48,43.955,43.115,43.38,43.38,78750,0.0,1.0
2024-05-28,43.94,44.905,43.93,44.32,44.32,109962,0.0,1.0
2024-05-24,44.23,44.23,43.25,43.74,43.74,98539,0.0,1.0
2024-05-23,44.53,45.04,43.19,43.64,43.64,144650,0.0,1.0
2024-05-22,43.99,44.85,43.66,44.49,44.49,188869,0.0,1.0
2024-05-21,44.6,44.69,44.0508,44.13,44.13,55927,0.0,1.0
2024-05-20,47.0,47.66,44.71,44.8,44.8,85161,0.0,1.0
2024-05-17,46.81,47.08,46.2648,46.99,46.99,169499,0.0,1.0
2024-05-16,46.52,47.09,46.32,46.6,46.6,102782,0.0,1.0
2024-05-15,47.33,47.33,46.49,46.72,46.72,87564,0.0,1.0
2024-05-14,47.85,48.83,46.57,46.72,46.72,126509,0.0,1.0
2024-05-13,47.58,48.0,46.98,47.31,47.31,91549,0.0,1.0
2024-05-10,47.71,48.0,46.54,47.11,47.11,149471,0.0,1.0
2024-05-09,45.1,48.755,44.67,48.1,48.1,397170,0.0,1.0
2024-05-08,42.59,43.8899,42.52,43.24,43.24,140609,0.0,1.0
2024-05-07,43.52,44.17,42.85,42.97,42.97,262877,0.0,1.0
2024-05-06,43.05,43.7339,43.05,43.32,43.32,250696,0.0,1.0
2024-05-03,43.15,43.47,42.82,42.82,42.82,166510,0.0,1.0
2024-05-02,42.31,42.66,41.89,42.5,42.5,110740,0.0,1.0
2024-05-01,41.23,42.53,40.85,41.78,41.78,127765,0.0,1.0
2024-04-30,41.7,41.82,40.89,41.09,41.09,104903,0.0,1.0
2024-04-29,41.94,42.885,41.94,42.06,42.06,296265,0.0,1.0
2024-04-26,41.68,42.11,41.16,41.63,41.63,163347,0.0,1.0
2024-04-25,42.79,43.13,41.63,41.76,41.76,141222,0.0,1.0
2024-04-24,42.18,43.23,42.05,43.05,43.05,106885,0.0,1.0
2024-04-23,42.13,42.92,42.13,42.48,42.48,101288,0.0,1.0
2024-04-22,42.78,43.18,42.005,42.09,42.09,101759,0.0,1.0
2024-04-19,41.71,43.175,41.71,42.7,42.7,207300,0.0,1.0
2024-04-18,41.51,42.02,41.13,41.64,41.64,301677,0.0,1.0
2024-04-17,40.74,44.61,40.74,41.22,41.22,249497,0.0,1.0
2024-04-16,41.81,41.81,40.42,40.54,40.54,304539,0.0,1.0
2024-04-15,42.9,43.17,41.635,41.94,41.94,196114,0.0,1.0
2024-04-12,43.19,43.5,42.63,42.82,42.82,130689,0.0,1.0
2024-04-11,44.12,44.69,43.64,43.65,43.65,186310,0.0,1.0
2024-04-10,44.0,44.44,43.61,44.07,44.07,127015,0.0,1.0
2024-04-09,44.85,45.37,44.44,45.33,45.33,109482,0.0,1.0
2024-04-08,43.6,44.58,43.5,44.48,44.48,88581,0.0,1.0
2024-04-05,43.13,43.58,42.82,43.55,43.55,127341,0.0,1.0
2024-04-04,43.94,44.29,43.07,43.33,43.33,94078,0.0,1.0
2024-04-03,43.38,44.015,43.24,43.4,43.4,148068,0.0,1.0
2024-04-02,43.22,43.83,42.41,43.71,43.71,212743,0.0,1.0
2024-04-01,45.71,45.71,43.02,43.52,43.52,253019,0.0,1.0
2024-03-28,46.28,46.62,45.43,45.61,45.61,370733,0.0,1.0
2024-03-27,45.53,46.08,45.13,46.06,46.06,435767,0.0,1.0
2024-03-26,45.72,46.03,44.7,44.99,44.99,331492,0.0,1.0
2024-03-25,46.74,47.02,45.46,45.46,45.46,144100,0.0,1.0
2024-03-22,47.75,47.925,46.5,46.61,46.61,126845,0.0,1.0
2024-03-21,46.89,47.62,46.52,47.48,47.48,230125,0.0,1.0
2024-03-20,45.16,46.825,45.03,46.43,46.43,127698,0.0,1.0
2024-03-19,44.9,46.01,44.9,45.26,45.26,115652,0.0,1.0
2024-03-18,46.15,46.15,44.79,44.87,44.87,149368,0.0,1.0
2024-03-15,45.11,46.74,45.06,46.11,46.11,317720,0.0,1.0
2024-03-14,48.5,48.5,45.7,46.65,46.65,173126,0.0,1.0
2024-03-13,48.75,49.17,48.01,48.13,48.13,124930,0.0,1.0
2024-03-12,49.2,49.28,48.79,49.12,49.12,91477,0.0,1.0
2024-03-11,50.3,50.73,49.03,49.49,49.49,58017,0.0,1.0
2024-03-08,49.77,50.83,49.0,50.15,50.15,105476,0.0,1.0
2024-03-07,48.43,49.13,48.0,48.94,48.94,76742,0.0,1.0
2024-03-06,47.79,48.68,47.55,47.97,47.97,125612,0.0,1.0
2024-03-05,48.29,48.88,47.56,47.56,47.56,97171,0.0,1.0
2024-03-04,49.07,49.38,48.57,48.58,48.58,89019,0.0,1.0
2024-03-01,48.25,49.03,47.75,48.89,48.89,81748,0.0,1.0
2024-02-29,49.07,49.24,47.26,48.0,48.0,215758,0.0,1.0
2024-02-28,47.92,48.32,47.6,48.25,48.25,122785,0.0,1.0
2024-02-27,47.63,48.54,47.496,47.99,47.99,155316,0.0,1.0
2024-02-26,49.25,49.745,47.45,47.47,47.47,154354,0.0,1.0
2024-02-23,48.18,50.32,47.715,49.56,49.56,236718,0.0,1.0
2024-02-22,50.57,50.57,46.71,48.18,48.18,670358,0.0,1.0
2024-02-21,53.09,53.72,52.71,53.42,53.42,213827,0.0,1.0
2024-02-20,51.94,53.49,51.92,53.31,53.31,210960,0.0,1.0
2024-02-16,50.85,54.55,49.81,52.73,52.73,312946,0.0,1.0
2024-02-15,50.03,51.38,49.83,51.02,51.02,161442,0.0,1.0
2024-02-14,50.21,50.35,49.23,49.8,49.8,111345,0.0,1.0
2024-02-13,50.4,50.72,49.17,49.46,49.46,128767,0.0,1.0
2024-02-12,50.55,52.25,50.55,51.94,51.94,120550,0.0,1.0
2024-02-09,50.33,50.98,48.13,50.33,50.33,88970,0.0,1.0
2024-02-08,49.32,50.3,48.78,50.22,50.22,91289,0.0,1.0
2024-02-07,50.22,50.46,48.73,49.32,49.32,202704,0.0,1.0
2024-02-06,49.49,50.31,49.43,50.09,50.09,137295,0.0,1.0
2024-02-05,49.62,50.45,49.07,49.8,49.8,83098,0.0,1.0
2024-02-02,50.44,51.26,49.88,50.25,50.25,91882,0.0,1.0
2024-02-01,50.3,51.3,49.9,51.26,51.26,177113,0.0,1.0
2024-01-31,51.71,52.14,50.07,50.08,50.08,103660,0.0,1.0
2024-01-30,51.55,52.37,51.52,52.11,52.11,148588,0.0,1.0
2024-01-29,51.69,52.3,51.45,51.8,51.8,137857,0.0,1.0
2024-01-26,51.77,52.09,51.15,51.68,51.68,96881,0.0,1.0
2024-01-25,52.09,52.13,50.99,51.37,51.37,288399,0.0,1.0
2024-01-24,52.33,52.36,51.02,51.33,51.33,122304,0.0,1.0
2024-01-23,51.86,52.65,51.31,51.58,51.58,160090,0.0,1.0
2024-01-22,51.15,51.965,51.15,51.78,51.78,104526,0.0,1.0
2024-01-19,50.48,51.115,49.64,50.61,50.61,164564,0.0,1.0
2024-01-18,49.32,50.29,49.01,50.18,50.18,298371,0.0,1.0
2024-01-17,48.37,49.47,48.12,48.8,48.8,125280,0.0,1.0
2024-01-16,48.6,49.355,47.8,49.29,49.29,128703,0.0,1.0
2024-01-12,50.25,50.3,48.92,49.23,49.23,138755,0.0,1.0
2024-01-11,49.83,49.98,48.71,49.55,49.55,74852,0.0,1.0
2024-01-10,49.64,50.57,49.19,50.37,50.37,91779,0.0,1.0
2024-01-09,49.34,50.14,48.98,50.1,50.1,79422,0.0,1.0
2024-01-08,49.4,50.69,49.4,50.15,50.15,116124,0.0,1.0
2024-01-05,48.92,50.695,46.31,49.62,49.62,106902,0.0,1.0
2024-01-04,49.51,50.22,47.74,49.35,49.35,114906,0.0,1.0
2024-01-03,50.9,51.02,48.5844,49.38,49.38,214716,0.0,1.0
2024-01-02,50.22,51.78,50.22,51.57,51.57,174231,0.0,1.0
2023-12-29,51.41,51.7,50.11,50.75,50.75,151699,0.0,1.0
2023-12-28,50.82,52.17,50.72,51.64,51.64,133352,0.0,1.0
2023-12-27,51.35,51.875,51.08,51.32,51.32,123764,0.0,1.0
2023-12-26,50.72,51.735,50.45,51.17,51.17,123655,0.0,1.0
2023-12-22,51.02,51.79,49.79,50.35,50.35,107256,0.0,1.0
2023-12-21,50.01,51.01,49.945,50.83,50.83,148052,0.0,1.0
2023-12-20,50.25,50.88,49.59,49.59,49.59,149941,0.0,1.0
2023-12-19,49.15,50.71,49.15,50.25,50.25,322997,0.0,1.0
2023-12-18,48.6,49.19,47.795,48.89,48.89,143723,0.0,1.0
2023-12-15,49.08,49.68,47.8,48.11,48.11,534476,0.0,1.0
2023-12-14,48.35,49.39,47.76,48.39,48.39,259126,0.0,1.0
2023-12-13,43.86,46.94,43.67,46.93,46.93,389959,0.0,1.0
2023-12-12,46.04,46.04,43.66,43.7,43.7,191485,0.0,1.0
2023-12-11,45.82,45.98,45.07,45.94,45.94,139890,0.0,1.0
2023-12-08,46.35,46.85,45.015,45.97,45.97,135220,0.0,1.0
2023-12-07,45.54,46.32,45.27,46.31,46.31,145309,0.0,1.0
2023-12-06,45.86,46.77,45.565,45.61,45.61,88493,0.0,1.0
2023-12-05,46.03,46.11,44.98,45.78,45.78,91079,0.0,1.0
2023-12-04,45.35,46.68,45.35,46.19,46.19,94617,0.0,1.0
2023-12-01,44.49,45.35,44.49,45.32,45.32,175281,0.0,1.0
2023-11-30,44.16,44.89,43.76,44.8,44.8,145616,0.0,1.0
2023-11-29,44.22,45.37,43.97,44.17,44.17,110734,0.0,1.0
2023-11-28,44.27,44.27,42.75,43.69,43.69,65388,0.0,1.0
2023-11-27,43.11,44.11,42.56,44.05,44.05,116975,0.0,1.0
2023-11-24,43.83,44.405,43.435,43.48,43.48,28781,0.0,1.0
2023-11-22,44.21,44.52,43.335,43.99,43.99,68412,0.0,1.0
2023-11-21,44.19,44.59,43.76,43.91,43.91,156975,0.0,1.0
2023-11-20,42.59,44.26,42.19,44.16,44.16,160905,0.0,1.0
2023-11-17,42.67,43.39,42.325,42.64,42.64,140498,0.0,1.0
2023-11-16,43.98,44.28,42.35,42.41,42.41,148334,0.0,1.0
2023-11-15,44.09,44.7,43.7921,43.96,43.96,262100,0.0,1.0
2023-11-14,42.85,44.785,42.7425,44.17,44.17,228614,0.0,1.0
2023-11-13,40.55,41.64,40.26,41.5,41.5,91946,0.0,1.0
2023-11-10,41.81,42.01,40.83,40.92,40.92,127760,0.0,1.0
2023-11-09,42.87,42.87,41.44,41.79,41.79,118867,0.0,1.0
2023-11-08,43.67,43.67,42.115,42.53,42.53,121376,0.0,1.0
2023-11-07,43.68,44.62,42.65,43.92,43.92,180946,0.0,1.0
2023-11-06,42.63,44.245,42.44,44.04,44.04,233523,0.0,1.0
2023-11-03,41.96,43.92,41.96,42.75,42.75,240575,0.0,1.0
2023-11-02,36.84,41.45,34.74,41.33,41.33,504000,0.0,1.0
2023-11-01,37.68,38.99,37.08,37.43,37.43,357256,0.0,1.0
2023-10-31,38.34,38.575,37.32,37.68,37.68,397493,0.0,1.0
2023-10-30,39.98,40.35,38.01,38.1,38.1,292100,0.0,1.0
2023-10-27,39.5,40.27,39.13,39.48,39.48,210767,0.0,1.0
2023-10-26,39.7,39.9652,39.29,39.74,39.74,143522,0.0,1.0
2023-10-25,40.82,41.08,39.59,39.66,39.66,203728,0.0,1.0
2023-10-24,42.31,42.31,40.64,40.99,40.99,171867,0.0,1.0
2023-10-23,42.4,43.1175,42.09,42.27,42.27,220759,0.0,1.0
2023-10-20,44.31,44.31,42.43,42.67,42.67,241219,0.0,1.0
2023-10-19,45.7,46.035,43.9775,44.22,44.22,213193,0.0,1.0
2023-10-18,47.0,47.14,45.81,45.95,45.95,340495,0.0,1.0
2023-10-17,46.71,48.28,46.71,47.88,47.88,125168,0.0,1.0
2023-10-16,47.39,47.72,46.91,46.93,46.93,97929,0.0,1.0
2023-10-13,49.26,49.26,46.33,47.13,47.13,150158,0.0,1.0
2023-10-12,50.27,50.27,48.78,48.86,48.86,60932,0.0,1.0
2023-10-11,49.99,50.64,49.83,50.41,50.41,75308,0.0,1.0
2023-10-10,49.99,50.64,49.58,49.97,49.97,81129,0.0,1.0
2023-10-09,49.13,50.45,49.13,49.99,49.99,88992,0.0,1.0
2023-10-06,48.57,49.66,48.08,49.44,49.44,133954,0.0,1.0
2023-10-05,47.36,49.03,47.16,48.81,48.81,172338,0.0,1.0
2023-10-04,47.5,47.67,47.16,47.53,47.53,125531,0.0,1.0
2023-10-03,47.83,47.83,46.83,47.57,47.57,164591,0.0,1.0
2023-10-02,47.72,48.16,47.05,48.08,48.08,175927,0.0,1.0
2023-09-29,47.14,48.065,47.13,47.76,47.76,218397,0.0,1.0
2023-09-28,46.16,47.24,46.16,47.14,47.14,154968,0.0,1.0
2023-09-27,46.2,46.58,45.58,46.09,46.09,140242,0.0,1.0
2023-09-26,45.33,45.86,45.27,45.8,45.8,133926,0.0,1.0
2023-09-25,45.69,45.97,45.14,45.77,45.77,67339,0.0,1.0
2023-09-22,46.98,47.375,45.15,45.7,45.7,165891,0.0,1.0
2023-09-21,46.91,47.69,46.13,47.04,47.04,87675,0.0,1.0
2023-09-20,47.95,48.28,47.18,47.24,47.24,64387,0.0,1.0
2023-09-19,47.18,47.99,47.18,47.73,47.73,90716,0.0,1.0
2023-09-18,47.52,47.65,47.03,47.07,47.07,128933,0.0,1.0
2023-09-15,47.28,47.55,46.8,47.33,47.33,401982,0.0,1.0
2023-09-14,46.92,47.55,46.89,47.46,47.46,102783,0.0,1.0
2023-09-13,45.85,46.68,45.24,46.54,46.54,94287,0.0,1.0
2023-09-12,46.03,46.36,45.44,45.62,45.62,78474,0.0,1.0
2023-09-11,46.39,46.88,45.67,45.99,45.99,87074,0.0,1.0
2023-09-08,46.53,46.58,46.09,46.2,46.2,54209,0.0,1.0
2023-09-07,46.48,46.87,46.07,46.66,46.66,132506,0.0,1.0
2023-09-06,46.53,46.94,46.31,46.58,46.58,107770,0.0,1.0
2023-09-05,47.16,47.175,45.68,46.43,46.43,258291,0.0,1.0
2023-09-01,47.24,47.86,47.24,47.43,47.43,78592,0.0,1.0
2023-08-31,47.1,47.31,46.63,46.86,46.86,110720,0.0,1.0
2023-08-30,47.33,48.04,46.95,47.01,47.01,98334,0.0,1.0
2023-08-29,46.92,47.63,46.65,47.51,47.51,124553,0.0,1.0
2023-08-28,46.18,46.99,46.18,46.92,46.92,88340,0.0,1.0
2023-08-25,47.2,48.25,46.08,46.11,46.11,72968,0.0,1.0
2023-08-24,47.07,48.07,47.065,47.11,47.11,115651,0.0,1.0
2023-08-23,46.87,47.32,46.69,47.29,47.29,107169,0.0,1.0
2023-08-22,47.14,47.22,46.4,46.76,46.76,122281,0.0,1.0
2023-08-21,47.52,47.585,46.36,46.94,46.94,130456,0.0,1.0
2023-08-18,47.36,48.25,47.36,47.47,47.47,292501,0.0,1.0
2023-08-17,48.01,48.2827,47.68,47.75,47.75,116900,0.0,1.0
2023-08-16,48.95,48.95,47.76,47.91,47.91,111926,0.0,1.0
2023-08-15,49.85,50.21,48.73,48.95,48.95,162069,0.0,1.0
2023-08-14,50.07,50.385,49.13,50.3,50.3,123893,0.0,1.0
2023-08-11,49.59,50.61,49.3,50.46,50.46,95889,0.0,1.0
2023-08-10,50.21,50.875,49.63,49.79,49.79,113448,0.0,1.0
