,EE_Open,EE_High,EE_Low,EE_Close,EE_Adj Close,EE_Volume,EE_Dividend Amount,EE_Split Coefficient
2024-10-04,23.34,23.58,23.0,23.13,23.13,140910,0.0,1.0
2024-10-03,22.81,23.38,22.73,23.36,23.36,194139,0.0,1.0
2024-10-02,22.52,23.05,22.52,22.89,22.89,212897,0.0,1.0
2024-10-01,21.99,22.605,21.99,22.41,22.41,225014,0.0,1.0
2024-09-30,22.19,22.39,21.885,22.01,22.01,307729,0.0,1.0
2024-09-27,21.3,22.19,21.3,22.11,22.11,284669,0.0,1.0
2024-09-26,21.4,21.5832,20.99,21.19,21.19,170892,0.0,1.0
2024-09-25,21.67,21.82,21.36,21.57,21.57,198636,0.0,1.0
2024-09-24,21.73,21.95,21.48,21.67,21.67,278578,0.0,1.0
2024-09-23,20.77,21.59,20.77,21.55,21.55,294955,0.0,1.0
2024-09-20,20.28,21.05,20.28,20.84,20.84,348485,0.0,1.0
2024-09-19,21.0,21.04,20.56,20.72,20.72,259658,0.0,1.0
2024-09-18,20.68,21.09,20.31,20.68,20.68,319527,0.0,1.0
2024-09-17,19.5,20.68,19.38,20.68,20.68,245912,0.0,1.0
2024-09-16,18.97,19.4999,18.89,19.32,19.32,252306,0.0,1.0
2024-09-13,18.76,19.16,18.69,18.97,18.97,213206,0.0,1.0
2024-09-12,18.12,18.72,18.12,18.51,18.51,118135,0.0,1.0
2024-09-11,17.9,18.24,17.89,18.1,18.1,154617,0.0,1.0
2024-09-10,18.44,18.44,17.701,17.92,17.92,169966,0.0,1.0
2024-09-09,17.93,18.6,17.93,18.52,18.52,352390,0.0,1.0
2024-09-06,18.3,18.525,17.86,17.92,17.92,214350,0.0,1.0
2024-09-05,18.45,18.52,18.28,18.3,18.3,166385,0.0,1.0
2024-09-04,18.35,18.58,18.06,18.22,18.22,227392,0.0,1.0
2024-09-03,18.11,18.47,17.73,18.35,18.35,346621,0.0,1.0
2024-08-30,18.82,19.21,17.75,18.23,18.23,413803,0.0,1.0
2024-08-29,19.67,19.73,19.19,19.58,19.58,175147,0.0,1.0
2024-08-28,19.71,19.795,19.4801,19.57,19.57,62797,0.0,1.0
2024-08-27,20.09,20.09,19.81,19.9,19.9,58068,0.0,1.0
2024-08-26,19.78,20.31,19.52,20.08,20.08,178731,0.0,1.0
2024-08-23,19.5,19.715,19.48,19.6,19.6,111959,0.0,1.0
2024-08-22,19.27,19.44,19.17,19.32,19.32,105913,0.0,1.0
2024-08-21,19.52,19.52,19.2,19.31,19.31,108425,0.025,1.0
2024-08-20,19.51,19.525,19.2,19.35,19.3249806051202,91623,0.0,1.0
2024-08-19,19.56,19.92,19.47,19.53,19.5047478665632,127343,0.0,1.0
2024-08-16,19.44,19.8,19.38,19.51,19.4847737264029,160026,0.0,1.0
2024-08-15,19.57,19.71,19.44,19.45,19.4248513059219,87991,0.0,1.0
2024-08-14,19.06,19.48,18.93,19.4,19.3749159555211,103852,0.0,1.0
2024-08-13,19.41,19.41,18.72,18.88,18.8555883113525,242153,0.0,1.0
2024-08-12,18.87,19.38,18.77,19.33,19.3050064649599,167586,0.0,1.0
2024-08-09,18.93,18.95,18.47,18.57,18.5459891388673,107120,0.0,1.0
2024-08-08,18.6,19.595,18.6,19.0,18.9754331523145,146572,0.0,1.0
2024-08-07,18.46,18.63,18.05,18.18,18.1564934057409,107347,0.0,1.0
2024-08-06,18.43,18.65,18.34,18.4,18.3762089475045,85808,0.0,1.0
2024-08-05,18.59,18.785,17.54,18.45,18.4261442979054,332628,0.0,1.0
2024-08-02,19.73,19.77,19.24,19.52,19.4947607964831,166968,0.0,1.0
2024-08-01,20.27,20.42,19.8875,20.06,20.034062580812,199440,0.0,1.0
2024-07-31,20.0,20.66,19.83,20.13,20.1039720713732,172133,0.0,1.0
2024-07-30,18.85,20.01,18.74,19.92,19.8942435996897,262394,0.0,1.0
2024-07-29,19.22,19.31,18.65,18.65,18.6258856995087,173114,0.0,1.0
2024-07-26,19.36,19.36,18.78,19.17,19.1452133436773,152867,0.0,1.0
2024-07-25,19.19,19.39,18.73,19.15,19.1252392035169,175238,0.0,1.0
2024-07-24,19.51,19.63,19.21,19.21,19.1851616239979,118365,0.0,1.0
2024-07-23,19.72,19.8,19.32,19.61,19.5846444272046,130594,0.0,1.0
2024-07-22,20.16,20.16,19.61,19.84,19.8143470390484,243641,0.0,1.0
2024-07-19,19.82,20.37,19.75,20.16,20.1339332816137,289540,0.0,1.0
2024-07-18,18.97,19.75,18.9425,19.71,19.6845151280062,477077,0.0,1.0
2024-07-17,19.36,19.72,18.92,18.99,18.9654460822343,270664,0.0,1.0
2024-07-16,19.51,19.657,19.32,19.39,19.3649288854409,277457,0.0,1.0
2024-07-15,19.63,19.63,19.19,19.39,19.3649288854409,120762,0.0,1.0
2024-07-12,19.47,19.69,19.3,19.48,19.4548125161624,177417,0.0,1.0
2024-07-11,18.76,19.31,18.45,19.24,19.2151228342384,280795,0.0,1.0
2024-07-10,18.43,18.535,18.175,18.37,18.346247737264,175264,0.0,1.0
2024-07-09,17.8,18.43,17.74,18.28,18.2563641065425,226373,0.0,1.0
2024-07-08,17.91,18.14,17.6349,17.74,17.7170623222136,120345,0.0,1.0
2024-07-05,18.61,18.615,17.72,17.89,17.8668683734161,243417,0.0,1.0
2024-07-03,18.5,18.78,18.5,18.69,18.6658339798293,104231,0.0,1.0
2024-07-02,18.68,18.68,18.37,18.51,18.4860667183863,123203,0.0,1.0
2024-07-01,18.48,18.84,18.33,18.57,18.5459891388673,207419,0.0,1.0
2024-06-28,18.51,18.54,18.1,18.44,18.4161572278252,954389,0.0,1.0
2024-06-27,18.41,18.525,18.16,18.35,18.3262735971037,96694,0.0,1.0
