,EHTH_Open,EHTH_High,EHTH_Low,EHTH_Close,EHTH_Adj Close,EHTH_Volume,EHTH_Dividend Amount,EHTH_Split Coefficient
2024-10-04,4.19,4.505,4.1489,4.48,4.48,197392,0.0,1.0
2024-10-03,4.08,4.13,4.04,4.12,4.12,47817,0.0,1.0
2024-10-02,4.1,4.18,4.05,4.13,4.13,37852,0.0,1.0
2024-10-01,4.03,4.14,4.01,4.14,4.14,107497,0.0,1.0
2024-09-30,4.07,4.1,3.985,4.08,4.08,68208,0.0,1.0
2024-09-27,4.16,4.25,4.04,4.06,4.06,106728,0.0,1.0
2024-09-26,4.02,4.15,3.99,4.14,4.14,81347,0.0,1.0
2024-09-25,3.98,4.03,3.952,4.0,4.0,65350,0.0,1.0
2024-09-24,3.96,4.07,3.915,3.99,3.99,57622,0.0,1.0
2024-09-23,3.97,3.99,3.82,3.95,3.95,118025,0.0,1.0
2024-09-20,3.99,4.07,3.93,3.96,3.96,86568,0.0,1.0
2024-09-19,4.14,4.21,3.97,4.03,4.03,79824,0.0,1.0
2024-09-18,4.1951,4.28,4.005,4.01,4.01,159992,0.0,1.0
2024-09-17,4.09,4.2924,4.09,4.15,4.15,105623,0.0,1.0
2024-09-16,3.9,4.1306,3.9,4.04,4.04,147985,0.0,1.0
2024-09-13,3.73,3.89,3.64,3.86,3.86,265993,0.0,1.0
2024-09-12,3.61,3.81,3.61,3.72,3.72,145521,0.0,1.0
2024-09-11,3.75,3.75,3.595,3.6,3.6,140900,0.0,1.0
2024-09-10,3.77,3.79,3.65,3.78,3.78,169802,0.0,1.0
2024-09-09,3.81,3.87,3.76,3.81,3.81,147143,0.0,1.0
2024-09-06,3.71,3.86,3.5801,3.79,3.79,253918,0.0,1.0
2024-09-05,3.81,3.88,3.7,3.73,3.73,147943,0.0,1.0
2024-09-04,3.77,3.89,3.71,3.81,3.81,136442,0.0,1.0
2024-09-03,3.99,4.02,3.76,3.76,3.76,247140,0.0,1.0
2024-08-30,4.08,4.19,3.97,4.05,4.05,167011,0.0,1.0
2024-08-29,4.11,4.21,4.02,4.04,4.04,163018,0.0,1.0
2024-08-28,4.01,4.24,3.93,4.05,4.05,167984,0.0,1.0
2024-08-27,4.17,4.23,4.06,4.06,4.06,122452,0.0,1.0
2024-08-26,4.38,4.45,4.17,4.19,4.19,123498,0.0,1.0
2024-08-23,4.11,4.45,4.11,4.4,4.4,278999,0.0,1.0
2024-08-22,4.23,4.32,4.04,4.04,4.04,126433,0.0,1.0
2024-08-21,4.16,4.26,4.1,4.24,4.24,87832,0.0,1.0
2024-08-20,4.19,4.22,4.01,4.13,4.13,149112,0.0,1.0
2024-08-19,4.1,4.17,4.055,4.17,4.17,108822,0.0,1.0
2024-08-16,3.96,4.1,3.955,4.1,4.1,130459,0.0,1.0
2024-08-15,4.14,4.17,3.93,4.0,4.0,177214,0.0,1.0
2024-08-14,4.06,4.19,3.81,4.04,4.04,433571,0.0,1.0
2024-08-13,4.33,4.33,4.04,4.08,4.08,232043,0.0,1.0
2024-08-12,4.38,4.41,4.235,4.31,4.31,138458,0.0,1.0
2024-08-09,4.41,4.55,4.3,4.45,4.45,313158,0.0,1.0
2024-08-08,3.92,4.27,3.87,4.07,4.07,488650,0.0,1.0
2024-08-07,5.09,5.09,3.75,3.83,3.83,876705,0.0,1.0
2024-08-06,4.62,4.83,4.51,4.67,4.67,239875,0.0,1.0
2024-08-05,4.29,4.655,4.29,4.59,4.59,189106,0.0,1.0
2024-08-02,4.75,4.85,4.655,4.68,4.68,211228,0.0,1.0
2024-08-01,5.3,5.33,4.94,4.99,4.99,166520,0.0,1.0
