,EL_Open,EL_High,EL_Low,EL_Close,EL_Adj Close,EL_Volume,EL_Dividend Amount,EL_Split Coefficient
2024-10-04,96.72,97.115,95.62,95.86,95.86,2269396,0.0,1.0
2024-10-03,96.01,96.77,94.52,95.41,95.41,3095825,0.0,1.0
2024-10-02,97.4,98.99,96.46,97.12,97.12,3108444,0.0,1.0
2024-10-01,98.98,99.28,95.96,97.24,97.24,3915672,0.0,1.0
2024-09-30,102.97,103.44,99.065,99.69,99.69,5289430,0.0,1.0
2024-09-27,100.75,101.7,99.63,99.87,99.87,3820431,0.0,1.0
2024-09-26,98.41,101.85,97.47,100.78,100.78,9734958,0.0,1.0
2024-09-25,91.66,93.36,90.295,91.61,91.61,4799095,0.0,1.0
2024-09-24,91.0,92.84,90.03,91.98,91.98,7132652,0.0,1.0
2024-09-23,84.58,87.701,84.15,86.7,86.7,3657974,0.0,1.0
2024-09-20,86.72,87.13,84.52,85.01,85.01,9790746,0.0,1.0
2024-09-19,90.27,90.97,87.24,87.44,87.44,3380958,0.0,1.0
2024-09-18,88.11,89.2,87.43,88.0,88.0,3574387,0.0,1.0
2024-09-17,85.67,88.15,85.65,88.1,88.1,3482489,0.0,1.0
2024-09-16,85.11,86.95,84.54,85.13,85.13,2712672,0.0,1.0
2024-09-13,84.29,85.69,83.69,84.56,84.56,4165998,0.0,1.0
2024-09-12,84.54,85.26,83.09,84.2,84.2,2793206,0.0,1.0
2024-09-11,84.9,85.0,82.39,84.52,84.52,2994418,0.0,1.0
2024-09-10,86.9,87.0,83.54,85.13,85.13,4147688,0.0,1.0
2024-09-09,87.57,87.82,86.532,86.91,86.91,3090536,0.0,1.0
2024-09-06,89.71,90.4347,87.48,87.5,87.5,3868894,0.0,1.0
2024-09-05,92.56,92.655,89.43,90.07,90.07,2963749,0.0,1.0
2024-09-04,92.01,93.4,91.27,92.41,92.41,3514872,0.0,1.0
2024-09-03,90.73,93.05,90.45,92.53,92.53,4223927,0.0,1.0
2024-08-30,90.88,91.78,90.155,91.66,91.66,2653517,0.66,1.0
2024-08-29,93.1,93.35,90.36,90.57,89.9225108318891,3190998,0.0,1.0
2024-08-28,92.2,92.59,91.15,92.39,91.7294995667244,3065119,0.0,1.0
2024-08-27,94.28,94.85,91.66,92.87,92.2060680242634,2816981,0.0,1.0
2024-08-26,93.5,95.7,93.0,94.5,93.8244150779896,3193868,0.0,1.0
2024-08-23,91.88,95.175,91.6,93.7,93.0301343154246,5478285,0.0,1.0
2024-08-22,95.96,95.96,91.32,91.44,90.7862911611785,9527071,0.0,1.0
2024-08-21,92.05,93.06,90.89,91.51,90.855790727903,5145207,0.0,1.0
2024-08-20,92.0,92.25,87.73,90.97,90.3196512131716,10044479,0.0,1.0
2024-08-19,95.1,96.61,92.36,92.85,92.1862110051993,11613986,0.0,1.0
2024-08-16,91.86,95.4104,91.78,94.97,94.2910550259965,3905170,0.0,1.0
2024-08-15,93.67,96.31,93.415,95.14,94.4598396880416,3774364,0.0,1.0
2024-08-14,91.15,92.21,89.78,91.63,90.9749328422877,3716123,0.0,1.0
2024-08-13,86.64,92.15,86.27,91.92,91.2628596187175,6367525,0.0,1.0
2024-08-12,89.15,89.18,86.05,86.2,85.5837521663778,4523818,0.0,1.0
2024-08-09,91.32,91.5,88.94,89.15,88.5126624783362,3447902,0.0,1.0
2024-08-08,92.0,93.13,91.14,91.7,91.0444324090121,4569299,0.0,1.0
