,ENS_Open,ENS_High,ENS_Low,ENS_Close,ENS_Adj Close,ENS_Volume,ENS_Dividend Amount,ENS_Split Coefficient
2024-10-04,99.94,101.62,99.57,100.43,100.43,165892,0.0,1.0
2024-10-03,98.57,99.185,97.75,98.26,98.26,145741,0.0,1.0
2024-10-02,99.06,99.16,98.01,98.77,98.77,168489,0.0,1.0
2024-10-01,101.47,101.47,99.4641,99.7,99.7,177964,0.0,1.0
2024-09-30,101.05,102.12,100.42,102.05,102.05,211590,0.0,1.0
2024-09-27,102.91,103.6,101.46,101.58,101.58,238923,0.0,1.0
2024-09-26,101.05,102.58,101.05,101.5,101.5,209581,0.0,1.0
2024-09-25,100.34,100.84,99.165,99.49,99.49,194017,0.0,1.0
2024-09-24,100.0,100.79,99.095,100.2,100.2,192550,0.0,1.0
2024-09-23,102.86,102.86,99.09,99.29,99.29,282626,0.0,1.0
2024-09-20,102.43,102.43,101.52,102.14,102.14,642501,0.0,1.0
2024-09-19,103.44,103.44,101.49,102.5,102.5,210325,0.0,1.0
2024-09-18,101.68,103.0,100.74,101.0,101.0,327970,0.0,1.0
2024-09-17,101.11,101.46,100.645,101.16,101.16,291713,0.0,1.0
2024-09-16,99.5,100.25,98.86,100.14,100.14,177897,0.24,1.0
2024-09-13,99.03,99.29,98.06,99.01,98.773275552899,262066,0.0,1.0
2024-09-12,96.84,98.0685,95.745,97.88,97.645977286312,190385,0.0,1.0
2024-09-11,95.05,96.73,94.25,96.46,96.2293723849372,358201,0.0,1.0
2024-09-10,95.6,95.92,94.61,95.75,95.5210699342499,356416,0.0,1.0
2024-09-09,96.24,97.8,95.64,95.69,95.4612133891213,350340,0.0,1.0
2024-09-06,98.23,98.56,96.19,96.31,96.079731022116,254288,0.0,1.0
2024-09-05,98.68,98.95,97.38,98.26,98.0250687387926,237057,0.0,1.0
2024-09-04,97.98,99.38,97.98,98.54,98.3043992827257,236354,0.0,1.0
2024-09-03,99.73,100.195,98.25,98.5,98.2644949193066,336511,0.0,1.0
2024-08-30,101.04,101.45,100.215,101.33,101.087728631201,234876,0.0,1.0
2024-08-29,99.15,101.11,98.67,100.23,99.9903586371787,239331,0.0,1.0
2024-08-28,98.99,99.89,98.38,98.57,98.3343275552899,178752,0.0,1.0
2024-08-27,98.78,99.06,97.86,98.94,98.7034429169157,150658,0.0,1.0
2024-08-26,99.47,100.04,98.702,98.98,98.7433472803347,221465,0.0,1.0
2024-08-23,97.31,100.15,97.28,98.64,98.4041601912732,211935,0.0,1.0
