,ETN_Open,ETN_High,ETN_Low,ETN_Close,ETN_Adj Close,ETN_Volume,ETN_Dividend Amount,ETN_Split Coefficient
2024-10-04,331.9,333.31,328.25,333.05,333.05,1129522,0.0,1.0
2024-10-03,327.34,328.45,324.42,326.96,326.96,960609,0.0,1.0
2024-10-02,326.0,329.8742,325.71,327.99,327.99,1150597,0.0,1.0
2024-10-01,331.03,331.43,325.064,327.58,327.58,1000912,0.0,1.0
2024-09-30,326.69,331.695,324.69,331.44,331.44,2789534,0.0,1.0
2024-09-27,333.11,333.91,326.65,328.45,328.45,2061305,0.0,1.0
2024-09-26,333.17,336.3,329.34,333.02,333.02,2614415,0.0,1.0
2024-09-25,328.31,330.86,327.39,328.55,328.55,1599254,0.0,1.0
2024-09-24,329.71,330.23,326.3,327.39,327.39,1964444,0.0,1.0
2024-09-23,331.89,333.29,329.41,329.79,329.79,1789159,0.0,1.0
2024-09-20,326.68,331.42,326.0,330.6,330.6,3632004,0.0,1.0
2024-09-19,323.75,329.78,319.895,328.92,328.92,3155948,0.0,1.0
2024-09-18,313.56,321.15,313.55,314.65,314.65,2931122,0.0,1.0
2024-09-17,308.48,312.42,304.65,311.73,311.73,2117229,0.0,1.0
2024-09-16,306.0,306.98,301.475,306.55,306.55,1536281,0.0,1.0
2024-09-13,305.82,310.465,303.67,305.8,305.8,2022750,0.0,1.0
2024-09-12,296.85,304.465,294.84,303.38,303.38,2795517,0.0,1.0
2024-09-11,289.5,297.68,284.55,297.14,297.14,2389508,0.0,1.0
2024-09-10,291.23,291.9,284.455,288.3,288.3,1531238,0.0,1.0
2024-09-09,289.21,292.1,287.62,289.38,289.38,1755977,0.0,1.0
2024-09-06,288.62,292.2,281.34,284.97,284.97,2163854,0.0,1.0
2024-09-05,287.45,289.23,282.56,285.72,285.72,1930617,0.0,1.0
2024-09-04,288.2,292.79,286.62,288.77,288.77,2092736,0.0,1.0
2024-09-03,304.17,304.81,289.47,289.73,289.73,3058943,0.0,1.0
2024-08-30,301.49,307.65,300.125,306.93,306.93,2320225,0.0,1.0
2024-08-29,296.23,307.45,295.135,301.09,301.09,2426552,0.0,1.0
2024-08-28,296.82,297.49,292.23,293.6,293.6,2109259,0.0,1.0
2024-08-27,295.0,299.86,292.4,296.03,296.03,1711691,0.0,1.0
2024-08-26,300.28,301.75,296.0,296.91,296.91,1579599,0.0,1.0
2024-08-23,300.0,302.0,297.78,300.0,300.0,1950652,0.0,1.0
2024-08-22,300.46,303.4,296.7,297.69,297.69,2035768,0.0,1.0
2024-08-21,296.45,301.65,296.17,299.69,299.69,1400589,0.0,1.0
2024-08-20,297.92,299.64,294.58,296.24,296.24,1432364,0.0,1.0
2024-08-19,297.19,298.425,293.19,297.05,297.05,1572554,0.0,1.0
2024-08-16,302.07,302.53,293.38,296.68,296.68,2768158,0.0,1.0
2024-08-15,302.12,304.77,298.04,302.46,302.46,2316626,0.0,1.0
2024-08-14,296.01,300.05,294.43,298.3,298.3,1975115,0.0,1.0
2024-08-13,292.2,295.82,288.275,295.39,295.39,2256868,0.0,1.0
2024-08-12,291.12,293.45,285.53,288.43,288.43,1840524,0.0,1.0
2024-08-09,286.86,292.17,285.7,291.64,291.64,2190467,0.0,1.0
2024-08-08,282.05,288.06,278.11,287.48,287.48,3888078,0.0,1.0
2024-08-07,285.0,288.1,276.8,277.68,277.68,2857003,0.0,1.0
2024-08-06,274.65,282.03,274.65,277.65,277.65,3305013,0.0,1.0
2024-08-05,255.65,277.02,255.65,272.52,272.52,4621225,0.94,1.0
2024-08-02,290.0,290.635,276.01,280.26,279.296625466247,4528035,0.0,1.0
2024-08-01,290.04,304.29,288.0,297.88,296.856057924377,5433440,0.0,1.0
2024-07-31,306.19,310.87,301.37,304.79,303.742305273166,5108315,0.0,1.0
2024-07-30,297.56,302.525,285.48,287.24,286.252632194837,4777209,0.0,1.0
2024-07-29,298.6,300.39,294.56,296.61,295.590423462298,2522754,0.0,1.0
2024-07-26,300.88,301.93,296.42,297.79,296.766367293206,3090006,0.0,1.0
2024-07-25,298.73,300.2797,286.87,292.88,291.873245081548,5569843,0.0,1.0
2024-07-24,316.84,318.08,299.32,299.6,298.57014554231,3876526,0.0,1.0
2024-07-23,320.0,325.3299,319.6684,321.94,320.833353324069,1518593,0.0,1.0
2024-07-22,316.5,321.5,315.45,320.32,319.218921962993,2252544,0.0,1.0
2024-07-19,312.23,316.31,310.7,311.89,310.817899509983,2287596,0.0,1.0
2024-07-18,313.39,319.23,305.66,309.07,308.007593066628,4377007,0.0,1.0
2024-07-17,326.97,327.62,311.11,311.5,310.429240108243,3313022,0.0,1.0
2024-07-16,330.55,335.12,328.755,332.46,331.317191545381,1671201,0.0,1.0
2024-07-15,329.34,330.96,325.84,327.03,325.905856798069,1416199,0.0,1.0
2024-07-12,330.75,333.71,326.21,330.48,329.343997659621,1644907,0.0,1.0
2024-07-11,329.18,331.13,325.7,328.82,327.689703795802,2061025,0.0,1.0
2024-07-10,318.75,327.22,318.61,327.07,325.945719300812,2083175,0.0,1.0
2024-07-09,320.19,321.14,318.12,318.71,317.614456227602,981115,0.0,1.0
2024-07-08,320.17,322.88,318.22,318.96,317.863596869743,1139823,0.0,1.0
2024-07-05,319.68,320.33,314.4936,317.37,316.279062385724,1557711,0.0,1.0
2024-07-03,313.82,319.2499,312.95,318.42,317.325453082718,1122952,0.0,1.0
2024-07-02,309.45,313.7499,309.45,313.28,312.20312148029,2047749,0.0,1.0
2024-07-01,316.45,316.475,307.7603,312.37,311.296249542895,1925889,0.0,1.0
2024-06-28,312.89,319.64,310.335,313.55,312.472193373802,2557711,0.0,1.0
2024-06-27,314.16,314.79,311.25,313.94,312.860852775543,2549884,0.0,1.0
2024-06-26,320.76,321.06,313.51,315.27,314.186280991736,1849803,0.0,1.0
2024-06-25,322.36,324.085,318.33,322.76,321.650534630293,1579381,0.0,1.0
2024-06-24,322.1,324.39,319.19,322.08,320.972872083669,1581057,0.0,1.0
2024-06-21,322.94,322.94,316.51,320.06,318.959815695166,3068313,0.0,1.0
2024-06-20,328.17,329.87,320.02,323.24,322.128884663205,1847740,0.0,1.0
2024-06-18,324.0,330.1799,321.195,327.59,326.463931836466,1903905,0.0,1.0
2024-06-17,318.78,326.605,317.01,325.33,324.211700431507,2552529,0.0,1.0
2024-06-14,324.37,325.6431,316.93,319.02,317.923390623857,2055883,0.0,1.0
2024-06-13,326.43,329.12,321.83,328.35,327.221319388576,2194732,0.0,1.0
2024-06-12,321.55,328.91,319.5,327.17,326.045375557668,1682603,0.0,1.0
2024-06-11,320.69,322.0,317.44,319.17,318.072875009142,1826301,0.0,1.0
2024-06-10,313.46,323.39,313.25,322.98,321.869778395378,2050013,0.0,1.0
2024-06-07,313.48,317.83,310.78,314.83,313.747793461567,2389525,0.0,1.0
2024-06-06,325.0,326.99,311.37,313.46,312.382502742631,3069224,0.0,1.0
2024-06-05,319.77,327.58,319.4032,326.59,325.4673692679,2487494,0.0,1.0
2024-06-04,324.52,325.5,310.15,316.17,315.083187303445,4143098,0.0,1.0
