,EXP_Open,EXP_High,EXP_Low,EXP_Close,EXP_Adj Close,EXP_Volume,EXP_Dividend Amount,EXP_Split Coefficient
2024-10-04,288.83,289.07,280.94,282.78,282.78,196445,0.0,1.0
2024-10-03,282.67,288.25,279.79,284.99,284.99,328852,0.0,1.0
2024-10-02,281.37,283.4799,280.26,281.54,281.54,180045,0.0,1.0
2024-10-01,284.74,286.8927,280.1137,283.87,283.87,173518,0.0,1.0
2024-09-30,285.28,288.04,282.81,287.65,287.65,261953,0.0,1.0
2024-09-27,285.35,288.59,283.0238,286.23,286.23,220360,0.0,1.0
2024-09-26,287.65,289.61,283.42,284.24,284.24,160762,0.0,1.0
2024-09-25,286.51,286.68,281.045,282.55,282.55,183644,0.0,1.0
2024-09-24,287.85,289.7679,283.41,285.38,285.38,168510,0.0,1.0
2024-09-23,289.45,291.78,281.79,287.94,287.94,316768,0.0,1.0
2024-09-20,293.0,293.0,286.3,287.67,287.67,712635,0.0,1.0
2024-09-19,292.37,292.74,284.58,292.07,292.07,370557,0.0,1.0
2024-09-18,284.44,292.21,278.735,283.76,283.76,306762,0.0,1.0
2024-09-17,278.5,283.18,275.585,280.72,280.72,416611,0.25,1.0
2024-09-16,272.7,279.71,270.545,278.57,278.322135459302,468966,0.0,1.0
2024-09-13,267.88,273.59,267.88,270.68,270.439155781756,361671,0.0,1.0
2024-09-12,253.93,266.594,252.88,265.65,265.413631348543,577188,0.0,1.0
2024-09-11,249.14,253.21,241.66,252.75,252.525109442289,297178,0.0,1.0
2024-09-10,245.2,250.99,245.08,250.33,250.107262697085,397203,0.0,1.0
2024-09-09,241.98,246.25,241.915,242.74,242.524016087127,369289,0.0,1.0
2024-09-06,239.71,242.72,237.2377,240.86,240.64568886358,390623,0.0,1.0
2024-09-05,241.35,242.74,235.74,238.38,238.167895504858,179884,0.0,1.0
2024-09-04,244.6,244.6,238.37,241.0,240.78556429512,187454,0.0,1.0
2024-09-03,256.13,256.295,243.75,244.71,244.49226323095,252991,0.0,1.0
2024-08-30,256.94,257.895,252.295,257.75,257.520660568744,270778,0.0,1.0
2024-08-29,253.84,257.0599,249.87,254.79,254.563294301883,219255,0.0,1.0
2024-08-28,255.71,258.12,251.92,252.05,251.825732284586,271876,0.0,1.0
2024-08-27,263.39,263.39,254.1,255.93,255.702279958714,185677,0.0,1.0
2024-08-26,268.19,271.75,264.44,265.69,265.453595757554,196322,0.0,1.0
2024-08-23,258.7,267.64,257.46,265.84,265.603462291348,181494,0.0,1.0
2024-08-22,255.41,256.7,252.585,254.54,254.31351674556,144893,0.0,1.0
2024-08-21,253.0,257.18,251.1,255.35,255.122796028046,170795,0.0,1.0
2024-08-20,250.17,251.05,247.33,248.94,248.718499483931,196009,0.0,1.0
2024-08-19,247.61,249.98,246.2,249.72,249.497805459658,185178,0.0,1.0
2024-08-16,251.0,251.845,246.93,247.15,246.93009218066,218752,0.0,1.0
2024-08-15,247.9,252.1875,246.23,251.18,250.956506388582,318044,0.0,1.0
2024-08-14,247.92,249.96,242.805,243.94,243.722948357476,551881,0.0,1.0
2024-08-13,242.08,246.325,239.52,245.47,245.251587002171,195086,0.0,1.0
2024-08-12,242.51,243.87,237.89,239.35,239.13703242339,182709,0.0,1.0
2024-08-09,245.91,246.18,240.54,242.5,242.284229633057,193219,0.0,1.0
2024-08-08,241.73,247.54,241.72,244.73,244.512245435456,209659,0.0,1.0
2024-08-07,249.85,252.52,237.62,238.01,237.798224721501,276608,0.0,1.0
2024-08-06,241.31,249.937,238.66,245.77,245.551320069758,278188,0.0,1.0
2024-08-05,234.98,247.47,231.24,243.76,243.543108516924,327042,0.0,1.0
2024-08-02,252.72,254.025,244.6,253.59,253.364362031534,495057,0.0,1.0
2024-08-01,272.06,273.71,258.92,261.76,261.527092572161,319323,0.0,1.0
2024-07-31,266.76,279.69,264.7949,272.3,272.057714346727,552503,0.0,1.0
2024-07-30,270.0,275.595,262.19,265.6,265.363675837278,813507,0.0,1.0
2024-07-29,246.64,251.41,246.17,248.73,248.50868633662,627274,0.0,1.0
2024-07-26,240.07,248.19,239.4325,246.07,245.851053137346,597857,0.0,1.0
2024-07-25,228.54,242.03,228.22,235.62,235.410351283055,409697,0.0,1.0
2024-07-24,237.0,239.5517,227.27,227.4,227.197665231163,317919,0.0,1.0
2024-07-23,233.97,240.535,232.85,240.07,239.8563917856,398169,0.0,1.0
2024-07-22,231.6,235.185,229.24,234.79,234.581089796064,268752,0.0,1.0
2024-07-19,230.84,231.87,226.35,229.92,229.715422998897,228243,0.0,1.0
2024-07-18,230.74,235.28,227.2701,229.93,229.72541410115,349780,0.0,1.0
2024-07-17,241.38,241.755,230.61,230.61,230.404809054347,501698,0.0,1.0
2024-07-16,235.62,246.73,234.65,245.7,245.481382353988,524237,0.0,1.0
2024-07-15,231.31,234.61,230.43,233.15,232.942549026586,417549,0.0,1.0
2024-07-12,228.96,234.64,228.635,229.46,229.255832295263,460457,0.0,1.0
2024-07-11,220.05,227.82,219.41,227.35,227.147709719899,343167,0.0,1.0
2024-07-10,212.84,217.7818,212.14,217.17,216.976767626437,418619,0.0,1.0
2024-07-09,213.42,214.94,211.44,212.39,212.201020749546,232641,0.0,1.0
2024-07-08,216.62,217.91,213.22,213.42,213.230104281596,354300,0.0,1.0
2024-07-05,216.08,217.2,213.07,214.8,214.608876392497,288851,0.0,1.0
2024-07-03,214.12,218.32,214.12,217.52,217.326456205289,167167,0.0,1.0
2024-07-02,213.37,214.54,211.9529,214.39,214.199241200128,381990,0.0,1.0
2024-07-01,218.1,218.68,212.42,214.29,214.099330177599,302298,0.0,1.0
2024-06-28,216.89,220.03,215.46,217.46,217.266509591771,643574,0.0,1.0
2024-06-27,215.34,216.34,213.6,215.0,214.808698437556,355482,0.0,1.0
2024-06-26,211.97,215.42,211.97,214.58,214.389072142933,313163,0.0,1.0
2024-06-25,215.47,216.47,211.65,213.28,213.090228850055,355280,0.0,1.0
2024-06-24,216.48,219.8,214.96,217.4,217.206562978254,358566,0.0,1.0
2024-06-21,214.95,216.8025,212.21,216.48,216.287381570986,616413,0.0,1.0
2024-06-20,226.17,226.18,213.07,216.82,216.627079047585,497487,0.0,1.0
