,FELE_Open,FELE_High,FELE_Low,FELE_Close,FELE_Adj Close,FELE_Volume,FELE_Dividend Amount,FELE_Split Coefficient
2024-10-04,104.54,105.03,102.77,103.74,103.74,185210,0.0,1.0
2024-10-03,102.95,103.42,102.33,103.09,103.09,92261,0.0,1.0
2024-10-02,103.26,104.32,102.85,103.72,103.72,113852,0.0,1.0
2024-10-01,104.59,105.12,102.87,103.89,103.89,120231,0.0,1.0
2024-09-30,104.46,105.32,103.48,104.82,104.82,195444,0.0,1.0
2024-09-27,106.5,107.095,104.76,105.02,105.02,126106,0.0,1.0
2024-09-26,104.2,105.74,104.07,105.49,105.49,179712,0.0,1.0
2024-09-25,102.96,103.355,102.3,103.07,103.07,185421,0.0,1.0
2024-09-24,102.93,103.27,101.58,102.61,102.61,111166,0.0,1.0
2024-09-23,102.72,103.7,102.43,102.51,102.51,122936,0.0,1.0
2024-09-20,103.46,103.46,101.81,102.29,102.29,839333,0.0,1.0
2024-09-19,103.34,103.98,102.49,103.9,103.9,167568,0.0,1.0
2024-09-18,100.39,104.055,100.39,101.4,101.4,311776,0.0,1.0
2024-09-17,99.14,100.615,98.555,100.12,100.12,190623,0.0,1.0
2024-09-16,97.73,98.55,97.22,98.47,98.47,154035,0.0,1.0
2024-09-13,96.26,97.7,96.16,97.16,97.16,157611,0.0,1.0
2024-09-12,95.8,96.065,94.53,95.76,95.76,241225,0.0,1.0
2024-09-11,95.05,95.27,93.0081,95.22,95.22,296943,0.0,1.0
2024-09-10,95.83,96.5499,94.8518,95.72,95.72,211899,0.0,1.0
2024-09-09,95.29,95.7899,94.57,95.59,95.59,313846,0.0,1.0
2024-09-06,97.16,97.82,95.22,95.53,95.53,179497,0.0,1.0
2024-09-05,98.05,98.396133,96.55,97.0,97.0,169474,0.0,1.0
2024-09-04,99.34,99.535,97.94,98.35,98.35,128414,0.0,1.0
2024-09-03,102.61,103.65,99.335,99.71,99.71,156207,0.0,1.0
2024-08-30,102.96,104.015,102.19,103.86,103.86,102987,0.0,1.0
2024-08-29,103.36,103.62,102.33,102.9,102.9,129260,0.0,1.0
2024-08-28,102.31,103.71,101.95,102.25,102.25,112991,0.0,1.0
2024-08-27,102.45,102.45,101.3,102.28,102.28,80833,0.0,1.0
2024-08-26,103.57,104.23,102.58,102.71,102.71,82707,0.0,1.0
2024-08-23,100.97,103.67,100.65,102.74,102.74,131270,0.0,1.0
2024-08-22,100.74,101.275,99.94,100.21,100.21,64262,0.0,1.0
2024-08-21,100.13,101.105,98.69,100.87,100.87,81749,0.0,1.0
2024-08-20,100.26,100.26,98.74,99.37,99.37,69902,0.0,1.0
2024-08-19,99.8,100.24,99.2,100.08,100.08,75037,0.0,1.0
2024-08-16,99.49,100.72,98.83,99.56,99.56,123913,0.0,1.0
2024-08-15,100.05,100.77,99.1,99.62,99.62,97556,0.0,1.0
2024-08-14,98.8,99.74,97.17,97.84,97.84,100935,0.0,1.0
2024-08-13,97.76,99.2,96.9269,98.85,98.85,100514,0.0,1.0
2024-08-12,98.5,98.775,96.21,96.81,96.81,78239,0.0,1.0
2024-08-09,98.05,98.88,97.19,98.65,98.65,131203,0.0,1.0
2024-08-08,97.28,98.4,96.585,98.34,98.34,149112,0.0,1.0
2024-08-07,98.11,99.52,95.86,95.96,95.96,148746,0.0,1.0
2024-08-06,96.52,97.96,96.16,97.16,97.16,427736,0.0,1.0
2024-08-05,95.61,97.54,94.465,96.5,96.5,171675,0.0,1.0
2024-08-02,99.55,100.45,99.1,99.83,99.83,258175,0.0,1.0
2024-08-01,105.66,106.165,101.165,102.33,102.33,189834,0.25,1.0
2024-07-31,106.5,108.39,104.58,106.62,106.360154026126,371537,0.0,1.0
2024-07-30,105.42,106.57,104.495,105.93,105.671835640476,154687,0.0,1.0
2024-07-29,106.23,106.785,103.72,104.64,104.384979528173,158599,0.0,1.0
2024-07-26,104.57,106.65,104.57,106.22,105.961128875024,172822,0.0,1.0
2024-07-25,101.78,105.4,101.65,103.75,103.497148566972,316001,0.0,1.0
2024-07-24,99.47,102.5,98.83,101.08,100.833655683369,230044,0.0,1.0
2024-07-23,100.26,101.56,97.17,99.82,99.5767264573991,309577,0.0,1.0
2024-07-22,102.91,104.51,101.92,104.29,104.035832520959,181725,0.0,1.0
2024-07-19,103.81,104.23,102.265,102.51,102.260170598557,172134,0.0,1.0
2024-07-18,103.42,106.045,103.42,103.62,103.367465392864,118466,0.0,1.0
2024-07-17,103.69,106.33,103.69,104.34,104.085710664847,189636,0.0,1.0
2024-07-16,102.05,104.84,102.05,104.61,104.355052641841,194511,0.0,1.0
2024-07-15,99.85,102.7,98.9,100.96,100.713948138039,193361,0.0,1.0
2024-07-12,99.42,99.82,98.405,98.86,98.6190660947553,144115,0.0,1.0
