,FFBC_Open,FFBC_High,FFBC_Low,FFBC_Close,FFBC_Adj Close,FFBC_Volume,FFBC_Dividend Amount,FFBC_Split Coefficient
2024-10-04,24.34,24.58,24.19,24.3,24.3,256522,0.0,1.0
2024-10-03,23.98,24.21,23.78,23.98,23.98,307369,0.0,1.0
2024-10-02,24.21,24.62,23.91,24.03,24.03,350228,0.0,1.0
2024-10-01,25.04,25.04,24.21,24.37,24.37,342849,0.0,1.0
2024-09-30,24.79,25.38,24.76,25.23,25.23,413042,0.0,1.0
2024-09-27,25.08,25.18,24.71,24.81,24.81,275246,0.0,1.0
2024-09-26,25.07,25.69,24.73,24.82,24.82,319938,0.0,1.0
2024-09-25,25.18,25.18,24.67,24.7,24.7,324825,0.0,1.0
2024-09-24,25.41,25.49,25.05,25.13,25.13,530254,0.0,1.0
2024-09-23,25.66,25.72,25.27,25.32,25.32,384465,0.0,1.0
2024-09-20,25.91,26.019,25.43,25.45,25.45,1824025,0.0,1.0
2024-09-19,26.05,26.2,25.67,26.11,26.11,339148,0.0,1.0
2024-09-18,25.39,26.31,25.11,25.39,25.39,424120,0.0,1.0
2024-09-17,25.56,26.11,25.32,25.39,25.39,422144,0.0,1.0
2024-09-16,25.21,25.45,24.86,25.37,25.37,311062,0.0,1.0
2024-09-13,24.95,25.16,24.835,25.14,25.14,280074,0.0,1.0
2024-09-12,24.72,24.77,24.39,24.62,24.62,283280,0.0,1.0
2024-09-11,24.87,25.08,24.13,24.59,24.59,402811,0.0,1.0
2024-09-10,25.36,25.39,24.675,25.15,25.15,304065,0.0,1.0
2024-09-09,25.24,25.41,25.085,25.32,25.32,434199,0.0,1.0
2024-09-06,25.7,25.8339,25.11,25.25,25.25,231979,0.0,1.0
2024-09-05,26.16,26.16,25.5,25.66,25.66,416483,0.0,1.0
2024-09-04,26.12,26.39,25.85,25.97,25.97,336335,0.0,1.0
2024-09-03,26.19,26.56,26.07,26.12,26.12,411905,0.0,1.0
2024-08-30,26.27,26.52,26.04,26.47,26.47,311741,0.24,1.0
2024-08-29,26.78,26.84,26.39,26.52,26.2817072257581,379689,0.0,1.0
2024-08-28,26.08,26.814,26.08,26.58,26.3411681018345,342226,0.0,1.0
2024-08-27,26.48,26.48,26.115,26.2,25.9645825533508,263250,0.0,1.0
2024-08-26,27.18,27.18,26.52,26.58,26.3411681018345,306720,0.0,1.0
2024-08-23,25.7,27.03,25.55,26.77,26.5294608760764,775943,0.0,1.0
2024-08-22,25.24,25.505,25.14,25.47,25.2411418944216,174854,0.0,1.0
2024-08-21,25.28,25.37,25.07,25.31,25.0825795582179,234690,0.0,1.0
2024-08-20,25.44,25.47,25.13,25.16,24.933927368027,295141,0.0,1.0
2024-08-19,25.08,25.51,24.975,25.46,25.2312317484088,291085,0.0,1.0
2024-08-16,24.53,25.24,24.125,25.04,24.8150056158742,464510,0.0,1.0
2024-08-15,24.68,25.03,24.54,24.61,24.3888693373268,406819,0.0,1.0
2024-08-14,24.35,24.35,23.88,24.1,23.8834518906777,258026,0.0,1.0
2024-08-13,24.27,24.36,23.78,24.29,24.0717446649195,381427,0.0,1.0
2024-08-12,24.54,24.67,23.74,23.97,23.7546199925122,249036,0.0,1.0
2024-08-09,24.31,24.325,23.94,24.21,23.9924634968177,210727,0.0,1.0
2024-08-08,24.34,24.41,24.0,24.4,24.1807562710595,244069,0.0,1.0
2024-08-07,24.65,24.65,23.95,24.01,23.7942605765631,225237,0.0,1.0
2024-08-06,24.3,24.54,23.93,24.25,24.0321040808686,374788,0.0,1.0
2024-08-05,24.21,24.7316,23.45,24.34,24.1212953949832,632049,0.0,1.0
2024-08-02,25.2,25.59,24.77,25.22,24.9933882441033,775480,0.0,1.0
2024-08-01,27.36,27.36,25.86,26.17,25.9348521153126,755208,0.0,1.0
2024-07-31,27.57,28.22,27.34,27.36,27.1141594908274,492214,0.0,1.0
2024-07-30,27.3,27.6,27.19,27.49,27.2429913889929,367487,0.0,1.0
2024-07-29,28.23,28.25,27.27,27.3,27.054698614751,473791,0.0,1.0
2024-07-26,27.76,28.23,26.695,28.09,27.8376001497566,672167,0.0,1.0
2024-07-25,26.67,27.38,26.365,27.06,26.8168551104455,566628,0.0,1.0
2024-07-24,26.61,27.09,26.27,26.3,26.0636840134781,415308,0.0,1.0
2024-07-23,25.98,26.95,25.98,26.68,26.4402695619618,491195,0.0,1.0
2024-07-22,25.77,26.38,25.49,26.26,26.0240434294272,390215,0.0,1.0
2024-07-19,26.02,26.69,25.88,26.01,25.776289779109,558383,0.0,1.0
2024-07-18,26.16,26.7,25.85,26.105,25.8704361662299,771547,0.0,1.0
2024-07-17,25.41,26.5,25.41,26.34,26.103324597529,616800,0.0,1.0
2024-07-16,24.71,25.88,24.67,25.56,25.3303332085361,735726,0.0,1.0
2024-07-15,23.91,24.62,23.83,24.47,24.2501272931486,561687,0.0,1.0
2024-07-12,23.66,23.73,23.35,23.5,23.2888431299139,426083,0.0,1.0
2024-07-11,22.95,23.46,22.71,23.34,23.1302807937102,528116,0.0,1.0
2024-07-10,22.16,22.475,22.095,22.43,22.2284575065519,291651,0.0,1.0
2024-07-09,21.71,22.13,21.63,22.12,21.9212429801572,344037,0.0,1.0
2024-07-08,21.86,22.0,21.66,21.76,21.564477723699,347214,0.0,1.0
2024-07-05,21.82,21.855,21.59,21.7,21.5050168476226,225182,0.0,1.0
2024-07-03,22.33,22.33,21.82,21.83,21.6338487457881,169219,0.0,1.0
2024-07-02,22.13,22.42,22.13,22.32,22.1194459004118,263530,0.0,1.0
2024-07-01,22.11,22.49,21.98,22.15,21.9509734181954,344069,0.0,1.0
2024-06-28,22.0,22.39,21.99,22.22,22.0203444402845,974943,0.0,1.0
2024-06-27,21.61,21.79,21.48,21.77,21.5743878697117,223747,0.0,1.0
2024-06-26,21.18,21.64,21.17,21.59,21.3960052414826,263384,0.0,1.0
2024-06-25,21.38,21.43,21.28,21.33,21.1383414451516,277189,0.0,1.0
2024-06-24,21.16,21.5701,21.05,21.44,21.2473530512917,414513,0.0,1.0
2024-06-21,21.22,21.36,20.89,21.08,20.8905877948334,1327951,0.0,1.0
2024-06-20,21.15,21.25,21.0,21.2,21.0095095469861,229113,0.0,1.0
2024-06-18,21.17,21.29,21.09,21.18,20.9896892549607,232118,0.0,1.0
2024-06-17,20.9,21.18,20.69,21.16,20.9698689629352,336909,0.0,1.0
2024-06-14,20.79,20.925,20.72,20.9,20.7122051666043,374341,0.0,1.0
2024-06-13,21.21,21.21,20.91,21.04,20.8509472107825,319359,0.0,1.0
2024-06-12,21.42,21.83,21.1,21.3,21.1086110071134,462632,0.0,1.0
2024-06-11,20.81,20.91,20.59,20.81,20.6230138524897,393525,0.0,1.0
2024-06-10,21.18,21.26,20.85,20.93,20.7419356046425,404501,0.0,1.0
2024-06-07,21.48,21.56,21.28,21.44,21.2473530512917,295874,0.0,1.0
2024-06-06,21.5,21.69,21.43,21.63,21.4356458255335,216627,0.0,1.0
2024-06-05,21.51,21.571,21.34,21.44,21.2473530512917,322719,0.0,1.0
2024-06-04,21.5,21.65,21.38,21.42,21.2275327592662,315543,0.0,1.0
2024-06-03,22.33,22.36,21.6,21.69,21.4951067016099,278291,0.23,1.0
2024-05-31,22.14,22.37,22.14,22.3,21.8677408506341,415680,0.0,1.0
2024-05-30,22.2,22.39,22.015,22.08,21.6520052906727,423850,0.0,1.0
2024-05-29,21.99,22.05,21.74,21.96,21.5343313488756,435579,0.0,1.0
2024-05-28,22.69,22.74,22.03,22.24,21.8089038797356,522558,0.0,1.0
2024-05-24,22.71,22.72,22.25,22.59,22.1521195433106,534329,0.0,1.0
2024-05-23,23.15,23.18,22.48,22.56,22.1227010578613,275124,0.0,1.0
2024-05-22,23.28,23.35,22.905,23.08,22.6326214723155,228453,0.0,1.0
2024-05-21,23.05,23.36,23.05,23.32,22.8679693559098,198723,0.0,1.0
2024-05-20,23.61,23.69,23.16,23.18,22.7306830904798,247707,0.0,1.0
2024-05-17,23.74,23.925,23.62,23.66,23.2013788576683,276887,0.0,1.0
2024-05-16,23.62,23.72,23.55,23.61,23.1523480485862,257412,0.0,1.0
2024-05-15,24.0,24.05,23.51,23.73,23.2700219903833,332789,0.0,1.0
2024-05-14,23.94,23.99,23.57,23.78,23.3190527994655,248253,0.0,1.0
2024-05-13,23.84,23.9,23.63,23.65,23.1915726958519,281220,0.0,1.0
2024-05-10,23.53,23.78,23.41,23.72,23.2602158285669,279014,0.0,1.0
2024-05-09,23.36,23.6,23.3,23.55,23.0935110776876,291192,0.0,1.0
2024-05-08,23.1,23.42,23.1,23.33,22.8777755177262,196574,0.0,1.0
2024-05-07,23.4,23.54,23.31,23.33,22.8777755177262,271358,0.0,1.0
2024-05-06,23.32,23.5,23.26,23.37,22.9170001649919,279285,0.0,1.0
2024-05-03,23.5,23.59,23.14,23.29,22.8385508704605,252247,0.0,1.0
2024-05-02,22.8,23.2,22.78,23.08,22.6326214723155,288012,0.0,1.0
2024-05-01,22.31,22.96,22.21,22.69,22.2501811614748,426972,0.0,1.0
2024-04-30,22.06,22.32,21.95,22.11,21.681423776122,273246,0.0,1.0
2024-04-29,22.56,22.735,22.25,22.28,21.8481285270013,287575,0.0,1.0
2024-04-26,22.8,22.8,22.07,22.57,22.1325072196777,465888,0.0,1.0
2024-04-25,22.42,22.475,22.12,22.36,21.9265778215327,367716,0.0,1.0
2024-04-24,22.32,22.58,22.25,22.55,22.1128948960448,304307,0.0,1.0
2024-04-23,21.84,22.74,21.84,22.6,22.161925705127,378696,0.0,1.0
2024-04-22,21.99,22.24,21.81,21.95,21.5245251870592,303500,0.0,1.0
2024-04-19,20.96,21.92,20.96,21.89,21.4656882161606,476600,0.0,1.0
2024-04-18,20.86,21.24,20.84,21.06,20.6517767853971,358268,0.0,1.0
2024-04-17,21.02,21.15,20.82,20.86,20.4556535490685,228124,0.0,1.0
2024-04-16,20.85,20.95,20.68,20.79,20.3870104163535,212790,0.0,1.0
2024-04-15,21.31,21.43,20.82,21.07,20.6615829472135,272169,0.0,1.0
2024-04-12,21.01,21.23,20.94,21.18,20.7694507271942,232937,0.0,1.0
2024-04-11,21.26,21.31,20.96,21.2,20.7890630508271,241041,0.0,1.0
2024-04-10,21.65,21.65,20.87,21.12,20.7106137562957,431299,0.0,1.0
2024-04-09,22.01,22.18,21.92,22.12,21.6912299379384,199655,0.0,1.0
2024-04-08,21.7,21.96,21.69,21.9,21.475494377977,177914,0.0,1.0
2024-04-05,21.58,21.78,21.58,21.63,21.2107280089335,175403,0.0,1.0
2024-04-04,21.81,22.01,21.55,21.71,21.2891773034649,389753,0.0,1.0
2024-04-03,21.59,21.73,21.45,21.57,21.1518910380349,246497,0.0,1.0
2024-04-02,21.59,21.76,21.38,21.59,21.1715033616678,380553,0.0,1.0
2024-04-01,22.57,22.57,21.87,21.9,21.475494377977,266471,0.0,1.0
2024-03-28,22.22,22.66,22.055,22.42,21.9854147924313,351489,0.0,1.0
2024-03-27,21.48,22.25,21.48,22.25,21.818710041552,254922,0.0,1.0
2024-03-26,21.54,21.66,21.29,21.36,20.9459616398899,276562,0.0,1.0
2024-03-25,21.61,21.81,21.51,21.53,21.1126663907692,148329,0.0,1.0
2024-03-22,22.0,22.0,21.48,21.56,21.1420848762185,262932,0.0,1.0
2024-03-21,22.0,22.28,21.86,21.92,21.4951067016099,509168,0.0,1.0
2024-03-20,21.04,22.1,20.98,21.94,21.5147190252427,371957,0.0,1.0
2024-03-19,20.97,21.255,20.97,21.12,20.7106137562957,355115,0.0,1.0
2024-03-18,21.3,21.34,20.98,21.04,20.6321644617642,357044,0.0,1.0
2024-03-15,21.01,21.55,21.01,21.37,20.9557678017064,1016067,0.0,1.0
2024-03-14,21.54,21.59,20.895,21.06,20.6517767853971,358852,0.0,1.0
2024-03-13,21.51,21.93,21.5,21.66,21.2401464943828,257472,0.0,1.0
2024-03-12,22.0,22.005,21.51,21.61,21.1911156853006,243081,0.0,1.0
2024-03-11,22.15,22.2,22.01,22.04,21.612780643407,193453,0.0,1.0
2024-03-08,22.46,22.49,22.04,22.14,21.7108422615713,273964,0.0,1.0
2024-03-07,22.36,22.55,22.007,22.16,21.7304545852042,230318,0.0,1.0
2024-03-06,22.2,22.55,21.64,22.12,21.6912299379384,316415,0.0,1.0
2024-03-05,21.5,22.285,21.5,22.2,21.7696792324699,370151,0.0,1.0
2024-03-04,21.58,22.01,21.51,21.59,21.1715033616678,307370,0.0,1.0
2024-03-01,21.61,21.75,21.19,21.62,21.2009218471171,283457,0.0,1.0
2024-02-29,21.84,22.08,21.59,21.7,21.2793711416485,289668,0.23,1.0
2024-02-28,21.65,21.87,21.57,21.67,21.0270849356827,261501,0.0,1.0
2024-02-27,21.81,22.0499,21.69,21.83,21.1823379855078,234876,0.0,1.0
2024-02-26,21.75,21.92,21.55,21.73,21.0853048293671,259280,0.0,1.0
2024-02-23,22.0,22.04,21.68,21.83,21.1823379855078,371018,0.0,1.0
2024-02-22,21.94,22.07,21.71,21.89,21.2405578791922,282481,0.0,1.0
2024-02-21,22.09,22.17,21.93,22.07,21.4152175602454,425653,0.0,1.0
2024-02-20,21.96,22.4,21.96,22.12,21.4637341383157,204622,0.0,1.0
2024-02-16,22.45,22.64,22.26,22.28,21.6189871881408,368453,0.0,1.0
2024-02-15,22.06,22.8146,22.03,22.7,22.0265264439316,304773,0.0,1.0
2024-02-14,21.86,21.95,21.37,21.87,21.2211512479641,337120,0.0,1.0
2024-02-13,21.91,21.99,21.19,21.54,20.9009418326999,442326,0.0,1.0
2024-02-12,22.22,22.96,22.22,22.64,21.9683065502472,393164,0.0,1.0
2024-02-09,21.84,22.2,21.56,22.18,21.5219540320001,273325,0.0,1.0
2024-02-08,21.56,21.88,21.55,21.81,21.1629313542797,263095,0.0,1.0
2024-02-07,21.89,21.89,21.36,21.68,21.0367882512968,261861,0.0,1.0
2024-02-06,21.85,22.18,21.76,21.86,21.21144793235,251237,0.0,1.0
2024-02-05,21.91,22.05,21.61,21.85,21.2017446167359,267048,0.0,1.0
2024-02-02,21.9,22.33,21.81,22.13,21.4734374539298,336645,0.0,1.0
2024-02-01,22.63,22.88,21.83,22.36,21.6966137130533,583795,0.0,1.0
2024-01-31,23.03,23.41,22.4,22.42,21.7548336067377,397597,0.0,1.0
2024-01-30,23.42,23.585,23.21,23.38,22.6863519056882,341339,0.0,1.0
2024-01-29,22.96,23.56,22.93,23.53,22.8319016398992,358628,0.0,1.0
2024-01-26,23.01,23.14,22.26,22.86,22.1817794937567,348711,0.0,1.0
2024-01-25,23.72,23.77,22.94,23.26,22.5699121183194,407530,0.0,1.0
2024-01-24,23.51,23.69,23.33,23.45,22.7542751149866,334605,0.0,1.0
2024-01-23,23.88,23.88,23.27,23.32,22.6281320120038,387486,0.0,1.0
2024-01-22,23.17,23.71,22.99,23.68,22.9774513741102,428418,0.0,1.0
2024-01-19,22.45,22.93,22.13,22.93,22.2497027030551,411375,0.0,1.0
2024-01-18,22.43,22.49,22.1,22.32,21.6578004505971,199650,0.0,1.0
2024-01-17,21.81,22.37,21.81,22.34,21.6772070818252,337063,0.0,1.0
2024-01-16,22.54,22.74,22.15,22.22,21.5607672944564,303969,0.0,1.0
2024-01-12,23.41,23.54,22.71,22.92,22.2399993874411,308024,0.0,1.0
2024-01-11,23.11,23.1552,22.67,23.09,22.4049557528802,650902,0.0,1.0
2024-01-10,23.1,23.29,22.98,23.28,22.5893187495475,263674,0.0,1.0
2024-01-09,23.06,23.275,22.88,23.16,22.4728789621787,237551,0.0,1.0
2024-01-08,23.01,23.41,22.88,23.4,22.7057585369163,319062,0.0,1.0
2024-01-05,22.8,23.27,22.72,23.03,22.3467358591958,327396,0.0,1.0
2024-01-04,22.99,23.28,22.98,23.03,22.3467358591958,255298,0.0,1.0
2024-01-03,23.57,23.57,22.88,22.91,22.230296071827,314396,0.0,1.0
2024-01-02,23.43,24.09,23.43,23.66,22.958044742882,318763,0.0,1.0
2023-12-29,24.13,24.1994,23.68,23.75,23.0453745834086,258465,0.0,1.0
2023-12-28,24.28,24.35,24.15,24.23,23.5111337328838,220848,0.0,1.0
2023-12-27,24.27,24.44,24.11,24.28,23.5596503109542,219944,0.0,1.0
2023-12-26,24.03,24.4,23.94,24.18,23.4626171548135,244127,0.0,1.0
2023-12-22,23.9,24.12,23.83,23.85,23.1424077395493,339457,0.0,1.0
2023-12-21,23.69,23.78,23.34,23.7,22.9968580053383,344616,0.0,1.0
2023-12-20,24.01,24.47,23.54,23.56,22.8610115867414,592146,0.0,1.0
2023-12-19,23.64,24.22,23.64,24.0,23.2879574737603,477091,0.0,1.0
2023-12-18,23.87,23.87,23.417,23.56,22.8610115867414,394889,0.0,1.0
2023-12-15,24.18,24.2199,23.59,23.63,22.9289347960398,2343579,0.0,1.0
2023-12-14,24.05,24.605,23.62,24.01,23.2976607893744,474552,0.0,1.0
2023-12-13,22.57,23.69,22.46,23.56,22.8610115867414,575200,0.0,1.0
2023-12-12,22.69,22.78,22.4,22.43,21.7645369223518,341986,0.0,1.0
2023-12-11,22.57,22.77,22.46,22.73,22.0556363907738,439457,0.0,1.0
2023-12-08,22.44,22.82,22.2143,22.65,21.9780098658613,362309,0.0,1.0
2023-12-07,21.95,22.45,21.8,22.43,21.7645369223518,268842,0.0,1.0
2023-12-06,21.99,22.72,21.885,21.92,21.2696678260344,423792,0.0,1.0
2023-12-05,21.67,21.915,21.47,21.6,20.9591617263843,409826,0.0,1.0
2023-12-04,21.05,21.75,21.05,21.7,21.0561948825249,333940,0.0,1.0
2023-12-01,20.09,21.42,20.085,21.25,20.6195456798919,289759,0.0,1.0
2023-11-30,20.34,20.44,20.07,20.21,19.610400856029,252184,0.23,1.0
2023-11-29,20.45,20.83,20.45,20.54,19.7063421518021,277535,0.0,1.0
2023-11-28,20.25,20.39,20.0525,20.3,19.4760830419466,258681,0.0,1.0
2023-11-27,20.28,20.39,19.92,20.34,19.5144595602558,212098,0.0,1.0
2023-11-24,20.42,20.535,20.3,20.38,19.5528360785651,84269,0.0,1.0
2023-11-22,20.49,20.55,20.28,20.4,19.5720243377197,172243,0.0,1.0
2023-11-21,20.74,20.74,20.01,20.24,19.4185182644827,164914,0.0,1.0
2023-11-20,20.87,20.87,20.71,20.75,19.9078188729257,257251,0.0,1.0
2023-11-17,20.8,21.07,20.64,20.92,20.07091907574,379598,0.0,1.0
2023-11-16,20.83,21.0,20.37,20.53,19.6967480222248,178433,0.0,1.0
2023-11-15,20.54,21.0,20.54,20.79,19.946195391235,222410,0.0,1.0
2023-11-14,20.0,20.93,20.0,20.61,19.7735010588433,384013,0.0,1.0
2023-11-13,19.11,19.36,19.0,19.22,18.4399170475967,152344,0.0,1.0
2023-11-10,19.27,19.36,19.0672,19.24,18.4591053067514,213073,0.0,1.0
2023-11-09,19.51,19.51,19.0,19.2,18.4207287884421,283454,0.0,1.0
2023-11-08,19.81,19.81,19.33,19.46,18.6701761574523,345546,0.0,1.0
2023-11-07,19.78,19.93,19.64,19.71,18.9100293968851,203572,0.0,1.0
2023-11-06,20.09,20.538,19.73,19.89,19.0827237292767,349846,0.0,1.0
2023-11-03,20.25,20.72,19.89,20.09,19.274606320823,489556,0.0,1.0
2023-11-02,18.65,19.67,18.65,19.65,18.8524646194212,434096,0.0,1.0
2023-11-01,18.47,18.97,18.15,18.48,17.7299514588755,279255,0.0,1.0
2023-10-31,18.44,18.61,18.27,18.5,17.7491397180301,245720,0.0,1.0
2023-10-30,18.37,18.54,18.24,18.45,17.7011690701436,259043,0.0,1.0
2023-10-27,18.1,18.39,17.91,18.17,17.4325334419788,366110,0.0,1.0
2023-10-26,17.55,18.905,17.34,18.13,17.3941569236695,507147,0.0,1.0
2023-10-25,18.46,19.055,17.23,17.37,16.6650030757937,605533,0.0,1.0
2023-10-24,19.0,19.0,18.51,18.58,17.8258927546487,370079,0.0,1.0
2023-10-23,19.01,19.44,18.91,18.95,18.1808755490093,386500,0.0,1.0
2023-10-20,19.59,19.59,19.06,19.12,18.3439757518236,471955,0.0,1.0
2023-10-19,19.76,19.95,19.43,19.49,18.6989585461842,259528,0.0,1.0
2023-10-18,20.09,20.09,19.7,19.74,18.938811785617,215318,0.0,1.0
2023-10-17,19.66,20.44,19.66,20.26,19.4377065236373,346702,0.0,1.0
2023-10-16,19.43,19.79,19.43,19.78,18.9771883039263,320145,0.0,1.0
2023-10-13,19.65,20.07,19.2,19.23,18.449511177174,191770,0.0,1.0
2023-10-12,19.81,19.81,19.48,19.6,18.8044939715346,177909,0.0,1.0
2023-10-11,19.78,19.96,19.65,19.78,18.9771883039263,155436,0.0,1.0
2023-10-10,19.72,19.94,19.63,19.76,18.9580000447717,207497,0.0,1.0
2023-10-09,19.54,19.87,19.31,19.67,18.8716528785758,206602,0.0,1.0
2023-10-06,19.61,20.04,19.45,19.72,18.9196235264624,332635,0.0,1.0
2023-10-05,19.41,19.83,19.41,19.81,19.0059706926582,586982,0.0,1.0
2023-10-04,19.35,19.54,19.17,19.4,18.6126113799884,297468,0.0,1.0
2023-10-03,19.4,19.765,19.2,19.33,18.5454524729472,361584,0.0,1.0
2023-10-02,19.54,19.6,19.25,19.47,18.6797702870296,367143,0.0,1.0
2023-09-29,19.55,19.83,19.43,19.6,18.8044939715346,382629,0.0,1.0
2023-09-28,19.24,19.65,19.24,19.41,18.6222055095657,418884,0.0,1.0
2023-09-27,19.35,19.48,19.12,19.19,18.4111346588648,272992,0.0,1.0
2023-09-26,19.37,19.73,19.21,19.23,18.449511177174,409401,0.0,1.0
2023-09-25,19.28,19.585,19.22,19.56,18.7661174532254,189271,0.0,1.0
2023-09-22,19.51,19.625,19.22,19.31,18.5262642137925,182456,0.0,1.0
2023-09-21,19.49,19.71,19.29,19.48,18.6893644166069,218849,0.0,1.0
2023-09-20,19.99,20.17,19.6,19.6,18.8044939715346,183328,0.0,1.0
2023-09-19,19.99,20.06,19.73,19.88,19.0731295996994,243916,0.0,1.0
2023-09-18,20.24,20.24,19.88,19.93,19.121100247586,262855,0.0,1.0
2023-09-15,20.57,20.69,20.14,20.27,19.4473006532147,1423757,0.0,1.0
2023-09-14,20.43,20.65,20.4,20.61,19.7735010588433,300959,0.0,1.0
2023-09-13,20.44,20.44,20.01,20.25,19.42811239406,251910,0.0,1.0
2023-09-12,20.31,20.5,20.23,20.35,19.5240536898332,236785,0.0,1.0
2023-09-11,20.49,20.67,20.2,20.27,19.4473006532147,226762,0.0,1.0
2023-09-08,20.47,20.615,20.29,20.42,19.5912125968744,364679,0.0,1.0
2023-09-07,20.35,20.53,20.01,20.46,19.6295891151836,278210,0.0,1.0
2023-09-06,20.66,20.8125,20.25,20.39,19.5624302081424,198383,0.0,1.0
2023-09-05,21.38,21.38,20.65,20.65,19.8118775771526,348830,0.0,1.0
2023-09-01,20.96,21.63,20.96,21.6,20.7233198869974,285980,0.0,1.0
2023-08-31,20.69,20.915,20.67,20.78,19.9366012616576,301351,0.23,1.0
2023-08-30,21.12,21.26,20.87,20.92,19.8511993523978,169453,0.0,1.0
2023-08-29,21.18,21.365,21.1,21.17,20.0884268781196,146499,0.0,1.0
2023-08-28,21.02,21.2855,20.99,21.17,20.0884268781196,154662,0.0,1.0
2023-08-25,21.01,21.26,20.59,20.88,19.8132429482823,130247,0.0,1.0
2023-08-24,20.66,21.15,20.615,20.94,19.8701775544556,243548,0.0,1.0
2023-08-23,20.71,20.98,20.69,20.76,19.6993737359359,197715,0.0,1.0
2023-08-22,21.3,21.37,20.7,20.73,19.6709064328493,198409,0.0,1.0
2023-08-21,21.56,21.71,21.31,21.34,20.2497415956104,267958,0.0,1.0
2023-08-18,21.17,21.72,21.17,21.51,20.4110563131012,401468,0.0,1.0
2023-08-17,21.33,21.54,21.3,21.35,20.2592306966393,173614,0.0,1.0
2023-08-16,21.27,21.7,21.18,21.28,20.1928069894372,166310,0.0,1.0
2023-08-15,21.68,21.82,21.255,21.33,20.2402524945815,336685,0.0,1.0
2023-08-14,22.23,22.61,21.8,22.01,20.8855113645447,250285,0.0,1.0
2023-08-11,22.51,22.6,22.1031,22.4,21.2555863046707,272350,0.0,1.0
2023-08-10,22.95,23.2,22.56,22.62,21.4643465273059,458817,0.0,1.0
2023-08-09,22.93,23.05,22.665,22.9,21.7300413561142,196537,0.0,1.0
2023-08-08,22.83,23.125,22.29,23.11,21.9293124777205,154439,0.0,1.0
2023-08-07,23.21,23.41,23.08,23.39,22.1950073065289,181462,0.0,1.0
2023-08-04,23.04,23.48,23.04,23.2,22.0147143869804,174265,0.0,1.0
2023-08-03,22.84,23.42,22.7,23.12,21.9388015787494,210680,0.0,1.0
2023-08-02,22.49,22.92,22.48,22.88,21.7110631540565,220933,0.0,1.0
2023-08-01,23.05,23.05,22.39,22.92,21.749019558172,266873,0.0,1.0
2023-07-31,23.1,23.24,22.76,23.09,21.9103342756628,314808,0.0,1.0
2023-07-28,23.26,23.42,22.94,23.03,21.8533996694896,328317,0.0,1.0
2023-07-27,23.65,23.65,22.815,22.98,21.8059541643452,460056,0.0,1.0
2023-07-26,23.13,23.79,23.13,23.53,22.3278547209331,245998,0.0,1.0
2023-07-25,22.72,23.31,22.72,22.82,21.6541285478833,260003,0.0,1.0
2023-07-24,22.62,23.12,22.6165,22.95,21.7774868612586,272378,0.0,1.0
2023-07-21,24.99,24.99,22.51,22.72,21.5592375375946,496940,0.0,1.0
2023-07-20,23.98,24.0,23.34,23.89,22.6694623579724,381441,0.0,1.0
2023-07-19,23.16,24.04,23.01,24.02,22.7928206713478,449500,0.0,1.0
2023-07-18,22.34,23.21,22.34,23.05,21.8723778715473,374979,0.0,1.0
2023-07-17,21.8,22.54,21.8,22.34,21.1986516984975,237662,0.0,1.0
2023-07-14,22.19,22.27,21.57,21.9,20.7811312532271,216745,0.0,1.0
2023-07-13,21.87,22.2553,21.83,22.06,20.9329568696891,214805,0.0,1.0
2023-07-12,21.95,22.18,21.66,21.8,20.6862402429384,361301,0.0,1.0
2023-07-11,21.58,21.695,21.2633,21.44,20.3446326058991,301212,0.0,1.0
2023-07-10,21.53,22.04,21.32,21.51,20.4110563131012,513326,0.0,1.0
2023-07-07,20.1,20.75,20.1,20.56,19.5095917153585,281337,0.0,1.0
2023-07-06,20.12,20.19,19.785,20.08,19.0541148659727,262974,0.0,1.0
2023-07-05,20.51,20.64,20.32,20.4,19.3577660988965,217021,0.0,1.0
2023-07-03,20.42,20.95,20.41,20.71,19.6519282307915,100204,0.0,1.0
2023-06-30,21.06,21.39,20.43,20.44,19.395722503012,235661,0.0,1.0
2023-06-29,20.78,21.12,20.67,20.86,19.7942647462246,197005,0.0,1.0
2023-06-28,20.49,20.635,20.23,20.58,19.5285699174162,241231,0.0,1.0
