,FICO_Open,FICO_High,FICO_Low,FICO_Close,FICO_Adj Close,FICO_Volume,FICO_Dividend Amount,FICO_Split Coefficient
2024-10-04,1941.43,1948.29,1886.2,1913.38,1913.38,121533,0.0,1.0
2024-10-03,1938.0,1941.78,1918.595,1935.95,1935.95,109521,0.0,1.0
2024-10-02,1907.56,1944.785,1902.975,1938.16,1938.16,106400,0.0,1.0
2024-10-01,1953.57,1962.96,1906.0,1915.69,1915.69,184525,0.0,1.0
2024-09-30,1921.61,1946.75,1917.27,1943.52,1943.52,91574,0.0,1.0
2024-09-27,1923.11,1925.53,1908.87,1919.65,1919.65,107576,0.0,1.0
2024-09-26,1926.87,1928.6,1910.0,1923.81,1923.81,116383,0.0,1.0
2024-09-25,1916.9,1934.75,1907.41,1909.85,1909.85,108280,0.0,1.0
2024-09-24,1950.04,1950.04,1911.22,1916.9,1916.9,133770,0.0,1.0
2024-09-23,1949.51,1962.83,1939.82,1947.38,1947.38,111150,0.0,1.0
2024-09-20,1925.17,1951.4,1923.945,1934.63,1934.63,294808,0.0,1.0
2024-09-19,1935.98,1946.795,1917.4746,1929.21,1929.21,122298,0.0,1.0
2024-09-18,1885.34,1915.0,1876.855,1900.33,1900.33,128965,0.0,1.0
2024-09-17,1894.48,1907.49,1868.25,1884.45,1884.45,170704,0.0,1.0
2024-09-16,1865.0,1895.08,1862.96,1894.98,1894.98,109724,0.0,1.0
2024-09-13,1868.29,1886.23,1858.5,1868.96,1868.96,132468,0.0,1.0
2024-09-12,1840.75,1863.44,1822.24,1862.08,1862.08,110850,0.0,1.0
2024-09-11,1792.0,1836.77,1764.01,1834.23,1834.23,133833,0.0,1.0
2024-09-10,1783.78,1798.61,1760.825,1797.28,1797.28,100323,0.0,1.0
2024-09-09,1749.03,1795.2,1749.03,1776.49,1776.49,144360,0.0,1.0
2024-09-06,1771.1,1779.0,1732.12,1734.01,1734.01,156278,0.0,1.0
2024-09-05,1742.2,1759.63,1727.07,1757.14,1757.14,98920,0.0,1.0
2024-09-04,1677.47,1758.78,1677.47,1751.25,1751.25,157762,0.0,1.0
2024-09-03,1730.61,1769.02,1679.54,1688.41,1688.41,183117,0.0,1.0
2024-08-30,1722.84,1730.27,1696.87,1730.27,1730.27,119526,0.0,1.0
2024-08-29,1730.0,1750.35,1710.045,1713.29,1713.29,126297,0.0,1.0
2024-08-28,1723.37,1725.17,1702.03,1722.35,1722.35,105387,0.0,1.0
2024-08-27,1701.55,1717.5,1688.35,1714.9,1714.9,201018,0.0,1.0
2024-08-26,1743.2,1749.0899,1706.27,1706.27,1706.27,189024,0.0,1.0
2024-08-23,1747.93,1756.45,1732.36,1745.38,1745.38,72889,0.0,1.0
2024-08-22,1758.09,1760.88,1732.8501,1737.16,1737.16,80881,0.0,1.0
2024-08-21,1745.03,1759.71,1732.92,1751.6,1751.6,97101,0.0,1.0
2024-08-20,1760.15,1766.54,1744.73,1750.0,1750.0,148059,0.0,1.0
2024-08-19,1747.1,1761.1931,1738.87,1753.7,1753.7,138046,0.0,1.0
2024-08-16,1726.93,1762.56,1707.93,1751.7,1751.7,152977,0.0,1.0
2024-08-15,1818.02,1818.02,1731.67,1733.79,1733.79,291801,0.0,1.0
2024-08-14,1777.0,1812.67,1777.0,1809.75,1809.75,149693,0.0,1.0
2024-08-13,1734.38,1776.32,1734.38,1774.66,1774.66,119518,0.0,1.0
2024-08-12,1755.8,1755.8,1710.41,1720.0,1720.0,143959,0.0,1.0
2024-08-09,1720.0,1759.76,1714.01,1752.25,1752.25,215928,0.0,1.0
2024-08-08,1683.93,1720.6,1673.03,1717.12,1717.12,135333,0.0,1.0
2024-08-07,1678.25,1708.6,1659.0,1668.63,1668.63,191606,0.0,1.0
2024-08-06,1599.89,1677.01,1589.92,1654.99,1654.99,286187,0.0,1.0
2024-08-05,1554.6,1607.08,1544.99,1581.82,1581.82,136453,0.0,1.0
2024-08-02,1547.1,1602.49,1537.39,1600.38,1600.38,144730,0.0,1.0
2024-08-01,1554.68,1668.625,1528.43,1578.95,1578.95,261745,0.0,1.0
2024-07-31,1617.14,1630.0,1592.27,1600.0,1600.0,253283,0.0,1.0
2024-07-30,1599.98,1621.97,1581.92,1588.5,1588.5,180675,0.0,1.0
2024-07-29,1612.6,1615.45,1586.99,1588.72,1588.72,201210,0.0,1.0
2024-07-26,1579.42,1612.569,1579.42,1605.94,1605.94,131700,0.0,1.0
2024-07-25,1570.65,1591.475,1551.94,1576.93,1576.93,111811,0.0,1.0
2024-07-24,1621.8,1626.29,1553.71,1559.24,1559.24,159787,0.0,1.0
2024-07-23,1635.48,1658.03,1625.45,1628.12,1628.12,159604,0.0,1.0
2024-07-22,1597.82,1643.55,1597.82,1632.17,1632.17,155691,0.0,1.0
2024-07-19,1594.11,1623.82,1588.34,1590.79,1590.79,191294,0.0,1.0
2024-07-18,1608.01,1635.68,1575.51,1584.76,1584.76,152389,0.0,1.0
2024-07-17,1616.88,1627.11,1594.83,1602.8,1602.8,201149,0.0,1.0
2024-07-16,1596.0,1620.5,1594.51,1614.77,1614.77,108966,0.0,1.0
2024-07-15,1593.42,1609.45,1579.14,1590.03,1590.03,187283,0.0,1.0
2024-07-12,1571.38,1605.69,1571.38,1588.52,1588.52,119771,0.0,1.0
2024-07-11,1535.76,1567.62,1535.76,1567.52,1567.52,146175,0.0,1.0
2024-07-10,1569.84,1569.84,1496.18,1534.09,1534.09,198192,0.0,1.0
2024-07-09,1549.18,1575.01,1536.08,1568.06,1568.06,317284,0.0,1.0
2024-07-08,1549.23,1549.39,1522.22,1530.06,1530.06,161706,0.0,1.0
2024-07-05,1541.58,1555.06,1527.01,1551.55,1551.55,108505,0.0,1.0
2024-07-03,1531.0,1541.37,1518.46,1530.06,1530.06,71820,0.0,1.0
2024-07-02,1496.0,1529.62,1487.7,1529.38,1529.38,292357,0.0,1.0
2024-07-01,1495.2,1504.28,1454.41,1496.51,1496.51,143609,0.0,1.0
2024-06-28,1480.29,1518.27,1480.29,1488.66,1488.66,340261,0.0,1.0
