,FLO_Open,FLO_High,FLO_Low,FLO_Close,FLO_Adj Close,FLO_Volume,FLO_Dividend Amount,FLO_Split Coefficient
2024-10-04,22.06,22.4,22.015,22.4,22.4,970254,0.0,1.0
2024-10-03,22.56,22.59,22.03,22.09,22.09,1144752,0.0,1.0
2024-10-02,22.78,22.8,22.56,22.66,22.66,902016,0.0,1.0
2024-10-01,23.04,23.2,22.865,22.87,22.87,882629,0.0,1.0
2024-09-30,23.34,23.355,22.94,23.07,23.07,702429,0.0,1.0
2024-09-27,23.25,23.41,23.11,23.25,23.25,728747,0.0,1.0
2024-09-26,22.89,23.31,22.89,23.09,23.09,1315837,0.0,1.0
2024-09-25,23.0,23.09,22.89,22.93,22.93,713624,0.0,1.0
2024-09-24,23.09,23.22,22.9,22.94,22.94,642393,0.0,1.0
2024-09-23,23.42,23.47,23.14,23.15,23.15,759040,0.0,1.0
2024-09-20,23.82,23.8495,23.44,23.44,23.44,2111568,0.0,1.0
2024-09-19,23.74,23.87,23.61,23.77,23.77,1134253,0.0,1.0
2024-09-18,23.59,23.87,23.59,23.72,23.72,795955,0.0,1.0
2024-09-17,23.68,23.84,23.58,23.68,23.68,1071151,0.0,1.0
2024-09-16,23.32,23.73,23.32,23.62,23.62,1043784,0.0,1.0
2024-09-13,22.55,23.17,22.54,23.17,23.17,749523,0.0,1.0
2024-09-12,22.8,22.925,22.65,22.87,22.87,732242,0.0,1.0
2024-09-11,23.24,23.3,22.71,22.83,22.83,961741,0.0,1.0
2024-09-10,23.5,23.71,23.33,23.33,23.33,1142194,0.0,1.0
2024-09-09,23.38,23.585,23.32,23.47,23.47,1354334,0.0,1.0
2024-09-06,23.38,23.65,23.3434,23.44,23.44,832475,0.24,1.0
2024-09-05,23.5,23.84,23.4955,23.67,23.4301013513514,1115642,0.0,1.0
2024-09-04,23.16,23.45,23.15,23.39,23.1529391891892,918482,0.0,1.0
2024-09-03,23.26,23.3925,23.09,23.15,22.9153716216216,1101666,0.0,1.0
2024-08-30,22.93,23.29,22.93,23.24,23.0044594594595,1313385,0.0,1.0
2024-08-29,23.09,23.09,22.77,22.86,22.6283108108108,743490,0.0,1.0
2024-08-28,22.79,23.05,22.71,23.05,22.8163851351351,1046108,0.0,1.0
2024-08-27,23.1,23.14,22.685,22.79,22.5590202702703,916522,0.0,1.0
2024-08-26,23.16,23.36,22.99,23.03,22.7965878378378,822666,0.0,1.0
