,FN_Open,FN_High,FN_Low,FN_Close,FN_Adj Close,FN_Volume,FN_Dividend Amount,FN_Split Coefficient
2024-10-04,240.69,242.91,236.51,242.85,242.85,389575,0.0,1.0
2024-10-03,231.67,237.905,231.27,234.13,234.13,336628,0.0,1.0
2024-10-02,230.21,236.645,226.65,234.03,234.03,466735,0.0,1.0
2024-10-01,236.42,236.42,225.0101,229.76,229.76,368719,0.0,1.0
2024-09-30,235.97,239.37,232.22,236.44,236.44,355364,0.0,1.0
2024-09-27,238.03,242.37,236.35,239.77,239.77,452363,0.0,1.0
2024-09-26,233.89,239.98,231.63,237.53,237.53,555394,0.0,1.0
2024-09-25,230.9,232.1852,226.25,227.63,227.63,310708,0.0,1.0
2024-09-24,233.0,234.84,228.68,230.81,230.81,295214,0.0,1.0
2024-09-23,235.75,236.41,231.185,231.94,231.94,339826,0.0,1.0
2024-09-20,233.7,234.89,228.63,231.56,231.56,7225143,0.0,1.0
2024-09-19,239.01,239.41,232.36,234.28,234.28,388737,0.0,1.0
2024-09-18,233.54,234.4,224.72,229.04,229.04,559384,0.0,1.0
2024-09-17,228.91,231.79,224.17,230.89,230.89,708637,0.0,1.0
2024-09-16,227.18,230.49,223.31,224.17,224.17,557935,0.0,1.0
2024-09-13,225.21,232.17,224.59,230.04,230.04,543281,0.0,1.0
2024-09-12,217.0,224.63,215.49,221.79,221.79,534919,0.0,1.0
2024-09-11,208.0,217.02,206.6,216.86,216.86,734980,0.0,1.0
2024-09-10,209.5,210.78,203.66,207.16,207.16,565528,0.0,1.0
2024-09-09,204.0,212.35,201.0,209.92,209.92,939767,0.0,1.0
2024-09-06,222.42,223.43,209.29,210.74,210.74,514036,0.0,1.0
2024-09-05,221.76,228.0,218.0,224.79,224.79,406854,0.0,1.0
2024-09-04,219.29,227.0,218.445,225.17,225.17,370552,0.0,1.0
2024-09-03,240.0,240.14,220.59,220.84,220.84,626592,0.0,1.0
2024-08-30,244.67,246.735,240.07,243.65,243.65,411492,0.0,1.0
2024-08-29,243.98,250.705,241.7801,242.87,242.87,706238,0.0,1.0
2024-08-28,246.11,246.905,240.35,244.37,244.37,518489,0.0,1.0
2024-08-27,249.24,252.34,246.26,246.34,246.34,432542,0.0,1.0
2024-08-26,268.8,270.0,251.09,252.06,252.06,624740,0.0,1.0
2024-08-23,264.61,272.24,263.01,267.35,267.35,371489,0.0,1.0
2024-08-22,274.4,274.4,261.17,261.84,261.84,320250,0.0,1.0
2024-08-21,267.48,273.6,261.87,273.5,273.5,707894,0.0,1.0
2024-08-20,262.0,278.38,259.05,268.0,268.0,1771489,0.0,1.0
2024-08-19,230.31,233.07,226.86,231.55,231.55,678715,0.0,1.0
2024-08-16,229.26,231.46,226.61,231.08,231.08,271414,0.0,1.0
2024-08-15,224.45,236.47,221.0,230.47,230.47,477262,0.0,1.0
2024-08-14,220.14,220.315,214.77,217.77,217.77,318242,0.0,1.0
2024-08-13,211.94,218.4825,210.225,217.75,217.75,272612,0.0,1.0
2024-08-12,209.77,211.89,207.29,207.31,207.31,267063,0.0,1.0
