,FNB_Open,FNB_High,FNB_Low,FNB_Close,FNB_Adj Close,FNB_Volume,FNB_Dividend Amount,FNB_Split Coefficient
2024-10-04,13.88,13.96,13.735,13.84,13.84,1530286,0.0,1.0
2024-10-03,13.5,13.685,13.43,13.62,13.62,1445283,0.0,1.0
2024-10-02,13.56,13.69,13.49,13.57,13.57,2365432,0.0,1.0
2024-10-01,13.99,14.0,13.52,13.57,13.57,3813461,0.0,1.0
2024-09-30,13.84,14.18,13.79,14.11,14.11,1866826,0.0,1.0
2024-09-27,14.01,14.06,13.83,13.89,13.89,1513512,0.0,1.0
2024-09-26,13.88,13.995,13.72,13.9,13.9,1861267,0.0,1.0
2024-09-25,13.92,13.92,13.645,13.68,13.68,2627393,0.0,1.0
2024-09-24,14.18,14.29,13.88,13.9,13.9,1886030,0.0,1.0
2024-09-23,14.35,14.405,14.08,14.19,14.19,2725083,0.0,1.0
2024-09-20,14.5,14.51,14.29,14.31,14.31,4995557,0.0,1.0
2024-09-19,14.53,14.7,14.33,14.59,14.59,2155795,0.0,1.0
2024-09-18,14.21,14.69,14.06,14.24,14.24,2090723,0.0,1.0
2024-09-17,14.23,14.48,14.15,14.2,14.2,1563469,0.0,1.0
2024-09-16,14.06,14.255,13.92,14.15,14.15,2195387,0.0,1.0
2024-09-13,13.82,14.045,13.82,14.02,14.02,2076073,0.0,1.0
2024-09-12,13.84,13.87,13.63,13.69,13.69,1865460,0.0,1.0
2024-09-11,13.85,13.88,13.49,13.78,13.78,2113938,0.0,1.0
2024-09-10,14.2,14.2,13.7399,13.99,13.99,1932160,0.0,1.0
2024-09-09,14.04,14.23,13.95,14.15,14.15,1682220,0.0,1.0
2024-09-06,14.4,14.475,13.97,14.01,14.01,1933657,0.0,1.0
2024-09-05,14.68,14.69,14.27,14.31,14.31,1281672,0.12,1.0
2024-09-04,14.74,14.91,14.555,14.66,14.5380873180873,1317415,0.0,1.0
2024-09-03,14.84,15.02,14.745,14.81,14.6868399168399,1600852,0.0,1.0
2024-08-30,14.81,14.99,14.745,14.98,14.8554261954262,1602869,0.0,1.0
2024-08-29,14.79,14.9,14.58,14.78,14.6570893970894,1124799,0.0,1.0
2024-08-28,14.49,14.755,14.48,14.7,14.5777546777547,1457115,0.0,1.0
2024-08-27,14.5,14.585,14.375,14.52,14.3992515592516,1508716,0.0,1.0
2024-08-26,14.91,14.92,14.57,14.58,14.4587525987526,1536423,0.0,1.0
2024-08-23,14.34,14.95,14.285,14.76,14.6372557172557,1840330,0.0,1.0
2024-08-22,14.18,14.295,14.105,14.22,14.1017463617464,925479,0.0,1.0
2024-08-21,14.25,14.25,14.005,14.16,14.0422453222453,1036781,0.0,1.0
2024-08-20,14.24,14.27,14.08,14.15,14.0323284823285,1470721,0.0,1.0
2024-08-19,14.13,14.335,14.125,14.32,14.2009147609148,1677520,0.0,1.0
2024-08-16,13.86,14.15,13.77,14.12,14.002577962578,1655771,0.0,1.0
2024-08-15,13.9,14.12,13.88,13.9,13.7844074844075,2258728,0.0,1.0
2024-08-14,13.7,13.7,13.5,13.62,13.506735966736,1640319,0.0,1.0
2024-08-13,13.63,13.645,13.39,13.61,13.4968191268191,1201493,0.0,1.0
2024-08-12,13.79,13.94,13.43,13.49,13.377817047817,1625005,0.0,1.0
2024-08-09,13.7,13.72,13.524,13.66,13.5464033264033,2072743,0.0,1.0
2024-08-08,13.67,13.75,13.505,13.7,13.5860706860707,1978361,0.0,1.0
2024-08-07,13.76,13.855,13.425,13.49,13.377817047817,2637601,0.0,1.0
2024-08-06,13.58,13.81,13.45,13.49,13.377817047817,6614901,0.0,1.0
2024-08-05,13.56,13.79,13.15,13.56,13.4472349272349,3189714,0.0,1.0
2024-08-02,14.25,14.34,13.855,14.15,14.0323284823285,2930205,0.0,1.0
