,GPRE_Open,GPRE_High,GPRE_Low,GPRE_Close,GPRE_Adj Close,GPRE_Volume,GPRE_Dividend Amount,GPRE_Split Coefficient
2024-10-04,13.35,13.56,13.18,13.5,13.5,547456,0.0,1.0
2024-10-03,12.91,13.23,12.705,13.04,13.04,877120,0.0,1.0
2024-10-02,13.31,13.4,12.75,13.01,13.01,674095,0.0,1.0
2024-10-01,13.33,13.59,12.95,13.07,13.07,605208,0.0,1.0
2024-09-30,13.56,13.74,13.39,13.54,13.54,1016312,0.0,1.0
2024-09-27,13.39,13.785,13.385,13.55,13.55,1144342,0.0,1.0
2024-09-26,12.82,13.475,12.82,13.15,13.15,717126,0.0,1.0
2024-09-25,13.38,13.38,12.855,12.94,12.94,631067,0.0,1.0
2024-09-24,13.0,13.58,12.87,13.48,13.48,732289,0.0,1.0
2024-09-23,13.35,13.44,12.72,12.93,12.93,530178,0.0,1.0
2024-09-20,13.42,13.42,13.04,13.29,13.29,1428419,0.0,1.0
2024-09-19,13.85,13.975,13.505,13.52,13.52,661052,0.0,1.0
2024-09-18,13.4,13.955,13.31,13.42,13.42,1102695,0.0,1.0
2024-09-17,12.98,13.45,12.85,13.37,13.37,802524,0.0,1.0
2024-09-16,12.69,12.95,12.46,12.88,12.88,753551,0.0,1.0
2024-09-13,12.36,12.7993,12.35,12.58,12.58,726929,0.0,1.0
2024-09-12,12.32,12.62,12.05,12.26,12.26,888352,0.0,1.0
2024-09-11,11.94,12.335,11.625,12.24,12.24,1586728,0.0,1.0
2024-09-10,12.34,12.52,11.89,11.94,11.94,1258773,0.0,1.0
2024-09-09,13.83,13.83,12.4,12.47,12.47,1349074,0.0,1.0
2024-09-06,13.72,14.03,13.27,13.83,13.83,836441,0.0,1.0
2024-09-05,14.5,14.67,13.48,13.6,13.6,1445356,0.0,1.0
2024-09-04,13.07,14.6,13.01,14.35,14.35,1894128,0.0,1.0
2024-09-03,13.96,14.1,12.9,13.05,13.05,1358616,0.0,1.0
2024-08-30,14.21,14.32,13.98,14.17,14.17,780932,0.0,1.0
2024-08-29,14.06,14.57,13.85,14.24,14.24,690638,0.0,1.0
2024-08-28,13.71,14.17,13.68,13.99,13.99,724174,0.0,1.0
2024-08-27,13.99,14.095,13.79,13.89,13.89,492565,0.0,1.0
2024-08-26,14.25,14.59,14.01,14.05,14.05,522442,0.0,1.0
2024-08-23,13.71,14.38,13.635,14.04,14.04,601359,0.0,1.0
2024-08-22,13.71,13.745,13.43,13.6,13.6,682203,0.0,1.0
2024-08-21,13.6,14.08,13.55,13.83,13.83,837478,0.0,1.0
2024-08-20,13.86,13.925,13.17,13.45,13.45,1007281,0.0,1.0
2024-08-19,14.1,14.331,13.99,14.05,14.05,1166491,0.0,1.0
2024-08-16,13.82,14.47,13.68,14.18,14.18,967540,0.0,1.0
2024-08-15,13.79,13.93,13.65,13.85,13.85,1168652,0.0,1.0
2024-08-14,14.24,14.24,13.3,13.5,13.5,1012230,0.0,1.0
2024-08-13,13.13,14.22,12.9,14.21,14.21,1395249,0.0,1.0
2024-08-12,13.29,13.37,13.02,13.16,13.16,1173482,0.0,1.0
2024-08-09,14.12,14.26,12.7728,13.21,13.21,1230765,0.0,1.0
2024-08-08,14.52,14.82,14.18,14.21,14.21,1077427,0.0,1.0
2024-08-07,14.03,15.7,14.03,14.44,14.44,1708725,0.0,1.0
2024-08-06,16.18,16.46,13.57,14.13,14.13,3166199,0.0,1.0
2024-08-05,16.21,16.56,15.87,16.18,16.18,804632,0.0,1.0
2024-08-02,17.16,17.44,16.87,17.03,17.03,1035460,0.0,1.0
2024-08-01,17.76,17.84,17.16,17.58,17.58,860546,0.0,1.0
2024-07-31,18.04,18.13,17.55,17.73,17.73,703629,0.0,1.0
2024-07-30,17.58,17.9,17.475,17.76,17.76,529380,0.0,1.0
2024-07-29,17.55,17.76,17.25,17.55,17.55,552817,0.0,1.0
2024-07-26,18.0,18.14,17.5,17.59,17.59,827547,0.0,1.0
2024-07-25,16.15,17.99,16.1,17.9,17.9,1013792,0.0,1.0
2024-07-24,16.5,16.635,16.05,16.24,16.24,425320,0.0,1.0
2024-07-23,16.47,16.67,16.18,16.51,16.51,625453,0.0,1.0
2024-07-22,16.63,17.5,16.25,16.6,16.6,619790,0.0,1.0
2024-07-19,16.61,16.875,16.51,16.65,16.65,565887,0.0,1.0
2024-07-18,16.94,17.16,16.51,16.57,16.57,794487,0.0,1.0
2024-07-17,16.67,17.34,16.66,17.04,17.04,1315991,0.0,1.0
2024-07-16,16.09,16.82,15.95,16.69,16.69,1166188,0.0,1.0
2024-07-15,16.49,16.62,16.04,16.13,16.13,931215,0.0,1.0
2024-07-12,16.86,16.98,16.12,16.46,16.46,894027,0.0,1.0
2024-07-11,15.41,16.62,15.33,16.6,16.6,1561849,0.0,1.0
2024-07-10,15.35,15.47,14.92,15.13,15.13,478525,0.0,1.0
2024-07-09,14.78,15.43,14.57,15.28,15.28,1293406,0.0,1.0
2024-07-08,14.43,14.95,14.43,14.87,14.87,769688,0.0,1.0
2024-07-05,15.09,15.135,14.35,14.39,14.39,902041,0.0,1.0
2024-07-03,15.22,15.25,14.97,15.0,15.0,339303,0.0,1.0
2024-07-02,15.7,15.7,15.0912,15.14,15.14,590042,0.0,1.0
2024-07-01,15.85,16.01,15.17,15.54,15.54,1005066,0.0,1.0
2024-06-28,16.75,16.87,15.81,15.86,15.86,2355214,0.0,1.0
2024-06-27,16.64,16.74,16.475,16.595,16.595,612949,0.0,1.0
2024-06-26,15.99,16.83,15.8,16.51,16.51,875937,0.0,1.0
2024-06-25,15.7,16.115,15.39,16.03,16.03,978696,0.0,1.0
2024-06-24,15.03,15.85,15.01,15.78,15.78,842261,0.0,1.0
2024-06-21,14.79,15.01,14.63,15.0,15.0,2296919,0.0,1.0
2024-06-20,14.85,15.09,14.535,14.79,14.79,704748,0.0,1.0
2024-06-18,14.84,14.9599,14.48,14.88,14.88,1023815,0.0,1.0
2024-06-17,15.0,15.2,14.4,14.85,14.85,1659166,0.0,1.0
2024-06-14,15.61,15.61,15.03,15.12,15.12,916085,0.0,1.0
2024-06-13,16.05,16.145,15.36,15.63,15.63,1397666,0.0,1.0
2024-06-12,17.02,17.0757,16.04,16.18,16.18,740529,0.0,1.0
2024-06-11,16.55,16.75,16.26,16.64,16.64,699769,0.0,1.0
2024-06-10,16.53,16.81,16.13,16.68,16.68,649436,0.0,1.0
2024-06-07,16.83,16.98,16.6,16.67,16.67,634865,0.0,1.0
2024-06-06,16.63,17.3,16.6,17.1,17.1,543651,0.0,1.0
2024-06-05,17.13,17.22,16.81,16.86,16.86,746022,0.0,1.0
2024-06-04,17.42,17.42,16.92,17.11,17.11,813186,0.0,1.0
2024-06-03,17.5,17.71,17.12,17.58,17.58,1155266,0.0,1.0
2024-05-31,17.19,17.35,16.74,17.17,17.17,1096639,0.0,1.0
2024-05-30,17.14,17.8,16.89,16.98,16.98,2244645,0.0,1.0
2024-05-29,17.79,17.85,16.86,17.0,17.0,1520067,0.0,1.0
2024-05-28,18.49,18.6156,18.015,18.04,18.04,1184119,0.0,1.0
2024-05-24,18.67,18.677,18.24,18.27,18.27,688684,0.0,1.0
2024-05-23,19.4,19.58,18.41,18.56,18.56,820999,0.0,1.0
2024-05-22,19.17,19.8,18.94,19.4,19.4,1111653,0.0,1.0
2024-05-21,18.97,19.32,18.87,19.21,19.21,3072573,0.0,1.0
2024-05-20,19.07,19.36,18.87,19.14,19.14,525997,0.0,1.0
2024-05-17,19.13,19.46,18.85,19.16,19.16,778291,0.0,1.0
2024-05-16,18.95,19.23,18.42,19.08,19.08,965618,0.0,1.0
2024-05-15,20.34,20.395,18.92,19.02,19.02,1004287,0.0,1.0
2024-05-14,20.23,20.54,19.83,20.24,20.24,1221444,0.0,1.0
2024-05-13,19.98,20.39,19.66,19.78,19.78,1044323,0.0,1.0
2024-05-10,20.26,20.39,19.44,19.98,19.98,714917,0.0,1.0
2024-05-09,19.53,20.21,19.39,20.19,20.19,899682,0.0,1.0
2024-05-08,19.18,19.625,18.75,19.58,19.58,1370716,0.0,1.0
2024-05-07,19.79,20.1,19.27,19.28,19.28,2244011,0.0,1.0
2024-05-06,20.5,20.82,19.66,19.9,19.9,1209809,0.0,1.0
2024-05-03,20.3,20.49,19.71,20.17,20.17,1810804,0.0,1.0
2024-05-02,20.2,20.805,19.79,20.74,20.74,1360857,0.0,1.0
2024-05-01,20.55,20.83,20.0225,20.12,20.12,1716225,0.0,1.0
2024-04-30,21.52,21.6,20.64,20.67,20.67,986583,0.0,1.0
2024-04-29,21.43,21.81,21.39,21.74,21.74,679104,0.0,1.0
2024-04-26,21.03,21.48,20.71,21.4,21.4,851611,0.0,1.0
2024-04-25,21.63,21.66,20.95,21.16,21.16,945981,0.0,1.0
2024-04-24,22.08,22.39,21.64,21.75,21.75,587743,0.0,1.0
2024-04-23,22.11,22.75,21.9447,22.27,22.27,759948,0.0,1.0
2024-04-22,22.15,22.21,21.35,22.12,22.12,987248,0.0,1.0
2024-04-19,21.11,22.43,21.11,22.23,22.23,4830201,0.0,1.0
2024-04-18,20.91,21.39,20.66,21.14,21.14,938425,0.0,1.0
2024-04-17,21.33,21.52,20.81,20.93,20.93,1134163,0.0,1.0
2024-04-16,20.65,21.3,20.525,21.11,21.11,903438,0.0,1.0
2024-04-15,20.67,21.52,20.48,20.93,20.93,2838957,0.0,1.0
2024-04-12,22.58,23.21,21.58,21.93,21.93,1191372,0.0,1.0
2024-04-11,23.09,23.1,22.04,22.38,22.38,1049256,0.0,1.0
2024-04-10,22.33,23.5,22.23,23.11,23.11,1012121,0.0,1.0
2024-04-09,22.91,23.32,22.515,23.06,23.06,699037,0.0,1.0
2024-04-08,23.55,23.76,22.485,22.73,22.73,929499,0.0,1.0
2024-04-05,23.45,23.66,22.89,23.44,23.44,666610,0.0,1.0
2024-04-04,23.26,24.04,23.1801,23.4,23.4,1074696,0.0,1.0
2024-04-03,23.33,23.67,22.94,23.08,23.08,993311,0.0,1.0
2024-04-02,22.68,23.39,22.32,23.33,23.33,874078,0.0,1.0
2024-04-01,23.14,23.58,22.2084,22.8,22.8,964783,0.0,1.0
2024-03-28,22.46,23.44,22.46,23.12,23.12,1336656,0.0,1.0
2024-03-27,21.86,22.5,21.47,22.45,22.45,1149357,0.0,1.0
2024-03-26,22.08,22.39,21.67,21.68,21.68,1057781,0.0,1.0
2024-03-25,21.81,22.16,21.43,22.06,22.06,1012670,0.0,1.0
2024-03-22,21.69,22.095,21.41,21.81,21.81,566401,0.0,1.0
2024-03-21,22.01,22.24,21.355,21.6,21.6,886394,0.0,1.0
2024-03-20,21.63,21.97,20.92,21.88,21.88,1023153,0.0,1.0
2024-03-19,20.7,21.915,20.7,21.8,21.8,1364468,0.0,1.0
2024-03-18,20.08,20.94,19.805,20.92,20.92,1089778,0.0,1.0
2024-03-15,20.13,20.9,20.08,20.26,20.26,1686425,0.0,1.0
2024-03-14,20.2,20.24,19.84,20.21,20.21,723112,0.0,1.0
2024-03-13,20.33,20.95,20.27,20.31,20.31,571746,0.0,1.0
2024-03-12,20.62,20.81,20.19,20.4,20.4,940253,0.0,1.0
2024-03-11,20.69,21.05,20.63,20.9,20.9,1027053,0.0,1.0
2024-03-08,20.9,21.15,20.575,20.67,20.67,533336,0.0,1.0
2024-03-07,20.98,21.43,20.761,20.78,20.78,758678,0.0,1.0
2024-03-06,21.64,21.64,20.73,20.78,20.78,740801,0.0,1.0
2024-03-05,20.51,21.6,20.49,21.54,21.54,972931,0.0,1.0
2024-03-04,21.13,21.3141,20.2,20.62,20.62,706852,0.0,1.0
2024-03-01,21.38,21.75,21.005,21.26,21.26,852083,0.0,1.0
2024-02-29,22.0,22.09,21.24,21.3,21.3,859219,0.0,1.0
2024-02-28,21.64,21.96,21.51,21.62,21.62,471557,0.0,1.0
2024-02-27,22.34,22.5581,21.61,21.83,21.83,609129,0.0,1.0
2024-02-26,21.98,22.21,21.69,21.97,21.97,902439,0.0,1.0
2024-02-23,22.48,22.82,22.01,22.06,22.06,841481,0.0,1.0
2024-02-22,22.52,22.82,22.23,22.57,22.57,1042698,0.0,1.0
2024-02-21,22.66,22.9625,22.48,22.8,22.8,691290,0.0,1.0
2024-02-20,22.81,22.97,22.515,22.75,22.75,704125,0.0,1.0
2024-02-16,23.61,23.74,22.84,23.04,23.04,1419044,0.0,1.0
2024-02-15,23.96,24.12,23.395,23.79,23.79,1093872,0.0,1.0
2024-02-14,23.64,23.98,23.25,23.56,23.56,1010915,0.0,1.0
2024-02-13,23.83,24.21,22.99,23.23,23.23,1241012,0.0,1.0
2024-02-12,24.39,24.84,24.212,24.61,24.61,1434350,0.0,1.0
2024-02-09,23.81,25.22,23.6,24.71,24.71,2809394,0.0,1.0
2024-02-08,22.6,23.72,22.59,23.63,23.63,2551119,0.0,1.0
2024-02-07,25.2,25.24,22.165,22.63,22.63,3927992,0.0,1.0
2024-02-06,19.69,20.08,19.55,20.02,20.02,1254535,0.0,1.0
2024-02-05,20.13,20.13,19.44,19.71,19.71,1169830,0.0,1.0
2024-02-02,20.48,20.7125,20.13,20.47,20.47,613770,0.0,1.0
2024-02-01,20.93,21.28,20.26,20.77,20.77,937432,0.0,1.0
2024-01-31,21.14,21.495,20.72,20.73,20.73,680408,0.0,1.0
2024-01-30,21.52,21.62,20.91,21.13,21.13,991834,0.0,1.0
2024-01-29,21.61,22.2,21.39,21.87,21.87,1541839,0.0,1.0
2024-01-26,20.45,21.65,20.385,21.61,21.61,1723744,0.0,1.0
2024-01-25,19.99,20.17,19.68,20.16,20.16,994784,0.0,1.0
2024-01-24,20.36,20.41,19.7,19.72,19.72,798674,0.0,1.0
2024-01-23,20.67,20.77,20.01,20.08,20.08,1017996,0.0,1.0
2024-01-22,20.73,21.02,20.09,20.32,20.32,1662236,0.0,1.0
2024-01-19,21.0,21.02,20.32,20.93,20.93,964284,0.0,1.0
2024-01-18,21.29,21.36,20.55,20.91,20.91,1410884,0.0,1.0
2024-01-17,20.97,21.26,20.485,21.21,21.21,1804305,0.0,1.0
2024-01-16,21.58,22.15,21.33,21.48,21.48,1674175,0.0,1.0
2024-01-12,22.2,22.69,21.365,21.71,21.71,2500527,0.0,1.0
2024-01-11,23.18,23.295,22.16,22.22,22.22,2861619,0.0,1.0
2024-01-10,23.5,23.91,23.31,23.49,23.49,1888219,0.0,1.0
2024-01-09,23.92,24.235,23.48,23.63,23.63,1662651,0.0,1.0
2024-01-08,24.29,24.76,23.75,24.09,24.09,1091816,0.0,1.0
2024-01-05,24.4,24.9,24.09,24.53,24.53,832655,0.0,1.0
2024-01-04,24.57,24.805,24.07,24.45,24.45,797788,0.0,1.0
2024-01-03,24.64,24.96,24.34,24.5,24.5,1089609,0.0,1.0
2024-01-02,25.22,25.66,24.575,24.8,24.8,731115,0.0,1.0
2023-12-29,25.55,25.745,25.18,25.22,25.22,626938,0.0,1.0
2023-12-28,25.35,25.61,25.12,25.37,25.37,631551,0.0,1.0
2023-12-27,25.66,25.77,25.32,25.44,25.44,441457,0.0,1.0
2023-12-26,25.69,26.04,25.65,25.725,25.725,407013,0.0,1.0
2023-12-22,25.83,26.055,25.38,25.51,25.51,700870,0.0,1.0
