,GVA_Open,GVA_High,GVA_Low,GVA_Close,GVA_Adj Close,GVA_Volume,GVA_Dividend Amount,GVA_Split Coefficient
2024-10-04,80.94,81.35,79.79,81.29,81.29,309875,0.0,1.0
2024-10-03,79.75,80.52,79.12,79.52,79.52,187044,0.0,1.0
2024-10-02,78.99,80.54,78.885,80.18,80.18,742776,0.0,1.0
2024-10-01,78.96,80.385,77.82,79.33,79.33,1017502,0.0,1.0
2024-09-30,78.86,79.835,78.13,79.28,79.28,286311,0.13,1.0
2024-09-27,79.28,79.9431,78.41,79.11,78.9804911220249,398848,0.0,1.0
2024-09-26,80.15,80.775,78.8414,79.02,78.8906384586324,214472,0.0,1.0
2024-09-25,79.52,79.795,79.127,79.74,79.6094597657726,1158437,0.0,1.0
2024-09-24,79.27,80.39,79.06,79.58,79.4497216975192,289360,0.0,1.0
2024-09-23,80.66,81.38,78.13,79.22,79.0903110439491,1072198,0.0,1.0
2024-09-20,80.45,81.33,79.86,80.28,80.1485757461277,1138031,0.0,1.0
2024-09-19,79.0,80.61,78.12,80.33,80.1984938924569,1718361,0.0,1.0
2024-09-18,77.86,79.17,77.37,77.5,77.3731268102254,607651,0.0,1.0
2024-09-17,77.64,78.6199,77.22,77.67,77.5428485077446,657707,0.0,1.0
2024-09-16,76.91,77.7822,76.39,77.3,77.1734542249087,277175,0.0,1.0
2024-09-13,75.2,76.92,74.51,76.37,76.244976703186,1050024,0.0,1.0
2024-09-12,73.2,74.43,72.89,74.29,74.1683818158922,290365,0.0,1.0
2024-09-11,71.67,73.48,70.59,72.74,72.6209192796877,392490,0.0,1.0
2024-09-10,72.07,72.891,71.3,72.38,72.2615086261176,375750,0.0,1.0
2024-09-09,71.39,72.57,70.82,71.88,71.7623271628258,373965,0.0,1.0
2024-09-06,72.03,72.99,70.54,71.39,71.2731293287999,461798,0.0,1.0
2024-09-05,72.4,72.4,71.47,72.02,71.9020979725475,264984,0.0,1.0
2024-09-04,72.41,72.7,71.745,72.35,72.2315577383201,241932,0.0,1.0
2024-09-03,74.5,74.97,72.188,72.7,72.5809847626244,547588,0.0,1.0
2024-08-30,74.34,75.22,73.83,75.16,75.0369575620199,356361,0.0,1.0
2024-08-29,74.32,75.36,73.91,74.0,73.878856567183,646608,0.0,1.0
2024-08-28,73.98,75.0976,73.56,74.05,73.9287747135121,352300,0.0,1.0
2024-08-27,73.22,75.15,72.6367,73.87,73.7490693867271,1005920,0.0,1.0
2024-08-26,73.9,74.33,73.0112,73.53,73.4096259916887,493897,0.0,1.0
2024-08-23,72.16,74.57,71.935,73.7,73.5793476892079,425938,0.0,1.0
2024-08-22,71.24,72.5899,70.975,71.66,71.5426873189775,397908,0.0,1.0
2024-08-21,70.32,71.2175,69.8312,71.13,71.0135549678882,250363,0.0,1.0
2024-08-20,71.43,71.85,70.15,70.29,70.174930109558,374020,0.0,1.0
2024-08-19,71.03,71.6,70.75,71.58,71.4628182848508,200656,0.0,1.0
2024-08-16,70.25,71.51,69.865,70.99,70.8737841581665,431599,0.0,1.0
2024-08-15,70.0,71.08,69.37,70.12,70.0052084120388,507772,0.0,1.0
2024-08-14,69.55,70.08,68.48,68.84,68.7273038660118,314082,0.0,1.0
2024-08-13,68.77,69.535,68.33,69.13,69.0168291147211,496290,0.0,1.0
2024-08-12,68.71,69.03,67.92,68.6,68.4876967636318,410054,0.0,1.0
2024-08-09,69.29,69.47,68.22,69.24,69.1266490366452,336458,0.0,1.0
2024-08-08,68.84,69.43,67.83,68.98,68.8670746757335,501255,0.0,1.0
2024-08-07,69.65,69.82,66.99,68.16,68.048417075935,687857,0.0,1.0
2024-08-06,69.26,70.345,68.55,68.95,68.837123787936,748550,0.0,1.0
2024-08-05,66.58,69.29,65.13,68.9,68.7872056416068,867791,0.0,1.0
2024-08-02,67.91,69.765,66.8,69.52,69.4061906560886,668905,0.0,1.0
2024-08-01,70.0,73.01,66.86,69.39,69.2764034756328,1126020,0.0,1.0
2024-07-31,68.98,69.66,67.73,68.46,68.3479259539101,767972,0.0,1.0
2024-07-30,68.19,68.91,67.06,68.03,67.9186298954792,573955,0.0,1.0
2024-07-29,69.0,69.3,66.74,67.85,67.7389245686941,714680,0.0,1.0
2024-07-26,67.2,68.91,66.42,68.83,68.717320236746,1152624,0.0,1.0
2024-07-25,65.93,67.28,65.385,66.38,66.2713310666163,809070,0.0,1.0
2024-07-24,67.62,68.71,65.52,65.85,65.742198715527,2636083,0.0,1.0
2024-07-23,65.19,68.06,65.03,67.64,67.5292683541116,1005137,0.0,1.0
2024-07-22,64.98,65.84,64.24,65.57,65.4626570960836,481031,0.0,1.0
2024-07-19,64.9,65.49,63.9512,64.55,64.4443269109684,636731,0.0,1.0
2024-07-18,64.5,66.26,63.9,64.82,64.7138849011459,510604,0.0,1.0
2024-07-17,65.92,66.58,64.42,64.6,64.4942450572976,427439,0.0,1.0
2024-07-16,64.52,66.72,64.04,66.33,66.2214129202871,1400889,0.0,1.0
2024-07-15,63.68,65.14,63.37,64.31,64.2047198085883,640835,0.0,1.0
2024-07-12,63.59,64.5,62.77,63.18,63.0765697015489,1163373,0.0,1.0
2024-07-11,61.75,63.155,61.13,62.73,62.6273063845863,1705743,0.0,1.0
2024-07-10,59.28,60.98,58.53,60.47,60.3710061705075,1062604,0.0,1.0
2024-07-09,60.15,60.47,58.23,58.93,58.8335272635688,1551290,0.0,1.0
2024-07-08,61.88,62.27,59.6701,60.47,60.3710061705075,1084625,0.0,1.0
2024-07-05,61.4,61.8,61.1,61.59,61.4891726482811,317170,0.0,1.0
2024-07-03,60.7,61.85,60.54,61.69,61.5890089409394,158763,0.0,1.0
2024-07-02,60.42,61.095,59.97,60.57,60.4708424631658,421078,0.0,1.0
2024-07-01,62.29,62.35,60.02,60.24,60.1413826973933,373900,0.0,1.0
2024-06-28,62.08,63.05,61.04,61.97,61.8685505603828,1592583,0.13,1.0
2024-06-27,61.97,62.38,61.12,61.58,61.3504886233232,409156,0.0,1.0
2024-06-26,62.26,62.41,60.48,61.64,61.4102650006763,341157,0.0,1.0
2024-06-25,62.3,62.7299,61.43,62.68,62.4463888747954,377087,0.0,1.0
2024-06-24,62.57,63.62,62.07,62.1,61.8685505603828,402573,0.0,1.0
2024-06-21,62.51,62.66,60.26,62.47,62.2371715540598,913138,0.0,1.0
2024-06-20,63.88,65.0799,60.69,62.46,62.227208824501,1233639,0.0,1.0
2024-06-18,62.15,62.91,61.83,62.85,62.6157552772956,360433,0.0,1.0
2024-06-17,61.93,62.46,61.0615,61.97,61.7390350761179,190518,0.0,1.0
2024-06-14,62.22,62.6,61.17,62.29,62.0578424220007,518820,0.0,1.0
2024-06-13,62.17,62.71,61.485,62.6,62.3666870383247,418615,0.0,1.0
2024-06-12,61.45,63.06,61.155,62.44,62.2072833653833,664883,0.0,1.0
2024-06-11,59.25,60.08,58.93,59.85,59.6269364096443,897861,0.0,1.0
2024-06-10,58.6,59.765,58.23,59.49,59.2682781455261,1255230,0.0,1.0
2024-06-07,58.87,59.98,58.38,59.16,58.9395080700845,2362559,0.0,1.0
2024-06-06,60.11,60.27,59.12,59.91,59.6867127869973,198783,0.0,1.0
2024-06-05,60.08,60.385,59.155,60.09,59.8660419190564,185525,0.0,1.0
2024-06-04,60.85,60.85,59.4474,60.17,59.9457437555271,381618,0.0,1.0
2024-06-03,62.29,62.43,60.63,61.29,61.0615694661169,208999,0.0,1.0
2024-05-31,62.45,62.5049,61.15,62.29,62.0578424220007,298374,0.0,1.0
2024-05-30,61.75,62.67,61.67,61.91,61.6792586987649,257463,0.0,1.0
2024-05-29,61.62,61.68,60.6866,61.41,61.181122220823,245584,0.0,1.0
2024-05-28,62.8,62.904,61.6267,62.27,62.0379169628831,314623,0.0,1.0
2024-05-24,62.22,62.68,61.76,62.43,62.1973206358245,216723,0.0,1.0
2024-05-23,62.62,62.62,61.15,61.67,61.4401531893528,259410,0.0,1.0
2024-05-22,63.05,63.05,60.98,62.21,61.97814058553,232132,0.0,1.0
2024-05-21,62.06,63.0,61.61,62.98,62.7452707615605,297013,0.0,1.0
2024-05-20,62.41,62.5699,61.9,62.33,62.0976933402361,259555,0.0,1.0
2024-05-17,61.93,62.49,61.54,62.21,61.97814058553,224687,0.0,1.0
2024-05-16,62.44,62.49,61.19,61.59,61.3604513528821,211568,0.0,1.0
2024-05-15,63.73,63.73,61.2,62.49,62.2570970131775,620499,0.0,1.0
2024-05-14,63.27,64.33,62.44,64.02,63.7813946356797,602346,0.0,1.0
2024-05-13,62.58,62.9,62.38,62.6,62.3666870383247,728086,0.0,1.0
2024-05-10,62.71,62.72,61.36,62.34,62.1076560697949,417850,0.0,1.0
2024-05-09,61.52,62.5,61.29,62.06,61.8286996421475,573427,0.0,1.0
2024-05-08,59.23,61.56,58.81,61.34,61.1113831139111,443029,0.0,1.0
2024-05-07,59.94,61.39,59.51,59.51,59.2882036046438,946792,0.0,1.0
2024-05-06,59.98,61.62,59.44,59.78,59.5571973027324,519010,0.0,1.0
2024-05-03,58.0,59.61,58.0,59.39,59.1686508499378,749680,0.0,1.0
2024-05-02,56.07,57.845,55.57,57.26,57.0465894539053,806417,0.0,1.0
2024-05-01,55.72,56.2,54.95,54.99,54.7850498440491,296932,0.0,1.0
2024-04-30,55.33,55.57,54.99,55.5,55.2931490515499,300395,0.0,1.0
2024-04-29,55.86,56.145,55.49,55.72,55.5123291018443,163056,0.0,1.0
2024-04-26,54.85,55.69,54.85,55.53,55.3230372402264,203581,0.0,1.0
2024-04-25,54.1,55.06,53.538,54.76,54.5559070641959,196332,0.0,1.0
2024-04-24,54.92,55.31,54.09,54.44,54.237099718313,227760,0.0,1.0
2024-04-23,53.86,55.205,53.86,54.9,54.6953852780196,263323,0.0,1.0
2024-04-22,53.7,54.1,53.155,53.58,53.380304976253,214838,0.0,1.0
2024-04-19,53.6,54.255,53.0,53.44,53.2408267624293,301964,0.0,1.0
2024-04-18,54.17,54.52,53.3,53.68,53.4799322718414,258257,0.0,1.0
2024-04-17,54.61,54.7,53.12,53.82,53.6194104856651,276815,0.0,1.0
2024-04-16,54.37,54.89,52.99,54.29,54.0876587749305,329427,0.0,1.0
2024-04-15,55.9,55.985,54.23,54.62,54.4164288503721,253058,0.0,1.0
2024-04-12,55.34,55.67,54.59,55.34,55.1337453786085,305178,0.0,1.0
2024-04-11,55.46,56.04,54.905,55.59,55.3828136175794,300386,0.0,1.0
2024-04-10,54.83,55.46,54.12,55.4,55.1935217559615,366940,0.0,1.0
2024-04-09,56.97,56.98,55.85,55.9,55.6916582339034,635321,0.0,1.0
2024-04-08,57.02,57.1,56.4374,56.79,56.5783411646399,261415,0.0,1.0
2024-04-05,56.27,56.91,56.0,56.81,56.5982666237576,332317,0.0,1.0
2024-04-04,56.96,57.265,55.86,56.18,55.9706146615508,277387,0.0,1.0
2024-04-03,56.03,56.92,55.78,56.35,56.1399810640511,213387,0.0,1.0
2024-04-02,56.08,56.355,55.25,56.3,56.0901674162569,553238,0.0,1.0
2024-04-01,57.0,57.115,55.78,56.69,56.4787138690516,289257,0.0,1.0
2024-03-28,57.44,57.62,56.56,57.13,56.9170739696404,389045,0.0,1.0
2024-03-27,57.16,57.42,56.1,57.36,57.1462167494937,290107,0.13,1.0
2024-03-26,55.89,57.9278,55.67,56.78,56.4404624636676,511079,0.0,1.0
2024-03-25,55.31,55.49,55.006,55.47,55.1382961053125,202880,0.0,1.0
2024-03-22,55.56,55.56,54.555,55.03,54.7009272521245,384590,0.0,1.0
2024-03-21,54.65,55.88,54.59,55.32,54.9891930871802,492873,0.0,1.0
2024-03-20,54.03,54.5,53.78,54.36,54.0349337711337,425177,0.0,1.0
2024-03-19,53.94,54.285,53.34,54.02,53.6969669300339,464561,0.0,1.0
