,HAFC_Open,HAFC_High,HAFC_Low,HAFC_Close,HAFC_Adj Close,HAFC_Volume,HAFC_Dividend Amount,HAFC_Split Coefficient
2024-10-04,18.78,18.9,18.495,18.8,18.8,144253,0.0,1.0
2024-10-03,18.26,18.53,18.19,18.5,18.5,151605,0.0,1.0
2024-10-02,18.36,18.87,18.33,18.44,18.44,160257,0.0,1.0
2024-10-01,18.53,18.53,17.925,18.03,18.03,162546,0.0,1.0
2024-09-30,18.4,18.87,18.4,18.6,18.6,147227,0.0,1.0
2024-09-27,18.41,18.57,18.07,18.44,18.44,209287,0.0,1.0
2024-09-26,18.57,18.7,18.15,18.16,18.16,152978,0.0,1.0
2024-09-25,18.89,19.05,18.26,18.36,18.36,200003,0.0,1.0
2024-09-24,19.21,19.48,18.84,18.89,18.89,131514,0.0,1.0
2024-09-23,19.36,19.385,19.125,19.19,19.19,134163,0.0,1.0
2024-09-20,19.64,19.78,19.28,19.31,19.31,680344,0.0,1.0
2024-09-19,19.75,19.98,19.385,19.84,19.84,196228,0.0,1.0
2024-09-18,19.0,19.91,18.69,19.26,19.26,183871,0.0,1.0
2024-09-17,19.15,19.465,18.8714,18.91,18.91,138804,0.0,1.0
2024-09-16,18.98,19.14,18.68,18.94,18.94,127315,0.0,1.0
2024-09-13,18.73,18.94,18.515,18.93,18.93,142078,0.0,1.0
2024-09-12,18.37,18.555,18.16,18.41,18.41,105958,0.0,1.0
2024-09-11,18.39,18.56,17.9,18.4,18.4,150614,0.0,1.0
2024-09-10,18.66,18.97,18.2,18.59,18.59,175615,0.0,1.0
2024-09-09,18.66,18.81,18.43,18.56,18.56,228460,0.0,1.0
2024-09-06,19.13,19.19,18.54,18.6,18.6,300869,0.0,1.0
2024-09-05,19.32,19.375,18.995,19.01,19.01,153197,0.0,1.0
2024-09-04,19.37,19.71,19.06,19.16,19.16,160557,0.0,1.0
2024-09-03,19.53,19.96,19.37,19.45,19.45,131172,0.0,1.0
2024-08-30,19.8,19.84,18.31,19.81,19.81,110420,0.0,1.0
2024-08-29,19.85,19.875,19.42,19.7,19.7,111621,0.0,1.0
2024-08-28,19.54,19.83,19.43,19.61,19.61,167874,0.0,1.0
2024-08-27,19.81,19.9172,19.49,19.54,19.54,165222,0.0,1.0
2024-08-26,20.48,20.53,20.0,20.03,20.03,160893,0.0,1.0
2024-08-23,19.06,20.49,19.06,20.3,20.3,241353,0.0,1.0
2024-08-22,18.67,19.0,18.67,18.97,18.97,101088,0.0,1.0
2024-08-21,18.86,18.86,18.57,18.72,18.72,91176,0.0,1.0
2024-08-20,19.01,19.01,18.68,18.71,18.71,110658,0.0,1.0
2024-08-19,18.97,19.1,18.795,19.07,19.07,89368,0.0,1.0
2024-08-16,18.49,19.07,18.49,18.93,18.93,158231,0.0,1.0
2024-08-15,18.67,18.91,18.52,18.58,18.58,121835,0.0,1.0
2024-08-14,18.47,18.47,18.03,18.21,18.21,120976,0.0,1.0
2024-08-13,18.26,18.37,17.98,18.3,18.3,146335,0.0,1.0
2024-08-12,18.42,18.545,17.92,18.07,18.07,197509,0.0,1.0
2024-08-09,18.51,18.51,18.16,18.3,18.3,345436,0.0,1.0
2024-08-08,18.6,18.6799,18.26,18.59,18.59,161533,0.0,1.0
2024-08-07,18.7,18.77,18.205,18.24,18.24,163684,0.0,1.0
2024-08-06,18.01,18.58,17.82,18.43,18.43,298010,0.0,1.0
2024-08-05,17.61,18.3,17.3709,18.03,18.03,330861,0.25,1.0
2024-08-02,18.59,19.115,17.79,18.86,18.602067833698,235032,0.0,1.0
2024-08-01,20.42,20.49,19.3,19.4,19.1346827133479,350072,0.0,1.0
2024-07-31,20.06,20.92,19.84,20.4,20.1210065645514,347960,0.0,1.0
